tile,lat,long,biome,elevation,temperature,rainfall,hilliness,swampiness,pollution
0,31.7174,0,BiomeMist,762,13.7,1550,Mountainous,0,0
1,69.0942,0,Ocean,-204,-15.6,151,Flat,0,0
2,35.2642,-45,ZBiome_Grasslands,480,11.4,1087,Flat,0.5176,0
3,0,-20.9052,Ocean,-310,27.6,1199,Flat,0.3333,0
4,35.2642,45,Ocean,-108,12.8,1602,Flat,0.2157,0
5,0,20.9052,AB_OcularForest,34,32.5,3051,Flat,0.3843,0
6,58.5419,-49.7795,BiomeArcticOasis,391,-10.4,492,Flat,0,0
7,58.5419,49.7795,Glowforest,191,-2.9,59,Mountainous,0,0
8,-10.9651,0,Ocean,-182,26.4,1058,Flat,0.102,0
9,47.3465,-17.9015,Ocean,-17,4.2,349,Flat,0,0
10,23.4832,-21.5564,Volcano,189,19.4,821,Mountainous,0,0
11,10.9651,0,AB_GallatrossGraveyard,360,28.6,1592,Flat,0.149,0
12,47.3465,17.9015,Wasteland,40,6.3,761,Flat,0.0863,0.05
13,23.4832,21.5564,Volcano,1149,14.1,1943,LargeHills,0,0
14,12.0209,41.2398,AB_PyroclasticConflagration,864,17.6,644,Flat,0,0
15,12.0209,-41.2398,Ocean,-236,27.6,2598,Flat,0.3804,0
16,66.5568,-73.1865,Ocean,-405,-16.5,335,Flat,0,0
17,53.358,-71.8211,Ocean,-423,-5.1,968,Flat,0.1804,0
18,66.5568,73.1865,Ocean,-300,-16.2,158,Flat,0,0
19,53.358,71.8211,Ocean,-190,-2.6,94,Flat,0,0
20,34.5426,-13.0645,BiomeMist,274,15.9,1687,LargeHills,0,0
21,22.3847,-7.1492,BiomeGrindland,764,17,1587,Flat,0,0
22,22.3847,7.1492,AB_MycoticJungle,442,22.4,3374,Flat,0.2941,0
23,43.0075,0,BiomeGRuquoise,51,11.7,855,Flat,0,0
24,34.5426,13.0645,Wasteland,1558,4.5,1044,Mountainous,0,0.05
25,71.81,-40.2734,Ocean,-69,-17.3,133,Flat,0,0
26,59.7744,-24.3853,Ocean,-103,-7,175,Flat,0,0
27,82.9789,0,SeaIce,-171,-28.9,70,Flat,0,0
28,71.81,40.2734,Ocean,-80,-17.7,125,Flat,0,0
29,55.6203,0,Ocean,-131,-1.8,266,Flat,0,0
30,59.7744,24.3853,Glowforest,134,-5.1,101,Flat,0,0
31,45.3865,-56.7222,Ocean,-283,4,901,Flat,0.0588,0
32,32.277,-61.3351,Ocean,-442,13.3,1488,Flat,0.3647,0
33,47.8893,-37.2152,BiomeGRimworld,237,3.2,146,Mountainous,0,0
34,35.9549,-28.4285,Ocean,-105,14.5,499,Flat,0,0
35,22.6661,-50.4839,AB_MycoticJungle,454,19.6,2436,Flat,0.098,0
36,23.9263,-35.7478,AB_OcularForest,220,21.5,2271,Flat,0.0863,0
37,-11.6416,-14.0736,Ocean,-377,27.4,1379,Flat,0.1098,0
38,0,-7.0191,Volcano,73,29.7,2202,Mountainous,0,0
39,11.9957,-27.9517,Ocean,-277,26.5,924,Flat,0.2353,0
40,11.6416,-14.0736,AB_GallatrossGraveyard,683,25.2,1522,Flat,0.0196,0
41,0,-34.3793,Ocean,-483,28.1,305,Flat,0,0
42,47.8893,37.2152,Wasteland,114,4.3,657,Mountainous,0,0.05
43,45.3865,56.7222,Ocean,-256,8.9,176,Flat,0,0
44,35.9549,28.4285,Wasteland,498,9.1,1526,SmallHills,0.102,0.05
