Turret_AutoChargeBlaster | Bullet 15 | r 45.9 | expl 0 | base: Things/Building/Mech/TurretMechLarge_Base | top: Things/Item/Equipment/WeaponRanged/ChargeBlasterLight
Turret_AutoInferno | Flame -1 | r 45.9 | expl 2.4000000953674316 | base: Things/Building/Mech/TurretMechLarge_Base | top: Things/Item/Equipment/WeaponRanged/InfernoCannon
Turret_AutoMortar | Bomb -1 | r 500 | expl 2.9000000953674316 | base: Things/Building/Mech/TurretMechLarge_Base | top: Things/Building/Mech/TurretMechMortar_Top
Turret_Autocannon | Bullet 200 | r 32.9 | expl 0 | base: Things/Building/Security/TurretHeavy_Base | top: Things/Building/Security/TurretAutocannon_Top
Turret_Sniper | Bullet 200 | r 45.9 | expl 0 | base: Things/Building/Security/TurretHeavy_Base | top: Things/Building/Security/TurretSniper_Top
Turret_Mortar | None None | r 500 | expl None | base: Things/Building/Security/TurretMortar_Base | top: Things/Building/Security/TurretMortar_Top
Turret_RocketswarmLauncher | Bomb 24 | r 29.9 | expl 2.9000000953674316 | base: Things/Building/Security/TurretHeavy_Base | top: Things/Building/Security/TurretRocketEmpty_Top
Turret_Atomiser | Burn 86 | r 34 | expl 0 | base: Things/Building/Security/DedicatedTurrets/Turret_base | top: Things/Building/Security/DedicatedTurrets/Atomiser_top
Turret_Vaporiser | Burn 86 | r 30 | expl 0 | base: Things/Building/Security/DedicatedTurrets/Turret_base | top: Things/Building/Security/DedicatedTurrets/Vaporiser_top
Turret_Sludger | Stun 0 | r 26 | expl 0 | base: Things/Building/Security/DedicatedTurrets/Turret_base | top: Things/Building/Security/DedicatedTurrets/Sludger_top
Turret_Zapper | Burn 97 | r 24 | expl 0 | base: Things/Building/Security/DedicatedTurrets/Turret_base | top: Things/Building/Security/DedicatedTurrets/Zapper_top
RN2SWGun_EWeb_MG | Bullet 14 | r 40 | expl 0 | base: Things/Building/Security/eWeb/eWeb_Tripod | top: Things/Building/Security/eWeb/eWeb
BigLaserCannon | None None | r 50 | expl None | base: Buildings/Turret_Base/Turret_Base | top: Buildings/Laser_Turret
VFEI2_Vilelobber | VFEI2_AcidSpit 86 | r 500 | expl 3.9000000953674316 | base: Things/Building/InsectoidTurrets/InsectoidTurret_Base | top: Things/Building/InsectoidTurrets/TurretInsectoidKemia_Top
VFEI2_Thornworm | Stab 86 | r 28.9 | expl 0 | base: Things/Building/InsectoidTurrets/InsectoidTurret_Base | top: Things/Building/InsectoidTurrets/TurretInsectoidChelis_Top
VFES_Turret_Ballista | RangedStab 278 | r 85.5 | expl 1.899999976158142 | base: NewThings/Security/TurretBallista/TurretBallista_Base | top: NewThings/Security/TurretBallista/TurretBallista_Top
VFES_Turret_ChargeRailgun | Bullet 187 | r 45.9 | expl 0 | base: NewThings/Security/TurretRailgun_Base | top: NewThings/Security/TurretChargeRailgun/TurretChargeRailgun_Top
VFES_Turret_TeslaBlaster | Smoke 10 | r 32.9 | expl 0 | base: NewThings/Security/TurretRailgun_Base | top: NewThings/Security/TurretTeslaBlaster/TurretTeslaBlaster_Top
VGE_PointDefenseTurret | None None | r 14.9 | expl None | base: Things/Structures/Artillery/GravshipArtillery_Base_Normal | top: Things/Structures/Artillery/GravshipPointDefense_TurretTop
VGE_GaussGun | Bomb 161 | r 99999 | expl 3.9000000953674316 | base: Things/Structures/Artillery/GravshipArtillery_Base_Small | top: Things/Structures/Artillery/GaussGun_TurretTop
VGE_JavelinPod | Bomb 118 | r 99999 | expl 2.9000000953674316 | base: Things/Structures/Artillery/GravshipArtillery_Base_Small | top: Things/Structures/Artillery/JavelinPod_TurretTop
VGE_AnticraftCaster | VGE_AnticraftBeamBypassShields 86 | r 9999 | expl 0 | base: Things/Structures/Artillery/GravshipArtillery_Base_Small | top: Things/Structures/Artillery/AnticraftCaster_TurretTop
VGE_MassDriver | Bomb 50 | r 500 | expl 4.900000095367432 | base: Things/Structures/Artillery/MechanoidOrbitalArtillery_Base_Normal | top: Things/Structures/Artillery/MechanoidMassDriver_TurretTop
VGE_HeavyChargeAnnihilator | Bullet 15 | r 36 | expl 0 | base: Things/Structures/Artillery/MechanoidOrbitalArtillery_Base_Small | top: Things/Structures/Artillery/HeavyChargeAnnihilator_TurretTop
