verdict	defName	modName	label	size	minPx	graphicClass	deconstructible	fraction	yield	chance	costList	killedLeavings	designationCategory	texOnDisk	texPath
EXCLUDED	AB_AncientBloodRainVent	Alpha Biomes	ancient blood rain vent	7x7	154	Graphic_Single	False	0.5						True	Things/Building/AncientVents/AB_AncientBloodRainVent
EXCLUDED	AB_AncientDeathPallVent	Alpha Biomes	ancient death pall vent	7x7	154	Graphic_Single	False	0.5						True	Things/Building/AncientVents/AB_AncientDeathPallVent
EXCLUDED	AB_AncientFreezingVent	Alpha Biomes	ancient freezing vent	7x7	154	Graphic_Single	False	0.5						True	Things/Building/AncientVents/AB_AncientFreezingVent
EXCLUDED	AB_AncientGreyPallVent	Alpha Biomes	ancient gray pall vent	7x7	154	Graphic_Single	False	0.5						True	Things/Building/AncientVents/AB_AncientGreyPallVent
EXCLUDED	AB_SmoothedAncientMetals	Alpha Biomes	smoothed ancient metal	1x1	22	Graphic_Single	False	0.5						False	Things/Building/Linked/RockSmooth_Atlas
EXCLUDED	GU_AncientMetals	Alpha Biomes	ancient metal	1x1	22	Graphic_Single	False	0.5						True	Things/Building/Linked/AB_SlimeAtlas
EXCLUDED	AM_DownwardStairs	Ancient urban ruins	Ancient construction site staircase	2x3	44	Graphic_Multi	False	0.5						True	Things/Building/DownwardStairs
EXCLUDED	AM_Entrance_Bunker	Ancient urban ruins	Ancient staircase	2x3	44	Graphic_Multi	False	0.5						True	Things/Building/DownwardStairs
EXCLUDED	AM_Entrance_CommercialStreet	Ancient urban ruins	Ancient escalator	4x4	88	Graphic_Multi	False	0.5						True	Things/Building/DownwardEscalator
EXCLUDED	AM_Entrance_Mall_A	Ancient urban ruins	Ancient escalator	2x4	44	Graphic_Multi	False	0.5						True	Things/Building/AscendingEscalatorA
EXCLUDED	AM_Entrance_Mall_B	Ancient urban ruins	Ancient escalator	2x4	44	Graphic_Multi	False	0.5						True	Things/Building/AscendingEscalatorA
