defName,label,mod,packageId,intelligence,isAnimal,bodySize,moveSpeed,marketValue,mass,biomes_now,n_biomes,status
Bear_Grizzly,grizzly bear,Core,ludeon.rimworld,Animal,True,2.1500000953674316,4.599999904632568,700,129,BiomeArcticOasis|BiomeGRimerald|BiomeGRimonade|BiomeGRuby|BiomeGRuquoise|BiomeGrindland|BiomeMist|BorealForest|COMIGO_GreaterSwamp_Cold|COMIGO_GreaterSwamp_Temperate|ColdBog|GlacialPlain|Grasslands|TemperateForest|TemperateSwamp|Tundra|Volcano|ZBiome_AlpineMeadow|ZBiome_GlacialShield|ZBiome_Grasslands|ZBiome_Marsh,21,ours
Bear_Polar,polar bear,Core,ludeon.rimworld,Animal,True,2.1500000953674316,4.599999904632568,700,129,AB_PropaneLakes|BiomeArcticOasis|BiomeGRimonade|COMIGO_GreaterSwamp_Cold|ColdBog|IceSheet|SeaIce|Tundra|ZBiome_GlacialShield|ZBiome_Iceberg_NoBeach,10,ours
Ostrich,ostrich,Core,ludeon.rimworld,Animal,True,1,6,0,60,,0,dormant
Emu,emu,Core,ludeon.rimworld,Animal,True,0.6000000238418579,5.5,0,36,,0,dormant
Cassowary,cassowary,Core,ludeon.rimworld,Animal,True,0.6000000238418579,4.599999904632568,0,36,,0,dormant
Cougar,cougar,Core,ludeon.rimworld,Animal,True,1,5,400,60,AB_GallatrossGraveyard|AB_PyroclasticConflagration|AB_TarPits|AridShrubland|BiomeAreeb|BiomeGRimberlands|BiomeGRimond|BiomeGRuby|BiomeGRuquoise|BiomeGrindland|BiomeMist|BorealForest|COMIGO_GreaterSwamp_Cold|COMIGO_GreaterSwamp_Temperate|ColdBog|Desert|GlacialPlain|Grasslands|LavaField|Savanna|TemperateForest|TemperateSwamp|Volcano|ZBiome_AlpineMeadow|ZBiome_CloudForest|ZBiome_CoastalDunes|ZBiome_DesertOasis|ZBiome_Grasslands|ZBiome_Marsh|ZBiome_Sandbar_NoBeach,30,ours
Panther,panther,Core,ludeon.rimworld,Animal,True,1,5,400,60,AB_FeraliskInfestedJungle|AB_GelatinousSuperorganism|AB_MiasmicMangrove|BiomeCypreJungle|BiomeGRimerald|BiomeGRimphire|BiomeToxlands|COMIGO_GreaterSwamp_Tropical|Scarlands|TropicalRainforest|TropicalSwamp|Wetland|ZBiome_CloudForest,13,ours
Lynx,lynx,Core,ludeon.rimworld,Animal,True,0.6000000238418579,5,250,36,BiomeArcticOasis|BiomeGRimonade|BiomeGRuby|BiomeGRuquoise|BiomeMist|BorealForest|COMIGO_GreaterSwamp_Cold|COMIGO_GreaterSwamp_Temperate|ColdBog|GlacialPlain|Grasslands|IceSheet|IronScruff_PrimordialGeysers|TemperateForest|TemperateSwamp|Tundra|Volcano|ZBiome_CloudForest|ZBiome_GlacialShield|ZBiome_Grasslands|ZBiome_Marsh,21,ours
Cat,cat,Core,ludeon.rimworld,Animal,True,0.3199999928474426,4.400000095367432,0,19.19999885559082,,0,dormant
YorkshireTerrier,yorkshire terrier,Core,ludeon.rimworld,Animal,True,0.3199999928474426,3.0999999046325684,0,19.19999885559082,,0,dormant
GuineaPig,guinea pig,Core,ludeon.rimworld,Animal,True,0.20000000298023224,5,150,12,AB_GallatrossGraveyard|AB_GelatinousSuperorganism|AB_IdyllicMeadows|AB_MechanoidIntrusion|AB_MiasmicMangrove|AB_PyroclasticConflagration|AridShrubland|BiomeAreeb|BiomeGRimond|COMIGO_GreaterSwamp_Cold|COMIGO_GreaterSwamp_Temperate|COMIGO_GreaterSwamp_Tropical|ColdBog|Desert|ExtremeDesert|LavaField|TemperateForest|TemperateSwamp|TropicalRainforest|TropicalSwamp|ZBiome_AlpineMeadow|ZBiome_Badlands|ZBiome_CloudForest|ZBiome_DesertOasis|ZBiome_Grasslands|ZBiome_Marsh|ZBiome_Sandbar_NoBeach,27,ours
LabradorRetriever,labrador retriever,Core,ludeon.rimworld,Animal,True,0.75,5,250,45,,0,dormant
Husky,husky,Core,ludeon.rimworld,Animal,True,0.8600000143051147,5,250,51.60000228881836,,0,dormant
Monkey,monkey,Core,ludeon.rimworld,Animal,True,0.3499999940395355,4.300000190734863,100,21,AB_FeraliskInfestedJungle|AB_GelatinousSuperorganism|AB_MiasmicMangrove|BiomeCypreJungle|BiomeGRuby|COMIGO_GreaterSwamp_Tropical|TropicalRainforest|TropicalSwamp|Wetland|ZBiome_CloudForest|ZBiome_Grasslands,11,ours
Chicken,chicken,Core,ludeon.rimworld,Animal,True,0.30000001192092896,2.0999999046325684,50,18,,0,dormant
Duck,duck,Core,ludeon.rimworld,Animal,True,0.30000001192092896,2.0999999046325684,60,18,BiomeCypreJungle|BiomeGRimerald|ColdBog|TemperateSwamp|ZBiome_Marsh,5,foreign
Turkey,turkey,Core,ludeon.rimworld,Animal,True,0.6000000238418579,3.5999999046325684,100,36,AB_IdyllicMeadows|BiomeCypreJungle|BiomeGRimerald|BiomeGRuby|BiomeGRuquoise|BorealForest|COMIGO_GreaterSwamp_Cold|COMIGO_GreaterSwamp_Temperate|ColdBog|Grasslands|TemperateForest|TemperateSwamp|Volcano|Wetland|ZBiome_AlpineMeadow|ZBiome_GlacialShield|ZBiome_Marsh,17,ours
Goose,goose,Core,ludeon.rimworld,Animal,True,0.6000000238418579,2.299999952316284,90,36,,0,dormant
Cow,cow,Core,ludeon.rimworld,Animal,True,2.4000000953674316,3.200000047683716,300,144,,0,dormant
Boomalope,boomalope,Core,ludeon.rimworld,Animal,True,2,3.4000000953674316,350,120,AB_FeraliskInfestedJungle|AB_GallatrossGraveyard|AB_GelatinousSuperorganism|AB_IdyllicMeadows|AB_MiasmicMangrove|AB_MycoticJungle|AB_PyroclasticConflagration|AB_TarPits|AridShrubland|BiomeAreeb|BiomeGRimberlands|BiomeGRimethyst|BiomeGRimond|BiomeGRimphire|BiomeGRuquoise|BiomeGrindland|BiomeMist|BiomeToxlands|COMIGO_GreaterSwamp_Temperate|COMIGO_GreaterSwamp_Tropical|Desert|Glowforest|Grasslands|LavaField|Savanna|Scarlands|TemperateForest|TemperateSwamp|TropicalRainforest|TropicalSwamp|Volcano|Wetland|ZBiome_AlpineMeadow|ZBiome_Badlands|ZBiome_CloudForest|ZBiome_CoastalDunes|ZBiome_DesertOasis|ZBiome_Grasslands|ZBiome_Sandbar_NoBeach,39,ours
Muffalo,muffalo,Core,ludeon.rimworld,Animal,True,2.4000000953674316,4.5,300,144,AB_IdyllicMeadows|AB_PropaneLakes|BiomeArcticOasis|BiomeGRimonade|BiomeGRuby|BiomeGRuquoise|BiomeMist|BorealForest|COMIGO_GreaterSwamp_Cold|COMIGO_GreaterSwamp_Temperate|ColdBog|Grasslands|IceSheet|Savanna|SeaIce|TemperateForest|TemperateSwamp|Tundra|Volcano|ZBiome_AlpineMeadow|ZBiome_GlacialShield|ZBiome_Grasslands|ZBiome_Iceberg_NoBeach|ZBiome_Marsh,24,ours
Bison,bison,Core,ludeon.rimworld,Animal,True,2.4000000953674316,4.699999809265137,350,144,AB_GallatrossGraveyard|AB_IdyllicMeadows|AB_PyroclasticConflagration|AridShrubland|BiomeAreeb|BiomeGRuquoise|BiomeMist|Grasslands|TemperateForest|ZBiome_Grasslands,10,ours
Dromedary,dromedary,Core,ludeon.rimworld,Animal,True,2.0999999046325684,4.300000190734863,300,125.99999237060547,AB_GallatrossGraveyard|AB_PyroclasticConflagration|AB_TarPits|AridShrubland|BiomeAreeb|BiomeGRimberlands|BiomeGRimond|BiomeGRimworld|Desert|ExtremeDesert|Wasteland|ZBiome_Badlands|ZBiome_CoastalDunes|ZBiome_DesertOasis|ZBiome_Sandbar_NoBeach,15,ours
Goat,goat,Core,ludeon.rimworld,Animal,True,0.75,3.9000000953674316,200,45,BiomeGrindland|ZBiome_AlpineMeadow|ZBiome_CloudForest,3,foreign
Elk,elk,Core,ludeon.rimworld,Animal,True,2.0999999046325684,5,300,125.99999237060547,BiomeArcticOasis|BiomeGRimonade|BorealForest|COMIGO_GreaterSwamp_Cold|ColdBog|GlacialPlain|IronScruff_PrimordialGeysers|Tundra|ZBiome_GlacialShield|ZBiome_Marsh,10,foreign
Yak,yak,Core,ludeon.rimworld,Animal,True,2.0999999046325684,3.200000047683716,320,125.99999237060547,AB_GallatrossGraveyard|AB_IdyllicMeadows|BiomeGRuquoise|BiomeMist|BorealForest|COMIGO_GreaterSwamp_Cold|COMIGO_GreaterSwamp_Temperate|ColdBog|Grasslands|TemperateForest|TemperateSwamp|ZBiome_AlpineMeadow|ZBiome_CloudForest|ZBiome_GlacialShield|ZBiome_Marsh,15,foreign
Caribou,caribou,Core,ludeon.rimworld,Animal,True,1,5,300,60,BiomeArcticOasis|BiomeGRimonade|BorealForest|COMIGO_GreaterSwamp_Cold|ColdBog|GlacialPlain|IronScruff_PrimordialGeysers|Tundra|ZBiome_GlacialShield|ZBiome_Marsh,10,foreign
Horse,horse,Core,ludeon.rimworld,Animal,True,2.4000000953674316,5.800000190734863,550,144,AB_FeraliskInfestedJungle|AB_GelatinousSuperorganism|AB_IdyllicMeadows|AB_MiasmicMangrove|AB_PyroclasticConflagration|AridShrubland|BiomeAreeb|BiomeGRimberlands|BiomeGRimphire|BiomeGRuby|BiomeGRuquoise|BiomeGrindland|BiomeMist|BorealForest|COMIGO_GreaterSwamp_Temperate|Grasslands|LavaField|TemperateForest|TemperateSwamp|ZBiome_AlpineMeadow|ZBiome_CoastalDunes|ZBiome_DesertOasis|ZBiome_GlacialShield|ZBiome_Grasslands,24,ours
Donkey,donkey,Core,ludeon.rimworld,Animal,True,1.399999976158142,5,320,84,AB_GallatrossGraveyard|AB_IdyllicMeadows|AB_PyroclasticConflagration|AridShrubland|BiomeAreeb|BiomeGRimond|BiomeGRimworld|BiomeGRuquoise|BiomeMist|Desert|ExtremeDesert|Grasslands|LavaField|TemperateForest|ZBiome_Badlands|ZBiome_CoastalDunes|ZBiome_DesertOasis|ZBiome_Grasslands|ZBiome_Sandbar_NoBeach,19,ours
Elephant,elephant,Core,ludeon.rimworld,Animal,True,4,4.800000190734863,600,240,AB_FeraliskInfestedJungle|AB_GallatrossGraveyard|AB_GelatinousSuperorganism|AB_MiasmicMangrove|AB_PyroclasticConflagration|AB_TarPits|AridShrubland|BiomeAreeb|BiomeCypreJungle|BiomeGRimberlands|BiomeGRimphire|COMIGO_GreaterSwamp_Tropical|Savanna|TropicalRainforest|TropicalSwamp|Wetland|ZBiome_CloudForest|ZBiome_CoastalDunes|ZBiome_Grasslands,19,ours
