biome,defName,label,mod,bodySize,status,belong,standout
Desert,AA_AcanthamoebaGiganteaHuge,"acanthamoeba gigantea, huge",Alpha Animals,1.5,dormant,0.7496,0.2504
Desert,AA_AcanthamoebaGiganteaLarge,"acanthamoeba gigantea, large",Alpha Animals,0.800000011920929,dormant,0.7496,0.2504
Desert,AA_AcanthamoebaGiganteaSmall,"acanthamoeba gigantea, small",Alpha Animals,0.20000000298023224,ours,0.7496,0.2504
Desert,AA_Aerofleet,aerofleet,Alpha Animals,0.20000000298023224,ours,0.7394,0.2606
Desert,AA_Agaripawn,agaripawn,Alpha Animals,1.399999976158142,ours,0.7564,0.2436
Desert,AA_Agaripod,agaripod,Alpha Animals,4,ours,0.7359,0.2641
Desert,AA_AngelMoth,angel moth,Alpha Animals,0.75,ours,0.8755,0.1245
Desert,AA_AngelMothLarva,angel moth larva,Alpha Animals,0.10000000149011612,ours,0.739,0.261
Desert,AA_AnimaColossus,anima colossus,Alpha Animals,6,ours,0.8048,0.1952
Desert,AA_Animalisk,animalisk,Alpha Animals,1,dormant,0.6662,0.3338
Desert,AA_AnimusVox,animus vox,Alpha Animals,0.6499999761581421,ours,0.7363,0.2637
Desert,AA_ArcticLion,arctic lion,Alpha Animals,2,ours,0.6472,0.3528
Desert,AA_Atispec,atispec,Alpha Animals,7,dormant,0.7937,0.2063
Desert,AA_AuroraSylph,Aurora sylph,Alpha Animals,0.5,ours,0.7632,0.2368
Desert,AA_Barbslinger,barbslinger,Alpha Animals,2.5,ours,0.8783,0.1217
Desert,AA_BedBug,bedbug,Alpha Animals,0.5,ours,0.6008,0.3992
Desert,AA_Behemoth,Behemoth,Alpha Animals,8,dormant,0.5907,0.4093
Desert,AA_BlackScarab,black scarab,Alpha Animals,0.30000001192092896,dormant,0.5796,0.4204
Desert,AA_BlackSpelopede,black spelopede,Alpha Animals,1,dormant,0.5732,0.4268
Desert,AA_BlackSpider,blackspider,Alpha Animals,1.5,dormant,0.5846,0.4154
Desert,AA_Blizzarisk,blizzarisk,Alpha Animals,2,ours,0.7082,0.2918
Desert,AA_BlizzariskClutchMother,blizzarisk clutch mother,Alpha Animals,3,dormant,0.7234,0.2766
Desert,AA_BloodShrimp,blood shrimp,Alpha Animals,1,ours,0.7603,0.2397
Desert,AA_Bobeene,bobeene,Alpha Animals,2.0999999046325684,foreign,0.7743,0.2257
Desert,AA_BoulderMit,bouldermit,Alpha Animals,4,ours,0.8377,0.1623
Desert,AA_Bumbledrone,bumbledrone,Alpha Animals,0.7900000214576721,ours,0.8944,0.1056
Desert,AA_BumbledroneHierophant,bumbledrone hierophant,Alpha Animals,0.7900000214576721,ours,0.8948,0.1052
Desert,AA_BumbledroneQueen,bumbledrone queen,Alpha Animals,0.7900000214576721,dormant,0.9021,0.0979
Desert,AA_Cactipine,cactipine,Alpha Animals,0.5,ours,0.8861,0.1139
Desert,AA_ChameleonYak,chameleon yak,Alpha Animals,2.5,ours,0.6501,0.3499
Desert,AA_ChemfuelMyrmidon,chemfuel myrmidon,Alpha Animals,1.5,ours,0.6266,0.3734
Desert,AA_Cinderlisk,cinderlisk,Alpha Animals,2.5,ours,0.7106,0.2894
Desert,AA_ColossalAerofleet,colossal aerofleet,Alpha Animals,2,dormant,0.7021,0.2979
Desert,AA_CrepuscularBeetle,Crepuscular Beetle,Alpha Animals,3,ours,0.5071,0.4929
Desert,AA_CrescendoAnole,crescendo anole,Alpha Animals,0.30000001192092896,ours,0.5883,0.4117
Desert,AA_CrystalMit,crystalmit,Alpha Animals,0.5,ours,0.601,0.399
Desert,AA_CrystallineCaracal,crystalline caracal,Alpha Animals,0.800000011920929,dormant,0.7254,0.2746
Desert,AA_DarkVandal,dark vandal,Alpha Animals,1.2000000476837158,ours,0.521,0.479
Desert,AA_Darkbeast,darkbeast,Alpha Animals,1.5,ours,0.4481,0.5519
Desert,AA_DecayDrake,decay drake,Alpha Animals,1,ours,0.6903,0.3097
Desert,AA_DesertAve,desert ave,Alpha Animals,1,ours,0.8825,0.1175
Desert,AA_DevilSheep,devil sheep,Alpha Animals,0.5,dormant,0.7761,0.2239
Desert,AA_Drainer,drainer,Alpha Animals,0.5,ours,0.4068,0.5932
Desert,AA_DrainerLarva,drainer larva,Alpha Animals,0.10000000149011612,ours,0.506,0.494
Desert,AA_Dunealisk,dunealisk,Alpha Animals,2,ours,0.9287,0.0713
Desert,AA_DunealiskClutchMother,dunealisk clutch mother,Alpha Animals,3,dormant,0.892,0.108
Desert,AA_DuskProwler,dusk prowler,Alpha Animals,1.5,ours,0.4815,0.5185
Desert,AA_DuskRat,dusk rat,Alpha Animals,0.15000000596046448,ours,0.4925,0.5075
Desert,AA_EmpressButterfly,Empress butterfly,Alpha Animals,0.75,foreign,0.6597,0.3403
Desert,AA_EmpressButterflyLarva,Empress butterfly larva,Alpha Animals,0.10000000149011612,foreign,0.8151,0.1849
