biome,tiles,worldTexture,terrains,terrainTexPaths
ExtremeDesert,3946,,Sand|SoftSand|Jawa_SaltCrust,Terrain/Surfaces/Sand|Terrain/Surfaces/SoftSand|Terrain/Surfaces/DryLakeBed
AB_RockyCrags,3423,,AB_FineForsakenSand|AB_ForsakenSand|AB_ForsakenRock|AB_DarkMud|WaterShallow|WaterDeep,Terrain/Surfaces/AB_FineForsakenSands|Terrain/Surfaces/AB_ForsakenSands|Terrain/Surfaces/AB_ForsakenRocks|Terrain/Surfaces/AB_DarkMud|Terrain/Surfaces/WaterShallowRamp|Terrain/Surfaces/WaterDeepRamp
Desert,2147,,Sand|NewAridSoil|SoftSand|Jawa_SaltCrust,Terrain/Surfaces/Sand|Terrain/Surfaces/NewAridSoil|Terrain/Surfaces/SoftSand|Terrain/Surfaces/DryLakeBed
AridShrubland,2138,,Sand|NewAridSoil|NewAridSoilRich|SoftSand|Jawa_SaltCrust,Terrain/Surfaces/Sand|Terrain/Surfaces/NewAridSoil|Terrain/Surfaces/Soil|Terrain/Surfaces/SoftSand|Terrain/Surfaces/DryLakeBed
AB_MycoticJungle,1939,,AB_MycoticGrass|AB_MycoticSoilRich|AB_MycoticSoil|Marsh,Terrain/Surfaces/AB_MycoticGrass|Terrain/Surfaces/AB_RichMycoticDirt|Terrain/Surfaces/AB_MycoticDirt|Terrain/Surfaces/Marsh
Wasteland,1721,,VolcanoSoil|WastelandAsphalt|Gravel|NuclearWaste,Terrain/VolcanoSoil|Terrain/WastelandAsphalt|Terrain/Surfaces/Gravel|Terrain/NuclearWaste
HorrorWastes,1200,,Sand|Soil|SoilRich,Terrain/Surfaces/Sand|Terrain/Surfaces/Soil|Terrain/Surfaces/SoilRich
PoisonForest,604,,PoisonSoil|PoisonSoilRich|MarshyTerrain|Marsh,Terrain/PoisonSoil|Terrain/PoisonSoilRich|Terrain/Surfaces/MarshyTerrain|Terrain/Surfaces/Marsh
AB_PropaneLakes,554,,AB_PackedSnow|AB_PackedIce|AB_SnowOverRocks|AB_SolidPropane|AB_PropaneLake,Terrain/Surfaces/AB_Snow|Terrain/Surfaces/AB_WhiteIce|Terrain/Surfaces/AB_SnowOverRocks|Terrain/Surfaces/AB_Ice|Terrain/Surfaces/AB_Ice
ZBiome_Badlands,546,,Sand|SoftSand|Sandstone_Rough|Gravel,Terrain/Surfaces/Sand|Terrain/Surfaces/SoftSand|Terrain/Surfaces/RoughStone|Terrain/Surfaces/Gravel
AB_FeraliskInfestedJungle,534,,AB_DenseMud|AB_DenseGrass|SoilRich|AB_WebbedMarshyTerrain|Marsh,Terrain/Surfaces/AB_DenseMud|Terrain/Surfaces/AB_DenseGrass|Terrain/Surfaces/SoilRich|Terrain/Surfaces/AB_WebCoveredMarsh|Terrain/Surfaces/Marsh
BMT_FungalForest,425,,Soil|SoilRich|MarshyTerrain|Mud|Marsh,Terrain/Surfaces/Soil|Terrain/Surfaces/SoilRich|Terrain/Surfaces/MarshyTerrain|Terrain/Surfaces/Mud|Terrain/Surfaces/Marsh
SeaIce,357,,Ice|WaterShallow,Terrain/Surfaces/Ice|Terrain/Surfaces/WaterShallowRamp
AB_MechanoidIntrusion,236,,GU_MetalFloor1|GU_MetalFloor2|GU_MetalFloor3|AB_SoilOnCrackedMetal|GU_Piping,Terrain/Surfaces/AB_Polymer|Terrain/Surfaces/GU_MetalFloor2|Terrain/Surfaces/GU_MetalFloor1|Terrain/Surfaces/AB_SoilOnCrackedMetal|Terrain/Surfaces/GU_Piping
ZBiome_Grasslands,233,,Sand|Gravel|Soil|SoilRich|Mud|WaterShallow|WaterDeep,Terrain/Surfaces/Sand|Terrain/Surfaces/Gravel|Terrain/Surfaces/Soil|Terrain/Surfaces/SoilRich|Terrain/Surfaces/Mud|Terrain/Surfaces/WaterShallowRamp|Terrain/Surfaces/WaterDeepRamp
ZBiome_DesertOasis,227,,Sand|SoftSand|WaterShallow|Mud|SoilRich|Soil|Gravel,Terrain/Surfaces/Sand|Terrain/Surfaces/SoftSand|Terrain/Surfaces/WaterShallowRamp|Terrain/Surfaces/Mud|Terrain/Surfaces/SoilRich|Terrain/Surfaces/Soil|Terrain/Surfaces/Gravel
BMT_CrystalCaverns,127,,Gravel|BMT_Crystal|Soil|WaterShallow,Terrain/Surfaces/Gravel|BMT_Caverns/Terrains/Crystal|Terrain/Surfaces/Soil|Terrain/Surfaces/WaterShallowRamp
AB_GelatinousSuperorganism,96,,AB_Slime|AB_RichSlime|AB_SlimeGrass|AB_SlimyMud|AB_LiquidSlime,Terrain/Surfaces/AB_Slime|Terrain/Surfaces/AB_RichSlime|Terrain/Surfaces/AB_SlimeGrass|Terrain/Surfaces/AB_SlimyMud|Terrain/Surfaces/AB_SlimeRamp
Scarlands,90,,AncientMegastructure|Soil|ToxicWaterShallow|ToxicWaterDeep,Terrain/Surfaces/AncientMegastructure|Terrain/Surfaces/Soil|Terrain/Surfaces/ToxicWaterShallowRamp|Terrain/Surfaces/ToxicWaterDeepRamp
AB_MiasmicMangrove,65,,Mud|AB_FertileMud|AB_FertileMarsh|MarshyTerrain,Terrain/Surfaces/Mud|Terrain/Surfaces/AB_FertileMud|Terrain/Surfaces/AB_FertileMarsh|Terrain/Surfaces/MarshyTerrain
AB_TarPits,57,,AB_GrassySand|AB_LushGrass|AB_ParchedEarth|AB_TarMud|AB_Tar,Terrain/Surfaces/AB_GrassySand|Terrain/Surfaces/AB_LushGrass|Terrain/Surfaces/AB_ParchedEarth|Terrain/Surfaces/AB_TarMud|Terrain/Surfaces/AB_TarDeepRamp
AB_PyroclasticConflagration,31,,AB_BlackPebbles|AB_HardenedGrass|AB_HardenedGrassFertile|VolcanicRock|AB_Obsidian|AB_SolidifiedLava|LavaDeep,Terrain/Surfaces/AB_BlackPebbles|Terrain/Surfaces/AB_HardenedGrass|Terrain/Surfaces/AB_HardenedGrass|Terrain/Surfaces/VolcanicRock|Terrain/Surfaces/AB_Obsidian|Terrain/Surfaces/AB_LavaTexture|Terrain/Surfaces/DeepLava
Volcano,23,,Gravel|VolcanoSoil|VolcanoSoilRich|WaterShallow|WaterDeep|VolcanoObsidian|Lava,Terrain/Surfaces/Gravel|Terrain/VolcanoSoil|Terrain/SavannaSoilRich|Terrain/Surfaces/WaterShallowRamp|Terrain/Surfaces/WaterDeepRamp|Terrain/VolcanoSoilRich|Terrain/Lava
LavaField,15,,VolcanicRock|Soil|SoilRich|LavaDeep,Terrain/Surfaces/VolcanicRock|Terrain/Surfaces/Soil|Terrain/Surfaces/SoilRich|Terrain/Surfaces/DeepLava
AB_OcularForest,3,,GU_AlienSandFine|GU_AlienSand|GU_RichAlienSand|GU_MossyRed|GU_RedWaterShallow|GU_RedWaterDeep,Terrain/Surfaces/GU_AlienSandFine|Terrain/Surfaces/GU_AlienSand|Terrain/Surfaces/GU_AlienSand|Terrain/Surfaces/AB_MossyRed2|Terrain/Surfaces/AB_WaterShallowRamp_Red|Terrain/Surfaces/AB_WaterDeepRamp_Red
