biome,defName,label,mod,band,bodySize,commonality,belong,standout,defence,status,reason,promoted
Desert,GR_Squirralope,squirralope,Vanilla Genetics Expanded,tiny,0.20000000298023224,1.0,0.9611,0.0389,0.405,dormant,wildlife,0
Desert,GR_Chickenlope,chickenlope,Vanilla Genetics Expanded,tiny,0.18000000715255737,1.0,0.9075,0.0925,0.405,dormant,wildlife,0
Desert,GR_Needlechicken,needlechicken,Vanilla Genetics Expanded,tiny,0.25,1.0,0.8987,0.1013,0.456,dormant,wildlife,0
Desert,GR_Catalope,catalope,Vanilla Genetics Expanded,tiny,0.2549999952316284,1.0,0.8823,0.1177,0.556,dormant,wildlife,0
Desert,BMT_Stoneback,stoneback,Biomes! Caverns,small,0.4000000059604645,0.7,0.9697,0.0303,0.56,dormant,wildlife,0
Desert,SWPotF_RaceDef_ysalamir,ysalamir,Star Wars KotOR Resources and Materials,small,0.4000000059604645,0.7,0.9247,0.0753,0.56,dormant,wildlife,0
Desert,BMT_Jellypot,jellypot,Biomes! Caverns,small,0.6499999761581421,0.7,0.9022,0.0978,0.676,dormant,wildlife,0
Desert,AA_BumbledroneQueen,bumbledrone queen,Alpha Animals,small,0.7900000214576721,0.7,0.9021,0.0979,0.42,dormant,wildlife,0
Desert,BMT_PustuleHornetSpawned,pustule hornet,Biomes! Polluted Lands,small,0.3199999928474426,0.7,0.8937,0.1063,0.608,dormant,wildlife,0
Desert,BMT_Diggerpede,diggerpede,Biomes! Caverns,med,1.5,0.4,0.9856,0.0144,0.687,dormant,wildlife,0
Desert,VQEA_Splicetoot,splicetoot,Vanilla Quests Expanded - Ancients,med,0.800000011920929,0.4,0.9678,0.0322,0.52,dormant,wildlife,0
Desert,GR_Boomcat,boomcat,Vanilla Genetics Expanded,med,1.5,0.4,0.9371,0.0629,0.438,dormant,wildlife,0
Desert,GR_Boombeetle,boombeetle,Vanilla Genetics Expanded,med,1.5,0.4,0.9323,0.0677,0.738,dormant,wildlife,0
Desert,GR_Boomsquirrel,boomsquirrel,Vanilla Genetics Expanded,med,1.2999999523162842,0.4,0.9218,0.0782,0.432,dormant,wildlife,0
Desert,GR_Boomsnake,boomsnake,Vanilla Genetics Expanded,med,1.5,0.4,0.9004,0.0996,0.438,dormant,wildlife,0
Desert,BMT_CactusCrab,cactus crab,Biomes! Caverns,large,2.4000000953674316,0.18,0.9505,0.0495,0.718,dormant,wildlife,0
Desert,GR_Boomffalo,boomffalo,Vanilla Genetics Expanded,large,2.25,0.18,0.9203,0.0797,0.456,dormant,wildlife,0
Desert,GR_Manwolf,manwolf,Vanilla Genetics Expanded,large,2,0.18,0.9167,0.0833,0.6,dormant,wildlife,0
Desert,GR_Boomabear,boomabear,Vanilla Genetics Expanded,large,2.5,0.18,0.9163,0.0837,0.463,dormant,wildlife,0
Desert,Bogwing,bogwing,Star Wars Animal Collection (Continued),small,0.699999988079071,0.7,0.7611,0.2389,0.567,ours,wildlife,0
Desert,Meganeura,meganeura,Megafauna,small,0.699999988079071,0.7,0.7594,0.2406,0.626,ours,wildlife,0
Desert,AA_OcularJelly,ocular jelly,Alpha Animals,small,0.5,0.7,0.7454,0.2546,0.413,ours,wildlife,0
Desert,JOE_Cephalope,cephalope,Cephaloids,med,1.2000000476837158,0.4,0.8965,0.1035,0.58,ours,wildlife,0
Desert,Toxalope,toxalope,Biotech,med,1.399999976158142,0.4,0.7882,0.2118,0.435,dormant,wildlife,0
Desert,GR_ParagonBoomalope,boomalope paragon,Vanilla Genetics Expanded,large,2.200000047683716,0.18,0.8829,0.1171,0.455,dormant,wildlife,0
Desert,GR_FleshGrowth,flesh growth,Vanilla Genetics Expanded,huge,5,0.315,0.8522,0.1478,0.65,dormant,wildlife,0
Desert,Megasloth,megasloth,Core,huge,4,0.315,0.9489,0.0511,0.5,ours,wildlife,0
Desert,Dinornis,dinornis,Megafauna,huge,5,0.315,0.9447,0.0553,0.5,ours,wildlife,0
Desert,AA_MatureFleshbeast,mature fleshbeast,Alpha Animals,SUPER,6,0.054,0.838,0.162,0.65,ours,wildlife,0
ExtremeDesert,Tooke,tooke,Star Wars Animal Collection (Continued),tiny,0.10000000149011612,1.0,0.9434,0.0566,0.603,ours,wildlife,0
ExtremeDesert,HermitCrab,hermit crab,Odyssey,tiny,0.20000000298023224,1.0,0.8144,0.1856,0.688,dormant,wildlife,0
ExtremeDesert,VFEI2_Boomtick,boomtick,Vanilla Factions Expanded - Insectoids 2,tiny,0.18000000715255737,1.0,0.8124,0.1876,0.905,dormant,wildlife,0
ExtremeDesert,Scurrier,scurrier,Star Wars Animal Collection (Continued),tiny,0.20000000298023224,1.0,0.8711,0.1289,0.555,ours,wildlife,0
ExtremeDesert,BMT_Glowtail,glowtail,Biomes! Polluted Lands,small,0.3199999928474426,0.7,0.8573,0.1427,0.548,dormant,wildlife,0
ExtremeDesert,BMT_BloodropMoth,bloodrop moth,Biomes! Caverns,small,0.7699999809265137,0.7,0.9357,0.0643,0.569,ours,wildlife,0
ExtremeDesert,VFEI2_Megathrips,megathrips,Vanilla Factions Expanded - Insectoids 2,small,0.3499999940395355,0.7,0.8303,0.1697,0.742,dormant,wildlife,0
ExtremeDesert,Sketto,sketto,Star Wars Animal Collection (Continued),small,0.4000000059604645,0.7,0.88,0.12,0.56,ours,wildlife,0
ExtremeDesert,StoneCrab,stone crab,Odyssey,small,0.30000001192092896,0.7,0.7754,0.2246,0.691,dormant,wildlife,0
ExtremeDesert,Stintaril,stintaril,Star Wars Animal Collection (Continued),small,0.5,0.7,0.874,0.126,0.613,foreign,wildlife,0
ExtremeDesert,Locust,locust,Odyssey,small,0.6000000238418579,0.7,0.7695,0.2305,0.615,dormant,wildlife,0
ExtremeDesert,VFEI2_Macrofly,macrofly,Vanilla Factions Expanded - Insectoids 2,med,0.800000011920929,0.4,0.8756,0.1244,0.67,dormant,wildlife,0
ExtremeDesert,BMT_ColonyPustuleHornetQueen,pustule queen,Biomes! Polluted Lands,med,1,0.4,0.865,0.135,0.625,dormant,wildlife,0
ExtremeDesert,BMT_PustuleHornetQueen,pustule queen,Biomes! Polluted Lands,med,1,0.4,0.865,0.135,0.625,dormant,wildlife,0
ExtremeDesert,VFEI2_Megawasp,megawasp,Vanilla Factions Expanded - Insectoids 2,med,1.350000023841858,0.4,0.8391,0.1609,0.704,dormant,wildlife,0
ExtremeDesert,Cannok,cannok,Star Wars Animal Collection (Continued),med,0.8500000238418579,0.4,0.9158,0.0842,0.581,ours,wildlife,0
ExtremeDesert,GR_Manscarab,manscarab,Vanilla Genetics Expanded,med,1,0.4,0.8136,0.1864,0.758,dormant,wildlife,0
ExtremeDesert,VFEI2_Fuelmite,fuelmite,Vanilla Factions Expanded - Insectoids 2,med,1.350000023841858,0.4,0.8135,0.1865,0.934,dormant,wildlife,0
ExtremeDesert,VFEI2_Hellbeetle,hellbeetle,Vanilla Factions Expanded - Insectoids 2,med,1.2000000476837158,0.4,0.7868,0.2132,0.93,dormant,wildlife,0
ExtremeDesert,VFEI2_Acidspitter,acidspitter,Vanilla Factions Expanded - Insectoids 2,large,1.7999999523162842,0.18,0.8557,0.1443,0.742,dormant,wildlife,0
ExtremeDesert,GR_ParagonInsectoid,insectoid paragon,Vanilla Genetics Expanded,large,2.5,0.18,0.8272,0.1728,0.829,dormant,wildlife,0
ExtremeDesert,VFEI2_Gigalocust,gigalocust,Vanilla Factions Expanded - Insectoids 2,large,2.200000047683716,0.18,0.8142,0.1858,0.862,dormant,wildlife,0
ExtremeDesert,Devourers,devourer,Star Wars Animal Collection (Continued),large,2.5,0.18,0.8969,0.1031,0.787,ours,wildlife,0
ExtremeDesert,AA_Dunealisk,dunealisk,Alpha Animals,large,2,0.18,0.8897,0.1103,0.85,ours,wildlife,0
ExtremeDesert,Falumpaset,falumpaset,Star Wars Animal Collection (Continued),huge,3,0.35,0.9629,0.0371,0.625,ours,wildlife,0
ExtremeDesert,KwazelMaw,kwazel maw,Star Wars Animal Collection (Continued),huge,4,0.35,0.9597,0.0403,0.733,ours,wildlife,0
ExtremeDesert,WarWyrm,war wyrm,Star Wars Animal Collection (Continued),SUPER,15,0.2,0.8299,0.1701,1.0,foreign,wildlife,0
ExtremeDesert,SWPotF_RaceDef_ysalamir,ysalamir,Star Wars KotOR Resources and Materials,small,0.4000000059604645,0.7,0.9283,0.0717,0.56,dormant,wildlife,0
ExtremeDesert,VFEI2_Queen,insectoid princess,Vanilla Factions Expanded - Insectoids 2,huge,4,0.35,0.7937,0.2063,0.8,dormant,wildlife,0
AB_MycoticJungle,Leaftail,leaf-tail,Star Wars Animal Collection (Continued),tiny,0.20000000298023224,1.0,0.8063,0.1937,0.555,ours,wildlife,0
AB_MycoticJungle,AM_UnshackledDryad,unshackled dryad,Alpha Memes,small,0.6669999957084656,0.7,0.9138,0.0862,0.617,dormant,wildlife,0
AB_MycoticJungle,WasteRat,waste rat,Biotech,small,0.30000001192092896,0.7,0.849,0.151,0.558,dormant,wildlife,0
AB_MycoticJungle,GR_Doedicoon,doedicoon,Vanilla Genetics Expanded,small,0.30000001192092896,0.7,0.7691,0.2309,0.691,dormant,wildlife,0
AB_MycoticJungle,BMT_Snowstalker,snowstalker,Biomes! Caverns,med,1,0.4,0.8952,0.1048,0.575,dormant,wildlife,0
AB_MycoticJungle,SW_Electricgryllotalpa,Electricgryllotalpa,Insectoids 2 - Isopoda geneline,med,1.5,0.4,0.8735,0.1265,0.938,dormant,wildlife,0
AB_MycoticJungle,GR_Thrumborat,thrumborat,Vanilla Genetics Expanded,med,1.5,0.4,0.8692,0.1308,0.554,dormant,wildlife,0
