defName,label,mod,bodySize,status,cluster,hue,sat,val,aspect,spiky
AA_AcanthamoebaGiganteaHuge,"acanthamoeba gigantea, huge",Alpha Animals,1.5,dormant,19,0.5676,0.248,0.53,1.125,1.124
AA_AcanthamoebaGiganteaLarge,"acanthamoeba gigantea, large",Alpha Animals,0.800000011920929,dormant,19,0.5676,0.248,0.53,1.125,1.124
AA_AcanthamoebaGiganteaSmall,"acanthamoeba gigantea, small",Alpha Animals,0.20000000298023224,ours,19,0.5676,0.248,0.53,1.125,1.124
AA_Aerofleet,aerofleet,Alpha Animals,0.20000000298023224,ours,19,0.5574,0.263,0.561,0.891,1.049
AA_Agaripawn,agaripawn,Alpha Animals,1.399999976158142,ours,4,0.9766,0.152,0.37,0.954,1.114
AA_Agaripod,agaripod,Alpha Animals,4,ours,3,0.9592,0.106,0.39,0.873,1.325
AA_AngelMoth,angel moth,Alpha Animals,0.75,ours,9,0.0762,0.224,0.451,1.11,1.92
AA_AngelMothLarva,angel moth larva,Alpha Animals,0.10000000149011612,ours,21,0.1723,0.352,0.296,0.458,1.075
AA_AnimaColossus,anima colossus,Alpha Animals,6,ours,4,0.1696,0.266,0.358,0.67,1.456
AA_Animalisk,animalisk,Alpha Animals,1,dormant,21,0.0912,0.311,0.229,0.713,1.168
AA_AnimusVox,animus vox,Alpha Animals,0.6499999761581421,ours,18,0.5493,0.078,0.555,0.484,1.514
AA_ArcticLion,arctic lion,Alpha Animals,2,ours,10,0.678,0.045,0.688,0.775,1.331
AA_Atispec,atispec,Alpha Animals,7,dormant,15,0.0033,0.472,0.397,0.616,2.346
AA_AuroraSylph,Aurora sylph,Alpha Animals,0.5,ours,9,0.8496,0.347,0.362,1.173,2.891
AA_Barbslinger,barbslinger,Alpha Animals,2.5,ours,9,0.113,0.317,0.409,0.893,1.604
AA_BedBug,bedbug,Alpha Animals,0.5,ours,14,0.0158,0.474,0.2,1.0,1.419
AA_Behemoth,Behemoth,Alpha Animals,8,dormant,2,0.1441,0.242,0.173,0.632,1.706
AA_BlackScarab,black scarab,Alpha Animals,0.30000001192092896,dormant,3,0.9584,0.091,0.217,0.625,1.087
AA_BlackSpelopede,black spelopede,Alpha Animals,1,dormant,3,0.9826,0.088,0.212,0.528,1.396
AA_BlackSpider,blackspider,Alpha Animals,1.5,dormant,3,0.9596,0.112,0.211,0.527,1.136
AA_Blizzarisk,blizzarisk,Alpha Animals,2,ours,10,0.7735,0.067,0.618,0.791,1.16
AA_BlizzariskClutchMother,blizzarisk clutch mother,Alpha Animals,3,dormant,10,0.759,0.101,0.634,0.74,1.282
AA_BloodShrimp,blood shrimp,Alpha Animals,1,ours,14,0.0554,0.455,0.341,1.125,1.629
AA_Bobeene,bobeene,Alpha Animals,2.0999999046325684,foreign,17,0.4288,0.142,0.585,0.757,1.369
AA_BoulderMit,bouldermit,Alpha Animals,4,ours,14,0.0461,0.314,0.376,0.989,0.936
AA_Bumbledrone,bumbledrone,Alpha Animals,0.7900000214576721,ours,9,0.0863,0.221,0.504,1.087,2.176
AA_BumbledroneHierophant,bumbledrone hierophant,Alpha Animals,0.7900000214576721,ours,9,0.0887,0.222,0.499,1.016,2.931
AA_BumbledroneQueen,bumbledrone queen,Alpha Animals,0.7900000214576721,dormant,9,0.0857,0.229,0.52,1.016,2.329
AA_Cactipine,cactipine,Alpha Animals,0.5,ours,23,0.1765,0.425,0.517,0.588,0.995
