defName,label,mod,intelligence,bodySize,status,px,w,h,aspect,fill,spiky,symmetry,hue,hue_conc,sat,val,contrast,hist,biomes_now
AA_AcanthamoebaGiganteaHuge,"acanthamoeba gigantea, huge",Alpha Animals,Animal,1.5,dormant,5371,90,80,1.125,0.746,1.124,0.995,0.5676,0.789,0.248,0.53,0.085,0.038 0.030 0.010 0.001 0.001 0.004 0.610 0.279 0.004 0.004 0.010 0.009,
AA_AcanthamoebaGiganteaLarge,"acanthamoeba gigantea, large",Alpha Animals,Animal,0.800000011920929,dormant,5371,90,80,1.125,0.746,1.124,0.995,0.5676,0.789,0.248,0.53,0.085,0.038 0.030 0.010 0.001 0.001 0.004 0.610 0.279 0.004 0.004 0.010 0.009,
AA_AcanthamoebaGiganteaSmall,"acanthamoeba gigantea, small",Alpha Animals,Animal,0.20000000298023224,ours,5371,90,80,1.125,0.746,1.124,0.995,0.5676,0.789,0.248,0.53,0.085,0.038 0.030 0.010 0.001 0.001 0.004 0.610 0.279 0.004 0.004 0.010 0.009,AB_FeraliskInfestedJungle|AB_GallatrossGraveyard|AB_GelatinousSuperorganism|AB_IdyllicMeadows|AB_MechanoidIntrusion|AB_MiasmicMangrove|AB_MycoticJungle|AB_OcularForest|AB_TarPits|AridShrubland|BMT_CrystalCaverns|BMT_FungalForest|BorealForest|ColdBog|Glowforest|Grasslands|IronScruff_PrimordialGeysers|TemperateForest|TemperateSwamp|TropicalRainforest|TropicalSwamp|Tundra|ZBiome_AlpineMeadow|ZBiome_Badlands|ZBiome_CloudForest|ZBiome_GlacialShield|ZBiome_Grasslands|ZBiome_Marsh
AA_Aerofleet,aerofleet,Alpha Animals,Animal,0.20000000298023224,ours,9785,106,119,0.891,0.776,1.049,0.998,0.5574,0.993,0.263,0.561,0.287,0.000 0.000 0.000 0.000 0.000 0.000 0.876 0.124 0.001 0.000 0.000 0.000,AB_FeraliskInfestedJungle|AB_GallatrossGraveyard|AB_GelatinousSuperorganism|AB_IdyllicMeadows|AB_MycoticJungle|AB_OcularForest|AB_PyroclasticConflagration|AB_TarPits|AridShrubland|BMT_CrystalCaverns|BMT_EarthenDepths|BMT_FungalForest|BorealForest|ColdBog|Desert|Glowforest|Grasslands|IronScruff_PrimordialGeysers|LavaField|PoisonForest|Savanna|TemperateForest|TemperateSwamp|TropicalRainforest|TropicalSwamp|Tundra|Volcano|Wasteland|Wetland|ZBiome_AlpineMeadow|ZBiome_Badlands|ZBiome_CloudForest|ZBiome_CoastalDunes|ZBiome_DesertOasis|ZBiome_GlacialShield|ZBiome_Grasslands|ZBiome_Marsh
AA_Agaripawn,agaripawn,Alpha Animals,Animal,1.399999976158142,ours,2966,62,65,0.954,0.736,1.114,0.922,0.9766,0.876,0.152,0.37,0.18,0.596 0.000 0.000 0.000 0.000 0.000 0.014 0.008 0.006 0.007 0.182 0.187,AB_MycoticJungle|BMT_FungalForest|Glowforest
AA_Agaripod,agaripod,Alpha Animals,Animal,4,ours,8453,96,110,0.873,0.8,1.325,0.962,0.9592,0.94,0.106,0.39,0.187,0.218 0.004 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.059 0.029 0.690,AB_MycoticJungle|BMT_FungalForest|Glowforest
AA_AngelMoth,angel moth,Alpha Animals,Animal,0.75,ours,6696,121,109,1.11,0.508,1.92,0.991,0.0762,0.872,0.224,0.451,0.316,0.456 0.430 0.001 0.000 0.000 0.000 0.012 0.011 0.006 0.033 0.002 0.049,AridShrubland|BorealForest|Desert|Grasslands|Scarlands|TemperateForest|TemperateSwamp|TropicalRainforest|TropicalSwamp|ZBiome_AlpineMeadow|ZBiome_Badlands|ZBiome_CloudForest|ZBiome_CoastalDunes|ZBiome_DesertOasis|ZBiome_Grasslands
AA_AngelMothLarva,angel moth larva,Alpha Animals,Animal,0.10000000149011612,ours,1200,27,59,0.458,0.753,1.075,0.961,0.1723,0.555,0.352,0.296,0.203,0.268 0.359 0.010 0.043 0.118 0.202 0.000 0.000 0.000 0.000 0.000 0.000,AridShrubland|BorealForest|Desert|Grasslands|Scarlands|TemperateForest|TemperateSwamp|TropicalRainforest|TropicalSwamp|ZBiome_AlpineMeadow|ZBiome_Badlands|ZBiome_CloudForest|ZBiome_CoastalDunes|ZBiome_DesertOasis|ZBiome_Grasslands
AA_AnimaColossus,anima colossus,Alpha Animals,Animal,6,ours,4238,65,97,0.67,0.672,1.456,0.851,0.1696,0.696,0.266,0.358,0.201,0.302 0.282 0.090 0.123 0.119 0.081 0.001 0.000 0.000 0.000 0.000 0.002,AB_FeraliskInfestedJungle|AB_GelatinousSuperorganism|AB_MycoticJungle|AB_OcularForest|BorealForest|ColdBog|Glowforest|Grasslands|TemperateForest|TemperateSwamp|TropicalRainforest|TropicalSwamp|ZBiome_AlpineMeadow|ZBiome_CloudForest|ZBiome_Marsh
AA_Animalisk,animalisk,Alpha Animals,Animal,1,dormant,5529,72,101,0.713,0.76,1.168,0.993,0.0912,0.954,0.311,0.229,0.149,0.339 0.605 0.015 0.010 0.021 0.003 0.002 0.000 0.000 0.000 0.000 0.005,
