defName,label,mod,bodySize,status,eligible,reason,defence
AA_AcanthamoebaGiganteaHuge,"acanthamoeba gigantea, huge",Alpha Animals,1.5,dormant,1,wildlife,0.438
AA_AcanthamoebaGiganteaLarge,"acanthamoeba gigantea, large",Alpha Animals,0.800000011920929,dormant,1,wildlife,0.42
AA_AcanthamoebaGiganteaSmall,"acanthamoeba gigantea, small",Alpha Animals,0.20000000298023224,ours,1,wildlife,0.405
AA_Aerofleet,aerofleet,Alpha Animals,0.20000000298023224,ours,1,wildlife,0.405
AA_Agaripawn,agaripawn,Alpha Animals,1.399999976158142,ours,1,wildlife,0.685
AA_Agaripod,agaripod,Alpha Animals,4,ours,1,wildlife,0.8
AA_AngelMoth,angel moth,Alpha Animals,0.75,ours,1,wildlife,0.419
AA_AngelMothLarva,angel moth larva,Alpha Animals,0.10000000149011612,ours,1,wildlife,0.403
AA_AnimaColossus,anima colossus,Alpha Animals,6,ours,1,wildlife,0.5
AA_Animalisk,animalisk,Alpha Animals,1,dormant,1,wildlife,0.675
AA_AnimusVox,animus vox,Alpha Animals,0.6499999761581421,ours,1,wildlife,0.566
AA_ArcticLion,arctic lion,Alpha Animals,2,ours,1,wildlife,0.6
AA_Atispec,atispec,Alpha Animals,7,dormant,1,wildlife,0.725
AA_AuroraSylph,Aurora sylph,Alpha Animals,0.5,ours,1,wildlife,0.413
AA_Barbslinger,barbslinger,Alpha Animals,2.5,ours,1,wildlife,0.796
AA_BedBug,bedbug,Alpha Animals,0.5,ours,1,wildlife,0.646
AA_Behemoth,Behemoth,Alpha Animals,8,dormant,1,wildlife,0.867
AA_BlackScarab,black scarab,Alpha Animals,0.30000001192092896,dormant,1,wildlife,0.791
AA_BlackSpelopede,black spelopede,Alpha Animals,1,dormant,1,wildlife,0.725
AA_BlackSpider,blackspider,Alpha Animals,1.5,dormant,1,wildlife,0.746
AA_Blizzarisk,blizzarisk,Alpha Animals,2,ours,1,wildlife,0.85
AA_BlizzariskClutchMother,blizzarisk clutch mother,Alpha Animals,3,dormant,1,wildlife,0.975
AA_BloodShrimp,blood shrimp,Alpha Animals,1,ours,1,wildlife,0.658
AA_Bobeene,bobeene,Alpha Animals,2.0999999046325684,foreign,1,wildlife,0.452
AA_BoulderMit,bouldermit,Alpha Animals,4,ours,1,wildlife,0.733
AA_Bumbledrone,bumbledrone,Alpha Animals,0.7900000214576721,ours,1,wildlife,0.42
AA_BumbledroneHierophant,bumbledrone hierophant,Alpha Animals,0.7900000214576721,ours,1,wildlife,0.42
AA_BumbledroneQueen,bumbledrone queen,Alpha Animals,0.7900000214576721,dormant,1,wildlife,0.42
AA_Cactipine,cactipine,Alpha Animals,0.5,ours,1,wildlife,0.562
AA_ChameleonYak,chameleon yak,Alpha Animals,2.5,ours,1,wildlife,0.463
AA_ChemfuelMyrmidon,chemfuel myrmidon,Alpha Animals,1.5,ours,1,wildlife,0.887
AA_Cinderlisk,cinderlisk,Alpha Animals,2.5,ours,1,wildlife,0.863
AA_ColossalAerofleet,colossal aerofleet,Alpha Animals,2,dormant,1,wildlife,0.45
AA_CrepuscularBeetle,Crepuscular Beetle,Alpha Animals,3,ours,1,wildlife,0.758
AA_CrescendoAnole,crescendo anole,Alpha Animals,0.30000001192092896,ours,1,wildlife,0.558
AA_CrystalMit,crystalmit,Alpha Animals,0.5,ours,1,wildlife,0.621
AA_CrystallineCaracal,crystalline caracal,Alpha Animals,0.800000011920929,dormant,1,wildlife,0.57
AA_DarkVandal,dark vandal,Alpha Animals,1.2000000476837158,ours,1,wildlife,0.58
AA_Darkbeast,darkbeast,Alpha Animals,1.5,ours,1,wildlife,0.488
AA_DecayDrake,decay drake,Alpha Animals,1,ours,1,wildlife,0.575
AA_DesertAve,desert ave,Alpha Animals,1,ours,1,wildlife,0.425
AA_DevilSheep,devil sheep,Alpha Animals,0.5,dormant,1,wildlife,0.413
AA_Drainer,drainer,Alpha Animals,0.5,ours,1,wildlife,0.413
AA_DrainerLarva,drainer larva,Alpha Animals,0.10000000149011612,ours,1,wildlife,0.403
AA_Dunealisk,dunealisk,Alpha Animals,2,ours,1,wildlife,0.85
AA_DunealiskClutchMother,dunealisk clutch mother,Alpha Animals,3,dormant,1,wildlife,0.975
AA_DuskProwler,dusk prowler,Alpha Animals,1.5,ours,1,wildlife,0.621
AA_DuskRat,dusk rat,Alpha Animals,0.15000000596046448,ours,1,wildlife,0.554
AA_EmpressButterfly,Empress butterfly,Alpha Animals,0.75,foreign,1,wildlife,0.419
AA_EmpressButterflyLarva,Empress butterfly larva,Alpha Animals,0.10000000149011612,foreign,1,wildlife,0.403
AA_EngorgedTentacularAberration,engorged tentacular aberration,Alpha Animals,6,dormant,1,wildlife,0.65
AA_Erin,erin,Alpha Animals,1,ours,1,wildlife,0.575
AA_Eyeling,ikee,Alpha Animals,0.4000000059604645,ours,1,wildlife,0.56
AA_Feralisk,feralisk,Alpha Animals,1,ours,1,wildlife,0.825
AA_FeraliskClutchMother,feralisk clutch mother,Alpha Animals,3,dormant,1,wildlife,0.975
AA_FireWasp,fire wasp,Alpha Animals,0.7900000214576721,ours,1,wildlife,0.736
AA_FissionMouse,fission mouse,Alpha Animals,0.5,ours,1,wildlife,0.413
AA_FissionMouseSecond,"fission mouse, second generation",Alpha Animals,0.5,dormant,1,wildlife,0.413
AA_FissionMouseThird,"fission mouse, third generation",Alpha Animals,0.5,dormant,1,wildlife,0.413
AA_FlamingoPhoenix,flamingo phoenix,Alpha Animals,0.6000000238418579,dormant,1,wildlife,0.415
AA_FrostAve,frost ave,Alpha Animals,1.2999999523162842,foreign,1,wildlife,0.432
AA_FrostLynx,frost lynx,Alpha Animals,2,dormant,1,wildlife,0.6
AA_FrostboundBehemoth,frostbound behemoth,Alpha Animals,3,ours,1,wildlife,0.642
AA_Frostling,frostling,Alpha Animals,1.5,ours,1,wildlife,0.621
AA_Frostmite,frostmite,Alpha Animals,0.5,ours,1,wildlife,0.613
AA_FungalHusk,fungal husk,Alpha Animals,1,dormant,1,wildlife,0.575
AA_Gallatross,gallatross,Alpha Animals,6,dormant,1,wildlife,0.5
AA_GallatrossMoribund,moribund gallatross,Alpha Animals,6,foreign,1,wildlife,0.5
AA_Genix,genix,Alpha Animals,2,dormant,1,wildlife,0.6
AA_GiantCrownedSilkie,giant crowned silkie,Alpha Animals,1.100000023841858,ours,1,wildlife,0.428
AA_Gigantelope,gigantelope,Alpha Animals,2,ours,1,wildlife,0.45
AA_GreatDevourer,great devourer,Alpha Animals,2.5,ours,1,wildlife,0.746
AA_GreenGoo,green goo,Alpha Animals,0.5,ours,1,wildlife,0.413
AA_GreyCoatedMouflon,Grey-Coated Mouflon,Alpha Animals,0.800000011920929,ours,1,wildlife,0.42
AA_Groundrunner,groundrunner,Alpha Animals,2,ours,1,wildlife,0.65
AA_Helixien,helixien,Alpha Animals,4,ours,1,wildlife,0.65
AA_InfectedAerofleet,infected aerofleet,Alpha Animals,0.20000000298023224,ours,1,wildlife,0.405
AA_IronhuskBeetle,ironhusk beetle,Alpha Animals,2.5,dormant,1,wildlife,0.713
AA_Junglelisk,junglelisk,Alpha Animals,1,ours,1,wildlife,0.825
AA_LarvalAtispec,larval atispec,Alpha Animals,0.10000000149011612,ours,1,wildlife,0.403
AA_Lockjaw,lockjaw,Alpha Animals,2.5,ours,1,wildlife,0.613
AA_Locusts,locusts,Alpha Animals,0.009999999776482582,dormant,1,wildlife,0.4
AA_LuciferBug,luciferbug,Alpha Animals,0.15000000596046448,ours,1,wildlife,0.654
AA_MammothWorm,mammoth worm,Alpha Animals,3,ours,1,wildlife,0.842
AA_Mantrap,mantrap,Alpha Animals,2,ours,1,wildlife,0.65
AA_MatureFleshbeast,mature fleshbeast,Alpha Animals,6,ours,1,wildlife,0.65
AA_MeadowAve,meadow ave,Alpha Animals,1.2000000476837158,ours,1,wildlife,0.43
AA_MegaLouse,megalouse,Alpha Animals,0.5,ours,1,wildlife,0.713
AA_Metallovore,metallovore,Alpha Animals,2,ours,1,wildlife,0.45
AA_Mime,mime,Alpha Animals,1,dormant,1,wildlife,0.575
AA_Murkling,murkling,Alpha Animals,0.3499999940395355,ours,1,wildlife,0.409
AA_MycoidColossus,mycoid colossus,Alpha Animals,6,ours,1,wildlife,0.5
AA_Needlepost,needlepost,Alpha Animals,0.7900000214576721,ours,1,wildlife,0.47
AA_Needleroll,needleroll,Alpha Animals,0.15000000596046448,ours,1,wildlife,0.429
AA_NightAve,night ave,Alpha Animals,1.100000023841858,ours,1,wildlife,0.578
AA_NightMule,nightmule,Alpha Animals,2.799999952316284,ours,1,wildlife,0.47
AA_NightRam,nightram,Alpha Animals,2.5,ours,1,wildlife,0.463
AA_Nightling,nightling,Alpha Animals,1,ours,1,wildlife,0.575
AA_OcularJelly,ocular jelly,Alpha Animals,0.5,ours,1,wildlife,0.413
AA_OcularNightling,ocular nightling,Alpha Animals,1.2000000476837158,dormant,1,wildlife,0.58
AA_OvergrownColossus,overgrown colossus,Alpha Animals,6,ours,1,wildlife,0.5
AA_PebbleMit,pebblemit,Alpha Animals,0.5,ours,1,wildlife,0.554
AA_PedigreedRaptor,pedigreed raptor,Alpha Animals,0.75,ours,1,wildlife,0.569
AA_PhoenixOwlcat,phoenix owlcat,Alpha Animals,0.20000000298023224,dormant,1,wildlife,0.555
AA_Plasmorph,plasmorph,Alpha Animals,1,ours,1,wildlife,0.742
AA_Radyak,radyak,Alpha Animals,2.5,ours,1,wildlife,0.463
AA_RaptorShrimp,raptor shrimp,Alpha Animals,1.399999976158142,ours,1,wildlife,0.702
AA_Ravager,ravager,Alpha Animals,2.5,ours,1,wildlife,0.796
AA_RayHound,ray-hound,Alpha Animals,1.5,ours,1,wildlife,0.638
AA_Razorjack,razorjack,Alpha Animals,1,ours,1,wildlife,0.575
AA_RedGoo,red goo,Alpha Animals,0.5,ours,1,wildlife,0.413
AA_RedSpore,red spore,Alpha Animals,2,ours,1,wildlife,0.5
AA_RipperHound,ripper hound,Alpha Animals,1.5,ours,1,wildlife,0.654
AA_RoughPlatedMonitor,rough-plated monitor,Alpha Animals,2,ours,1,wildlife,0.75
AA_RoyalAve,royal ave,Alpha Animals,1.100000023841858,ours,1,wildlife,0.428
AA_SandLion,sand lion,Alpha Animals,2,ours,1,wildlife,0.6
AA_SandProwler,sand prowler,Alpha Animals,2,ours,1,wildlife,0.6
AA_SandSquid,sand squid,Alpha Animals,2,ours,1,wildlife,0.683
AA_ShadowCharger,shadow charger,Alpha Animals,2.5,ours,1,wildlife,0.463
AA_ShockGoat,shock goat,Alpha Animals,0.6499999761581421,ours,1,wildlife,0.416
AA_Skiphound,skiphound,Alpha Animals,0.7900000214576721,ours,1,wildlife,0.57
AA_Skyeel,arcturan sky eel,Alpha Animals,0.25,dormant,1,wildlife,0.473
AA_Slurrypede,slurrypede,Alpha Animals,2,ours,1,wildlife,0.833
AA_SmallButterfly,small butterflies,Alpha Animals,0.009999999776482582,dormant,1,wildlife,0.55
AA_SpinedGow,spined gow,Alpha Animals,2.75,ours,1,wildlife,0.469
AA_SummitCrab,summit crab,Alpha Animals,15,dormant,1,wildlife,0.8
AA_Swarmling,swarmling,Alpha Animals,0.30000001192092896,ours,1,wildlife,0.558
AA_TarGuzzler,tar guzzler,Alpha Animals,2,ours,1,wildlife,0.45
AA_TeratogenicOriginator,teratogenic originator,Alpha Animals,5,ours,1,wildlife,0.5
AA_Terramorph,terramorph,Alpha Animals,1.5,ours,1,wildlife,0.646
AA_TetraSlug,tetra slug,Alpha Animals,5,ours,1,wildlife,0.65
AA_Thermadon,thermadon,Alpha Animals,1.5,ours,1,wildlife,0.746
AA_Thunderbeast,thunderbeast,Alpha Animals,1.5,ours,1,wildlife,0.488
AA_Thunderox,thunderox,Alpha Animals,2.5,ours,1,wildlife,0.463
AA_UnblinkingEye,unblinking eye,Alpha Animals,7,dormant,1,wildlife,0.817
AA_Wildpawn,wildpawn,Alpha Animals,1.399999976158142,ours,1,wildlife,0.685
AA_Wildpod,wildpod,Alpha Animals,4,ours,1,wildlife,0.8
AA_WindBeast,windbeast,Alpha Animals,1.5,ours,1,wildlife,0.488
AG_OcularSlinger,ocular slinger,Alpha Genes,2.5,dormant,1,wildlife,0.796
AM_Apoptosis,apoptosis,Alpha Mechs,1,dormant,0,mechanoid_flesh,0.525
AM_Aura,aura,Alpha Mechs,1,dormant,0,mechanoid_flesh,0.525
AM_Blitzkrieg,blitzkrieg,Alpha Mechs,0.699999988079071,dormant,0,mechanoid_flesh,0.517
AM_Daggersnout,daggersnout,Alpha Mechs,1,dormant,0,mechanoid_flesh,0.525
AM_Demolisher,demolisher,Alpha Mechs,4,dormant,0,mechanoid_flesh,0.6
AM_Dryad_Corruptor,corruptor dryad,Alpha Memes,0.6669999957084656,dormant,1,wildlife,0.467
AM_Dryad_Ocular,ocular dryad,Alpha Memes,0.6669999957084656,dormant,1,wildlife,0.467
AM_Dryad_Spitter,spitter dryad,Alpha Memes,0.6499999761581421,dormant,1,wildlife,0.583
AM_Dryad_Tumorous,tumorous dryad,Alpha Memes,0.6669999957084656,dormant,1,wildlife,0.467
AM_Dryad_Unstable,unstable dryad,Alpha Memes,0.6499999761581421,dormant,1,wildlife,0.466
AM_Fireworm,fireworm,Alpha Mechs,1.7999999523162842,dormant,0,mechanoid_flesh,0.545
AM_Goliath,goliath,Alpha Mechs,1.7999999523162842,dormant,0,mechanoid_flesh,0.545
AM_Infernus,infernus,Alpha Mechs,4,dormant,0,mechanoid_flesh,0.6
AM_Mech_Artilleron,artilleron,Alpha Mechs,0.949999988079071,dormant,0,mechanoid_flesh,0.524
AM_Mech_Bellicor,bellicor,Alpha Mechs,0.949999988079071,dormant,0,mechanoid_flesh,0.524
AM_Mech_Geneticor,geneticor,,0.699999988079071,dormant,0,mechanoid_flesh,0.517
AM_Mech_Guttersnipe,guttersnipe,Alpha Mechs,0.699999988079071,dormant,0,mechanoid_flesh,0.517
AM_Mech_Legate,legate,Alpha Mechs,3.5999999046325684,dormant,0,mechanoid_flesh,0.59
AM_Mech_Lux,lux,Alpha Mechs,1,dormant,0,mechanoid_flesh,0.525
AM_Mech_MasterChef,culinarius,Alpha Mechs,0.699999988079071,dormant,0,mechanoid_flesh,0.517
AM_Mech_Munifex,munifex,Alpha Mechs,1,dormant,0,mechanoid_flesh,0.525
AM_Mech_Optio,optio,Alpha Mechs,1,dormant,0,mechanoid_flesh,0.525
AM_Mech_Polychoron,polychoron,Alpha Mechs,1.2000000476837158,dormant,0,mechanoid_flesh,0.53
AM_Mech_PristineAssembler,pristine assembler,Alpha Mechs,2,dormant,0,mechanoid_flesh,0.55
AM_Mech_PristineSlurrypede,pristine slurrypede,Alpha Mechs,2,dormant,0,mechanoid_flesh,0.55
AM_Mech_Sagittarius,sagittarius,Alpha Mechs,1,dormant,0,mechanoid_flesh,0.525
AM_Mech_TurboCleaner,turbocleaner,Alpha Mechs,0.20000000298023224,dormant,0,mechanoid_flesh,0.505
AM_Phalanx,phalanx,Alpha Mechs,1.7000000476837158,dormant,0,mechanoid_flesh,0.543
AM_PristineStrider,pristine strider,Alpha Mechs,1,dormant,0,mechanoid_flesh,0.525
AM_Siegebreaker,siegebreaker,Alpha Mechs,4,dormant,0,mechanoid_flesh,0.6
AM_Siegemelter,siegemelter,Alpha Mechs,4,dormant,0,mechanoid_flesh,0.6
AM_Starfire,starfire,Alpha Mechs,4,dormant,0,mechanoid_flesh,0.6
AM_UnshackledDryad,unshackled dryad,Alpha Memes,0.6669999957084656,dormant,1,wildlife,0.617
AM_WarEmpress,war empress,Alpha Mechs,5,dormant,0,mechanoid_flesh,0.6
AV_Balloon,Balloon,Alpha Vehicles - Neolithic,5,dormant,0,vehicle_or_automaton,0.3
AV_Chariot,Chariot,Alpha Vehicles - Neolithic,2,dormant,0,vehicle_or_automaton,0.283
AV_CoveredCarriage,Covered Carriage,Alpha Vehicles - Neolithic,2.5,dormant,0,vehicle_or_automaton,0.363
AV_DogSled,eopie sled,Alpha Vehicles - Neolithic,2,dormant,0,vehicle_or_automaton,0.283
AV_Hwacha,Hwacha,Alpha Vehicles - Neolithic,1,dormant,0,vehicle_or_automaton,0.258
AV_OutriggerCanoe,Outrigger Canoe,Alpha Vehicles - Neolithic,1.5499999523162842,dormant,0,vehicle_or_automaton,0.272
AV_OxCart,Ox cart,Alpha Vehicles - Neolithic,4,dormant,0,vehicle_or_automaton,0.367
AV_Palanquin,Palanquin,Alpha Vehicles - Neolithic,1,dormant,0,vehicle_or_automaton,0.225
AV_Rickshaw,Rickshaw,Alpha Vehicles - Neolithic,1,dormant,0,vehicle_or_automaton,0.225
AV_RowBoat,Row boat,Alpha Vehicles - Neolithic,1,dormant,0,vehicle_or_automaton,0.225
AV_WarChariot,War chariot,Alpha Vehicles - Neolithic,2.5,dormant,0,vehicle_or_automaton,0.296
AV_Wheelbarrow,Wheelbarrow,Alpha Vehicles - Neolithic,1,dormant,0,vehicle_or_automaton,0.258
Acklay,acklay,Star Wars Animal Collection (Continued),3,ours,1,wildlife,0.725
Aiwha,aiwha,Star Wars Animal Collection (Continued),3,foreign,1,wildlife,0.625
Akk,akk,Star Wars Animal Collection (Continued),3,ours,1,wildlife,0.75
Alligator,alligator,Odyssey,1.5,dormant,1,wildlife,0.588
AlligatorMan,alligator man,Beasts of the Rim (Continued),1,dormant,1,wildlife,0.575
Alpaca,alpaca,Core,1,ours,1,wildlife,0.425
AlphaThrumbo,alpha thrumbo,Odyssey,5,dormant,1,wildlife,0.783
Alphabeaver,alphabeaver,Core,0.44999998807907104,dormant,1,wildlife,0.411
Andrewsarchus,andrewsarchus,Megafauna,5,dormant,1,wildlife,0.65
Anooba,anooba,Star Wars Animal Collection (Continued),0.949999988079071,ours,1,wildlife,0.574
Armadillo,armadillo,Beasts of the Rim (Continued),0.550000011920929,dormant,1,wildlife,0.564
Arthropleura,arthropleura,Megafauna,3.5,ours,1,wildlife,0.571
Aurochs,aurochs,Megafauna,3,dormant,1,wildlife,0.475
BI_Queen,queen,Better Infestations (Continued),1.7999999523162842,dormant,1,wildlife,0.745
BMT_AaroxisDendoria,aaroxis dendoria,Biomes! Caverns,1,ours,1,wildlife,0.425
BMT_AaroxisDendoriaLarvae,cinnabar caterpillar,Biomes! Caverns,0.800000011920929,ours,1,wildlife,0.42
BMT_AaroxisDendoriaPupa,aaroxis dendoria pupa,Biomes! Caverns,1,dormant,1,wildlife,0.625
BMT_AcidSlug,acid slug,Biomes! Caverns,4,dormant,1,wildlife,0.883
BMT_BarbedPangolin,barbed pangolin,Biomes! Polluted Lands,2,dormant,1,wildlife,0.582
BMT_Basilisk,basilisk,Biomes! Caverns,1.5,dormant,1,wildlife,0.588
BMT_Batbird,batbird,Biomes! Caverns,0.25,dormant,1,wildlife,0.556
BMT_BeardedYak,bearded yak,Biomes! Caverns,2.0999999046325684,dormant,1,wildlife,0.452
BMT_BiliousVarog,bilious varog,Biomes! Polluted Lands,2.4000000953674316,dormant,1,wildlife,0.767
BMT_BloodletterPetrel,bloodletter petrel,Biomes! Polluted Lands,0.3199999928474426,dormant,1,wildlife,0.548
BMT_BloodropLarvae,bloodrop larvae,Biomes! Caverns,0.699999988079071,ours,1,wildlife,0.567
BMT_BloodropMoth,bloodrop moth,Biomes! Caverns,0.7699999809265137,ours,1,wildlife,0.569
BMT_BloodropPupa,bloodrop pupa,Biomes! Caverns,1,dormant,1,wildlife,0.625
BMT_BovineBeetle,bovine beetle,Biomes! Caverns,2.450000047683716,ours,1,wildlife,0.536
BMT_BovineBeetleLarvae,bovine grub,Biomes! Caverns,0.8999999761581421,ours,1,wildlife,0.572
BMT_BovineBeetlePupa,bovine pupa,Biomes! Caverns,1,dormant,1,wildlife,0.708
BMT_BrownBat,brown bat,Biomes! Caverns,0.25,dormant,1,wildlife,0.556
BMT_BunkerBug,bunker bug,Biomes! Polluted Lands,4,dormant,1,wildlife,0.917
BMT_CactusCrab,cactus crab,Biomes! Caverns,2.4000000953674316,dormant,1,wildlife,0.718
BMT_CarrionVulture,carrion vulture,Biomes! Polluted Lands,0.3199999928474426,dormant,1,wildlife,0.548
BMT_CaveCricket,cave cricket,Biomes! Caverns,0.800000011920929,ours,1,wildlife,0.687
BMT_CaveLemming,cave lemming,Biomes! Caverns,1,dormant,1,wildlife,0.425
BMT_CaveSpider,cave spider,Biomes! Caverns,4,ours,1,wildlife,0.9
BMT_ChemSnail,chem snail,Biomes! Caverns,0.4000000059604645,ours,1,wildlife,0.41
BMT_ColonyPustuleHornet,pustule hornet,Biomes! Polluted Lands,0.3199999928474426,dormant,1,wildlife,0.608
BMT_ColonyPustuleHornetQueen,pustule queen,Biomes! Polluted Lands,1,dormant,1,wildlife,0.625
BMT_Creature_Mantrap,mantrap,Biomes! Polluted Lands,0.7699999809265137,dormant,1,wildlife,0.559
BMT_CrestedDragon,crested dragon,Biomes! Caverns,0.699999988079071,dormant,1,wildlife,0.567
BMT_CrystalBeetle,crystalback beetle,Biomes! Caverns,2.450000047683716,ours,1,wildlife,0.506
BMT_CrystalBeetleLarvae,crystalback grub,Biomes! Caverns,0.8999999761581421,ours,1,wildlife,0.422
BMT_CrystalBeetlePupa,crystalback pupa,Biomes! Caverns,1,dormant,1,wildlife,0.567
BMT_CrystalCrab,crystal crab,Biomes! Caverns,2.4000000953674316,ours,1,wildlife,0.718
BMT_CrystalFairyMole,crystal fairy mole,Biomes! Caverns,0.8600000143051147,ours,1,wildlife,0.422
BMT_CrystalMantis,crystal mimic mantis,Biomes! Caverns,2,ours,1,wildlife,0.767
BMT_Crystalope,crystalope,Biomes! Caverns,2,ours,1,wildlife,0.45
BMT_DarkAxolotl,dark axolotl,Biomes! Caverns,1,dormant,1,wildlife,0.575
BMT_Diggerpede,diggerpede,Biomes! Caverns,1.5,dormant,1,wildlife,0.687
BMT_FacetMoth,facet moth,Biomes! Caverns,0.7699999809265137,ours,1,wildlife,0.419
BMT_FacetMothLarvae,crystalline caterpillar,Biomes! Caverns,0.699999988079071,ours,1,wildlife,0.417
BMT_FacetMothPupa,facet pupa,Biomes! Caverns,1,dormant,1,wildlife,0.625
BMT_FamineLocust,famine locust,Biomes! Polluted Lands,0.3199999928474426,dormant,1,wildlife,0.608
BMT_FenridStoat,fenrid stoat,Biomes! Polluted Lands,1.399999976158142,dormant,1,wildlife,0.575
BMT_FireSalamander,fire salamander,Biomes! Caverns,1.25,foreign,1,wildlife,0.598
BMT_FleeceSpider,fleece spider,Biomes! Caverns,0.3199999928474426,dormant,1,wildlife,0.608
BMT_FoundryBeetle,foundry beetle,Biomes! Caverns,2.4000000953674316,foreign,1,wildlife,0.66
BMT_FoundryBeetleLarvae,foundry grub,Biomes! Caverns,1.7999999523162842,dormant,1,wildlife,0.445
BMT_FoundryBeetlePupa,foundry pupa,Biomes! Caverns,1,dormant,1,wildlife,0.692
BMT_FreezerFrog,freezer frog,Biomes! Caverns,0.75,dormant,1,wildlife,0.569
BMT_FrostweaverSpider,frostweaver,Biomes! Caverns,2.4000000953674316,dormant,1,wildlife,0.735
BMT_FungalFerret,fungal ferret,Biomes! Caverns,0.5,ours,1,wildlife,0.562
BMT_FungalMantis,fungal mimic mantis,Biomes! Caverns,2,ours,1,wildlife,0.767
BMT_FungalWeevil,fungal weevil,Biomes! Caverns,0.5,ours,1,wildlife,0.613
BMT_GastroToad,gastro toad,Biomes! Polluted Lands,0.30000001192092896,dormant,1,wildlife,0.548
BMT_Gembug,gembug,Biomes! Caverns,0.33500000834465027,ours,1,wildlife,0.558
BMT_GiantSlug,giant slug,Biomes! Caverns,1.7000000476837158,ours,1,wildlife,0.509
BMT_GiantSnail,giant snail,Biomes! Caverns,2.5999999046325684,ours,1,wildlife,0.573
BMT_GlarralPenguin,glarral penguin,Biomes! Caverns,1,dormant,1,wildlife,0.425
BMT_GlowBat,bioluminescent bat,Biomes! Caverns,0.25,ours,1,wildlife,0.406
BMT_GlowSlug,glowslug,Biomes! Caverns,0.4000000059604645,ours,1,wildlife,0.48
BMT_Glowtail,glowtail,Biomes! Polluted Lands,0.3199999928474426,dormant,1,wildlife,0.548
BMT_GoetoTadpole,goeto tadpole,Biomes! Caverns,0.10000000149011612,dormant,1,wildlife,0.403
BMT_GoetoToad,goeto toad,Biomes! Caverns,0.30000001192092896,ours,1,wildlife,0.558
BMT_HoarfrostMastodon,hoarfrost mastodon,Biomes! Caverns,3.5,dormant,1,wildlife,0.488
BMT_HungeringHydra,hungering hydra,Biomes! Caverns,5.5,dormant,1,wildlife,0.817
BMT_ImperialToad,imperial toad,Biomes! Caverns,0.30000001192092896,dormant,1,wildlife,0.558
BMT_Jellypot,jellypot,Biomes! Caverns,0.6499999761581421,dormant,1,wildlife,0.676
BMT_JewelBeetle,jewel beetle,Biomes! Caverns,2.450000047683716,dormant,1,wildlife,0.506
BMT_JewelBeetleLarvae,jewel grub,Biomes! Caverns,0.8999999761581421,dormant,1,wildlife,0.422
BMT_JewelBeetlePupa,jewel pupa,Biomes! Caverns,1,dormant,1,wildlife,0.567
BMT_LandOctopus,terrestrial octopus,Biomes! Core,0.800000011920929,dormant,1,wildlife,0.57
BMT_MaceDrake,mace drake,Biomes! Caverns,3.5,dormant,1,wildlife,0.704
BMT_Maguana,maguana,Biomes! Caverns,2.0999999046325684,foreign,1,wildlife,0.452
BMT_Maligoat,maligoat,Biomes! Polluted Lands,1,dormant,1,wildlife,0.415
BMT_Maxolotl,maxolotl,Biomes! Core,2.4000000953674316,ours,1,wildlife,0.61
BMT_Megabat,megabat,Biomes! Caverns,2.200000047683716,dormant,1,wildlife,0.605
BMT_Megakrill,megakrill,Biomes! Polluted Lands,0.20000000298023224,dormant,1,wildlife,0.455
BMT_Megaphorid,megaphorid,Biomes! Polluted Lands,0.6000000238418579,dormant,1,wildlife,0.615
