defName,label,mod,melee,cut,weaponTags,weaponClasses,marketValue,stuff
AG_ForsakenSpear,forsaken spear,Alpha Genes,melee,,WForsaken|Ultratech|ForsakenMelee|NeolithicMeleeBasic|NeolithicMeleeDecent,RangedHeavy,,
BMT_BunkerClaw,bunker bug claw,Biomes! Polluted Lands,melee,,MedievalMeleeDecent|NeolithicMeleeAdvanced|NeolithicMeleeDecent,Melee|MeleePiercer,800,
BMT_CaveSpiderHead,cave spider head,Biomes! Caverns,melee,,MedievalMeleeDecent|NeolithicMeleeAdvanced|NeolithicMeleeDecent,Melee|MeleePiercer,200,
BMT_CrystalMantisClaw,crystal mimic mantis claw,Biomes! Caverns,melee,,NeolithicMeleeBasic|NeolithicMeleeDecent,Melee|MeleePiercer,150,
BMT_FungalMantisClaw,fungal mimic mantis claw,Biomes! Caverns,melee,,NeolithicMeleeBasic|NeolithicMeleeDecent,Melee|MeleePiercer,150,
BMT_ResourceBlueCrystal,crystal,Biomes! Caverns,melee,,NeolithicMeleeBasic|NeolithicMeleeDecent,Melee|MeleeBlunt|Neolithic,1,
BMT_Toxwood,tox wood,Biomes! Polluted Lands,melee,,NeolithicMeleeBasic|NeolithicMeleeDecent,Melee|MeleeBlunt|Neolithic,1,
BS_GiantHammer,giant primitive hammer,Big and Small - Genes & More,melee,,NeolithicMeleeGiant|NeolithicMeleeBasic|NeolithicMeleeDecent,BS_GiantWeapon,,Stony
BS_GiantSalvageClub,giant salvage club,Big and Small - Weapons,melee,,NeolithicMeleeGiant|NeolithicMeleeBasic|NeolithicMeleeDecent,BS_GiantWeapon,,
BS_GiantShard,giant shard knife,Big and Small - Weapons,melee,,NeolithicMeleeGiant|NeolithicMeleeBasic|NeolithicMeleeDecent,BS_GiantWeapon,,Metallic|Woody|Stony
BS_OgreClub,giant club,Big and Small - Genes & More,melee,,NeolithicMeleeGiant|NeolithicMeleeBasic|NeolithicMeleeDecent,BS_GiantWeapon,,Metallic|Woody|Stony
GS_Gaffi,Gaffi stick,Star Wars KotOR Resources and Materials,melee,,KotORMelee|SandClub|NeolithicMeleeBasic|NeolithicMeleeDecent,Melee|Ultratech,100,Metallic|Woody|Stony
