defName,label,mod,packageId,isTree,treeCategory,growDays,harvestedThingDef,tilesReachable,biomes,mutators,routes
Plant_GrayGrass,gray grass,Biotech,ludeon.rimworld.biotech,False,None,2.5,,14678,AB_FeraliskInfestedJungle|AB_GelatinousSuperorganism|AB_MiasmicMangrove|AB_MycoticJungle|AB_PropaneLakes|AB_PyroclasticConflagration|AB_TarPits|AridShrubland|Desert|ExtremeDesert|LavaField|Scarlands|Wasteland|ZBiome_Badlands|ZBiome_DesertOasis|ZBiome_Grasslands,Oasis,biome+mutator
Plant_Agave,agave,Core,ludeon.rimworld,False,None,6,RawAgave,11002,AridShrubland|Desert|ExtremeDesert|HorrorWastes|LavaField|Wasteland|ZBiome_DesertOasis,,biome
Plant_PebbleCactus,pebble cactus,Biotech,ludeon.rimworld.biotech,True,Full,28,WoodLog,9648,AB_TarPits|AridShrubland|Desert|ExtremeDesert|LavaField|ZBiome_Badlands|ZBiome_DesertOasis|ZBiome_Grasslands,,biome
Plant_PincushionCactus,pincushion cactus,Core,ludeon.rimworld,False,None,2.5,,9591,AridShrubland|Desert|ExtremeDesert|LavaField|ZBiome_Badlands|ZBiome_DesertOasis|ZBiome_Grasslands,,biome
RG_FlowerCactus,flower cactus,ReGrowth 2,regrowth.botr.core,False,None,2.5,,9576,AridShrubland|Desert|ExtremeDesert|ZBiome_Badlands|ZBiome_DesertOasis|ZBiome_Grasslands,,biome
RG_Plant_AridGrass,grass,ReGrowth 2,regrowth.botr.core,False,None,2.5,,9349,AridShrubland|Desert|ExtremeDesert|ZBiome_Badlands|ZBiome_Grasslands,,biome
Plant_TreeDrago,drago tree,Core,ludeon.rimworld,True,Full,15,WoodLog,9046,AridShrubland|Desert|ExtremeDesert|LavaField|ZBiome_DesertOasis|ZBiome_Grasslands,,biome
Plant_SaguaroCactus,saguaro cactus,Core,ludeon.rimworld,True,Full,5,WoodLog,8798,AridShrubland|Desert|ExtremeDesert|ZBiome_DesertOasis,,biome
BMT_Plant_Pestia,pestia,Biomes! Polluted Lands,biomesteam.biomespollutedlands,False,None,5,,8571,AridShrubland|Desert|ExtremeDesert,,biome
BMT_Plant_PlagueFans,plague fans,Biomes! Polluted Lands,biomesteam.biomespollutedlands,False,None,4,,8571,AridShrubland|Desert|ExtremeDesert,,biome
