defName,label,mod,isTree,treeCategory,purpose,growDays,harvestedThingDef,minGrowthTemp,maxGrowthTemp,minOptTemp,maxOptTemp,fertilityMin,ignoresFertility,cavePlant,pollution,wildOrder,wildClusterRadius,sowTags,texPath
Plant_Fibershroom,Fiber shroom,,False,None,Misc,19,shroomfiber,0,58,6,42,0.10000000149011612,False,True,CleanOnly,2,-1,Ground|Hydroponic|BMT_Fungiponics,Things/Plants/FiberShroom
Plant_Giantshroom,Giant shroom,,False,None,Misc,16,RawFungus,0,58,6,42,0.10000000149011612,False,True,CleanOnly,2,-1,Ground|Hydroponic|BMT_Fungiponics,Things/Plants/GiantShroom
Plant_Healshroom,Heal shroom,,False,None,Misc,7,MedicineHerbal,0,58,6,42,0.10000000149011612,False,True,CleanOnly,2,-1,Ground|Hydroponic|BMT_Fungiponics,Things/Plants/HealShroom
Plant_Jellyshroom,Jelly shroom,,False,None,Misc,9,InsectJelly,0,58,6,42,0.10000000149011612,False,True,CleanOnly,2,-1,Ground|Hydroponic|BMT_Fungiponics,Things/Plants/JellyShroom
Plant_Meatshroom,Meatshroom,,False,None,Misc,6,Meat_Megaspider,0,58,6,42,0.10000000149011612,False,True,CleanOnly,2,-1,Ground|Hydroponic|BMT_Fungiponics,Things/Plants/MeatShroom
Plant_Microshroom,Micro shroom,,False,None,Misc,3,RawFungus,0,58,6,42,0.10000000149011612,False,True,CleanOnly,2,-1,Ground|Hydroponic|BMT_Fungiponics,Things/Plants/MicroShroom
Plant_Timbercap,Timbercap,,False,None,Misc,15,WoodLog,0,58,6,42,0.10000000149011612,False,True,CleanOnly,2,-1,Ground|Hydroponic|BMT_Fungiponics,Things/Plant/Timbershroom
PlantTallYellowGrass,tall grass,Advanced Biomes (Continued),False,None,Misc,3,,0,58,6,42,0.4000000059604645,False,False,CleanOnly,2,-1,,Plant/YellowGrass
PoisonAlocasia,poison alocasia,Advanced Biomes (Continued),False,None,Misc,3,,0,58,6,42,0.699999988079071,False,False,CleanOnly,2,4,,Plant/PoisonAlocasia
PoisonBrambles,poison brambles,Advanced Biomes (Continued),False,None,Misc,3,,0,58,6,42,0.699999988079071,False,False,CleanOnly,2,4,,Plant/PoisonBrambles
PoisonMushroom,wild mushroom,Advanced Biomes (Continued),False,None,Misc,3,RawPoisonMushroom,0,58,6,42,0.699999988079071,False,False,CleanOnly,2,3,,Plant/PoisonMushroom
PoisonPlantBush,bush,Advanced Biomes (Continued),False,None,Misc,3,,0,58,6,42,0.699999988079071,False,False,CleanOnly,2,4,,Plant/PoisonBush
PoisonPlantDandelion,dandelions,Advanced Biomes (Continued),False,None,Beauty,2.5,,0,58,6,42,0.05000000074505806,False,False,CleanOnly,1,4,Ground,Plant/PoisonDandelion
