tile,lat,lon,arc,elev_m,rain_mm,biome,region,hilliness,source_rule
777,-7.6333,-47.6515,48.11,861.0,60.0,ZBiome_Badlands,Cratercrown,4,scald_core
1316,-15.6498,-44.1726,46.32,1208.0,0.0,Volcano,Cratercrown,5,scald_core
1317,-11.6402,-45.8941,47.03,1204.0,0.0,LavaField,Cratercrown,5,scald_core
1321,-15.9276,-39.5513,42.14,1143.0,0.0,Volcano,Cratercrown,5,scald_core
2936,-14.5426,-41.6497,43.67,501.0,0.0,Volcano,Cratercrown,4,scald_core
2937,-13.1125,-43.7643,45.3,550.0,60.0,ZBiome_Badlands,Cratercrown,4,scald_core
7044,5.0917,-47.376,47.58,202.0,60.0,ZBiome_Badlands,Cratercrown,4,scald_core
7045,6.4801,-45.3518,45.71,164.0,60.0,ZBiome_Badlands,Cratercrown,4,scald_core
7076,-14.1791,-46.2826,47.93,1227.0,0.0,Volcano,Cratercrown,5,scald_core
7077,-12.6947,-48.3642,49.6,1167.0,0.0,LavaField,Cratercrown,5,scald_core
7084,-10.1696,-47.9789,48.78,1546.0,0.0,LavaField,Cratercrown,5,scald_core
7101,-17.3007,-37.4117,40.68,2001.0,0.0,Volcano,Cratercrown,5,scald_core
7107,-17.0864,-42.0599,44.79,1177.0,0.0,Volcano,Cratercrown,5,scald_core
7108,-18.5041,-39.9142,43.34,1307.0,0.0,Volcano,Cratercrown,5,scald_core
11904,6.4027,-46.7929,47.13,715.0,54.0,ZBiome_Badlands,Cratercrown,4,scald_core
11944,-8.9578,-47.0746,47.72,861.0,60.0,ZBiome_Badlands,Cratercrown,4,scald_core
11947,-6.3228,-48.2175,48.53,780.0,60.0,ZBiome_Badlands,Cratercrown,4,scald_core
15176,-14.4427,-43.1872,45.08,1190.0,0.0,Volcano,Cratercrown,5,scald_core
15177,-14.3185,-44.7363,46.51,1446.0,0.0,Volcano,Cratercrown,5,scald_core
15181,-15.7645,-42.6238,44.92,1306.0,0.0,Volcano,Cratercrown,5,scald_core
15184,-12.9818,-45.3101,46.74,1354.0,0.0,LavaField,Cratercrown,5,scald_core
15185,-12.8429,-46.843,48.17,1427.0,0.0,LavaField,Cratercrown,5,scald_core
15186,-10.2955,-46.4865,47.36,914.0,60.0,ZBiome_Badlands,Cratercrown,5,scald_core
15187,-11.5048,-47.4102,48.46,1539.0,0.0,LavaField,Cratercrown,5,scald_core
15206,-15.8572,-41.083,43.52,1170.0,0.0,Volcano,Cratercrown,5,scald_core
15207,-14.6119,-40.1346,42.29,1018.0,0.0,Volcano,Cratercrown,4,scald_core
15208,-14.6572,-38.6331,40.91,483.0,0.0,Volcano,Cratercrown,4,scald_core
15209,-15.9773,-38.0274,40.77,1131.0,0.0,Volcano,Cratercrown,5,scald_core
15210,-17.1775,-40.5055,43.41,1448.0,0.0,Volcano,Cratercrown,5,scald_core
15211,-17.2485,-38.9564,42.04,1685.0,0.0,Volcano,Cratercrown,5,scald_core
17290,-11.3621,-48.9128,49.88,1250.0,0.0,LavaField,Cratercrown,5,scald_core
17339,-3.695,-50.7074,50.8,333.0,60.0,ZBiome_Badlands,Cratercrown,4,scald_core
17340,-5.0267,-48.7734,48.97,398.0,60.0,ZBiome_Badlands,Cratercrown,4,scald_core
17349,3.7952,-47.9526,48.07,76.0,60.0,ZBiome_Badlands,Cratercrown,4,scald_core
17353,5.0267,-48.7734,48.97,507.0,54.0,ZBiome_Badlands,Cratercrown,4,scald_core
17357,5.1547,-45.962,46.19,79.0,60.0,ZBiome_Badlands,Cratercrown,4,scald_core
21322,-18.5737,-38.3492,41.98,1426.0,0.0,Volcano,Cratercrown,5,scald_core
21323,-18.624,-36.7893,40.63,1650.0,0.0,Volcano,Cratercrown,5,scald_core
143,-6.5828,-67.4227,67.58,1387.0,193.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
259,-22.6644,-50.4835,54.04,1202.0,417.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
313,0.0,64.3501,64.35,1923.0,395.0,AridShrubland,Ashfall Range,4,widened_elev1200_rain
322,0.0,-64.3501,64.35,1228.0,22.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
768,-25.0081,-58.9084,62.1,1229.0,212.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
769,-17.7856,-56.7341,58.51,1687.0,103.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
1305,-15.1987,-65.8436,66.74,1296.0,198.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
1308,-20.8671,-60.2043,62.33,1457.0,318.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
1309,-16.662,-61.3574,62.66,1613.0,26.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
1598,-4.1506,64.0154,64.09,1213.0,403.0,AridShrubland,Ashfall Range,4,widened_elev1200_rain
1612,-9.6587,59.1065,59.59,1617.0,66.0,AridShrubland,Ashfall Range,4,widened_elev1200_rain
1659,-4.1506,-64.0154,64.09,1667.0,220.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
1662,-10.8379,-66.678,67.12,1461.0,276.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
1664,-9.6587,-59.1065,59.59,1303.0,129.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
1666,-13.6742,-57.9594,58.97,1286.0,26.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
2033,-15.9109,-25.8424,30.06,1702.0,49.0,ZBiome_Badlands,Dune Sea,4,widened_elev1200_rain
2394,0.0,38.6948,38.69,1388.0,6.0,ExtremeDesert,Dune Sea,4,widened_elev1200_rain
2545,-1.3154,-18.6106,18.66,1419.0,49.0,ZBiome_Badlands,Anvil,4,widened_elev1200_rain
2928,-19.0885,-62.1756,63.83,1329.0,396.0,AridShrubland,Dew Horn,4,widened_elev1200_rain
2929,-17.1971,-64.0547,65.29,1298.0,220.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
3279,-4.3227,-66.4021,66.47,1590.0,238.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
3282,-8.5822,-65.8265,66.11,1627.0,253.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
3976,-25.181,-51.0694,55.34,1340.0,15.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
3977,-23.5273,-53.25,56.73,1670.0,80.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
3978,-21.0514,-52.6207,55.49,1310.0,207.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
4299,-2.0308,63.1103,63.13,2190.0,8.0,AB_OcularForest,Ashfall Range,4,widened_elev1200_rain
4300,-2.1202,65.3845,65.4,1506.0,40.0,AridShrubland,Ashfall Range,4,widened_elev1200_rain
4302,2.1202,65.3845,65.4,1317.0,134.0,AridShrubland,Ashfall Range,4,widened_elev1200_rain
4312,-3.9585,61.713,61.79,1312.0,4.0,AridShrubland,Ashfall Range,4,widened_elev1200_rain
4356,-2.1202,-65.3845,65.4,1533.0,304.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
4360,-6.0883,-62.514,62.68,1615.0,160.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
4361,-7.919,-60.8732,61.18,1466.0,136.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
4731,-5.2862,-20.9351,21.56,1341.0,54.0,ZBiome_Badlands,Dune Sea,4,widened_elev1200_rain
4733,-9.1882,-18.6876,20.75,1819.0,38.0,ZBiome_Badlands,Dune Sea,4,widened_elev1200_rain
6226,-13.1672,-21.1005,24.71,1338.0,43.0,ZBiome_Badlands,Dune Sea,4,widened_elev1200_rain
6228,-14.5397,-23.4672,27.39,1581.0,49.0,ZBiome_Badlands,Dune Sea,4,widened_elev1200_rain
6607,1.3378,40.8204,40.84,1242.0,8.0,ExtremeDesert,Fall Line,4,widened_elev1200_rain
6696,-16.1447,51.4119,53.19,1363.0,9.0,ExtremeDesert,Ashfall Range,4,widened_elev1200_rain
7010,-14.7711,-63.1978,64.15,1608.0,334.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
7012,-12.8253,-64.9693,65.64,1636.0,263.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
7014,-10.1303,-61.611,62.09,1775.0,89.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
7015,-11.9257,-59.8157,60.53,1549.0,78.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
7030,-26.7658,-56.7712,60.71,1226.0,298.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
7033,-22.5953,-58.1615,60.85,1548.0,15.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
7036,-16.0539,-58.6854,60.04,1650.0,280.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
7037,-15.3712,-56.0399,57.41,1210.0,26.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
7038,-19.4297,-54.7052,56.98,1495.0,143.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
8139,-5.1245,-67.5573,67.65,1384.0,178.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
8141,-8.0026,-67.2051,67.44,1405.0,226.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
8142,-7.1837,-66.0774,66.28,1597.0,254.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
8143,-5.7637,-66.2691,66.4,1596.0,304.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
8836,-24.0419,-49.9471,54.01,1323.0,169.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
8837,-23.7951,-51.601,55.37,1433.0,338.0,AridShrubland,Dew Horn,4,widened_elev1200_rain
8838,-22.4183,-52.1178,55.41,1341.0,337.0,AridShrubland,Dew Horn,4,widened_elev1200_rain
9158,-0.677,63.2016,63.2,2177.0,4.0,AB_OcularForest,Ashfall Range,4,widened_elev1200_rain
9159,-1.3839,64.2956,64.3,2117.0,271.0,AB_OcularForest,Ashfall Range,4,widened_elev1200_rain
9160,-0.7068,65.4631,65.47,1627.0,552.0,AridShrubland,Ashfall Range,4,widened_elev1200_rain
9161,0.7068,65.4631,65.47,1456.0,151.0,AridShrubland,Ashfall Range,4,widened_elev1200_rain
9162,1.3839,64.2956,64.3,1538.0,26.0,AridShrubland,Ashfall Range,4,widened_elev1200_rain
9163,0.677,63.2016,63.2,1645.0,6.0,AridShrubland,Ashfall Range,4,widened_elev1200_rain
9218,-5.286,-61.4681,61.6,1290.0,257.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
9220,-6.6063,-61.1883,61.4,1352.0,364.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
9581,7.947,-22.5054,23.8,1254.0,1390.0,ZBiome_Grasslands,Dune Sea,4,widened_elev1200_rain
9592,-6.594,-20.1854,21.19,1674.0,49.0,ZBiome_Badlands,Dune Sea,4,widened_elev1200_rain
9593,-7.8949,-19.4364,20.92,2101.0,43.0,ZBiome_Badlands,Dune Sea,4,widened_elev1200_rain
11086,-14.495,-21.9192,26.08,1205.0,43.0,ZBiome_Badlands,Dune Sea,4,widened_elev1200_rain
11871,-12.8676,-60.9223,61.72,1803.0,48.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
11872,-13.3381,-63.5171,64.28,1727.0,303.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
11875,-11.4911,-61.2701,61.9,1826.0,54.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
11890,-25.3662,-57.2464,60.73,1383.0,336.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
11892,-23.9757,-57.7096,60.78,1463.0,395.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
11893,-23.6202,-59.3515,62.16,1334.0,252.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
11897,-16.4116,-57.1549,58.65,1503.0,26.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
11898,-18.0827,-55.1662,57.11,1434.0,239.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
11899,-16.7296,-55.6109,57.25,1369.0,336.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
12413,-1.3236,62.0596,62.07,1307.0,30.0,AridShrubland,Ashfall Range,4,widened_elev1200_rain
12415,-2.6413,61.9233,61.96,1481.0,7.0,AridShrubland,Ashfall Range,4,widened_elev1200_rain
12806,2.6254,-17.8473,18.03,1226.0,43.0,ZBiome_Badlands,Anvil,4,widened_elev1200_rain
12830,-3.9592,-20.1568,20.53,1390.0,49.0,ZBiome_Badlands,Dune Sea,4,widened_elev1200_rain
12834,-5.268,-19.4023,20.08,1749.0,49.0,ZBiome_Badlands,Dune Sea,4,widened_elev1200_rain
15111,-15.7286,-64.3669,65.39,1404.0,251.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
15114,-14.2704,-64.6714,65.51,1526.0,275.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
15115,-13.733,-66.1277,66.85,1393.0,260.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
15128,-21.8674,-61.3978,63.62,1231.0,254.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
15129,-20.4872,-61.7964,63.72,1296.0,279.0,AridShrubland,Dew Horn,4,widened_elev1200_rain
15130,-22.2426,-59.7844,62.24,1414.0,343.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
15133,-19.4791,-60.6063,62.44,1514.0,387.0,AridShrubland,Dew Horn,4,widened_elev1200_rain
15134,-18.0772,-60.9904,62.55,1570.0,26.0,AridShrubland,Dew Horn,4,widened_elev1200_rain
15135,-17.6611,-62.5323,63.93,1391.0,394.0,AridShrubland,Dew Horn,4,widened_elev1200_rain
15136,-16.2167,-62.8711,64.03,1505.0,320.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
16845,2.5783,45.7731,45.83,1219.0,11.0,Desert,Fall Line,4,widened_elev1200_rain
16850,1.312,43.6305,43.65,1428.0,16.0,ExtremeDesert,Fall Line,4,widened_elev1200_rain
16852,1.3265,42.2286,42.25,1505.0,12.0,ExtremeDesert,Fall Line,4,widened_elev1200_rain
16870,-3.3842,62.9515,63.0,1628.0,42.0,AridShrubland,Ashfall Range,4,widened_elev1200_rain
16871,-2.7675,64.1741,64.21,1720.0,967.0,AridShrubland,Ashfall Range,4,widened_elev1200_rain
16872,-4.7369,62.7489,62.85,1288.0,19.0,AridShrubland,Ashfall Range,4,widened_elev1200_rain
16952,-10.0336,57.6722,58.23,1314.0,5.0,AridShrubland,Ashfall Range,4,widened_elev1200_rain
16954,-8.709,58.0687,58.48,1233.0,24.0,AridShrubland,Ashfall Range,4,widened_elev1200_rain
16955,-8.3382,59.4782,59.83,1205.0,16.0,AridShrubland,Ashfall Range,4,widened_elev1200_rain
16956,-9.2425,60.5312,60.95,1204.0,24.0,AridShrubland,Ashfall Range,4,widened_elev1200_rain
16957,-10.578,60.1764,60.73,1342.0,113.0,AridShrubland,Ashfall Range,4,widened_elev1200_rain
17232,-1.4804,-68.9266,68.93,1271.0,98.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
17237,-2.7675,-64.1741,64.21,1473.0,409.0,AridShrubland,Dew Horn,4,widened_elev1200_rain
17238,-3.3842,-62.9515,63.0,1344.0,26.0,AridShrubland,Dew Horn,4,widened_elev1200_rain
17239,-4.7369,-62.7489,62.85,1517.0,221.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
17252,-10.2471,-68.0787,68.45,1239.0,103.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
17253,-9.4139,-66.9466,67.27,1444.0,211.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
17254,-12.2785,-66.4054,66.98,1445.0,289.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
17255,-11.6983,-67.8254,68.31,1249.0,138.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
17256,-11.396,-65.2618,65.78,1686.0,204.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
17257,-9.9829,-65.5495,65.94,1656.0,230.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
17261,-7.4381,-62.2463,62.5,1686.0,136.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
17263,-8.7834,-61.9425,62.3,1763.0,75.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
17266,-9.2425,-60.5312,60.95,1489.0,148.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
17267,-8.3382,-59.4782,59.83,1288.0,152.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
17268,-10.578,-60.1764,60.73,1528.0,116.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
17269,-10.9879,-58.73,59.37,1300.0,123.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
17276,-12.3254,-58.3482,59.16,1291.0,171.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
17278,-14.6665,-59.0713,60.18,1575.0,253.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
17279,-13.2887,-59.4475,60.35,1515.0,224.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
17280,-15.0373,-57.5619,58.8,1372.0,26.0,ZBiome_Badlands,Dew Horn,4,widened_elev1200_rain
19288,-10.5136,-19.4855,22.04,1902.0,43.0,ZBiome_Badlands,Dune Sea,4,widened_elev1200_rain
19289,-11.8401,-20.2896,23.37,1374.0,43.0,ZBiome_Badlands,Dune Sea,4,widened_elev1200_rain
19477,-13.2093,-22.6462,26.04,1651.0,49.0,ZBiome_Badlands,Dune Sea,4,widened_elev1200_rain
