defName,mod,package_id,bodySize,mass,drawSize,meleeDPS_best,tools,wildness,moveSpeed,mass_per_body,dps_per_body
AA_AcanthamoebaGiganteaHuge,Alpha Animals,sarg.alphaanimals,1.5,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),10.0,pseudopods:12/1.2000000476837158,0.41999998688697815,2,40.0,6.67
AA_AcanthamoebaGiganteaLarge,Alpha Animals,sarg.alphaanimals,0.800000011920929,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),6.67,pseudopods:8/1.2000000476837158,0.41999998688697815,1.75,75.0,8.33
AA_AcanthamoebaGiganteaSmall,Alpha Animals,sarg.alphaanimals,0.20000000298023224,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),3.33,pseudopods:4/1.2000000476837158,0.41999998688697815,1.5,300.0,16.67
AA_Aerofleet,Alpha Animals,sarg.alphaanimals,0.20000000298023224,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),2.8,?:7/2.5|tentacles:4/1.649999976158142,0.6000000238418579,2.8399999141693115,300.0,14.0
AA_Agaripawn,Alpha Animals,sarg.alphaanimals,1.399999976158142,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),5.5,left paw:11/2|right paw:11/2|?:6/1.649999976158142|head:3/1.649999976158142,0.75,4,42.9,3.93
AA_Agaripod,Alpha Animals,sarg.alphaanimals,4,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),11.5,left paw:23/2|right paw:23/2|?:15/1.649999976158142|head:6/1.649999976158142,0.8999999761581421,2.5,15.0,2.88
AA_AngelMoth,Alpha Animals,sarg.alphaanimals,0.75,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),12.5,?:15/1.2000000476837158,0.6499999761581421,3,80.0,16.67
AA_AngelMothLarva,Alpha Animals,sarg.alphaanimals,0.10000000149011612,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),2.5,head:5/2,0.699999988079071,2,600.0,25.0
AA_AnimaColossus,Alpha Animals,sarg.alphaanimals,6,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),10.81,?:20/1.850000023841858|head:15/1.649999976158142,0.9100000262260437,2,10.0,1.8
AA_Animalisk,Alpha Animals,sarg.alphaanimals,1,60,UNMEASURED (field not captured by dump; remedy: widen measure/dumpdb.py capture or inheritance-resolved XML sweep),9.09,left first leg:12/1.5|right first leg:12/1.5|?:15/1.649999976158142|head:10/1.649999976158142,0.8999999761581421,4,60.0,9.09
