defName,bodySize,best_tool_index,best_tool_label,best_tool_capacities,old_power,old_cooldown,old_dps,new_power,new_cooldown,new_dps,is_herbivore,raise_revenge,manhunterOnDamageChance_present,manhunterOnDamageChance_old,manhunterOnDamageChance_new,manhunterOnTameFailChance_present,manhunterOnTameFailChance_old,manhunterOnTameFailChance_new,exempt
Dewback,3.0,1,head,Blunt,15.0,2.0,7.5,45.0,2.6,17.31,False,False,True,0.25,,True,0.05,,
Rancor,6.0,2,teeth,Bite,30.0,2.0,15.0,90.0,3.67,24.52,False,False,True,1.0,,True,0.5,,
Bantha,4.0,0,horns,Scratch+Stab,23.0,2.4,9.58,60.0,3.0,20.0,True,True,True,0.35,0.9,True,0.05,0.4,
Nexu,2.5,2,teeth,Bite,15.0,2.0,7.5,37.5,2.37,15.82,False,False,True,1.0,,True,0.35,,
Acklay,3.0,0,,Cut+Stab,20.0,2.0,10.0,45.0,2.6,17.31,False,False,True,1.0,,True,0.40,,
Tauntaun,1.0,3,head,Blunt,13.0,2.6,5.0,15.0,1.5,10.0,False,False,True,0.5,,True,0,,
KraytDragon,12.0,2,teeth,Bite,30.0,2.0,15.0,180.0,5.2,34.62,False,False,True,1.0,,True,0.30,,
Reek,3.0,0,horn,Stab,19.0,2.0,9.5,45.0,2.6,17.31,False,False,True,1.0,,True,0.30,,
Nerf,2.0,1,,Bite,8.8,2.6,3.38,30.0,2.12,14.15,True,True,True,0.35,0.9,True,0.05,0.4,
Gizka,0.18,2,,Bite,4.0,2.6,1.54,4.0,2.6,1.54,False,False,False,,,False,,,bs<1
Porg,0.18,1,beak,Bite,3.0,2.0,1.5,3.0,2.0,1.5,False,False,False,,,False,,,bs<1
Vulptex,0.55,2,cute little teeth,Bite,4.8,2.0,2.4,4.8,2.0,2.4,False,False,False,,,False,,,bs<1
Wampa,6.0,2,teeth,Bite,30.0,2.0,15.0,90.0,3.67,24.52,False,False,True,1.0,,True,0.5,,
Akk,3.0,0,teeth,Bite,20.0,2.0,10.0,45.0,2.6,17.31,False,False,True,1.00,,True,0.30,,
Aiwha,3.0,1,head,Blunt,15.0,2.0,7.5,45.0,2.6,17.31,False,False,True,0.25,,True,0.10,,
Anooba,0.95,2,,Bite,16.0,2.0,8.0,16.0,2.0,8.0,False,False,True,1.00,,True,0.30,,bs<1
