pawnKindDef,raceThingDef,appears,cut,intelligence
AA_AcanthamoebaGiganteaHuge,AA_AcanthamoebaGiganteaHuge,biomes:AB_MechanoidIntrusion=0.4000000059604645,,Animal
AA_AcanthamoebaGiganteaLarge,AA_AcanthamoebaGiganteaLarge,biomes:Scarlands=0.4000000059604645,,Animal
AA_AcanthamoebaGiganteaSmall,AA_AcanthamoebaGiganteaSmall,biomes:AB_MechanoidIntrusion=1;Scarlands=1;AB_GelatinousSuperorganism=0.10000000149011612;AridShrubland=0.009999999776482582;ZBiome_Badlands=0.004999999888241291;AB_FeraliskInfestedJungle=0.004999999888241291;ZBiome_Grasslands=0.004999999888241291;AB_MiasmicMangrove=0.004999999888241291;AB_MycoticJungle=0.0010000000474974513;AB_TarPits=0.0010000000474974513;AB_OcularForest=0.0010000000474974513,,Animal
AA_Aerofleet,AA_Aerofleet,biomes:AridShrubland=1;ZBiome_Grasslands=0.30000001192092896;ZBiome_Badlands=0.20000000298023224;Desert=0.10000000149011612;ZBiome_DesertOasis=0.10000000149011612;AB_GelatinousSuperorganism=0.10000000149011612;AB_TarPits=0.10000000149011612;AB_OcularForest=0.10000000149011612;AB_MycoticJungle=0.05000000074505806;Wasteland=0.05000000074505806;PoisonForest=0.05000000074505806;AB_PyroclasticConflagration=0.05000000074505806;Volcano=0.05000000074505806;LavaField=0.05000000074505806;AB_FeraliskInfestedJungle=0.009999999776482582,,Animal
AA_Agaripawn,AA_Agaripawn,biomes:ZBiome_Badlands=0.4000000059604645;AB_MycoticJungle=0.07000000029802322,,Animal
AA_Agaripod,AA_Agaripod,biomes:AB_MycoticJungle=0.5,,Animal
AA_AngelMoth,AA_AngelMoth,biomes:AB_OcularForest=0.699999988079071;ZBiome_Grasslands=0.07500000298023224;AridShrubland=0.05000000074505806;Desert=0.05000000074505806;ZBiome_DesertOasis=0.05000000074505806;Scarlands=0.03999999910593033;ZBiome_Badlands=0.03500000014901161,,Animal
AA_AngelMothLarva,AA_AngelMothLarva,biomes:ZBiome_Grasslands=0.07500000298023224;AridShrubland=0.05000000074505806;Desert=0.05000000074505806;ZBiome_DesertOasis=0.05000000074505806;Scarlands=0.03999999910593033;ZBiome_Badlands=0.03500000014901161,,Animal
AA_AnimaColossus,AA_AnimaColossus,biomes:BMT_FungalForest=0.00800000037997961;AB_MycoticJungle=0.007000000216066837;AB_FeraliskInfestedJungle=0.007000000216066837;AB_GelatinousSuperorganism=0.007000000216066837;AB_OcularForest=0.007000000216066837,,Animal
AA_Animalisk,AA_Animalisk,biomes:AB_FeraliskInfestedJungle=0.4000000059604645;LavaField=0.4000000059604645,,Animal
AA_AnimusVox,AA_AnimusVox,biomes:AB_MycoticJungle=0.05000000074505806;PoisonForest=0.05000000074505806;AB_FeraliskInfestedJungle=0.05000000074505806;Volcano=0.05000000074505806;ZBiome_Badlands=0.02500000037252903;AB_MiasmicMangrove=0.019999999552965164;AB_TarPits=0.019999999552965164;AridShrubland=0.009999999776482582;Wasteland=0.009999999776482582;AB_PyroclasticConflagration=0.009999999776482582;LavaField=0.009999999776482582;ZBiome_Grasslands=0.004999999888241291,,Animal
AA_ArcticLion,AA_ArcticLion,biomes:AB_PropaneLakes=0.18000000715255737,,Animal
AA_Atispec,AA_Atispec,biomes:Wasteland=0.20000000298023224,,Animal
AA_AuroraSylph,AA_AuroraSylph,biomes:PoisonForest=0.699999988079071;BMT_CrystalCaverns=0.699999988079071;ZBiome_Badlands=0.014999999664723873;ZBiome_Grasslands=0.014999999664723873;AridShrubland=0.009999999776482582;Desert=0.009999999776482582;ZBiome_DesertOasis=0.009999999776482582;Scarlands=0.009999999776482582;LavaField=0.009999999776482582,,Animal
AA_Barbslinger,AA_Barbslinger,biomes:AridShrubland=0.5;Desert=0.30000001192092896;ZBiome_DesertOasis=0.30000001192092896;ZBiome_Grasslands=0.18000000715255737;ExtremeDesert=0.10000000149011612;Wasteland=0.05000000074505806;AB_TarPits=0.019999999552965164,,Animal
AA_BedBug,AA_BedBug,biomes:PoisonForest=0.699999988079071;AB_PropaneLakes=0.699999988079071;ZBiome_Badlands=0.014999999664723873;AridShrubland=0.009999999776482582;ZBiome_Grasslands=0.004999999888241291,,Animal
AA_Behemoth,AA_Behemoth,biomes:PoisonForest=0.027000000700354576,,Animal
AA_BlackScarab,AA_BlackScarab,biomes:BMT_FungalForest=0.699999988079071;AB_PyroclasticConflagration=0.699999988079071,,Animal
AA_BlackSpelopede,AA_BlackSpelopede,biomes:AB_MechanoidIntrusion=0.4000000059604645;Volcano=0.4000000059604645,,Animal
AA_BlackSpider,AA_BlackSpider,biomes:PoisonForest=0.4000000059604645;AB_PyroclasticConflagration=0.4000000059604645,,Animal
AA_Blizzarisk,AA_Blizzarisk,biomes:AB_PropaneLakes=0.18000000715255737,,Animal
AA_BloodShrimp,AA_BloodShrimp,biomes:ZBiome_DesertOasis=0.4000000059604645;AB_MiasmicMangrove=0.07000000029802322;AB_OcularForest=0.07000000029802322;AridShrubland=0.05000000074505806;Wasteland=0.05000000074505806;Scarlands=0.05000000074505806;ZBiome_Grasslands=0.02500000037252903;PoisonForest=0.009999999776482582;ZBiome_Badlands=0.009999999776482582;AB_FeraliskInfestedJungle=0.009999999776482582;Volcano=0.009999999776482582,,Animal
AA_Bobeene,AA_Bobeene,biomes:AB_TarPits=0.18000000715255737,,Animal
AA_BoulderMit,AA_BoulderMit,biomes:PoisonForest=0.10000000149011612;Volcano=0.10000000149011612;Desert=0.07000000029802322;AB_MycoticJungle=0.07000000029802322;AB_FeraliskInfestedJungle=0.07000000029802322;ZBiome_DesertOasis=0.07000000029802322;ExtremeDesert=0.05000000074505806;AridShrubland=0.05000000074505806;Wasteland=0.05000000074505806;AB_PyroclasticConflagration=0.05000000074505806;LavaField=0.05000000074505806;ZBiome_Grasslands=0.02500000037252903;ZBiome_Badlands=0.012500000186264515;AB_PropaneLakes=0.009999999776482582;AB_MechanoidIntrusion=0.009999999776482582;AB_GelatinousSuperorganism=0.009999999776482582;Scarlands=0.009999999776482582;AB_MiasmicMangrove=0.009999999776482582;AB_TarPits=0.009999999776482582;AB_OcularForest=0.009999999776482582,,Animal
AA_Bumbledrone,AA_Bumbledrone,biomes:ZBiome_Badlands=0.699999988079071;AB_TarPits=0.699999988079071;ZBiome_Grasslands=0.10499999672174454;AridShrubland=0.07000000029802322;Desert=0.07000000029802322;AB_MycoticJungle=0.07000000029802322;ZBiome_DesertOasis=0.07000000029802322;AB_GelatinousSuperorganism=0.07000000029802322;PoisonForest=0.05000000074505806;AB_FeraliskInfestedJungle=0.05000000074505806;AB_MiasmicMangrove=0.019999999552965164;Wasteland=0.009999999776482582;Scarlands=0.009999999776482582;Volcano=0.009999999776482582,,Animal
AA_BumbledroneHierophant,AA_BumbledroneHierophant,biomes:ZBiome_Badlands=0.699999988079071;AB_TarPits=0.699999988079071;ZBiome_Grasslands=0.014999999664723873;AridShrubland=0.009999999776482582,,Animal
AA_BumbledroneQueen,AA_BumbledroneQueen,biomes:Desert=0.699999988079071;ZBiome_DesertOasis=0.699999988079071,,Animal
AA_Cactipine,AA_Cactipine,biomes:ZBiome_Grasslands=0.75;AB_MechanoidIntrusion=0.699999988079071;AridShrubland=0.5;ExtremeDesert=0.07000000029802322;Desert=0.07000000029802322;ZBiome_DesertOasis=0.07000000029802322,,Animal
AA_ChameleonYak,AA_ChameleonYak,biomes:ZBiome_Grasslands=0.22499999403953552;AB_GelatinousSuperorganism=0.18000000715255737;AridShrubland=0.15000000596046448;Desert=0.07000000029802322;ZBiome_DesertOasis=0.07000000029802322;ZBiome_Badlands=0.02500000037252903;ExtremeDesert=0.019999999552965164;Scarlands=0.009999999776482582,,Animal
AA_ChemfuelMyrmidon,AA_ChemfuelMyrmidon,biomes:AB_PyroclasticConflagration=0.5;LavaField=0.5;AB_MechanoidIntrusion=0.4000000059604645,,Animal
AA_Cinderlisk,AA_Cinderlisk,biomes:AB_PyroclasticConflagration=0.5;LavaField=0.5;AB_MechanoidIntrusion=0.18000000715255737;Volcano=0.10000000149011612;AB_MycoticJungle=0.07000000029802322;AB_FeraliskInfestedJungle=0.07000000029802322;AB_GelatinousSuperorganism=0.07000000029802322;ExtremeDesert=0.05000000074505806;Desert=0.05000000074505806;Wasteland=0.05000000074505806;ZBiome_DesertOasis=0.05000000074505806;AB_MiasmicMangrove=0.05000000074505806;ZBiome_Grasslands=0.04500000178813934;AridShrubland=0.029999999329447746;AB_OcularForest=0.009999999776482582,,Animal
AA_ColossalAerofleet,AA_ColossalAerofleet,biomes:Wasteland=0.18000000715255737,,Animal
AA_CrepuscularBeetle,AA_CrepuscularBeetle,biomes:AB_RockyCrags=0.699999988079071,,Animal
AA_CrescendoAnole,AA_CrescendoAnole,biomes:AB_FeraliskInfestedJungle=0.699999988079071;AB_GelatinousSuperorganism=0.699999988079071;AridShrubland=0.03999999910593033;Desert=0.029999999329447746;ZBiome_DesertOasis=0.029999999329447746;ExtremeDesert=0.019999999552965164;ZBiome_Grasslands=0.019999999552965164;Scarlands=0.009999999776482582;AB_TarPits=0.009999999776482582;AB_PyroclasticConflagration=0.009999999776482582;AB_MiasmicMangrove=0.004999999888241291,,Animal
AA_CrystalMit,AA_CrystalMit,biomes:AB_PropaneLakes=0.699999988079071;Volcano=0.5;Desert=0.07000000029802322;Wasteland=0.07000000029802322;ZBiome_DesertOasis=0.07000000029802322;ExtremeDesert=0.05000000074505806;AridShrubland=0.05000000074505806;AB_MycoticJungle=0.029999999329447746;AB_FeraliskInfestedJungle=0.029999999329447746;AB_PyroclasticConflagration=0.029999999329447746;LavaField=0.029999999329447746;ZBiome_Grasslands=0.02500000037252903;ZBiome_Badlands=0.009999999776482582;Scarlands=0.009999999776482582;AB_TarPits=0.009999999776482582;AB_OcularForest=0.009999999776482582,,Animal
AA_DarkVandal,AA_DarkVandal,biomes:AB_RockyCrags=0.30000001192092896;ZBiome_Grasslands=0.014999999664723873;ZBiome_Badlands=0.012500000186264515;AridShrubland=0.009999999776482582;Desert=0.009999999776482582;ZBiome_DesertOasis=0.009999999776482582;Scarlands=0.004999999888241291,,Animal
AA_Darkbeast,AA_Darkbeast,biomes:AB_PropaneLakes=0.4000000059604645;BMT_CrystalCaverns=0.4000000059604645;AB_RockyCrags=0.009999999776482582;Scarlands=0.004999999888241291,,Animal
AA_DecayDrake,AA_DecayDrake,biomes:AB_GelatinousSuperorganism=0.4000000059604645;PoisonForest=0.05000000074505806;AB_FeraliskInfestedJungle=0.05000000074505806;AB_MiasmicMangrove=0.019999999552965164;Scarlands=0.004999999888241291,,Animal
AA_DesertAve,AA_DesertAve,biomes:Desert=0.800000011920929;ZBiome_DesertOasis=0.800000011920929;AridShrubland=0.4000000059604645;ZBiome_Grasslands=0.4000000059604645;ExtremeDesert=0.25,,Animal
AA_Drainer,AA_Drainer,biomes:AB_GelatinousSuperorganism=0.699999988079071;AB_MycoticJungle=0.05000000074505806;AB_FeraliskInfestedJungle=0.05000000074505806;AB_OcularForest=0.05000000074505806;ZBiome_Badlands=0.014999999664723873;ZBiome_Grasslands=0.014999999664723873;AridShrubland=0.009999999776482582;Desert=0.009999999776482582;ZBiome_DesertOasis=0.009999999776482582;AB_TarPits=0.009999999776482582;AB_PyroclasticConflagration=0.009999999776482582,,Animal
AA_DrainerLarva,AA_DrainerLarva,biomes:AB_MycoticJungle=0.05000000074505806;AB_FeraliskInfestedJungle=0.05000000074505806;AB_OcularForest=0.05000000074505806;ZBiome_Badlands=0.014999999664723873;ZBiome_Grasslands=0.014999999664723873;AridShrubland=0.009999999776482582;Desert=0.009999999776482582;ZBiome_DesertOasis=0.009999999776482582;AB_GelatinousSuperorganism=0.009999999776482582;AB_TarPits=0.009999999776482582;AB_PyroclasticConflagration=0.009999999776482582,,Animal
AA_Dunealisk,AA_Dunealisk,biomes:ExtremeDesert=0.18000000715255737;ZBiome_Grasslands=0.10499999672174454;Desert=0.10000000149011612;ZBiome_DesertOasis=0.10000000149011612;AridShrubland=0.07000000029802322;AB_FeraliskInfestedJungle=0.07000000029802322;Scarlands=0.009999999776482582,,Animal
AA_DuskProwler,AA_DuskProwler,biomes:AB_RockyCrags=0.4000000059604645;ZBiome_Badlands=0.05000000074505806;AridShrubland=0.03999999910593033;Desert=0.029999999329447746;ZBiome_DesertOasis=0.029999999329447746;ExtremeDesert=0.019999999552965164;ZBiome_Grasslands=0.019999999552965164,,Animal
AA_DuskRat,AA_DuskRat,biomes:AB_RockyCrags=1;BMT_FungalForest=1,,Animal
AA_EmpressButterfly,AA_EmpressButterfly,biomes:Wasteland=0.699999988079071,,Animal
AA_Erin,AA_Erin,biomes:AB_FeraliskInfestedJungle=0.4000000059604645;AB_MiasmicMangrove=0.019999999552965164;ExtremeDesert=0.014999999664723873;AridShrubland=0.014999999664723873;Desert=0.014999999664723873;ZBiome_DesertOasis=0.014999999664723873;Scarlands=0.014999999664723873;AB_TarPits=0.014999999664723873;ZBiome_Grasslands=0.007499999832361937,,Animal
AA_Eyeling,AA_Eyeling,biomes:Wasteland=1.2000000476837158;AB_PyroclasticConflagration=1;ZBiome_DesertOasis=0.800000011920929;ZBiome_Grasslands=0.699999988079071;ExtremeDesert=0.5,,Animal
AA_Feralisk,AA_Feralisk,biomes:AB_MiasmicMangrove=0.4000000059604645;Wasteland=0.10000000149011612;AB_FeraliskInfestedJungle=0.10000000149011612;AB_GelatinousSuperorganism=0.019999999552965164;Scarlands=0.009999999776482582,,Animal
AA_FireWasp,AA_FireWasp,biomes:AB_PyroclasticConflagration=1;ZBiome_Grasslands=0.699999988079071;AB_MiasmicMangrove=0.699999988079071,,Animal
AA_FissionMouse,AA_FissionMouse,biomes:ZBiome_DesertOasis=0.699999988079071;AB_MechanoidIntrusion=0.07000000029802322;PoisonForest=0.05000000074505806;ZBiome_Badlands=0.03500000014901161;AridShrubland=0.009999999776482582;Desert=0.009999999776482582;AB_MycoticJungle=0.009999999776482582;Wasteland=0.009999999776482582;AB_FeraliskInfestedJungle=0.009999999776482582;AB_GelatinousSuperorganism=0.009999999776482582;Scarlands=0.009999999776482582;AB_TarPits=0.009999999776482582;AB_PyroclasticConflagration=0.009999999776482582;Volcano=0.009999999776482582;LavaField=0.009999999776482582;AB_OcularForest=0.009999999776482582;ExtremeDesert=0.004999999888241291;ZBiome_Grasslands=0.004999999888241291,,Animal
AA_FissionMouseSecond,AA_FissionMouseSecond,biomes:AB_MycoticJungle=0.699999988079071;ZBiome_Badlands=0.699999988079071,,Animal
AA_FissionMouseThird,AA_FissionMouseThird,biomes:AB_MycoticJungle=0.699999988079071;ZBiome_Badlands=0.699999988079071,,Animal
AA_FrostAve,AA_FrostAve,biomes:AB_PropaneLakes=0.4000000059604645;BMT_CrystalCaverns=0.4000000059604645,,Animal
AA_FrostboundBehemoth,AA_FrostboundBehemoth,biomes:AB_PropaneLakes=0.25200000405311584,,Animal
AA_Frostling,AA_Frostling,biomes:AB_PropaneLakes=0.4000000059604645;BMT_CrystalCaverns=0.4000000059604645,,Animal
AA_Frostmite,AA_Frostmite,biomes:AB_PropaneLakes=0.699999988079071;BMT_CrystalCaverns=0.699999988079071,,Animal
AA_FungalHusk,AA_FungalHusk,biomes:AB_RockyCrags=0.4000000059604645,,Animal
AA_Gallatross,AA_Gallatross,biomes:AB_MycoticJungle=0.01140000019222498,,Animal
AA_GiantCrownedSilkie,AA_GiantCrownedSilkie,biomes:PoisonForest=0.4000000059604645;ZBiome_Badlands=0.0024999999441206455,,Animal
AA_Gigantelope,AA_Gigantelope,biomes:ZBiome_Grasslands=0.30000001192092896;AridShrubland=0.20000000298023224;AB_OcularForest=0.18000000715255737;Desert=0.10000000149011612;ZBiome_Badlands=0.10000000149011612;ZBiome_DesertOasis=0.10000000149011612,,Animal
AA_GreatDevourer,AA_GreatDevourer,biomes:Wasteland=0.05000000074505806;Scarlands=0.029999999329447746;Volcano=0.019999999552965164;AridShrubland=0.009999999776482582;Desert=0.009999999776482582;ZBiome_Badlands=0.009999999776482582;ZBiome_DesertOasis=0.009999999776482582;AB_PyroclasticConflagration=0.009999999776482582;ZBiome_Grasslands=0.004999999888241291,,Animal
AA_GreenGoo,AA_GreenGoo,biomes:AB_GelatinousSuperorganism=2;AB_PropaneLakes=0.699999988079071,,Animal
AA_GreyCoatedMouflon,AA_GreyCoatedMouflon,biomes:PoisonForest=0.4000000059604645;AB_PropaneLakes=0.009999999776482582;ZBiome_Badlands=0.004999999888241291,,Animal
AA_Groundrunner,AA_Groundrunner,biomes:PoisonForest=0.009999999776482582,,Animal
AA_Helixien,AA_Helixien,biomes:AB_MiasmicMangrove=0.5;PoisonForest=0.15000000596046448;AB_GelatinousSuperorganism=0.15000000596046448;AB_OcularForest=0.10000000149011612;AB_PyroclasticConflagration=0.05000000074505806;AB_FeraliskInfestedJungle=0.019999999552965164;AridShrubland=0.009999999776482582;Scarlands=0.009999999776482582;AB_TarPits=0.009999999776482582;ZBiome_Badlands=0.004999999888241291;ZBiome_Grasslands=0.004999999888241291,,Animal
AA_InfectedAerofleet,AA_InfectedAerofleet,biomes:PoisonForest=1;AB_OcularForest=0.5,,Animal
AA_IronhuskBeetle,AA_IronhuskBeetle,biomes:Volcano=0.18000000715255737,,Animal
AA_Junglelisk,AA_Junglelisk,biomes:AB_FeraliskInfestedJungle=0.4000000059604645;ZBiome_Grasslands=0.4000000059604645,,Animal
AA_LarvalAtispec,AA_LarvalAtispec,biomes:AB_TarPits=0.30000001192092896;AB_MycoticJungle=0.029999999329447746;AB_PyroclasticConflagration=0.029999999329447746;AB_OcularForest=0.029999999329447746;ZBiome_Grasslands=0.014999999664723873;AridShrubland=0.009999999776482582;ZBiome_Badlands=0.009999999776482582;Scarlands=0.009999999776482582,,Animal
AA_Lockjaw,AA_Lockjaw,biomes:AB_MiasmicMangrove=0.5;AB_GelatinousSuperorganism=0.07000000029802322;AB_FeraliskInfestedJungle=0.05000000074505806,,Animal
AA_Locusts,AA_Locusts,biomes:AB_TarPits=1,,Animal
AA_LuciferBug,AA_LuciferBug,biomes:ZBiome_Badlands=1;AB_MechanoidIntrusion=0.07000000029802322;AB_PyroclasticConflagration=0.05000000074505806;Desert=0.029999999329447746;ZBiome_DesertOasis=0.029999999329447746;ZBiome_Grasslands=0.014999999664723873;AridShrubland=0.009999999776482582;AB_MycoticJungle=0.009999999776482582;AB_FeraliskInfestedJungle=0.009999999776482582;AB_GelatinousSuperorganism=0.009999999776482582;Scarlands=0.009999999776482582;AB_TarPits=0.009999999776482582;AB_OcularForest=0.009999999776482582,,Animal
AA_MammothWorm,AA_MammothWorm,biomes:LavaField=0.05730000138282776;AB_PyroclasticConflagration=0.05000000074505806;ExtremeDesert=0.029999999329447746;AridShrubland=0.029999999329447746;Desert=0.029999999329447746;ZBiome_DesertOasis=0.029999999329447746;ZBiome_Grasslands=0.014999999664723873;Scarlands=0.009999999776482582;AB_TarPits=0.009999999776482582;Volcano=0.009999999776482582,,Animal
AA_Mantrap,AA_Mantrap,biomes:AB_MiasmicMangrove=0.5;Scarlands=0.18000000715255737;ZBiome_Grasslands=0.15000000596046448;AridShrubland=0.10000000149011612;AB_FeraliskInfestedJungle=0.07000000029802322;AB_GelatinousSuperorganism=0.07000000029802322;ZBiome_Badlands=0.02500000037252903;ExtremeDesert=0.009999999776482582;Desert=0.009999999776482582;ZBiome_DesertOasis=0.009999999776482582,,Animal
