group,mod,defName,label,thingClass,cat,mv,does,mini,verdict
A. Unminifiable (the steal frontier),ABF: Synstructs Core,ABF_Thing_Synstruct_CoherenceSpot,coherence spot,Building,Furniture,0,no active comps,False,STEAL
A. Unminifiable (the steal frontier),Alpha Genes,AG_TemporaryBandNode,temporary band node,Building,-,0,no active comps,False,EXCLUDE
A. Unminifiable (the steal frontier),Alpha Mechs,AM_ApoptosisMechlinkBooster,quantum pulse complex (tier 6),Building,-,0,no active comps,False,EXCLUDE
A. Unminifiable (the steal frontier),Alpha Mechs,AM_BeamcasterBandNode,beamcaster band node,Building,-,0,no active comps,False,EXCLUDE
A. Unminifiable (the steal frontier),Alpha Mechs,AM_GreaterBandNode,voidlink band node,Building,-,0,no active comps,False,EXCLUDE
A. Unminifiable (the steal frontier),Alpha Mechs,AM_GreaterMechBooster,persistent mech booster,Building,-,0,no active comps,False,EXCLUDE
A. Unminifiable (the steal frontier),Alpha Mechs,AM_GreaterRecharger,voidlink mech recharger,Building_MechCharger,-,0,mech charger,False,STEAL
A. Unminifiable (the steal frontier),Alpha Mechs,AM_InfernusMechlinkBooster,mechband beamcaster (tier 4),Building,-,0,no active comps,False,EXCLUDE
A. Unminifiable (the steal frontier),Alpha Mechs,AM_WarEmpressMechlinkBooster,voidlink relay (tier 5),Building,-,0,no active comps,False,EXCLUDE
A. Unminifiable (the steal frontier),Ancient urban ruins,LEGO_GiantRockExcavator_Accomplish,LEGO giant rock excavator,Building_Art,-,0,art,False,STEAL
A. Unminifiable (the steal frontier),Ancient urban ruins,LEGO_HeavyCrane_Accomplish,LEGO heavy crane,Building_Art,-,0,art,False,STEAL
A. Unminifiable (the steal frontier),Ancient urban ruins,LEGO_LandmarkBuilding_Accomplish,LEGO landmark building,Building_Art,-,0,art,False,STEAL
A. Unminifiable (the steal frontier),Ancient urban ruins,LEGO_LightCrane_Accomplish,LEGO light crane,Building_Art,-,0,art,False,STEAL
A. Unminifiable (the steal frontier),Ancient urban ruins,LEGO_Palace_Accomplish,LEGO palace,Building_Art,-,0,art,False,STEAL
A. Unminifiable (the steal frontier),Anomaly,FleshmassHeart,fleshmass heart,Building_FleshmassHeart,-,0,no active comps,False,UNDECIDED
A. Unminifiable (the steal frontier),Anomaly,HoldingSpot,holding spot,Building_HoldingPlatform,Anomaly,0,no active comps,False,STEAL
A. Unminifiable (the steal frontier),Anomaly,PsychicRitualSpot,psychic ritual spot,Building,Anomaly,0,no active comps,False,STEAL
A. Unminifiable (the steal frontier),Anomaly,VoidMonolith,void monolith,Building_VoidMonolith,-,0,no active comps,False,UNDECIDED
