kind,old,new,tier,confidence,note
mod,src/Jawa/DesertVehicleReskin,src/RimMandrake/DesertVehicleReskin,RimMandrake,RULED,review finding 1: fixes Alpha Vehicles Neolithic (generic)
packageId,mandrake.desertvehiclereskin,mandrake.rm.desertvehiclereskin,RimMandrake,RULED,
namespace,DesertVehicleReskin,RimMandrake.DesertVehicleReskin,RimMandrake,RULED,
mod,src/Jawa/Droidworks,src/RimStarWars/Droidworks,RimStarWars,HIGH,plan 7 recommends full RSW_ (drop DW_); map emits RSW_DW_* deterministically - owner signs which
packageId,mandrake.droidworks,mandrake.rsw.droidworks,RimStarWars,HIGH,
def,DW_BoltResentment,RSW_DW_BoltResentment,RimStarWars,HIGH,
def,DW_ChargeDock,RSW_DW_ChargeDock,RimStarWars,HIGH,
def,DW_ChargeNimbus,RSW_DW_ChargeNimbus,RimStarWars,HIGH,
def,DW_ChargeSocket,RSW_DW_ChargeSocket,RimStarWars,HIGH,
def,DW_ClampBolt,RSW_DW_ClampBolt,RimStarWars,HIGH,
def,DW_DataSpike,RSW_DW_DataSpike,RimStarWars,HIGH,
def,DW_DroidHead,RSW_DW_DroidHead,RimStarWars,HIGH,
def,DW_FleshType_Droid,RSW_DW_FleshType_Droid,RimStarWars,HIGH,
def,DW_HeadType_Blank,RSW_DW_HeadType_Blank,RimStarWars,HIGH,
def,DW_HeadType_OuterRim_BattleDroid,RSW_DW_HeadType_OuterRim_BattleDroid,RimStarWars,HIGH,
def,DW_HeadType_OuterRim_BattleDroidAdvanced,RSW_DW_HeadType_OuterRim_BattleDroidAdvanced,RimStarWars,HIGH,
def,DW_HeadType_OuterRim_CommandoDroid,RSW_DW_HeadType_OuterRim_CommandoDroid,RimStarWars,HIGH,
def,DW_HeadType_OuterRim_HKDroid,RSW_DW_HeadType_OuterRim_HKDroid,RimStarWars,HIGH,
def,DW_HeadType_OuterRim_ImperialLaborDroid,RSW_DW_HeadType_OuterRim_ImperialLaborDroid,RimStarWars,HIGH,
def,DW_HeadType_OuterRim_KXSecurityDroid,RSW_DW_HeadType_OuterRim_KXSecurityDroid,RimStarWars,HIGH,
def,DW_HeadType_OuterRim_MagnaGuardDroid,RSW_DW_HeadType_OuterRim_MagnaGuardDroid,RimStarWars,HIGH,
def,DW_HeadType_OuterRim_ProtocolDroid,RSW_DW_HeadType_OuterRim_ProtocolDroid,RimStarWars,HIGH,
def,DW_HeadType_OuterRim_SuperTacticalDroid,RSW_DW_HeadType_OuterRim_SuperTacticalDroid,RimStarWars,HIGH,
def,DW_HeadType_OuterRim_TacticalDroid,RSW_DW_HeadType_OuterRim_TacticalDroid,RimStarWars,HIGH,
def,DW_HeadType_guy762_DroidRace_DevAD,RSW_DW_HeadType_guy762_DroidRace_DevAD,RimStarWars,HIGH,
def,DW_HeadType_guy762_DroidRace_DevWD,RSW_DW_HeadType_guy762_DroidRace_DevWD,RimStarWars,HIGH,
def,DW_HeadType_guy762_DroidRace_GE3LD,RSW_DW_HeadType_guy762_DroidRace_GE3LD,RimStarWars,HIGH,
def,DW_HeadType_guy762_DroidRace_GE3PD,RSW_DW_HeadType_guy762_DroidRace_GE3PD,RimStarWars,HIGH,
def,DW_HeadType_guy762_DroidRace_HK50series,RSW_DW_HeadType_guy762_DroidRace_HK50series,RimStarWars,HIGH,
def,DW_HeadType_guy762_DroidRace_HK51series,RSW_DW_HeadType_guy762_DroidRace_HK51series,RimStarWars,HIGH,
def,DW_HeadType_guy762_DroidRace_HKseries,RSW_DW_HeadType_guy762_DroidRace_HKseries,RimStarWars,HIGH,
def,DW_HeadType_guy762_DroidRace_SentWD,RSW_DW_HeadType_guy762_DroidRace_SentWD,RimStarWars,HIGH,
def,DW_InstallRestrainingBolt,RSW_DW_InstallRestrainingBolt,RimStarWars,HIGH,
def,DW_IonOverload,RSW_DW_IonOverload,RimStarWars,HIGH,
def,DW_JDSCIS_AQ_Battle_Droid,RSW_DW_JDSCIS_AQ_Battle_Droid,RimStarWars,HIGH,
def,DW_JDSCIS_B1_Battle_Droid,RSW_DW_JDSCIS_B1_Battle_Droid,RimStarWars,HIGH,
def,DW_JDSCIS_B1_Commander_Droid,RSW_DW_JDSCIS_B1_Commander_Droid,RimStarWars,HIGH,
def,DW_JDSCIS_B1_Security_Droid,RSW_DW_JDSCIS_B1_Security_Droid,RimStarWars,HIGH,
def,DW_JDSCIS_B2_HA_Super_Battle_Droid,RSW_DW_JDSCIS_B2_HA_Super_Battle_Droid,RimStarWars,HIGH,
def,DW_JDSCIS_B2_Super_Battle_Droid,RSW_DW_JDSCIS_B2_Super_Battle_Droid,RimStarWars,HIGH,
def,DW_JDSCIS_BX_Commando_Droid,RSW_DW_JDSCIS_BX_Commando_Droid,RimStarWars,HIGH,
def,DW_JDSCIS_DSD1_Dwarf_Spider_Droid,RSW_DW_JDSCIS_DSD1_Dwarf_Spider_Droid,RimStarWars,HIGH,
def,DW_JDSCIS_Demolition_Droid,RSW_DW_JDSCIS_Demolition_Droid,RimStarWars,HIGH,
def,DW_JDSCIS_Droideka_Droid,RSW_DW_JDSCIS_Droideka_Droid,RimStarWars,HIGH,
def,DW_JDSCIS_Droideka_Sharpshooter_Droid,RSW_DW_JDSCIS_Droideka_Sharpshooter_Droid,RimStarWars,HIGH,
def,DW_JDSCIS_IG-100_MagnaGuards,RSW_DW_JDSCIS_IG-100_MagnaGuards,RimStarWars,HIGH,
def,DW_JDSCIS_LR-57_Combat_Droid,RSW_DW_JDSCIS_LR-57_Combat_Droid,RimStarWars,HIGH,
def,DW_JDSCIS_Pistoeka_Sotage_Droid,RSW_DW_JDSCIS_Pistoeka_Sotage_Droid,RimStarWars,HIGH,
def,DW_JDSCIS_ST_Super_Tactical_Droid,RSW_DW_JDSCIS_ST_Super_Tactical_Droid,RimStarWars,HIGH,
def,DW_JDSCIS_T1_Tactical_Droid,RSW_DW_JDSCIS_T1_Tactical_Droid,RimStarWars,HIGH,
def,DW_KotORDroidBad_ADMkI,RSW_DW_KotORDroidBad_ADMkI,RimStarWars,HIGH,
def,DW_KotORDroidBad_ADMkIV,RSW_DW_KotORDroidBad_ADMkIV,RimStarWars,HIGH,
def,DW_KotORDroidBad_DevWD_magnaguard,RSW_DW_KotORDroidBad_DevWD_magnaguard,RimStarWars,HIGH,
def,DW_KotORDroidBad_DevWD_strong,RSW_DW_KotORDroidBad_DevWD_strong,RimStarWars,HIGH,
def,DW_KotORDroidBad_DevWD_weak,RSW_DW_KotORDroidBad_DevWD_weak,RimStarWars,HIGH,
def,DW_KotORDroidBad_KM1HMD,RSW_DW_KotORDroidBad_KM1HMD,RimStarWars,HIGH,
def,DW_KotORDroidBad_KM1MD,RSW_DW_KotORDroidBad_KM1MD,RimStarWars,HIGH,
def,DW_KotORDroidBad_KX12APD,RSW_DW_KotORDroidBad_KX12APD,RimStarWars,HIGH,
def,DW_KotORDroidBad_KX12APD_sapper,RSW_DW_KotORDroidBad_KX12APD_sapper,RimStarWars,HIGH,
def,DW_KotORDroidBad_KX12UPD,RSW_DW_KotORDroidBad_KX12UPD,RimStarWars,HIGH,
def,DW_KotORDroidBad_MPDMkI,RSW_DW_KotORDroidBad_MPDMkI,RimStarWars,HIGH,
def,DW_KotORDroidBad_SentWD,RSW_DW_KotORDroidBad_SentWD,RimStarWars,HIGH,
def,DW_KotORDroidBad_hk50,RSW_DW_KotORDroidBad_hk50,RimStarWars,HIGH,
def,DW_KotORDroidBad_hk50boss,RSW_DW_KotORDroidBad_hk50boss,RimStarWars,HIGH,
def,DW_KotORDroidColonist_3CUD,RSW_DW_KotORDroidColonist_3CUD,RimStarWars,HIGH,
def,DW_KotORDroidColonist_ADMkI,RSW_DW_KotORDroidColonist_ADMkI,RimStarWars,HIGH,
def,DW_KotORDroidColonist_ADMkIV,RSW_DW_KotORDroidColonist_ADMkIV,RimStarWars,HIGH,
def,DW_KotORDroidColonist_ADMkIV_sith,RSW_DW_KotORDroidColonist_ADMkIV_sith,RimStarWars,HIGH,
def,DW_KotORDroidColonist_ADMkI_sf,RSW_DW_KotORDroidColonist_ADMkI_sf,RimStarWars,HIGH,
def,DW_KotORDroidColonist_DevAD,RSW_DW_KotORDroidColonist_DevAD,RimStarWars,HIGH,
def,DW_KotORDroidColonist_DevWD,RSW_DW_KotORDroidColonist_DevWD,RimStarWars,HIGH,
def,DW_KotORDroidColonist_GE3LD,RSW_DW_KotORDroidColonist_GE3LD,RimStarWars,HIGH,
def,DW_KotORDroidColonist_GE3PD,RSW_DW_KotORDroidColonist_GE3PD,RimStarWars,HIGH,
