biome,animal,sources,direction,commonality,mod,file
AB_FeraliskInfestedJungle,Alpaca,1,biome.wildAnimals,0.1,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_FeraliskInfestedJungle.xml
AB_FeraliskInfestedJungle,Boomalope,1,biome.wildAnimals,0.1,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_FeraliskInfestedJungle.xml
AB_FeraliskInfestedJungle,Capybara,1,biome.wildAnimals,0.1,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_FeraliskInfestedJungle.xml
AB_FeraliskInfestedJungle,Cassowary,1,biome.wildAnimals,0.1,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_FeraliskInfestedJungle.xml
AB_FeraliskInfestedJungle,Chinchilla,1,biome.wildAnimals,0.1,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_FeraliskInfestedJungle.xml
AB_FeraliskInfestedJungle,Cobra,1,biome.wildAnimals,0.05,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_FeraliskInfestedJungle.xml
AB_FeraliskInfestedJungle,Elephant,1,biome.wildAnimals,0.05,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_FeraliskInfestedJungle.xml
AB_FeraliskInfestedJungle,Horse,1,biome.wildAnimals,0.05,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_FeraliskInfestedJungle.xml
AB_FeraliskInfestedJungle,Monkey,1,biome.wildAnimals,0.1,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_FeraliskInfestedJungle.xml
AB_FeraliskInfestedJungle,Panther,1,biome.wildAnimals,0.05,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_FeraliskInfestedJungle.xml
AB_FeraliskInfestedJungle,Rat,1,biome.wildAnimals,0.11,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_FeraliskInfestedJungle.xml
AB_FeraliskInfestedJungle,Rhinoceros,1,biome.wildAnimals,0.05,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_FeraliskInfestedJungle.xml
AB_FeraliskInfestedJungle,TYR_Mouse,1,animal.wildBiomes,1.0,Little Critters,1.6\Defs\ThingDefs_Races\Mouse.xml
AB_FeraliskInfestedJungle,Tortoise,1,biome.wildAnimals,0.1,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_FeraliskInfestedJungle.xml
AB_FeraliskInfestedJungle,WildBoar,1,biome.wildAnimals,0.05,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_FeraliskInfestedJungle.xml
AB_GallatrossGraveyard,Bison,1,biome.wildAnimals,0.05,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_GallatrossGraveyard.xml
AB_GallatrossGraveyard,Boomalope,1,biome.wildAnimals,0.5,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_GallatrossGraveyard.xml
AB_GallatrossGraveyard,Boomrat,1,biome.wildAnimals,0.5,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_GallatrossGraveyard.xml
AB_GallatrossGraveyard,Cougar,1,biome.wildAnimals,0.15,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_GallatrossGraveyard.xml
AB_GallatrossGraveyard,Donkey,1,biome.wildAnimals,0.05,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_GallatrossGraveyard.xml
AB_GallatrossGraveyard,Dromedary,1,biome.wildAnimals,0.7,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_GallatrossGraveyard.xml
AB_GallatrossGraveyard,Elephant,1,biome.wildAnimals,0.5,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_GallatrossGraveyard.xml
AB_GallatrossGraveyard,Emu,1,biome.wildAnimals,0.7,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_GallatrossGraveyard.xml
AB_GallatrossGraveyard,Fox_Fennec,1,biome.wildAnimals,0.15,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_GallatrossGraveyard.xml
AB_GallatrossGraveyard,Gazelle,1,biome.wildAnimals,0.7,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_GallatrossGraveyard.xml
AB_GallatrossGraveyard,GuineaPig,1,biome.wildAnimals,0.01,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_GallatrossGraveyard.xml
AB_GallatrossGraveyard,Hare,1,biome.wildAnimals,1.3,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_GallatrossGraveyard.xml
AB_GallatrossGraveyard,Iguana,1,biome.wildAnimals,0.7,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_GallatrossGraveyard.xml
AB_GallatrossGraveyard,Megasloth,1,biome.wildAnimals,0.1,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_GallatrossGraveyard.xml
AB_GallatrossGraveyard,Ostrich,1,biome.wildAnimals,0.7,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_GallatrossGraveyard.xml
AB_GallatrossGraveyard,Rat,1,biome.wildAnimals,1.3,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_GallatrossGraveyard.xml
AB_GallatrossGraveyard,Rhinoceros,1,biome.wildAnimals,0.5,Alpha Biomes,1.6\Defs\BiomeDefs\Biomes_GallatrossGraveyard.xml
