page,row,col,csvRow,defName,label,modName,packageId,loadOrder,duplicateDefName,pawnKindDefName,pawnKindMod,pawnKindCount,lifeStageIndex,lifeStageCount,texPath,texSuffix,textureFile,imageW,imageH,renderError
1,0,0,1,FancyRat,fancyrat,AA FancyRats,armoredampharos.fancyrats,41,,FancyRat,AA FancyRats,1,2,3,Things/Pawn/Animal/FancyRat/FancyRat_Albino,_south,C:\Program Files (x86)\Steam\steamapps\workshop\content\294100\3265419811\Common\Textures\Things\Pawn\Animal\FancyRat\FancyRat_Albino_south.png,75,207,
1,0,1,9,AA_AcanthamoebaGiganteaHuge,"acanthamoeba gigantea, huge",Alpha Animals,sarg.alphaanimals,416,,AA_AcanthamoebaGiganteaHuge,Alpha Animals,1,0,1,Things/Pawn/Animal/AA_AcanthamoebaGigantea/AA_AcanthamoebaGigantea,_south,C:\Program Files (x86)\Steam\steamapps\workshop\content\294100\1541721856\Textures\Things\Pawn\Animal\AA_AcanthamoebaGigantea\AA_AcanthamoebaGigantea_south.png,185,179,
1,0,2,10,AA_AcanthamoebaGiganteaLarge,"acanthamoeba gigantea, large",Alpha Animals,sarg.alphaanimals,416,,AA_AcanthamoebaGiganteaLarge,Alpha Animals,1,0,1,Things/Pawn/Animal/AA_AcanthamoebaGigantea/AA_AcanthamoebaGigantea,_south,C:\Program Files (x86)\Steam\steamapps\workshop\content\294100\1541721856\Textures\Things\Pawn\Animal\AA_AcanthamoebaGigantea\AA_AcanthamoebaGigantea_south.png,185,179,
1,0,3,11,AA_AcanthamoebaGiganteaSmall,"acanthamoeba gigantea, small",Alpha Animals,sarg.alphaanimals,416,,AA_AcanthamoebaGiganteaSmall,Alpha Animals,1,0,1,Things/Pawn/Animal/AA_AcanthamoebaGigantea/AA_AcanthamoebaGigantea,_south,C:\Program Files (x86)\Steam\steamapps\workshop\content\294100\1541721856\Textures\Things\Pawn\Animal\AA_AcanthamoebaGigantea\AA_AcanthamoebaGigantea_south.png,185,179,
1,0,4,12,AA_Aerofleet,aerofleet,Alpha Animals,sarg.alphaanimals,416,,AA_Aerofleet,Alpha Animals,1,2,3,Things/Pawn/Animal/AA_Aerofleet/AA_Aerofleet,_south,C:\Program Files (x86)\Steam\steamapps\workshop\content\294100\1541721856\Textures\Things\Pawn\Animal\AA_Aerofleet\AA_Aerofleet_south.png,210,237,
1,0,5,13,AA_Agaripawn,agaripawn,Alpha Animals,sarg.alphaanimals,416,,AA_Agaripawn,Alpha Animals,1,2,3,Things/Pawn/Animal/AA_Agaripawn/AA_Agaripawn,_south,C:\Program Files (x86)\Steam\steamapps\workshop\content\294100\1541721856\Textures\Things\Pawn\Animal\AA_Agaripawn\AA_Agaripawn_south.png,124,131,
1,0,6,14,AA_Agaripod,agaripod,Alpha Animals,sarg.alphaanimals,416,,AA_Agaripod,Alpha Animals,1,2,3,Things/Pawn/Animal/AA_Agaripod/AA_Agaripod,_south,C:\Program Files (x86)\Steam\steamapps\workshop\content\294100\1541721856\Textures\Things\Pawn\Animal\AA_Agaripod\AA_Agaripod_south.png,191,220,
1,0,7,15,AA_AngelMoth,angel moth,Alpha Animals,sarg.alphaanimals,416,,AA_AngelMoth,Alpha Animals,1,0,1,Things/Pawn/Animal/AA_AngelMoth/AA_AngelMoth,_south,C:\Program Files (x86)\Steam\steamapps\workshop\content\294100\1541721856\Textures\Things\Pawn\Animal\AA_AngelMoth\AA_AngelMoth_south.png,242,217,
1,0,8,16,AA_AngelMothLarva,angel moth larva,Alpha Animals,sarg.alphaanimals,416,,AA_AngelMothLarva,Alpha Animals,1,0,1,Things/Pawn/Animal/AA_AngelMoth/AA_AngelMothLarva,_south,C:\Program Files (x86)\Steam\steamapps\workshop\content\294100\1541721856\Textures\Things\Pawn\Animal\AA_AngelMoth\AA_AngelMothLarva_south.png,53,118,
1,0,9,17,AA_AnimaColossus,anima colossus,Alpha Animals,sarg.alphaanimals,416,,AA_AnimaColossus,Alpha Animals,1,2,3,Things/Pawn/Animal/AA_AnimaColossus/AA_AnimaColossus,_south,C:\Program Files (x86)\Steam\steamapps\workshop\content\294100\1541721856\Textures\Things\Pawn\Animal\AA_AnimaColossus\AA_AnimaColossus_south.png,129,192,
1,0,10,18,AA_Animalisk,animalisk,Alpha Animals,sarg.alphaanimals,416,,AA_Animalisk,Alpha Animals,1,2,3,Things/Pawn/Animal/AA_Animalisk/AA_Animalisk,_south,C:\Program Files (x86)\Steam\steamapps\workshop\content\294100\1541721856\Textures\Things\Pawn\Animal\AA_Animalisk\AA_Animalisk_south.png,144,201,
1,0,11,19,AA_AnimusVox,animus vox,Alpha Animals,sarg.alphaanimals,416,,AA_AnimusVox,Alpha Animals,1,2,3,Things/Pawn/Animal/AA_AnimusVox/AA_AnimusVox,_south,C:\Program Files (x86)\Steam\steamapps\workshop\content\294100\1541721856\Textures\Things\Pawn\Animal\AA_AnimusVox\AA_AnimusVox_south.png,86,181,
1,0,12,20,AA_ArcticLion,arctic lion,Alpha Animals,sarg.alphaanimals,416,,AA_ArcticLion,Alpha Animals,1,2,3,Things/Pawn/Animal/AA_ArcticLion/AA_ArcticLion,_south,C:\Program Files (x86)\Steam\steamapps\workshop\content\294100\3536598972\Textures\Things\Pawn\Animal\AA_ArcticLion\AA_ArcticLion_south.png,185,302,
1,0,13,21,AA_Atispec,atispec,Alpha Animals,sarg.alphaanimals,416,,AA_Atispec,Alpha Animals,1,0,1,Things/Pawn/Animal/AA_Atispec/AA_Atispec,_south,C:\Program Files (x86)\Steam\steamapps\workshop\content\294100\1541721856\Textures\Things\Pawn\Animal\AA_Atispec\AA_Atispec_south.png,120,198,
1,1,0,22,AA_AuroraSylph,Aurora sylph,Alpha Animals,sarg.alphaanimals,416,,AA_AuroraSylph,Alpha Animals,1,0,1,Things/Pawn/Animal/AA_AuroraSylph/AA_AuroraSylph,_south,C:\Program Files (x86)\Steam\steamapps\workshop\content\294100\1541721856\Textures\Things\Pawn\Animal\AA_AuroraSylph\AA_AuroraSylph_south.png,242,207,
1,1,1,23,AA_Barbslinger,barbslinger,Alpha Animals,sarg.alphaanimals,416,,AA_Barbslinger,Alpha Animals,1,2,3,Things/Pawn/Animal/AA_BarbSlinger/AA_BarbSlinger,_south,C:\Program Files (x86)\Steam\steamapps\workshop\content\294100\1541721856\Textures\Things\Pawn\Animal\AA_BarbSlinger\AA_BarbSlinger_south.png,182,205,
1,1,2,24,AA_BedBug,bedbug,Alpha Animals,sarg.alphaanimals,416,,AA_BedBug,Alpha Animals,1,2,3,Things/Pawn/Animal/AA_BedBug/AA_BedBug,_south,C:\Program Files (x86)\Steam\steamapps\workshop\content\294100\1541721856\Textures\Things\Pawn\Animal\AA_BedBug\AA_BedBug_south.png,201,202,
1,1,3,25,AA_Behemoth,Behemoth,Alpha Animals,sarg.alphaanimals,416,,AA_Behemoth,Alpha Animals,1,2,3,Things/Pawn/Animal/FO_ForsakenDragon/FO_ForsakenDragon,_south,C:\Program Files (x86)\Steam\steamapps\workshop\content\294100\1541721856\Textures\Things\Pawn\Animal\FO_ForsakenDragon\FO_ForsakenDragon_south.png,171,271,
1,1,4,26,AA_BlackScarab,black scarab,Alpha Animals,sarg.alphaanimals,416,,AA_BlackScarab,Alpha Animals,1,2,3,Things/Pawn/Animal/AA_BlackScarab/AA_BlackScarab,_south,C:\Program Files (x86)\Steam\steamapps\workshop\content\294100\1541721856\Textures\Things\Pawn\Animal\AA_BlackScarab\AA_BlackScarab_south.png,80,126,
1,1,5,27,AA_BlackSpelopede,black spelopede,Alpha Animals,sarg.alphaanimals,416,,AA_BlackSpelopede,Alpha Animals,1,2,3,Things/Pawn/Animal/AA_BlackSpelopede/AA_BlackSpelopede,_south,C:\Program Files (x86)\Steam\steamapps\workshop\content\294100\1541721856\Textures\Things\Pawn\Animal\AA_BlackSpelopede\AA_BlackSpelopede_south.png,110,210,
1,1,6,28,AA_BlackSpider,blackspider,Alpha Animals,sarg.alphaanimals,416,,AA_BlackSpider,Alpha Animals,1,2,3,Things/Pawn/Animal/AA_BlackSpider/AA_BlackSpider,_south,C:\Program Files (x86)\Steam\steamapps\workshop\content\294100\1541721856\Textures\Things\Pawn\Animal\AA_BlackSpider\AA_BlackSpider_south.png,97,185,
