csvRow,defName,label,modName,packageId,loadOrder,reason,texPath,pawnKindDefName,pawnKindCount,lifeStageIndex,lifeStageCount,textureFile,detail
2,,,ABF: Synstructs Core,killathon.artificialbeings.syncore,521,no_defName,,,,,,,ABF_Thing_Synstruct_AnimalBase
3,MutantCow,cow,Advanced Biomes (Continued),mlie.advancedbiomes,45,no_loose_png,Animal/Cow/Bull,MutantCow,1,2,3,,
4,PoisonButterfly,butterfly,Advanced Biomes (Continued),mlie.advancedbiomes,45,no_loose_png,Animal/Butterfly/butterfly,PoisonButterfly,1,2,3,,
5,PoisonDeer,deer,Advanced Biomes (Continued),mlie.advancedbiomes,45,no_loose_png,Things/Pawn/Animal/Deer/DeerMale,PoisonDeer,1,2,3,,
6,PoisonRat,rat,Advanced Biomes (Continued),mlie.advancedbiomes,45,no_loose_png,Things/Pawn/Animal/Rat/Rat,PoisonRat,1,2,3,,
7,,,Alpha Animals,sarg.alphaanimals,404,no_defName,,,,,,,AA_AlphaBaseInsect
8,,,Alpha Animals,sarg.alphaanimals,404,no_defName,,,,,,,BaseInsect2
150,,,Alpha Mechs,sarg.alphamechs,51,no_defName,,,,,,,AM_MediumMechanoid
183,AM_UnshackledDryad,unshackled dryad,Alpha Memes,sarg.alphamemes,52,no_loose_png,Things/Pawn/Animal/Dryad_Basic/Dryad_Basic,AM_UnshackledDryad,1,0,1,,
184,,,Anomaly,ludeon.rimworld.anomaly,8,no_defName,,,,,,,BaseFleshbeast
185,,,Anomaly,ludeon.rimworld.anomaly,8,no_defName,,,,,,,MysteriousSphereEntityBase
186,Bulbfreak,bulbfreak,Anomaly,ludeon.rimworld.anomaly,8,no_loose_png,Things/Pawn/Fleshbeast/Bulbfreak/Bulbfreak,Bulbfreak,1,0,1,,
187,Chimera,chimera,Anomaly,ludeon.rimworld.anomaly,8,no_loose_png,Things/Pawn/Chimera/Chimera_A,Chimera,1,0,1,,
188,CreepJoiner,human,Anomaly,ludeon.rimworld.anomaly,8,no_pawnkind,,,,,,,
189,Devourer,devourer,Anomaly,ludeon.rimworld.anomaly,8,no_loose_png,Things/Pawn/Devourer/Devourer,Devourer,1,0,1,,
190,Dreadmeld,dreadmeld,Anomaly,ludeon.rimworld.anomaly,8,no_loose_png,Things/Pawn/Fleshbeast/Dreadmeld/Dreadmeld,Dreadmeld,1,0,1,,
191,Fingerspike,fingerspike,Anomaly,ludeon.rimworld.anomaly,8,no_loose_png,Things/Pawn/Fleshbeast/Fingerspike/Fingerspike,Fingerspike,1,0,1,,
192,FleshmassNucleus,fleshmass nucleus,Anomaly,ludeon.rimworld.anomaly,8,no_loose_png,Things/Pawn/FleshmassNucleus,FleshmassNucleus,1,0,1,,
193,Gorehulk,gorehulk,Anomaly,ludeon.rimworld.anomaly,8,no_loose_png,Things/Pawn/Gorehulk/Gorehulk_A,Gorehulk,2,0,1,,
194,Metalhorror,metalhorror,Anomaly,ludeon.rimworld.anomaly,8,no_loose_png,Things/Pawn/Metalhorror/Metalhorror_Mature,Metalhorror,1,2,3,,
195,Nociosphere,nociosphere,Anomaly,ludeon.rimworld.anomaly,8,no_loose_png,Things/Pawn/Nociosphere/Nociosphere_Center,Nociosphere,1,0,1,,
196,Noctol,noctol,Anomaly,ludeon.rimworld.anomaly,8,no_loose_png,Things/Pawn/Noctol/Noctol,Noctol,1,0,1,,
197,Revenant,revenant,Anomaly,ludeon.rimworld.anomaly,8,no_loose_png,Things/Pawn/Revenant/Revenant,Revenant,1,0,1,,
198,Sightstealer,sightstealer,Anomaly,ludeon.rimworld.anomaly,8,no_loose_png,Things/Pawn/Sightstealer/Sightstealer_A,Sightstealer,1,0,1,,
199,Toughspike,toughspike,Anomaly,ludeon.rimworld.anomaly,8,no_loose_png,Things/Pawn/Fleshbeast/Toughspike/Toughspike,Toughspike,1,0,1,,
200,Trispike,trispike,Anomaly,ludeon.rimworld.anomaly,8,no_loose_png,Things/Pawn/Fleshbeast/Trispike/Trispike,Trispike,1,0,1,,
201,,,Asimov,neronix17.asimov,57,no_defName,,,,,,,AsimovAutomatonBase
202,,,Asimov,neronix17.asimov,57,no_defName,,,,,,,AsimovNonEnergyAutomatonBase
203,AlligatorMan,alligator man,Beasts of the Rim (Continued),mlie.beastsoftherim,62,no_loose_png,Things/Pawn/Animal/AlligatorMan,AlligatorMan,1,2,3,,
204,Armadillo,armadillo,Beasts of the Rim (Continued),mlie.beastsoftherim,62,no_loose_png,Things/Pawn/Animal/Armadillo/Armadillo,Armadillo,2,2,3,,
205,Bardelot,bardelot,Beasts of the Rim (Continued),mlie.beastsoftherim,62,no_loose_png,Things/Pawn/Animal/Bardelot,Bardelot,1,2,3,,
