species,implementations,recommended_source,recommended_defName,rec_mech_genes,rec_total_genes,rec_combatPowerFactor,rec_unresolved_genes,outerrim_defName,outerrim_mech,outerrim_total,swxeno_defName,swxeno_mech,swxeno_total,btd_defName,btd_mech,btd_total,recommended_mechanical_gene_list
Abednedo,2,BTD,BTD_Abednedo,6,18,1.0,0,OuterRim_Abednedo,1,6,,,,BTD_Abednedo,6,18,WoundHealing_Slow OuterRim_AbednedoHead DarkVision Outland_ThickSkin AptitudeStrong_Construction AptitudeStrong_Mining
Anzati,1,BTD,BTD_Anzati,19,28,1.0,0,,,,,,,BTD_Anzati,19,28,ArchiteMetabolism PerfectImmunity TotalHealing Hemogenic HemogenDrain Bloodfeeder Coagulate Deathrest LongjumpLegs WoundHealing_Fast Superclotting PsychicAbility_Enhanced LowSleep Robust DarkVision Hair_Grayless AptitudeStrong_Melee AptitudeStrong_Social AptitudeStrong_Intellectual
Aqualish,3,BTD,BTD_Aqualish,8,16,1.0,0,OuterRim_Aqualish,3,10,guy762_xenotype_aqualish,3,17,BTD_Aqualish,8,16,Aggression_HyperAggressive Pain_Reduced Outland_EggLayer OuterRim_AqualishHead Hands_Pig DarkVision Outland_InsectBody AptitudeStrong_Shooting
Arkanian,3,BTD,BTD_Arkanian,14,20,1.0,0,OuterRim_Arkanian,3,8,guy762_xenotype_arkanian,12,16,BTD_Arkanian,14,20,ArchiteMetabolism Turn_Gene_Certain Turn_Gene_BiosculptAccelerated MinTemp_SmallDecrease MaxTemp_SmallDecrease UVSensitivity_Mild Beauty_Pretty Turn_Gene_HighBeautyStandard Outland_Hands_Talons Learning_Fast DarkVision Hair_Grayless AptitudeStrong_Medicine AptitudeStrong_Intellectual
Bith,3,SWXeno,guy762_xenotype_bith,11,17,0.9,0,OuterRim_Bith,3,7,guy762_xenotype_bith,11,17,BTD_Bith,6,10,guy762_statgene_senses Turn_Gene_VerySlowNeuralHeat Turn_Gene_MeditationNeed Neversleep Libido_Low Sterile Turn_Gene_FrailDigestion Nearsighted ElongatedFingers AptitudeRemarkable_Artistic AptitudeStrong_Intellectual
Bothan,3,BTD,BTD_Bothan,11,20,1.0,0,OuterRim_Bothan,4,11,guy762_xenotype_bothan,4,12,BTD_Bothan,11,20,guy762_statgene_metabolismcheat guy762_BodySizeGene_small WoundHealing_Slow Outland_AcceleratedPregnancy OuterRim_BothanHead Tail_Furry Hair_Grayless Outland_Furbody Outland_AcceleratedMaturation AptitudeStrong_Social AptitudeStrong_Intellectual
Cathar,3,BTD,BTD_Cathar,9,25,1.0,0,OuterRim_Cathar,1,16,guy762_xenotype_cathar,7,17,BTD_Cathar,9,25,guy762_statgene_predator MoveSpeed_Quick BS_Diet_Carnivore OuterRim_CatharHead AptitudeStrong_Shooting AptitudeStrong_Melee AptitudePoor_Cooking AptitudePoor_Plants AptitudePoor_Animals
Cerean,2,BTD,BTD_Cerean,6,7,1.0,0,OuterRim_Cerean,1,1,,,,BTD_Cerean,6,7,guy762_BodySizeGene_big PsychicAbility_Enhanced Turn_Gene_SlowNeuralHeat Turn_Gene_MeditationNeed OuterRim_CereanHead AptitudeStrong_Intellectual
ChadraFan,2,BTD,BTD_ChadraFan,18,26,0.6,0,,,,guy762_xenotype_chadrafan,13,22,BTD_ChadraFan,18,26,guy762_Nose_SmallPig guy762_BodySizeGene_smaller guy762_lifespan_half Turn_Gene_Uncertain Mood_Sanguine UVSensitivity_Mild MeleeDamage_Weak LowSleep Delicate Outland_AcceleratedPregnancy DarkVision Furskin Outland_AcceleratedMaturation AptitudePoor_Shooting AptitudePoor_Melee AptitudeStrong_Mining AptitudePoor_Animals AptitudeStrong_Crafting
Chagrian,2,BTD,BTD_Chagrian,13,24,1.0,0,OuterRim_Chagrian,0,6,,,,BTD_Chagrian,13,24,guy762_statgene_metabolismcheat WoundHealing_Fast ToxResist_Partial FireWeakness Libido_High Outland_EggLayer Outland_LowFertility Outland_DeceleratedPregnancy Learning_Fast AptitudePoor_Plants AptitudePoor_Animals AptitudeStrong_Medicine AptitudeStrong_Social
Chiss,3,SWXeno,guy762_xenotype_chiss,9,20,1.0,0,OuterRim_Chiss,7,13,guy762_xenotype_chiss,9,20,BTD_Chiss,9,14,PsychicAbility_Dull MinTemp_LargeDecrease MaxTemp_SmallDecrease UVSensitivity_Mild Aggression_DeadCalm DarkVision guy762_BodySizeGene_big AptitudePoor_Social AptitudeStrong_Intellectual
Dathomirian,3,BTD,BTD_Dathomirian,11,21,1.0,0,OuterRim_Dathomirian,1,9,guy762_xenotype_zabrakDathomiri,7,16,BTD_Dathomirian,11,21,Turn_Gene_LatentPsychic Turn_Gene_MeditationNeed Turn_Gene_TraitGrandeur Aggression_HyperAggressive MeleeDamage_Strong Turn_Gene_Duelist Robust Pain_Reduced Outland_LowFertility OuterRim_DathomirianHead Outland_ThickSkin
Defel,2,BTD,BTD_Defel,12,22,0.6,0,,,,guy762_xenotype_defel,8,18,BTD_Defel,12,22,guy762_Nose_Dog guy762_statgene_predator guy762_BodySizeGene_small BS_Diet_Carnivore StrongStomach RobustDigestion Nearsighted DarkVision Furskin AptitudeStrong_Melee AptitudeTerrible_Medicine AptitudeTerrible_Intellectual
Devaronian,3,BTD,BTD_Devaronian,7,20,1.0,0,OuterRim_Devaronian,2,7,guy762_xenotype_devaronian,7,15,BTD_Devaronian,7,20,Mood_Pessimist MinTemp_SmallIncrease BS_Diet_Carnivore ToxResist_Total FireResistant Outland_DeceleratedPregnancy Outland_ThickSkin
Duros,3,BTD,BTD_Duros,8,16,1.0,0,OuterRim_Duros,1,6,guy762_xenotype_duros,1,8,BTD_Duros,8,16,MinTemp_SmallIncrease Outland_EggLayer Outland_DeceleratedPregnancy OuterRim_DurosHead ElongatedFingers Outland_Scalebody AptitudeStrong_Shooting AptitudePoor_Melee
Echani,2,BTD,BTD_Echani,12,18,0.6,0,,,,guy762_xenotype_echani,6,12,BTD_Echani,12,18,Turn_Gene_MeditationNeed MeleeDamage_Strong Turn_Gene_Duelist Outland_LowFertility Outland_DeceleratedPregnancy Beauty_Pretty Turn_Gene_HighBeautyStandard Hair_Grayless AptitudePoor_Shooting AptitudeRemarkable_Melee AptitudePoor_Animals AptitudeStrong_Crafting
Ewok,3,BTD,BTD_Ewok,16,32,1.0,0,OuterRim_Ewok,4,13,guy762_xenotype_ewok,8,22,BTD_Ewok,16,32,guy762_statgene_predator guy762_BodySizeGene_smaller Turn_Gene_PruningAccelerated Turn_Gene_GauranlenNeed NakedSpeed Aggression_Aggressive Robust Libido_High Fertile Outland_AcceleratedPregnancy Turn_Gene_LowBeautyStandard DarkVision GS_Primitive Furskin Outland_AcceleratedMaturation Outland_UnusualSpeech
