mod,packageId,file,xpath
Big and Small - Framework,redmattis.betterprerequisites,1.6/Base/Patches/compatibilityPatches.xml,"Defs/ThingDef[defName=""VNPE_NutrientPasteFeeder""]/comps/li[@Class=""PipeSystem.CompProperties_ConvertResourceToThing""]/maxOutputStackSize"
Vanilla Expanded Framework,oskarpotocki.vanillafactionsexpanded.core,1.6/Patches/Biotech/LearningBonusPatches.xml,"Defs/ThingDef[defName=""Blackboard""]/comps/li[@Class=""CompProperties_Facility""]/statOffsets"
Vanilla Expanded Framework,oskarpotocki.vanillafactionsexpanded.core,1.6/Patches/Biotech/LearningBonusPatches.xml,"Defs/ThingDef[defName=""Blackboard""]/comps/li[@Class=""CompProperties_Facility""]"
Vanilla Expanded Framework,oskarpotocki.vanillafactionsexpanded.core,1.6/Patches/Biotech/LearningBonusPatches.xml,"Defs/ThingDef[defName=""SchoolDesk""]/statBases"
Vanilla Expanded Framework,oskarpotocki.vanillafactionsexpanded.core,1.6/Patches/Biotech/LearningBonusPatches.xml,"Defs/ThingDef/comps/li[compClass=""CompStatEntrySchoolDesk""]"
Vanilla Expanded Framework,oskarpotocki.vanillafactionsexpanded.core,1.6/Patches/Biotech/LearningBonusPatches.xml,"Defs/ThingDef/comps/li[compClass=""CompInspectStringBlackboard""]"
[HMC]Wall Furniture,hmc.wall.furniture,1.6/Patches/Patch.xml,"/Defs/ThingDef/comps/li[@Class=""CompProperties_AffectedByFacilities""]/linkableFacilities/li[text()=""ToolCabinet""]/.."
[HMC]Wall Furniture,hmc.wall.furniture,1.6/Patches/Patch.xml,"*/ThingDef[defName = ""HiTechResearchBench""]/comps/li[@Class=""CompProperties_AffectedByFacilities""]/linkableFacilities"
[HMC]Wall Furniture,hmc.wall.furniture,1.6/Patches/Patch.xml,"/Defs/ThingDef/comps/li[@Class=""CompProperties_AffectedByFacilities""]/linkableFacilities/li[text()=""VitalsMonitor""]/.."
[HMC]Wall Furniture,hmc.wall.furniture,1.6/Patches/Reel‘sTurretPipeline.xml,"/Defs/ThingDef[defName=""HMC_Wall_Emp_Turret""]/comps/li[@Class=""CompProperties_Refuelable""]/fuelFilter/thingDefs/li"
[HMC]Wall Furniture,hmc.wall.furniture,1.6/Patches/Reel‘sTurretPipeline.xml,"/Defs/ThingDef[defName=""HMC_Wall_Emp_Turret_Ship""]/comps/li[@Class=""CompProperties_Refuelable""]/fuelFilter/thingDefs/li"
[HMC]Wall Furniture,hmc.wall.furniture,1.6/Patches/Reel‘sTurretPipeline.xml,"/Defs/ThingDef[defName=""HMC_Wall_FireShotgun_Turret""]/comps/li[@Class=""CompProperties_Refuelable""]/fuelFilter/thingDefs/li"
[HMC]Wall Furniture,hmc.wall.furniture,1.6/Patches/Reel‘sTurretPipeline.xml,"/Defs/ThingDef[defName=""HMC_Wall_LightMachinegun_Turret""]/comps/li[@Class=""CompProperties_Refuelable""]/fuelFilter/thingDefs/li"
[HMC]Wall Furniture,hmc.wall.furniture,1.6/Patches/Reel‘sTurretPipeline.xml,"/Defs/ThingDef[defName=""HMC_Wall_MachineCannon_Turret_Ship""]/comps/li[@Class=""CompProperties_Refuelable""]/fuelFilter/thingDefs/li"
[HMC]Wall Furniture,hmc.wall.furniture,1.6/Patches/Reel‘sTurretPipeline.xml,"/Defs/ThingDef[defName=""HMC_Wall_Minigun_Turret""]/comps/li[@Class=""CompProperties_Refuelable""]/fuelFilter/thingDefs/li"
[HMC]Wall Furniture,hmc.wall.furniture,1.6/Patches/Reel‘sTurretPipeline.xml,"/Defs/ThingDef[defName=""HMC_Wall_Minigun_Turret_Ship""]/comps/li[@Class=""CompProperties_Refuelable""]/fuelFilter/thingDefs/li"
[RH2] Uncle Boris' - Used Furniture,cp.uncle.boris.used.furniture,1.6/Patches/Linkables_Patch.xml,"Defs/ThingDef[defName = ""HospitalBed""]/comps/li[@Class = ""CompProperties_AffectedByFacilities""]/linkableFacilities"
[RH2] Uncle Boris' - Used Furniture,cp.uncle.boris.used.furniture,1.6/Patches/Linkables_Patch.xml,"Defs/ThingDef[@Name = ""BasicBedBase""]/comps/li[@Class = ""CompProperties_AffectedByFacilities""]/linkableFacilities"
[RH2] Uncle Boris' - Used Furniture,cp.uncle.boris.used.furniture,1.6/Patches/Linkables_Patch.xml,"Defs/ThingDef[defName = ""Bedroll""]/comps/li[@Class = ""CompProperties_AffectedByFacilities""]/linkableFacilities"
[RH2] Uncle Boris' - Used Furniture,cp.uncle.boris.used.furniture,1.6/Patches/Patch_AddKidnappedColonistEventTo_RC - Copy.xml,"*/ThingDef[defName=""RH2_MissionBoard""]/comps/li[@Class=""ReinforcementCall.CompProperties_MissionBoardRC""]/doableMissions"
[RH2] Uncle Boris' - Used Furniture,cp.uncle.boris.used.furniture,1.6/Patches/Patch_AddSparklingWorldsEventsToMission_RC - Copy.xml,"*/ThingDef[defName=""RH2_MissionBoard""]/comps/li[@Class=""ReinforcementCall.CompProperties_MissionBoardRC""]/doableMissions"
[RH2] Uncle Boris' - Used Furniture,cp.uncle.boris.used.furniture,1.6/Patches/Patch_RealRuins.xml,"*/ThingDef[defName=""RH2_MissionBoard""]/comps/li[@Class=""ReinforcementCall.CompProperties_MissionBoardRC""]/doableMissions"
[RH2] Uncle Boris' - Used Furniture,cp.uncle.boris.used.furniture,1.6/Patches/Patch_Royalty.xml,"*/ThingDef[defName=""RH2_MissionBoard""]/comps/li[@Class=""ReinforcementCall.CompProperties_MissionBoardRC""]/doableQuests"
[RH2] Uncle Boris' - Used Furniture,cp.uncle.boris.used.furniture,1.6/Patches/Patch_Royalty.xml,"*/ThingDef[defName=""RH2_MissionBoard""]/comps/li[@Class=""ReinforcementCall.CompProperties_MissionBoardRC""]/doableQuests"
[RH2] Uncle Boris' - Used Furniture,cp.uncle.boris.used.furniture,1.6/Patches/Patch_Royalty.xml,"*/ThingDef[defName=""RH2_MissionBoard""]/comps/li[@Class=""ReinforcementCall.CompProperties_MissionBoardRC""]/doableQuests"
[RH2] Uncle Boris' - Used Furniture,cp.uncle.boris.used.furniture,1.6/Patches/Patch_Royalty.xml,"*/ThingDef[defName=""RH2_MissionBoard""]/comps/li[@Class=""ReinforcementCall.CompProperties_MissionBoardRC""]/doableQuests"
[RH2] Uncle Boris' - Used Furniture,cp.uncle.boris.used.furniture,1.6/Patches/Patch_Royalty.xml,"*/ThingDef[defName=""RH2_MissionBoard""]/comps/li[@Class=""ReinforcementCall.CompProperties_MissionBoardRC""]/doableQuests"
[RH2] Uncle Boris' - Used Furniture,cp.uncle.boris.used.furniture,1.6/Patches/Patch_Royalty.xml,"*/ThingDef[defName=""RH2_MissionBoard""]/comps/li[@Class=""ReinforcementCall.CompProperties_MissionBoardRC""]/doableQuests"
[RH2] Uncle Boris' - Used Furniture,cp.uncle.boris.used.furniture,1.6/Patches/Patch_Royalty.xml,"*/ThingDef[defName=""RH2_MissionBoard""]/comps/li[@Class=""ReinforcementCall.CompProperties_MissionBoardRC""]/doableQuests"
[RH2] Uncle Boris' - Used Furniture,cp.uncle.boris.used.furniture,1.6/Patches/Patch_Royalty.xml,"*/ThingDef[defName=""RH2_MissionBoard""]/comps/li[@Class=""ReinforcementCall.CompProperties_MissionBoardRC""]/doableQuests"
[RH2] Uncle Boris' - Used Furniture,cp.uncle.boris.used.furniture,1.6/Patches/Patch_Royalty.xml,"*/ThingDef[defName=""RH2_MissionBoard""]/comps/li[@Class=""ReinforcementCall.CompProperties_MissionBoardRC""]/doableQuests"
[RH2] Uncle Boris' - Used Furniture,cp.uncle.boris.used.furniture,1.6/Patches/Patch_VanillaExpandedSettlers.xml,"*/ThingDef[defName=""RH2_MissionBoard""]/comps/li[@Class=""ReinforcementCall.CompProperties_MissionBoardRC""]/doableQuests"
Alpha Biomes,sarg.alphabiomes,1.6/Patches/BirdsBeyondTemperateForest.xml,"/Defs/BiomeDef[defName=""AB_GallatrossGraveyard""]/wildAnimals"
Alpha Biomes,sarg.alphabiomes,1.6/Patches/BirdsBeyondTemperateForest.xml,"/Defs/BiomeDef[defName=""AB_GelatinousSuperorganism""]/wildAnimals"
Alpha Biomes,sarg.alphabiomes,1.6/Patches/BirdsBeyondTemperateForest.xml,"/Defs/BiomeDef[defName=""AB_IdyllicMeadows""]/wildAnimals"
Alpha Biomes,sarg.alphabiomes,1.6/Patches/BirdsBeyondTemperateForest.xml,"/Defs/BiomeDef[defName=""AB_MechanoidIntrusion""]/wildAnimals"
Alpha Biomes,sarg.alphabiomes,1.6/Patches/BirdsBeyondTemperateForest.xml,"/Defs/BiomeDef[defName=""AB_MycoticJungle""]/wildAnimals"
