defName,modName,label,capacities,power,cooldownTime,dps,armorPenetration,linkedBodyPartsGroup,chanceFactor
,Core,left claw,Scratch,17,2,8.5,,FrontLeftPaw,
,Core,right claw,Scratch,17,2,8.5,,FrontRightPaw,
,Core,,Bite,23.6,2.6,9.08,,Teeth,0.5
,Core,head,Blunt,11,2,5.5,,HeadAttackTool,0.2
Bear_Grizzly,Core,left claw,Scratch,17,2,8.5,,FrontLeftPaw,
Bear_Grizzly,Core,right claw,Scratch,17,2,8.5,,FrontRightPaw,
Bear_Grizzly,Core,,Bite,23.6,2.6,9.08,,Teeth,0.5
Bear_Grizzly,Core,head,Blunt,11,2,5.5,,HeadAttackTool,0.2
Bear_Polar,Core,left claw,Scratch,17,2,8.5,,FrontLeftPaw,
Bear_Polar,Core,right claw,Scratch,17,2,8.5,,FrontRightPaw,
Bear_Polar,Core,,Bite,23.6,2.6,9.08,,Teeth,0.5
Bear_Polar,Core,head,Blunt,11,2,5.5,,HeadAttackTool,0.2
Ostrich,Core,claws,Scratch,11,1.5,7.33,,Feet,
Ostrich,Core,beak,Bite,11,2,5.5,,Beak,
Ostrich,Core,head,Blunt,6,2,3.0,,HeadAttackTool,0.2
Emu,Core,claws,Scratch,8,1.5,5.33,,Feet,
Emu,Core,beak,Bite,9,2,4.5,,Beak,
Emu,Core,head,Blunt,6,2,3.0,,HeadAttackTool,0.2
Cassowary,Core,claws,Scratch,7,1.5,4.67,,Feet,
Cassowary,Core,beak,Bite,8,2,4.0,,Beak,
Cassowary,Core,head,Blunt,6,2,3.0,,HeadAttackTool,0.2
,Core,left claw,Scratch,11,1.5,7.33,,FrontLeftPaw,
,Core,right claw,Scratch,11,1.5,7.33,,FrontRightPaw,
,Core,,Bite,16,2,8.0,,Teeth,0.7
,Core,head,Blunt,9,2,4.5,,HeadAttackTool,0.2
Cougar,Core,left claw,Scratch,11,1.5,7.33,,FrontLeftPaw,
Cougar,Core,right claw,Scratch,11,1.5,7.33,,FrontRightPaw,
Cougar,Core,,Bite,16,2,8.0,,Teeth,0.7
Cougar,Core,head,Blunt,9,2,4.5,,HeadAttackTool,0.2
Lynx,Core,left claw,Scratch,9,1.5,6.0,,FrontLeftPaw,
Lynx,Core,right claw,Scratch,9,1.5,6.0,,FrontRightPaw,
Lynx,Core,,Bite,12,2,6.0,,Teeth,0.7
Lynx,Core,head,Blunt,6,2,3.0,,HeadAttackTool,0.2
Cat,Core,left claw,Scratch,6,1.5,4.0,,FrontLeftPaw,
Cat,Core,right claw,Scratch,6,1.5,4.0,,FrontRightPaw,
Cat,Core,,Bite,7,2,3.5,,Teeth,0.7
Cat,Core,head,Blunt,3,2,1.5,,HeadAttackTool,0.2
YorkshireTerrier,Core,left claw,Scratch,3.6,2,1.8,,FrontLeftPaw,
YorkshireTerrier,Core,right claw,Scratch,3.6,2,1.8,,FrontRightPaw,
YorkshireTerrier,Core,cute little teeth,Bite,4.8,2,2.4,,Teeth,0.7
YorkshireTerrier,Core,head,Blunt,2,2,1.0,,HeadAttackTool,0.2
GuineaPig,Core,left claw,Scratch,3.6,1.5,2.4,,FrontLeftPaw,
GuineaPig,Core,right claw,Scratch,3.6,1.5,2.4,,FrontRightPaw,
GuineaPig,Core,,Bite,5.8,2,2.9,,Teeth,0.7
