defName,modName,index,def,minAge,soundWounded
,Core,0,AnimalBaby,0,
,Core,1,AnimalJuvenile,0.2,
,Core,2,AnimalAdult,0.5,Pawn_Bear_Injured
Bear_Grizzly,Core,0,AnimalBaby,0,
Bear_Grizzly,Core,1,AnimalJuvenile,0.2,
Bear_Grizzly,Core,2,AnimalAdult,0.5,Pawn_Bear_Injured
Bear_Polar,Core,0,AnimalBaby,0,
Bear_Polar,Core,1,AnimalJuvenile,0.2,
Bear_Polar,Core,2,AnimalAdult,0.5,Pawn_Bear_Injured
Ostrich,Core,0,AnimalBabyTiny,0,Pawn_Chick_Call
Ostrich,Core,1,AnimalJuvenile,0.1,
Ostrich,Core,2,AnimalAdult,0.2222,
Emu,Core,0,AnimalBabyTiny,0,Pawn_Chick_Call
Emu,Core,1,AnimalJuvenile,0.1,
Emu,Core,2,AnimalAdult,0.2222,
Cassowary,Core,0,AnimalBabyTiny,0,Pawn_Chick_Call
Cassowary,Core,1,AnimalJuvenile,0.1,
Cassowary,Core,2,AnimalAdult,0.2222,
,Core,0,AnimalBaby,0,
,Core,1,AnimalJuvenile,0.25,
,Core,2,AnimalAdult,0.5,Pawn_Cougar_Injured
Cougar,Core,0,AnimalBaby,0,
Cougar,Core,1,AnimalJuvenile,0.25,
Cougar,Core,2,AnimalAdult,0.5,Pawn_Cougar_Injured
Lynx,Core,0,AnimalBaby,0,
Lynx,Core,1,AnimalJuvenile,0.2,
Lynx,Core,2,AnimalAdult,0.5,Pawn_Cougar_Injured
Cat,Core,0,AnimalBaby,0,
Cat,Core,1,AnimalJuvenile,0.15,
Cat,Core,2,AnimalAdult,0.4,Pawn_Cat_Injured
YorkshireTerrier,Core,0,AnimalBaby,0,
YorkshireTerrier,Core,1,AnimalJuvenile,0.1,
YorkshireTerrier,Core,2,AnimalAdult,0.3,Pawn_DogSmall_Injured
GuineaPig,Core,0,AnimalBaby,0,
GuineaPig,Core,1,AnimalJuvenile,0.15,Pawn_GuineaPig_Wounded
GuineaPig,Core,2,AnimalAdult,0.2,Pawn_GuineaPig_Wounded
LabradorRetriever,Core,0,AnimalBaby,0,
LabradorRetriever,Core,1,AnimalJuvenile,0.25,
LabradorRetriever,Core,2,AnimalAdult,0.5,Pawn_Dog_Injured
Husky,Core,0,AnimalBaby,0,
Husky,Core,1,AnimalJuvenile,0.25,
Husky,Core,2,AnimalAdult,0.5,Pawn_Dog_Injured
Monkey,Core,0,AnimalBaby,0,
Monkey,Core,1,AnimalJuvenile,0.2,
Monkey,Core,2,AnimalAdult,0.266,Pawn_Monkey_Wounded
Chicken,Core,0,AnimalBabyTiny,0,Pawn_Chick_Call
Chicken,Core,1,AnimalJuvenile,0.12,
Chicken,Core,2,AnimalAdult,0.2,Pawn_Chicken_Wounded
Duck,Core,0,AnimalBabyTiny,0,Pawn_Chick_Call
Duck,Core,1,AnimalJuvenile,0.12,
Duck,Core,2,AnimalAdult,0.2,Pawn_Duck_Wounded
Turkey,Core,0,AnimalBabyTiny,0,Pawn_Chick_Call
Turkey,Core,1,AnimalJuvenile,0.12,
Turkey,Core,2,AnimalAdult,0.2,
Goose,Core,0,AnimalBabyTiny,0,Pawn_Chick_Call
Goose,Core,1,AnimalJuvenile,0.12,
Goose,Core,2,AnimalAdult,0.2,Pawn_Goose_Wounded
Cow,Core,0,AnimalBaby,0,
Cow,Core,1,AnimalJuvenile,0.20,
Cow,Core,2,AnimalAdult,0.3333,Pawn_Muffalo_Wounded
Boomalope,Core,0,AnimalBaby,0,
Boomalope,Core,1,AnimalJuvenile,0.2,
Boomalope,Core,2,AnimalAdult,0.3333,Pawn_Muffalo_Wounded
Muffalo,Core,0,AnimalBaby,0,
Muffalo,Core,1,AnimalJuvenile,0.25,
Muffalo,Core,2,AnimalAdult,0.3333,Pawn_Muffalo_Wounded
Bison,Core,0,AnimalBaby,0,
Bison,Core,1,AnimalJuvenile,0.25,
Bison,Core,2,AnimalAdult,0.3333,Pawn_Bison_Wounded
Dromedary,Core,0,AnimalBaby,0,
Dromedary,Core,1,AnimalJuvenile,0.25,
Dromedary,Core,2,AnimalAdult,0.3333,Pawn_Dromedary_Wounded
Goat,Core,0,AnimalBaby,0,
Goat,Core,1,AnimalJuvenile,0.1,
Goat,Core,2,AnimalAdult,0.266,Pawn_Goat_Wounded
Elk,Core,0,AnimalBaby,0,
Elk,Core,1,AnimalJuvenile,0.20,
Elk,Core,2,AnimalAdult,0.3333,Pawn_Elk_Wounded
Yak,Core,0,AnimalBaby,0,
Yak,Core,1,AnimalJuvenile,0.2,
Yak,Core,2,AnimalAdult,0.3333,Pawn_Muffalo_Wounded
Caribou,Core,0,AnimalBaby,0,
Caribou,Core,1,AnimalJuvenile,0.2,
Caribou,Core,2,AnimalAdult,0.3,Pawn_Elk_Wounded
Horse,Core,0,AnimalBaby,0,
Horse,Core,1,AnimalJuvenile,0.25,
Horse,Core,2,AnimalAdult,0.3333,Pawn_Horse_Wounded
Donkey,Core,0,AnimalBaby,0,
Donkey,Core,1,AnimalJuvenile,0.25,
Donkey,Core,2,AnimalAdult,0.3333,Pawn_Donkey_Wounded
Elephant,Core,0,AnimalBaby,0,
Elephant,Core,1,AnimalJuvenile,0.3,
Elephant,Core,2,AnimalAdult,0.666,Pawn_Elephant_Injured
Rhinoceros,Core,0,AnimalBaby,0,
Rhinoceros,Core,1,AnimalJuvenile,0.3,
Rhinoceros,Core,2,AnimalAdult,0.55,Pawn_Rhinoceros_Wounded
,Core,0,AnimalBaby,0,
,Core,1,AnimalJuvenile,0.1,
,Core,2,AnimalAdult,0.2222,Pawn_Hare_Wounded
Hare,Core,0,AnimalBaby,0,
Hare,Core,1,AnimalJuvenile,0.1,
Hare,Core,2,AnimalAdult,0.2222,Pawn_Hare_Wounded
Snowhare,Core,0,AnimalBaby,0,
Snowhare,Core,1,AnimalJuvenile,0.1,
Snowhare,Core,2,AnimalAdult,0.2222,Pawn_Hare_Wounded
Megascarab,Core,0,EusocialInsectLarva,0,
Megascarab,Core,1,EusocialInsectJuvenile,0.03,
Megascarab,Core,2,EusocialInsectAdult,0.4,Pawn_Megascarab_Wounded
Spelopede,Core,0,EusocialInsectLarva,0,
Spelopede,Core,1,EusocialInsectJuvenile,0.03,
Spelopede,Core,2,EusocialInsectAdult,0.2,Pawn_Spelopede_Pain
Megaspider,Core,0,EusocialInsectLarva,0,
Megaspider,Core,1,EusocialInsectJuvenile,0.03,
Megaspider,Core,2,EusocialInsectAdult,0.2,Pawn_BigInsect_Pain
Thrumbo,Core,0,AnimalBaby,0,
Thrumbo,Core,1,AnimalJuvenile,0.75,
Thrumbo,Core,2,AnimalAdult,1.332,Pawn_Thrumbo_Pain
Cobra,Core,0,AnimalBaby,0,
Cobra,Core,1,AnimalJuvenile,0.15,
Cobra,Core,2,AnimalAdult,0.5,Pawn_Cobra_Wounded
Tortoise,Core,0,AnimalBaby,0,
Tortoise,Core,1,AnimalJuvenile,0.15,
Tortoise,Core,2,AnimalAdult,0.2222,Pawn_Tortoise_Wounded
Alphabeaver,Core,0,AnimalBaby,0,
Alphabeaver,Core,1,AnimalJuvenile,0.10,
Alphabeaver,Core,2,AnimalAdult,0.3333,Pawn_Alphabeaver_Wounded
Pig,Core,0,AnimalBaby,0,
Pig,Core,1,AnimalJuvenile,0.1,
Pig,Core,2,AnimalAdult,0.3333,Pawn_Wildboar_Wounded
WildBoar,Core,0,AnimalBaby,0,
WildBoar,Core,1,AnimalJuvenile,0.1,
WildBoar,Core,2,AnimalAdult,0.3333,Pawn_Wildboar_Wounded
Ibex,Core,0,AnimalBaby,0,
Ibex,Core,1,AnimalJuvenile,0.1,
Ibex,Core,2,AnimalAdult,0.2222,Pawn_Deer_Wounded
Deer,Core,0,AnimalBaby,0,
Deer,Core,1,AnimalJuvenile,0.1,
Deer,Core,2,AnimalAdult,0.3333,Pawn_Deer_Wounded
Gazelle,Core,0,AnimalBaby,0,
Gazelle,Core,1,AnimalJuvenile,0.1,
Gazelle,Core,2,AnimalAdult,0.2222,Pawn_Deer_Wounded
Chinchilla,Core,0,AnimalBaby,0,
Chinchilla,Core,1,AnimalJuvenile,0.1,
Chinchilla,Core,2,AnimalAdult,0.2222,Pawn_Rodent_Wounded
Sheep,Core,0,AnimalBaby,0,
Sheep,Core,1,AnimalJuvenile,0.25,
Sheep,Core,2,AnimalAdult,0.3333,Pawn_Sheep_Wounded
Alpaca,Core,0,AnimalBaby,0,
Alpaca,Core,1,AnimalJuvenile,0.2,
Alpaca,Core,2,AnimalAdult,0.3333,Pawn_Elk_Wounded
Megasloth,Core,0,AnimalBaby,0,
