distinct supply tags: 823  capture: None None
    1  AdrenalAmplifier
    1  AncientAstrosuit
    1  Archon
    3  BS_Jackets
    7  BS_MedievalBasic
    2  BS_MedievalBasicWeather
    2  BS_RoyalAndIdeologyHats
    1  Barbarian
    4  BeltDefense
    5  BeltDefensePop
    2  BeltRangedShield
    1  BestowerHood
    1  BloodCoagulator
    2  BountyJetpack
    1  CZC_enforcer
    1  Cape
    1  CardioRegulator
    2  CivilianJetpack
    1  CloneTrooperIIBlank
    2  CryptoHeavy
    2  CryptoLight
    3  DroidArmor
    1  DroidDeflectorShield
    1  DroidJetpack
   25  EVA
    6  EXC_apparel_CapoOrVigo
    7  Forsaken
    1  Gunlink
    1  Horaxian
    1  HoraxianCeremonial
    4  Horrors
    2  Horrors_Mastermind
    6  HypertechBelt
    4  HypertechVambrace
    2  ImperialAgent
   21  ImperialApparel
    5  ImperialArmy
    2  ImperialArmyFatigues
    3  ImperialCadet
    3  ImperialDeathTrooper
    1  ImperialGunner
    1  ImperialJetpack
    1  ImperialJumpsuit
    6  ImperialOfficer
    3  ImperialRangeTrooper
    3  ImperialScout
    3  ImperialSnowtrooper
    2  ImperialSpecialist
    3  ImperialStormtrooper
    1  ImperialStormtrooperEnlisted
    2  ImperialStormtrooperOfficer
    1  ImperialStormtrooperSergeant
    2  ImperialStormtrooperSpecialist
    8  IndustrialAdvanced
   20  IndustrialBasic
    2  IndustrialMilitary
    4  IndustrialMilitaryAdvanced
    7  IndustrialMilitaryBasic
    1  InertialInhibitor
    5  Jetpack
    8  Jewelry
    1  KRA_trooper
   10  KotORAccessory_any
    2  KotORAccessory_backpack
    2  KotORAccessory_bandolier
    1  KotORAccessory_bigbackpack
    1  KotORAccessory_camoponcho
    3  KotORAccessory_civilian
    2  KotORAccessory_debug
    2  KotORAccessory_engi
    3  KotORAccessory_heavy
    1  KotORAccessory_knifebandolier
    2  KotORAccessory_light
    2  KotORAccessory_lightdiagonalonly
    3  KotORAccessory_outlaw
    1  KotORAccessory_richcivilian
    1  KotORAccessory_scorchbackpack
    1  KotORAccessory_smallbackpack
    2  KotORAccessory_specops
    1  KotORAccessory_trader
    5  KotORAccessory_trooper
    5  KotORAccessory_trooper_poncho_knife
    3  KotORAccessory_trooper_strapsonly
    4  KotORAccessory_trooper_withponcho
    2  KotORApparel_pilothelmet
    1  KotORArmor_combatsuit
   16  KotORArmor_heavy
   16  KotORArmor_light
   20  KotORArmor_mid
    1  KotORArmor_undersuit
    3  KotORBelt_attribute
    3  KotORBelt_capacity
    1  KotORBelt_force
    4  KotORBelt_legendary
    1  KotORBelt_medicbelt
    2  KotORBelt_rare
    4  KotORBelt_utility
    8  KotORClothing_any
    3  KotORClothing_civilian_bougie
    6  KotORClothing_civilian_hooded
    3  KotORClothing_civilian_mid
    4  KotORClothing_civilian_prole
    4  KotORClothing_civilian_punk
    5  KotORClothing_civilian_villager
