file,name,width,height,cells,game_version,version_major,size_bucket,distinct_hash_count,region_count,region_size_mean,region_size_p50,region_size_p90,region_size_max_frac,perim_area_mean_overall,top5_sizes,top5_perimeters,top5_perim_area_ratios,openness_topk_k,openness_frac,openness_window_mean,openness_window_std,adjacency_distinct_pairs,adjacency_entropy_bits,chokepoint_erosion_radius,chokepoint_width_est,chokepoint_split_count
/mnt/d/Luke/dev/Rimworld/research/RimMandrake/hand_authored_maps/Grapes_Lone_Mountain_Bay/Lone Mountain Bay.rws,Grapes_Lone_Mountain_Bay,325,225,73125,1.4.3704 rev896,1.4,325+,11,1538,47.546,2.0,15.0,0.38003,2.97479,27790;9859;6429;6204;4090,8626;1734;1218;666;1468,0.31040;0.17588;0.18945;0.10735;0.35892,3,0.77838,0.77838,0.22445,23,2.89153,1,1,125
/mnt/d/Luke/dev/Rimworld/research/RimMandrake/hand_authored_maps/Grapes_Yirah_Valley/Yirah Valley Final.rws,Grapes_Yirah_Valley,275,325,89375,1.4.3704 rev896,1.4,325+,16,1133,78.883,2.0,16.0,0.49037,2.96303,43827;7525;4657;4496;2847,1018;1382;1068;620;900,0.02323;0.18365;0.22933;0.13790;0.31612,3,0.87987,0.87987,0.18869,48,3.93726,1,1,18
/mnt/d/Luke/dev/Rimworld/research/RimMandrake/hand_authored_maps/World_25/Lumi's Pass.rws,World_25,250,250,62500,1.4.3704 rev896,1.4,250,23,1327,47.099,2.0,23.4,0.11146,2.89203,6966;6894;6760;4522;4077,600;990;1626;1048;982,0.08613;0.14360;0.24053;0.23176;0.24086,3,0.75837,0.75837,0.26737,81,4.36591,1,1,53
/mnt/d/Luke/dev/Rimworld/research/RimMandrake/hand_authored_maps/World_26/TheTemple.rws,World_26,250,250,62500,1.4.3704 rev896,1.4,250,22,3056,20.452,2.0,15.0,0.13742,3.06354,8589;8083;2588;2581;2395,1966;1770;426;424;388,0.22890;0.21898;0.16461;0.16428;0.16200,3,0.68198,0.68198,0.25323,90,4.72547,1,1,72
/mnt/d/Luke/dev/Rimworld/research/RimMandrake/hand_authored_maps/World_27/AzurianMeadows.rws,World_27,300,300,90000,1.4.3704 rev896,1.4,300,29,2057,43.753,2.0,35.0,0.13376,2.81426,12038;8056;5126;4931;4882,2384;1124;1320;942;916,0.19804;0.13952;0.25751;0.19104;0.18763,3,0.63797,0.63797,0.25476,114,4.96076,1,1,51
/mnt/d/Luke/dev/Rimworld/research/RimMandrake/hand_authored_maps/World_28/FlowsEnd.rws,World_28,300,300,90000,1.4.3704 rev896,1.4,300,23,1728,52.083,2.0,23.0,0.16229,2.95158,14606;12911;12010;6412;4925,2154;2070;1648;734;2632,0.14747;0.16033;0.13722;0.11447;0.53442,3,0.71407,0.71407,0.28342,79,4.59297,1,1,100
/mnt/d/Luke/dev/Rimworld/research/RimMandrake/hand_authored_maps/World_29_Blood_Gulch/BloodGulch - Exits.rws,World_29_Blood_Gulch,250,250,62500,1.4.3704 rev896,1.4,250,12,805,77.64,3.0,44.6,0.17286,2.69315,10804;7600;6299;4330;4277,654;822;848;472;550,0.06053;0.10816;0.13462;0.10901;0.12859,3,0.78339,0.78339,0.26467,37,4.26242,1,1,58
/mnt/d/Luke/dev/Rimworld/research/RimMandrake/hand_authored_maps/World_29_Blood_Gulch/BloodGulch - No Exit.rws,World_29_Blood_Gulch,250,250,62500,1.4.3704 rev896,1.4,250,12,749,83.445,3.0,47.0,0.19168,2.66808,11980;10804;6448;4277;3966,1274;654;812;550;360,0.10634;0.06053;0.12593;0.12859;0.09077,3,0.786,0.786,0.2641,37,4.25045,1,1,55
/mnt/d/Luke/dev/Rimworld/research/RimMandrake/hand_authored_maps/World_30/Feylas Cirque [350 x 350].rws,World_30,350,350,122500,1.4.3704 rev896,1.4,325+,25,3821,32.06,3.0,32.0,0.06937,2.79047,8498;5245;4885;4449;4100,2738;962;982;1042;1030,0.32219;0.18341;0.20102;0.23421;0.25122,3,0.6062,0.6062,0.27764,132,4.89299,1,1,48
/mnt/d/Luke/dev/Rimworld/research/RimMandrake/hand_authored_maps/World_31_Deserted_Trader/DesertedTrader.rws,World_31_Deserted_Trader,275,275,75625,1.4.3704 rev896,1.4,275,20,1139,66.396,2.0,16.0,0.56948,3.05312,43067;21634;716;576;497,4192;2250;156;196;192,0.09734;0.10400;0.21788;0.34028;0.38632,3,0.92259,0.92259,0.12647,55,3.7662,1,1,73
