coll_num	title	label	kind	download_url
1	Rimworld: Mech Hive	In-game mod-manager list	file	https://drive.google.com/uc?export=download&id=1ZowXt2BYFfIQtfbtuWeie4fAmDYxjnbz
2	Rimworld: Warlock	In-game mod-manager list	file	https://drive.google.com/uc?export=download&id=1HTnCdw5O9IA1Fua-uMrqdu80ufOg-ki8
2	Rimworld: Warlock	Configs	file	https://drive.google.com/uc?export=download&id=1Mhp1dUIxroZovmT_y2T7gB9US5VjF-sO
3	Rimworld: Gravtasm — Character-driven Gravship Stories	In-game mod-manager list	file	https://drive.google.com/uc?export=download&id=1Jum6kr0t2yHWhN-iOB6XjhAb3oryvu_e
3	Rimworld: Gravtasm — Character-driven Gravship Stories	Configs	file	https://drive.google.com/uc?export=download&id=1WuILur24lAqmLJRnDkpE68P0uOTj55hu
4	Rimworld: Backrooms	In-game mod-manager list	file	https://drive.google.com/uc?export=download&id=1fHtvFF5GTgLo6XX_wWrgb2g78-7hBtI-
4	Rimworld: Backrooms	Configs	file	https://drive.google.com/uc?export=download&id=1lRoQ5dcxt5S4QqL5P5_OTsU_jEyrPPOF
5	Rimworld: Steampunk 2.0 — Elder Scrolls Dwemer	In-game mod-manager list	file	https://drive.google.com/uc?export=download&id=1vfps4dt_FW28OOV4muLxobTwsYq5BNIA
5	Rimworld: Steampunk 2.0 — Elder Scrolls Dwemer	Configs	file	https://drive.google.com/uc?export=download&id=1Pjsrww58EdUCWsBaoYIbseqIR6iI9Mbk
6	Rimworld: League of Villains	In-game mod-manager list	file	https://drive.google.com/uc?export=download&id=1Yj7MP_WXq_q4I2D5eEZ6tWLYnfmz6Ejg
6	Rimworld: League of Villains	Configs	file	https://drive.google.com/uc?export=download&id=10UktH3-zZI1lEf_qNh06LHvnUb4PD1mz
7	Rimworld: Degeneration	In-game mod-manager list	file	https://drive.google.com/uc?export=download&id=1uN0u2vfjndemGMd-pwtJKy510THF-2sV
7	Rimworld: Degeneration	Configs	file	https://drive.google.com/uc?export=download&id=1Vw38Zj-qIzC4-hkHNZqkhZuDG0mxe9v_
9	Rimworld: Lone Wanderer	In-game mod-manager list	file	https://drive.google.com/uc?export=download&id=1TDM2X0pTiOXpfy9CQEHTM-_0pILAlEkM
9	Rimworld: Lone Wanderer	Configs	file	https://drive.google.com/uc?export=download&id=1Gz6uTPD8_nPgpCBxdiDvHjOED-9j8lbq
10	Rimworld: Nature’s Wrath	In-game mod-manager list	file	https://drive.google.com/uc?export=download&id=1H2eKXqsDl_KiVtBIZBcK6S-wMtPH6zaB
10	Rimworld: Nature’s Wrath	Configs	file	https://drive.google.com/uc?export=download&id=13PqJGJbY15qtQKPbTMzsidSm4qXeUcuq
11	Rimworld: 1.6 Adventure Fantasy	In-game mod-manager list	file	https://drive.google.com/uc?export=download&id=1MRjjTv65yoFr_UaNaqF_pZJewvAb4g-w
11	Rimworld: 1.6 Adventure Fantasy	Configs	file	https://drive.google.com/uc?export=download&id=1Lt6OGb1Ztv0hU2vfW9OQJBQvYEXk2RO-
12	Rimworld: Mafia City	In-game mod-manager list	file	https://drive.google.com/uc?export=download&id=1YK1TGcHEK-YUsyigJRJ5UbjYAUry1rOv
12	Rimworld: Mafia City	Configs	file	https://drive.google.com/uc?export=download&id=1cTfnQgC3j_uMBSik1HFdtSRTeuB0QmKf
13	Deep Space Rim: Odyssey Kitchen Sink Pack	Configs	file	https://drive.google.com/uc?export=download&id=1LL0sHZlLvOBkU770q_oTazFXe5y-JT4K
14	Rimworld: Extreme Warfare	Configs	file	https://drive.google.com/uc?export=download&id=1NWezNwbRyvvLlx9ueKQ90HhhCqlSO7lj
