guy762.KotORWeapons elements EXCLUDED from absorption -- each references a
comp class confirmed to live in guy762.mm.kotorcore's own bundled DLLs
(CompExtraSounds / MentalBreakBlocker / SecondaryMineableYield /
SelfHediffVerb), which retire alongside kotorcore's Defs/. Absorbing these
verbatim today would silently break once kotorcore's C# is gone, unless
kotorcore's DLLs are kept active standalone or these classes are ported
into Jawa_Armoury's own assembly -- WEAPONS_ABSORPTION_WAVE_1's undecided
comp-porting fork. Not written to any Defs/ file; regenerate this list by
rerunning gen_kotorweapons_absorption.py.

defName	source file	matched class
guy762_Hediff_sithmask	ThingDefs_Apparel/Apparel_KotORFactions_Sith.xml	MentalBreakBlocker.
guy762_energyshield	ThingDefs_Gadgets/GadgetApparel_KotORShields.xml	SelfHediffVerb.
guy762_energyshield_thermal	ThingDefs_Gadgets/GadgetApparel_KotORShields.xml	SelfHediffVerb.
guy762_energyshield_sith	ThingDefs_Gadgets/GadgetApparel_KotORShields.xml	SelfHediffVerb.
guy762_energyshield_arkanian	ThingDefs_Gadgets/GadgetApparel_KotORShields.xml	SelfHediffVerb.
guy762_energyshield_echaniLte	ThingDefs_Gadgets/GadgetApparel_KotORShields.xml	SelfHediffVerb.
guy762_energyshield_echaniHvy	ThingDefs_Gadgets/GadgetApparel_KotORShields.xml	SelfHediffVerb.
guy762_energyshield_verpine	ThingDefs_Gadgets/GadgetApparel_KotORShields.xml	SelfHediffVerb.
guy762_energyshield_mandoLte	ThingDefs_Gadgets/GadgetApparel_KotORShields.xml	SelfHediffVerb.
guy762_energyshield_mandoHvy	ThingDefs_Gadgets/GadgetApparel_KotORShields.xml	SelfHediffVerb.
guy762_energyshield_hapan	ThingDefs_Gadgets/GadgetApparel_KotORShields.xml	SelfHediffVerb.
guy762_stealthbelt	ThingDefs_Gadgets/GadgetApparel_KotORStealthBelts.xml	SelfHediffVerb.
guy762_stealthbelt_aratech	ThingDefs_Gadgets/GadgetApparel_KotORStealthBelts.xml	SelfHediffVerb.
guy762_stealthbelt_exchange	ThingDefs_Gadgets/GadgetApparel_KotORStealthBelts.xml	SelfHediffVerb.
guy762_stealthbelt_eriadu	ThingDefs_Gadgets/GadgetApparel_KotORStealthBelts.xml	SelfHediffVerb.
guy762_stealthbelt_genoharadan	ThingDefs_Gadgets/GadgetApparel_KotORStealthBelts.xml	SelfHediffVerb.
KOTOR_LargeCrystal_cool	ThingDefs_Mineables/KotORResource_CrystalFormations_Large.xml	SecondaryMineableYield.
KOTOR_LargeCrystal_warm	ThingDefs_Mineables/KotORResource_CrystalFormations_Large.xml	SecondaryMineableYield.
KOTOR_MediumCrystal_cool	ThingDefs_Mineables/KotORResource_CrystalFormations_Medium.xml	SecondaryMineableYield.
KOTOR_MediumCrystal_warm	ThingDefs_Mineables/KotORResource_CrystalFormations_Medium.xml	SecondaryMineableYield.
KOTOR_MediumCrystal_soft	ThingDefs_Mineables/KotORResource_CrystalFormations_Medium.xml	SecondaryMineableYield.
KOTOR_SmallCrystal_red	ThingDefs_Mineables/KotORResource_CrystalFormations_Small.xml	SecondaryMineableYield.
KOTOR_SmallCrystal_orange	ThingDefs_Mineables/KotORResource_CrystalFormations_Small.xml	SecondaryMineableYield.
KOTOR_SmallCrystal_yellow	ThingDefs_Mineables/KotORResource_CrystalFormations_Small.xml	SecondaryMineableYield.
KOTOR_SmallCrystal_green	ThingDefs_Mineables/KotORResource_CrystalFormations_Small.xml	SecondaryMineableYield.
