# rimplace flat plan v2
# template  bantha_graveyard (sha 375daf22eaa478ab)
# min_rect  none declared   baked at 20x20
FOOTPRINT	0	0	20	20
CLEAR	-1	-1	22	22	soft
CLEAR	0	0	20	20	all
THING	Leather_Bantha	0	9	0	-
THING	BanthaHorn	0	12	0	-
THING	BanthaHorn	0	17	0	-
THING	BanthaHorn	1	3	0	-
THING	Leather_Bantha	1	11	0	-
THING	BanthaHorn	2	11	0	-
THING	BanthaHorn	3	5	0	-
THING	Leather_Bantha	4	4	0	-
THING	Leather_Bantha	4	12	0	-
THING	BanthaHorn	5	3	0	-
THING	BanthaHorn	5	13	0	-
THING	Leather_Bantha	5	14	0	-
THING	Leather_Bantha	5	16	0	-
THING	BanthaHorn	5	18	0	-
THING	BanthaHorn	6	6	0	-
THING	Leather_Bantha	6	9	0	-
THING	BanthaHorn	6	14	0	-
THING	BanthaHorn	7	11	0	-
THING	Leather_Bantha	8	1	0	-
THING	Leather_Bantha	8	2	0	-
THING	Leather_Bantha	8	16	0	-
THING	BanthaHorn	9	2	0	-
THING	BanthaHorn	9	18	0	-
THING	BanthaHorn	10	11	0	-
THING	BanthaHorn	10	12	0	-
THING	Leather_Bantha	10	13	0	-
THING	BanthaHorn	11	2	0	-
THING	Leather_Bantha	11	10	0	-
THING	BanthaHorn	11	11	0	-
THING	BanthaHorn	11	13	0	-
THING	BanthaHorn	11	16	0	-
THING	Leather_Bantha	12	7	0	-
THING	BanthaHorn	12	8	0	-
THING	Leather_Bantha	12	14	0	-
THING	BanthaHorn	13	8	0	-
THING	BanthaHorn	14	6	0	-
THING	BanthaHorn	14	7	0	-
THING	BanthaHorn	14	8	0	-
THING	BanthaHorn	14	14	0	-
THING	Leather_Bantha	14	16	0	-
THING	BanthaHorn	15	9	0	-
THING	Leather_Bantha	16	2	0	-
THING	Leather_Bantha	16	11	0	-
THING	BanthaHorn	16	14	0	-
THING	BanthaHorn	17	3	0	-
THING	BanthaHorn	17	19	0	-
THING	Leather_Bantha	19	1	0	-
THING	Leather_Bantha	19	7	0	-
