# rimplace flat plan v2
# template  mynock_roost (sha de11351bf9c0b7da)
# min_rect  none declared   baked at 14x14
FOOTPRINT	0	0	14	14
CLEAR	-1	-1	16	16	soft
CLEAR	0	0	14	14	all
THING	Filth_AnimalFilth	0	2	0	-
THING	PowerConduit	0	3	0	-
THING	PowerConduit	0	5	0	-
THING	Filth_AnimalFilth	0	6	0	-
THING	Filth_AnimalFilth	0	7	0	-
THING	PowerConduit	0	8	0	-
THING	Filth_AnimalFilth	0	9	0	-
THING	Filth_AnimalFilth	0	10	0	-
THING	Filth_AnimalFilth	0	12	0	-
THING	Filth_AnimalFilth	0	13	0	-
THING	Filth_AnimalFilth	1	4	0	-
THING	Filth_AnimalFilth	1	6	0	-
THING	Filth_AnimalFilth	1	11	0	-
THING	PowerConduit	1	12	0	-
THING	ChunkSlagSteel	2	0	0	-
THING	Filth_AnimalFilth	2	2	0	-
THING	ChunkSlagSteel	2	5	0	-
THING	Filth_AnimalFilth	2	8	0	-
THING	Filth_AnimalFilth	2	9	0	-
THING	Filth_AnimalFilth	2	10	0	-
THING	Filth_AnimalFilth	2	12	0	-
THING	ChunkSlagSteel	2	13	0	-
THING	Filth_AnimalFilth	3	1	0	-
THING	Filth_AnimalFilth	3	2	0	-
THING	PowerConduit	3	3	0	-
THING	PowerConduit	3	4	0	-
THING	Filth_AnimalFilth	3	5	0	-
THING	Filth_AnimalFilth	3	6	0	-
THING	Filth_AnimalFilth	3	7	0	-
THING	Filth_AnimalFilth	3	9	0	-
THING	Filth_AnimalFilth	3	10	0	-
THING	PowerConduit	3	13	0	-
THING	PowerConduit	4	0	0	-
THING	Filth_AnimalFilth	4	1	0	-
THING	Filth_AnimalFilth	4	5	0	-
THING	ChunkSlagSteel	4	6	0	-
THING	Filth_AnimalFilth	4	8	0	-
THING	ChunkSlagSteel	4	10	0	-
THING	ChunkSlagSteel	4	11	0	-
THING	Filth_AnimalFilth	5	0	0	-
THING	ChunkSlagSteel	5	2	0	-
THING	Filth_AnimalFilth	5	3	0	-
THING	ChunkSlagSteel	5	5	0	-
THING	Filth_AnimalFilth	5	7	0	-
THING	Filth_AnimalFilth	5	10	0	-
THING	ChunkSlagSteel	5	11	0	-
THING	Filth_AnimalFilth	5	12	0	-
THING	Filth_AnimalFilth	6	0	0	-
THING	ChunkSlagSteel	6	2	0	-
THING	ChunkSlagSteel	6	3	0	-
THING	PowerConduit	6	4	0	-
THING	PowerConduit	6	5	0	-
THING	Filth_AnimalFilth	6	8	0	-
THING	PowerConduit	6	9	0	-
THING	Filth_AnimalFilth	6	11	0	-
THING	Filth_AnimalFilth	6	12	0	-
THING	ChunkSlagSteel	6	13	0	-
THING	Filth_AnimalFilth	7	0	0	-
THING	ChunkSlagSteel	7	2	0	-
THING	Filth_AnimalFilth	7	3	0	-
THING	Filth_AnimalFilth	7	5	0	-
THING	ChunkSlagSteel	7	6	0	-
THING	ChunkSlagSteel	7	7	0	-
THING	PowerConduit	7	8	0	-
THING	Filth_AnimalFilth	7	10	0	-
THING	Filth_AnimalFilth	8	1	0	-
THING	Filth_AnimalFilth	8	4	0	-
THING	Filth_AnimalFilth	8	7	0	-
THING	PowerConduit	8	8	0	-
THING	ChunkSlagSteel	8	9	0	-
THING	ChunkSlagSteel	8	10	0	-
THING	PowerConduit	8	11	0	-
THING	Filth_AnimalFilth	8	13	0	-
THING	Filth_AnimalFilth	9	0	0	-
THING	ChunkSlagSteel	9	1	0	-
THING	ChunkSlagSteel	9	3	0	-
THING	Filth_AnimalFilth	9	4	0	-
THING	ChunkSlagSteel	9	5	0	-
THING	ChunkSlagSteel	9	6	0	-
THING	ChunkSlagSteel	9	9	0	-
THING	ChunkSlagSteel	9	10	0	-
THING	Filth_AnimalFilth	9	11	0	-
THING	PowerConduit	9	12	0	-
THING	Filth_AnimalFilth	10	1	0	-
THING	PowerConduit	10	2	0	-
THING	PowerConduit	10	4	0	-
THING	ChunkSlagSteel	10	5	0	-
THING	ChunkSlagSteel	10	8	0	-
THING	Filth_AnimalFilth	10	13	0	-
THING	ChunkSlagSteel	11	0	0	-
THING	PowerConduit	11	1	0	-
THING	Filth_AnimalFilth	11	2	0	-
THING	Filth_AnimalFilth	11	3	0	-
THING	Filth_AnimalFilth	11	4	0	-
THING	ChunkSlagSteel	11	7	0	-
THING	ChunkSlagSteel	11	9	0	-
THING	Filth_AnimalFilth	11	10	0	-
THING	ChunkSlagSteel	11	11	0	-
THING	ChunkSlagSteel	11	12	0	-
THING	Filth_AnimalFilth	12	3	0	-
THING	Filth_AnimalFilth	12	4	0	-
THING	ChunkSlagSteel	12	5	0	-
THING	Filth_AnimalFilth	12	6	0	-
THING	Filth_AnimalFilth	12	7	0	-
THING	PowerConduit	12	9	0	-
THING	Filth_AnimalFilth	12	10	0	-
THING	Filth_AnimalFilth	12	13	0	-
THING	Filth_AnimalFilth	13	3	0	-
THING	ChunkSlagSteel	13	4	0	-
THING	Filth_AnimalFilth	13	6	0	-
THING	Filth_AnimalFilth	13	7	0	-
THING	PowerConduit	13	9	0	-
THING	Filth_AnimalFilth	13	10	0	-
THING	Filth_AnimalFilth	13	12	0	-
THING	ChunkSlagSteel	13	13	0	-
