# rimplace flat plan v2
# template  podracer_wreck (sha 0d62e26ce872deac)
# min_rect  none declared   baked at 16x16
FOOTPRINT	0	0	16	16
CLEAR	-1	-1	18	18	soft
CLEAR	0	0	16	16	all
THING	AncientPodCar	7	7	0	-
THING	ChunkSlagSteel	0	8	0	-
THING	ChunkSlagSteel	0	12	0	-
THING	ChunkSlagSteel	1	1	0	-
THING	ChunkSlagSteel	1	7	0	-
THING	ChunkSlagSteel	1	15	0	-
THING	ChunkSlagSteel	2	5	0	-
THING	ChunkSlagSteel	3	2	0	-
THING	ChunkSlagSteel	3	5	0	-
THING	ChunkSlagSteel	3	15	0	-
THING	ChunkSlagSteel	4	4	0	-
THING	ChunkSlagSteel	4	9	0	-
THING	ChunkSlagSteel	5	0	0	-
THING	ChunkSlagSteel	5	8	0	-
THING	ChunkSlagSteel	5	10	0	-
THING	ChunkSlagSteel	6	2	0	-
THING	ChunkSlagSteel	6	3	0	-
THING	ChunkSlagSteel	6	15	0	-
THING	ChunkSlagSteel	7	0	0	-
THING	ChunkSlagSteel	7	2	0	-
THING	ChunkSlagSteel	7	4	0	-
THING	ChunkSlagSteel	7	10	0	-
THING	ChunkSlagSteel	7	15	0	-
THING	ChunkSlagSteel	8	1	0	-
THING	ChunkSlagSteel	8	4	0	-
THING	ChunkSlagSteel	8	10	0	-
THING	ChunkSlagSteel	8	11	0	-
THING	ChunkSlagSteel	8	12	0	-
THING	ChunkSlagSteel	9	3	0	-
THING	ChunkSlagSteel	9	12	0	-
THING	ChunkSlagSteel	10	10	0	-
THING	ChunkSlagSteel	10	11	0	-
THING	ChunkSlagSteel	10	14	0	-
THING	ChunkSlagSteel	11	4	0	-
THING	ChunkSlagSteel	11	6	0	-
THING	ChunkSlagSteel	11	13	0	-
THING	ChunkSlagSteel	12	13	0	-
THING	ChunkSlagSteel	13	10	0	-
THING	ChunkSlagSteel	13	11	0	-
THING	ChunkSlagSteel	13	12	0	-
THING	ChunkSlagSteel	14	5	0	-
THING	ChunkSlagSteel	14	13	0	-
THING	ChunkSlagSteel	14	14	0	-
THING	ChunkSlagSteel	15	0	0	-
THING	ChunkSlagSteel	15	7	0	-
THING	Steel	5	7	0	-
THING	Steel	11	7	0	-
THING	Steel	7	5	0	-
