tile,def,name,label,isCombo,layer
1238,AbandonedColonyTribal,Prime Dove Village,abandoned colony,False,Surface
6738,Dunes,Orangeneedle Wastes,dunes,False,Surface
16945,Dunes,Bluepond Dunes,dunes,False,Surface
19542,Dunes,Whitepool Dunes,dunes,False,Surface
8096,Dunes,Enrada Dunes,dunes,False,Surface
5434,Dunes,Orangerock Wastes,dunes,False,Surface
6439,Dunes,Camba Dunes,dunes,False,Surface
390,Dunes,Thihatheroum Dunes,dunes,False,Surface
6702,Dunes,Coistia Dunes,dunes,False,Surface
3688,Dunes,Cóbust Dunes,dunes,False,Surface
8480,Dunes,Leera Dunes,dunes,False,Surface
15127,Dunes,Temininum Dunes,dunes,False,Surface
2473,Dunes,Beñabraa Dunes,dunes,False,Surface
19548,Dunes,Meeron Dunes,dunes,False,Surface
9619,Dunes,Mo's Retirement Wastes,dunes,False,Surface
19676,Dunes,Elephant Sealankle Dunes,dunes,False,Surface
1181,Dunes,Terera Wastes,dunes,False,Surface
492,Dunes,Noteron Wastes,dunes,False,Surface
6681,Dunes,Nelor Wastes,dunes,False,Surface
5036,Dunes,Wathkani Wastes,dunes,False,Surface
11236,Dunes,Gocha Wastes,dunes,False,Surface
5369,Dunes,Bad Mallard Dunes,dunes,False,Surface
21392,Dunes,Neoum Dunes,dunes,False,Surface
2870,Dunes,Gray Buffalo Wastes,dunes,False,Surface
5079,Dunes,Hismeera Dunes,dunes,False,Surface
18040,Dunes,Caro Dunes,dunes,False,Surface
7458,Dunes,Biatox Dunes,dunes,False,Surface
11463,Dunes,Rouay Dunes,dunes,False,Surface
11451,Dunes,Hisoulgaeria Dunes,dunes,False,Surface
21441,Dunes,Banboa Wastes,dunes,False,Surface
5091,Dunes,Susskind's Honor Dunes,dunes,False,Surface
4293,Dunes,Guavasña Dunes,dunes,False,Surface
11558,Dunes,Tasca Dunes,dunes,False,Surface
11109,Dunes,Banastra Dunes,dunes,False,Surface
11126,Dunes,Snailclaw Dunes,dunes,False,Surface
6358,Dunes,Dorio Dunes,dunes,False,Surface
21453,Dunes,Purple Dunes,dunes,False,Surface
10,Oasis,Dordo Haven,oasis,False,Surface
4367,Oasis,Hiunt Oasis,oasis,False,Surface
7780,Oasis,Otranrro Oasis,oasis,False,Surface
11100,Oasis,Tedhenni Refuge,oasis,False,Surface
14338,Oasis,Bluehuman Oasis,oasis,False,Surface
17225,Oasis,Toler Oasis,oasis,False,Surface
17198,Oasis,Bema Refuge,oasis,False,Surface
2349,Oasis,Youussia Haven,oasis,False,Surface
11834,Oasis,Andor Oasis,oasis,False,Surface
11471,Oasis,Big Wolverine Refuge,oasis,False,Surface
4321,Oasis,Black Megascarab Oasis,oasis,False,Surface
25,Oasis,Crima Oasis,oasis,False,Surface
15166,Oasis,Thealllium Oasis,oasis,False,Surface
16619,Oasis,Nebium Oasis,oasis,False,Surface
8272,Oasis,Oldshark Oasis,oasis,False,Surface
10451,Oasis,White Oasis,oasis,False,Surface
11877,Oasis,Orange Oasis,oasis,False,Surface
17001,Oasis,Straouuia Oasis,oasis,False,Surface
931,Oasis,Goodfox Oasis,oasis,False,Surface
13348,Oasis,Gomacolcam Refuge,oasis,False,Surface
2039,Oasis,Lándoa Haven,oasis,False,Surface
20285,Oasis,Embaixada Haven,oasis,False,Surface
13449,Oasis,Vasga Oasis,oasis,False,Surface
18201,Oasis,Paula's Finale Refuge,oasis,False,Surface
19183,Oasis,White Lion Haven,oasis,False,Surface
15086,Oasis,Alinum Oasis,oasis,False,Surface
18251,Oasis,Erlor Oasis,oasis,False,Surface
1986,Oasis,Forna Oasis,oasis,False,Surface
1303,Oasis,Whitewing Oasis,oasis,False,Surface
17243,Oasis,Cómaro Oasis,oasis,False,Surface
1661,Oasis,Hado Oasis,oasis,False,Surface
14716,Oasis,Blue Oasis,oasis,False,Surface
17257,Ruins,Greenskin Ruins,ruins,True,Surface
3512,Ruins,Lercha City,ruins,False,Surface
2691,Ruins,Peambenbai Ruins,ruins,False,Surface
21073,Ruins,Asandminbo Town,ruins,False,Surface
16400,Ruins,Black Rat Ruins,ruins,False,Surface
5632,Ruins,Ñoiño Ruins,ruins,False,Surface
6093,Ruins,Wisewrist Ruins,ruins,False,Surface
18728,Ruins,Isoum City,ruins,False,Surface
4995,Ruins,Eddos Ruins,ruins,False,Surface
1505,Ruins,Bluewalrus Ruins,ruins,False,Surface
4623,Ruins,Carlotta's Ruin,ruins,False,Surface
18712,Ruins,Itoum Ruins,ruins,False,Surface
3924,Ruins,Redcockroach Ruins,ruins,False,Surface
17232,Ruins,Harshnose Ruins,ruins,False,Surface
13513,Ruins,Ruined Zebra,ruins,False,Surface
609,Ruins,Allen Ruins,ruins,False,Surface
9087,Ruins,Dilapidated Gotrarobil,ruins,False,Surface
5625,Ruins,Ruined Gaiñocrou,ruins,False,Surface
12833,Ruins,Bigankle Town,ruins,False,Surface
7630,Ruins,Ruined White Pigeon,ruins,False,Surface
10954,Ruins,Dilapidated Tioler,ruins,False,Surface
3916,Ruins,Thiasni City,ruins,False,Surface
17897,Ruins,Dilapidated Asussia,ruins,False,Surface
3736,Ruins,Wasisda Town,ruins,False,Surface
8005,Ruins,Ruined Oro,ruins,False,Surface
3530,Ruins,Dilapidated Orangeneedle,ruins,False,Surface
13712,Ruins,Goga Town,ruins,False,Surface
7640,Ruins,Smallear Ruins,ruins,False,Surface
117,Ruins,Nehistdos Ruins,ruins,False,Surface
10386,Ruins,Toxxada Ruins,ruins,False,Surface
1907,Cliffs,Farfoot Cliffs,cliffs,False,Surface
18651,Cliffs,Espaeria Wall,cliffs,False,Surface
18664,Cliffs,Sayuri's End,cliffs,False,Surface
4218,Cliffs,Tollelo Rampart,cliffs,False,Surface
809,Cliffs,Bad Lemur Cliffs,cliffs,False,Surface
17547,Cliffs,Bancam Rampart,cliffs,False,Surface
8474,Cliffs,Hare Rampart,cliffs,False,Surface
