tile,mutator,landmark,coastalByAdjacency
0,VEE_MineralDevoid,,
0,VEE_DeepOreDevoid,,
3,Mountain,,
6,Dunes,,
10,Oasis,Oasis,
18,Caves,,
20,Cliffs,,
24,VEE_MineralDevoid,,
24,VEE_DeepOreDevoid,,
25,Mountain,Oasis,
25,Oasis,Oasis,
29,Dunes,,
31,VEE_SaltPlains,,
35,VEE_MineralDevoid,,
35,VEE_DeepOreDevoid,,
36,Coast,,
37,VEE_FleshPits,VEE_FleshPits,
37,VEE_FleshPits,VEE_FleshPits,
41,Caves,,
44,VEE_MineralDevoid,,
44,VEE_DeepOreDevoid,,
51,VEE_MineralDevoid,,
51,VEE_DeepOreDevoid,,
52,Caves,,
53,Caves,,
54,Caves,,
55,Caves,,
64,Dunes,,
70,VEE_MineralDevoid,,
70,VEE_DeepOreDevoid,,
70,Dunes,,
71,Dunes,,
83,Oasis,,
84,Cavern,Cavern,
85,Mountain,,
85,River,,
88,Caves,,
92,VEE_MineralDevoid,,
92,VEE_DeepOreDevoid,,
96,VEE_MineralDevoid,,
96,VEE_DeepOreDevoid,,
104,Dunes,,
105,VEE_MineralDevoid,VEE_DustBowl,
105,VEE_DeepOreDevoid,VEE_DustBowl,
105,VEE_DustBowl,VEE_DustBowl,
105,VEE_PlantLife_Decimated,VEE_DustBowl,
105,VEE_Fertility_Reduced,VEE_DustBowl,
105,VEE_DustStorms,VEE_DustBowl,
107,Mountain,,
110,VEE_SaltPlains,,
112,Caves,,
116,VEE_MeteorCrater,VEE_MeteorCrater,
117,Caves,Ruins,
117,AncientRuins,Ruins,
117,AncientRuins,Ruins,
123,Dunes,,
124,VEE_MineralDevoid,,
124,VEE_DeepOreDevoid,,
124,Dunes,,
125,Dunes,,
126,Mountain,,
128,Mountain,,
130,Dunes,,
131,VEE_MineralDevoid,,
131,VEE_DeepOreDevoid,,
131,Dunes,,
132,Mountain,,
134,Mountain,,
136,Dunes,,
142,Mountain,,
142,Oasis,,
143,Mountain,,
144,Mountain,,
144,Oasis,,
147,Caves,,
151,Mountain,,
152,Caves,,
161,Caves,,
170,VEE_MineralDevoid,,
170,VEE_DeepOreDevoid,,
170,Dunes,,
171,Coast,,
175,Marshy,,
175,VEE_IncreasedInfestations,,
175,AB_FeraliskNest,,
175,VEE_RottenStench,,
177,VEE_SaltPlains,,
182,Mountain,,
182,Caves,,
182,MineralRich,,
182,VEE_DeepOreRich,,
190,Caves,,
199,Caves,,
201,MineralRich,,
208,Dunes,,
217,VEE_MineralDevoid,,
217,VEE_DeepOreDevoid,,
224,VEE_MineralDevoid,,
224,VEE_DeepOreDevoid,,
229,VEE_MineralDevoid,,
229,VEE_DeepOreDevoid,,
233,Dunes,,
236,DryGround,,
239,CoastalIsland,,
241,VEE_MineralDevoid,,
241,VEE_DeepOreDevoid,,
250,Caves,,
254,Dunes,,
255,Dunes,,
256,River,,
259,Mountain,,
260,VEE_MineralDevoid,VEE_PebbleDunes,
260,VEE_DeepOreDevoid,VEE_PebbleDunes,
260,VEE_PebbleDunes,VEE_PebbleDunes,
260,VEE_PebbleDunes,VEE_PebbleDunes,
263,VEE_RedDesert,,
263,VEE_RedDesertPlants,,
263,VEE_Sandstorms,,
265,Mountain,,
265,MineralRich,,
267,Caves,,
