id,def,faction,factionName,name,tile,layer
135,Settlement,Empire,Galactic Empire,Sunspire,12828,Surface
136,Settlement,Empire,Galactic Empire,Oxalate Watch,3289,Surface
137,Settlement,Empire,Galactic Empire,Ashgarrison,6617,Surface
138,Settlement,Jawa_GeonosianFoundryHive,Geonosian Foundry Hive,The Unfinished Work,14719,Surface
139,Settlement,Jawa_GeonosianFoundryHive,Geonosian Foundry Hive,Oxide Deep,20427,Surface
140,Settlement,Jawa_GeonosianFoundryHive,Geonosian Foundry Hive,The Godmouth,11335,Surface
141,Settlement,Jawa_GeonosianFoundryHive,Geonosian Foundry Hive,Founder's Kiln,14574,Surface
142,Settlement,Jawa_GeonosianFoundryHive,Geonosian Foundry Hive,Hollow Nave,19422,Surface
145,Settlement,Jawa_FreeDroidEnclaves,Free Droid Enclaves,No Master,19350,Surface
146,Settlement,Jawa_AscendantHelix,Ascendant Helix,Helix Landing,11944,Surface
147,Settlement,Jawa_AscendantHelix,Ascendant Helix,The Coil,15926,Surface
148,Settlement,Jawa_AscendantHelix,Ascendant Helix,Quiet Lab,5499,Surface
149,Settlement,Pirate,Blackstar Company,Blackstar Field,18266,Surface
150,Settlement,Pirate,Blackstar Company,The Contract Camp,8898,Surface
151,Settlement,Pirate,Blackstar Company,Toll Rock,2236,Surface
152,Settlement,Pirate,Blackstar Company,Hardpan Yard,7497,Surface
153,Settlement,Jawa_WildsteamClan,Wildsteam Clan,Steamreach,8311,Surface
154,Settlement,Jawa_WildsteamClan,Wildsteam Clan,Rego,4364,Surface
155,Settlement,Jawa_WildsteamClan,Wildsteam Clan,Marrowmarsh,16050,Surface
156,Settlement,Jawa_WildsteamClan,Wildsteam Clan,Sporefall,3416,Surface
157,Settlement,Jawa_DeepwaterCompact,Deepwater Compact,Butora,17343,Surface
158,Settlement,Jawa_DeepwaterCompact,Deepwater Compact,Anchor Deep,11960,Surface
159,Settlement,Jawa_DeepwaterCompact,Deepwater Compact,Deepwater Hold,2919,Surface
160,Settlement,Jawa_DeepwaterCompact,Deepwater Compact,Coldquay,11828,Surface
161,Settlement,Jawa_DeepwaterCompact,Deepwater Compact,Tidewatch,21767,Surface
162,Settlement,Jawa_HuttCartel,Hutt Cartel,Norba the Wet's Palace,17215,Surface
163,Settlement,Jawa_HuttCartel,Hutt Cartel,Gorga the Immense's Palace,15088,Surface
164,Settlement,Jawa_HuttCartel,Hutt Cartel,Vexxa's Casino,1828,Surface
165,Settlement,Jawa_HuttCartel,Hutt Cartel,Vexxa the Unblinking's Palace,17209,Surface
166,Settlement,Jawa_HuttCartel,Hutt Cartel,Hurgo the Vast's Palace,19200,Surface
167,Settlement,Jawa_HuttCartel,Hutt Cartel,Bloatu the Ninth's Palace,15100,Surface
168,Settlement,Jawa_HuttCartel,Hutt Cartel,Rulla the Deep's Palace,6979,Surface
169,Settlement,Jawa_HuttCartel,Hutt Cartel,Zeddo the Patient's Palace,17247,Surface
170,Settlement,Jawa_Junkers,the Junkers,The Fuel Works,11779,Surface
171,Settlement,Jawa_Junkers,the Junkers,Cryohaul,5456,Surface
172,Settlement,Jawa_Junkers,the Junkers,Ammonia Landing,510,Surface
173,Settlement,Jawa_Junkers,the Junkers,Warmside Camp,21813,Surface
174,Settlement,Jawa_Junkers,the Junkers,Bonepick Station,20748,Surface
175,Settlement,Jawa_Junkers,the Junkers,Tailings End,6654,Surface
176,Settlement,Jawa_Junkers,the Junkers,The Slagfield,3226,Surface
177,Settlement,Jawa_Junkers,the Junkers,The Claim Jump,16905,Surface
178,Settlement,Jawa_IndigenousTribes,Jawa Trade Moot,The Ore Moot,12415,Surface
179,Settlement,Jawa_IndigenousTribes,Jawa Trade Moot,Crawler Ground,6678,Surface
180,Settlement,Jawa_IndigenousTribes,Jawa Trade Moot,Ridge Cache,2641,Surface
181,Settlement,Jawa_IndigenousTribes,Jawa Trade Moot,Wreck Circuit,20705,Surface
182,Settlement,Jawa_IndigenousTribes,Jawa Trade Moot,Sandmoot,11537,Surface
