tile,biome,elevation,temperature,rainfall,hilliness,swampiness,pollution,riverDist,feature,featureId,waterCovered,roadCount,riverCount,mutatorCount
0,Wasteland,16.0,14.1,0.0,Flat,0.0,0.0,0,Pan,21,False,0,0,2
1,AB_MycoticJungle,303.0,12.5,0.0,Flat,0.360784322,0.0,0,Sporefields,22,False,0,0,0
2,Desert,582.0,10.6,0.0,SmallHills,0.0,0.0,0,Pale Flats,23,False,0,0,0
3,AB_RockyCrags,513.0,13.7,0.0,Mountainous,0.0,0.0,0,Wither,24,False,0,0,1
4,AB_PropaneLakes,302.0,-56.7,0.0,SmallHills,0.0,0.0,0,Deadstone,25,False,0,0,0
5,AB_PropaneLakes,1407.0,-63.7,0.0,SmallHills,0.368627459,0.0,0,Ammonia Flats,26,False,0,0,0
6,ExtremeDesert,13.0,56.8,0.0,Flat,0.0,0.0,0,Dune Sea,27,False,0,0,1
7,Desert,53.0,55.7,0.0,SmallHills,0.0,0.0,0,Dune Sea,27,False,0,0,0
8,ExtremeDesert,355.0,36.7,0.0,SmallHills,0.0,0.0,0,Ashfall Range,28,False,0,0,0
9,Wasteland,384.0,-26.1,0.0,Flat,0.0,0.0,0,Sunreach,29,False,0,0,0
10,ZBiome_DesertOasis,518.0,36.2,0.0,SmallHills,0.180392161,0.0,0,Dew Belt,30,False,0,0,1
11,AB_MycoticJungle,263.0,-16.8,0.0,LargeHills,0.5686275,0.0,0,Nightspill,31,False,0,0,0
12,HorrorWastes,579.0,-32.2,0.0,SmallHills,0.0,0.0,0,Deadstone,25,False,0,0,0
13,AB_MycoticJungle,405.0,-13.9,0.0,Flat,0.4392157,0.0,0,Frostcaps,32,False,2,0,0
14,ZBiome_Badlands,1.0,29.6,0.0,SmallHills,0.0,0.0,0,Cracklands,33,False,0,0,0
15,ZBiome_Grasslands,20.0,41.8,0.0,Flat,0.05882353,0.0,0,Pyrelands,34,False,3,0,0
16,Ocean,-350.0,14.0,0.0,Flat,0.0,0.8910506,0,Twilight Sea,35,True,0,0,0
17,AB_MycoticJungle,1268.0,-36.8,0.0,LargeHills,0.309803933,0.0,0,Capwood,36,False,0,0,0
18,AB_RockyCrags,881.0,-66.6,0.0,SmallHills,0.0,0.0,0,Umbra,37,False,0,0,1
19,AB_MycoticJungle,742.0,10.4,0.0,Flat,0.4392157,0.0,0,Dew Belt,30,False,0,0,0
20,ZBiome_Badlands,1080.0,55.4,54.0,Mountainous,0.0,0.0,0,Dune Sea,27,False,0,0,1
21,ExtremeDesert,524.0,38.8,0.0,LargeHills,0.0,0.0,0,Glare,38,False,0,0,0
22,HorrorWastes,584.0,-31.9,0.0,SmallHills,0.0,0.0,0,South Crags,39,False,0,0,0
23,Desert,863.0,-14.8,0.0,SmallHills,0.0,0.0,0,The Verge,40,False,0,0,0
24,Desert,23.0,31.3,0.0,Flat,0.0,0.0,0,Long Sand,41,False,0,0,2
25,Desert,399.0,40.0,10.0,Mountainous,0.0,0.0,0,Kiln,42,False,0,0,2
26,AridShrubland,1.0,12.9,0.0,Flat,0.0,0.0,19,Damp,43,False,0,0,0
27,AB_PropaneLakes,340.0,-67.2,0.0,LargeHills,0.270588249,0.0,0,Ammonia Flats,26,False,0,0,0
28,AB_MycoticJungle,1122.0,-34.7,0.0,LargeHills,0.380392164,0.0,0,Ashwood,44,False,0,0,0
29,ExtremeDesert,432.0,40.6,0.0,Flat,0.0,0.0,0,Kiln,42,False,0,0,1
30,Scarlands,375.0,58.1,0.0,SmallHills,0.0,0.3,0,Scorch,45,False,0,0,0
31,Desert,1.0,14.0,0.0,Flat,0.0,0.0,0,Grey Sea,46,False,0,0,1
32,AB_TarPits,1.0,-1.7,0.0,Flat,0.0,0.0,0,Nightspill,31,False,0,0,0
33,AB_RockyCrags,28.0,-8.7,0.0,SmallHills,0.0,0.0,0,Rimewall,47,False,0,0,0
34,PoisonForest,13.0,13.9,0.0,Flat,0.3882353,0.0,0,Slough,48,False,0,0,0
35,Desert,38.0,31.2,0.0,Flat,0.0,0.0,0,Combs,49,False,0,0,2
36,Wasteland,1.0,22.5,0.0,Flat,0.0,0.0,0,Glass Reach,50,False,2,0,1
37,AB_GelatinousSuperorganism,117.0,12.8,0.0,Flat,0.0,0.0,0,Slough,48,False,0,0,2
38,Desert,335.0,27.6,0.0,Flat,0.0,0.0,0,Dry Marches,51,False,0,0,0
39,AB_MycoticJungle,536.0,-14.4,0.0,LargeHills,0.360784322,0.0,0,Gray Crags,52,False,0,0,0
40,Desert,702.0,20.3,0.0,SmallHills,0.0,0.0,0,Sunward Scrub,53,False,0,0,0
41,AB_RockyCrags,305.0,-0.4,0.0,LargeHills,0.0,0.0,0,Sunreach,29,False,0,0,1
42,AB_MycoticJungle,1016.0,-6.6,0.0,Flat,0.419607848,0.0,0,Nightspill,31,False,0,0,0
43,Desert,180.0,13.6,0.0,SmallHills,0.0,0.0,0,Sinkground,54,False,0,0,0
44,Desert,45.0,31.6,0.0,Flat,0.0,0.0,0,Long Sand,41,False,0,0,2
45,AB_RockyCrags,1431.0,-17.2,0.0,SmallHills,0.0,0.0,0,Coldstone,55,False,0,0,0
46,BMT_FungalForest,385.0,20.9,0.0,SmallHills,0.298039228,0.0,10,Sweatwood,56,False,0,0,0
47,Desert,31.0,0.6,0.0,Flat,0.0,0.0,0,Sunreach,29,False,0,0,0
48,Wasteland,1.0,-11.1,0.0,Flat,0.0,0.0,0,Ashen Wastes,57,False,0,0,0
