tile,landmark,name,label
1238,AbandonedColonyTribal,Prime Dove Village,abandoned colony
6738,Dunes,Orangeneedle Wastes,dunes
16945,Dunes,Bluepond Dunes,dunes
19542,Dunes,Whitepool Dunes,dunes
8096,Dunes,Enrada Dunes,dunes
5434,Dunes,Orangerock Wastes,dunes
6439,Dunes,Camba Dunes,dunes
390,Dunes,Thihatheroum Dunes,dunes
6702,Dunes,Coistia Dunes,dunes
3688,Dunes,Cóbust Dunes,dunes
8480,Dunes,Leera Dunes,dunes
15127,Dunes,Temininum Dunes,dunes
2473,Dunes,Beñabraa Dunes,dunes
19548,Dunes,Meeron Dunes,dunes
9619,Dunes,Mo's Retirement Wastes,dunes
19676,Dunes,Elephant Sealankle Dunes,dunes
1181,Dunes,Terera Wastes,dunes
492,Dunes,Noteron Wastes,dunes
6681,Dunes,Nelor Wastes,dunes
5036,Dunes,Wathkani Wastes,dunes
11236,Dunes,Gocha Wastes,dunes
5369,Dunes,Bad Mallard Dunes,dunes
21392,Dunes,Neoum Dunes,dunes
2870,Dunes,Gray Buffalo Wastes,dunes
5079,Dunes,Hismeera Dunes,dunes
18040,Dunes,Caro Dunes,dunes
7458,Dunes,Biatox Dunes,dunes
11463,Dunes,Rouay Dunes,dunes
11451,Dunes,Hisoulgaeria Dunes,dunes
21441,Dunes,Banboa Wastes,dunes
5091,Dunes,Susskind's Honor Dunes,dunes
4293,Dunes,Guavasña Dunes,dunes
11558,Dunes,Tasca Dunes,dunes
11109,Dunes,Banastra Dunes,dunes
11126,Dunes,Snailclaw Dunes,dunes
6358,Dunes,Dorio Dunes,dunes
21453,Dunes,Purple Dunes,dunes
10,Oasis,Dordo Haven,oasis
4367,Oasis,Hiunt Oasis,oasis
7780,Oasis,Otranrro Oasis,oasis
11100,Oasis,Tedhenni Refuge,oasis
14338,Oasis,Bluehuman Oasis,oasis
17225,Oasis,Toler Oasis,oasis
17198,Oasis,Bema Refuge,oasis
2349,Oasis,Youussia Haven,oasis
11834,Oasis,Andor Oasis,oasis
11471,Oasis,Big Wolverine Refuge,oasis
4321,Oasis,Black Megascarab Oasis,oasis
25,Oasis,Crima Oasis,oasis
15166,Oasis,Thealllium Oasis,oasis
16619,Oasis,Nebium Oasis,oasis
8272,Oasis,Oldshark Oasis,oasis
10451,Oasis,White Oasis,oasis
11877,Oasis,Orange Oasis,oasis
17001,Oasis,Straouuia Oasis,oasis
931,Oasis,Goodfox Oasis,oasis
13348,Oasis,Gomacolcam Refuge,oasis
2039,Oasis,Lándoa Haven,oasis
20285,Oasis,Embaixada Haven,oasis
13449,Oasis,Vasga Oasis,oasis
18201,Oasis,Paula's Finale Refuge,oasis
19183,Oasis,White Lion Haven,oasis
15086,Oasis,Alinum Oasis,oasis
18251,Oasis,Erlor Oasis,oasis
1986,Oasis,Forna Oasis,oasis
1303,Oasis,Whitewing Oasis,oasis
17243,Oasis,Cómaro Oasis,oasis
1661,Oasis,Hado Oasis,oasis
14716,Oasis,Blue Oasis,oasis
17257,Ruins,Greenskin Ruins,ruins
3512,Ruins,Lercha City,ruins
2691,Ruins,Peambenbai Ruins,ruins
21073,Ruins,Asandminbo Town,ruins
16400,Ruins,Black Rat Ruins,ruins
5632,Ruins,Ñoiño Ruins,ruins
6093,Ruins,Wisewrist Ruins,ruins
18728,Ruins,Isoum City,ruins
4995,Ruins,Eddos Ruins,ruins
1505,Ruins,Bluewalrus Ruins,ruins
4623,Ruins,Carlotta's Ruin,ruins
18712,Ruins,Itoum Ruins,ruins
3924,Ruins,Redcockroach Ruins,ruins
17232,Ruins,Harshnose Ruins,ruins
13513,Ruins,Ruined Zebra,ruins
609,Ruins,Allen Ruins,ruins
9087,Ruins,Dilapidated Gotrarobil,ruins
5625,Ruins,Ruined Gaiñocrou,ruins
12833,Ruins,Bigankle Town,ruins
7630,Ruins,Ruined White Pigeon,ruins
10954,Ruins,Dilapidated Tioler,ruins
3916,Ruins,Thiasni City,ruins
17897,Ruins,Dilapidated Asussia,ruins
3736,Ruins,Wasisda Town,ruins
8005,Ruins,Ruined Oro,ruins
3530,Ruins,Dilapidated Orangeneedle,ruins
13712,Ruins,Goga Town,ruins
7640,Ruins,Smallear Ruins,ruins
117,Ruins,Nehistdos Ruins,ruins
10386,Ruins,Toxxada Ruins,ruins
1907,Cliffs,Farfoot Cliffs,cliffs
18651,Cliffs,Espaeria Wall,cliffs
18664,Cliffs,Sayuri's End,cliffs
4218,Cliffs,Tollelo Rampart,cliffs
809,Cliffs,Bad Lemur Cliffs,cliffs
17547,Cliffs,Bancam Rampart,cliffs
8474,Cliffs,Hare Rampart,cliffs
3150,Cliffs,Thiarewabum Wall,cliffs
12128,Cliffs,Waen Wall,cliffs
7602,Cliffs,Van's End,cliffs
1942,Cliffs,Chinchillanose Rampart,cliffs
9500,Cliffs,Icyfoot Cliffs,cliffs
10777,Cliffs,Bluepenguin Rampart,cliffs
20814,Cliffs,Tioistan Rampart,cliffs
20800,Cliffs,Notvebium Cliffs,cliffs
10254,Cliffs,Lucie's End,cliffs
8374,Cliffs,Goodbody Cliffs,cliffs
19222,Cliffs,Caro Cliffs,cliffs
19272,Cliffs,Shary's End,cliffs
16441,Cliffs,Terena Cliffs,cliffs
19237,Cliffs,Badstork Cliffs,cliffs
18921,Cliffs,Thiitna Wall,cliffs
575,Cliffs,Prime Pig Cliffs,cliffs
7166,Cliffs,Unbium Cliffs,cliffs
12899,Cliffs,Dinberium Cliffs,cliffs
15329,Cliffs,Tinaitlor Cliffs,cliffs
18947,Cliffs,Eaandla Cliffs,cliffs
2210,DryLake,Asrecur Sand Lake,dry lake
9926,DryLake,Ithinor Barren Lake,dry lake
17159,DryLake,Légua Sand Lake,dry lake
19652,DryLake,Xigola Sand Lake,dry lake
6712,DryLake,Legua Barren Lake,dry lake
9954,DryLake,Ereherarebum Sand Lake,dry lake
6422,DryLake,Veeron Salt Flat,dry lake
4331,DryLake,Dinbium Sand Pit,dry lake
20032,DryLake,Okapi's Conceit Sand Pit,dry lake
14793,DryLake,Athistereria Salt Flat,dry lake
16690,DryLake,Grayhoof Salt Flat,dry lake
12846,DryLake,Round Vulture Sand Pit,dry lake
3783,DryLake,Barracuda Dry Lake,dry lake
9947,DryLake,Lousa Sand Pit,dry lake
13149,DryLake,Blacklemur Dry Lake,dry lake
11389,DryLake,Iguana's Bluff Dry Lake,dry lake
14698,DryLake,Forla Barren Lake,dry lake
1840,DryLake,Thedio Sand Lake,dry lake
19604,DryLake,Erelebum Barren Lake,dry lake
5069,DryLake,Craggy Quail Salt Flat,dry lake
11240,DryLake,Laen Sand Pit,dry lake
18298,DryLake,Toxos Sand Lake,dry lake
16863,DryLake,Cotas Sand Lake,dry lake
15139,VEE_DryRiver,Teeron Sand River,dry river
17237,VEE_DryRiver,Woodpeckerear Dry River,dry river
20518,VEE_DryRiver,Cai Barren River,dry river
9173,VEE_DryRiver,Hius Sand River,dry river
21411,VEE_DryRiver,Eraia Barren River,dry river
11585,VEE_DryRiver,Hiunba Sand River,dry river
6372,VEE_DryRiver,Raen Dry River,dry river
10293,VEE_DryRiver,Shohiberon Sand River,dry river
