tile,lat,lon,arc,bearing,elev_m,temp_c,rain_mm,biome,water,river_flow,region,hilliness,swampiness,temp_min_c,temp_max_c,seasonal_shift_c,pollution,river_dist,road_count,river_count,mutator_count,feature_id
0,58.2787,-90.0000,90.0,121.72,16,14.1,0,Wasteland,0,0,Pan,1,0,-9.9161,38.1112,24.0164,0,0,0,0,2,21
1,58.2787,90.0000,90.0,58.28,303,12.5,0,AB_MycoticJungle,0,0,Sporefields,1,0.3608,-11.5161,36.5112,24.0164,0,0,0,0,0,22
2,-58.2787,-90.0000,90.0,238.28,582,10.6,0,Desert,0,0,Pale Flats,2,0,-13.4112,34.6161,-24.0164,0,0,0,0,0,23
3,-58.2787,90.0000,90.0,301.72,513,13.7,0,AB_RockyCrags,0,0,Wither,4,0,-10.3112,37.7161,-24.0164,0,0,0,0,1,24
4,-31.7160,180.0000,148.3,270.00,302,-56.7,0,AB_PropaneLakes,0,0,Deadstone,2,0,-72.0489,-41.348,-15.3523,0,0,0,0,0,25
5,31.7160,180.0000,148.3,90.00,1407,-63.7,0,AB_PropaneLakes,0,0,Ammonia Flats,2,0.3686,-79.0521,-48.3511,15.3523,0,0,0,0,0,26
6,-31.7160,0.0000,31.7,270.00,13,56.8,0,ExtremeDesert,0,0,Dune Sea,1,0,41.4511,72.1521,-15.3523,0,0,0,0,1,27
7,31.7160,0.0000,31.7,90.00,53,55.7,0,Desert,0,0,Dune Sea,2,0,40.348,71.0489,15.3523,0,0,0,0,0,27
8,0.0000,58.2825,58.3,0.00,355,36.7,0,ExtremeDesert,0,0,Ashfall Range,2,0,33.7,39.6993,3,0,0,0,0,0,28
9,0.0000,121.7175,121.7,0.00,384,-26.1,0,Wasteland,0,0,Sunreach,1,0,-29.1,-23.1007,3,0,0,0,0,0,29
10,0.0000,-58.2825,58.3,180.00,518,36.2,0,ZBiome_DesertOasis,0,0,Dew Belt,2,0.1804,33.2,39.1993,3,0,0,0,0,1,30
11,0.0000,-121.7175,121.7,180.00,263,-16.8,0,AB_MycoticJungle,0,0,Nightspill,3,0.5686,-19.8,-13.8007,3,0,0,0,0,0,31
12,35.2596,-135.0000,125.3,135.01,579,-32.2,0,HorrorWastes,0,0,Deadstone,2,0,-48.9273,-15.4762,16.7275,0,0,0,0,0,25
13,69.0771,-180.0000,110.9,90.00,405,-13.9,0,AB_MycoticJungle,0,0,Frostcaps,1,0.4392,-40.1413,12.3359,26.2416,0,0,2,0,0,32
14,69.0771,0.0000,69.1,90.00,1,29.6,0,ZBiome_Badlands,0,0,Cracklands,2,0,3.3587,55.8359,26.2416,0,0,0,0,0,33
15,35.2596,-45.0000,54.7,135.01,20,41.8,0,ZBiome_Grasslands,0,0,Pyrelands,1,0.0588,25.0727,58.5239,16.7275,0,0,3,0,0,34
16,20.9026,-90.0000,90.0,159.10,-350,14.0,0,Ocean,1,0,Twilight Sea,1,0,3.1527,24.8451,10.8475,0.8911,0,0,0,0,35
17,35.2596,135.0000,125.3,44.99,1268,-36.8,0,AB_MycoticJungle,0,0,Capwood,3,0.3098,-53.5273,-20.0762,16.7275,0,0,0,0,0,36
18,0.0000,-159.0948,159.1,180.00,881,-66.6,0,AB_RockyCrags,0,0,Umbra,2,0,-69.6,-63.6007,3,0,0,0,0,1,37
19,-20.9026,-90.0000,90.0,200.90,742,10.4,0,AB_MycoticJungle,0,0,Dew Belt,1,0.4392,-0.4451,21.2473,-10.8475,0,0,0,0,0,30
20,0.0000,-20.9052,20.9,180.00,1080,55.4,54,ZBiome_Badlands,0,0,Dune Sea,4,0,52.4007,58.4,-3,0,0,0,0,1,27
21,35.2596,45.0000,54.7,44.99,524,38.8,0,ExtremeDesert,0,0,Glare,3,0,22.0727,55.5239,16.7275,0,0,0,0,0,38
22,-35.2596,135.0000,125.3,315.01,584,-31.9,0,HorrorWastes,0,0,South Crags,2,0,-48.6239,-15.1727,-16.7275,0,0,0,0,0,39
23,-69.0771,180.0000,110.9,270.00,863,-14.8,0,Desert,0,0,The Verge,2,0,-41.0359,11.4413,-26.2416,0,0,0,0,0,40
24,-69.0771,0.0000,69.1,270.00,23,31.3,0,Desert,0,0,Long Sand,1,0,5.0641,57.5413,-26.2416,0,0,0,0,2,41
25,-35.2596,45.0000,54.7,315.01,399,40.0,10,Desert,0,0,Kiln,4,0,23.2762,56.7273,-16.7275,0,0,0,0,2,42
26,-20.9026,90.0000,90.0,339.10,1,12.9,0,AridShrubland,0,0,Damp,1,0,2.0549,23.7473,-10.8475,0,19,0,0,0,43
27,0.0000,159.0948,159.1,0.00,340,-67.2,0,AB_PropaneLakes,0,0,Ammonia Flats,3,0.2706,-70.1993,-64.2,-3,0,0,0,0,0,26
28,-35.2596,-135.0000,125.3,224.99,1122,-34.7,0,AB_MycoticJungle,0,0,Ashwood,3,0.3804,-51.4239,-17.9727,-16.7275,0,0,0,0,0,44
29,-35.2596,-45.0000,54.7,224.99,432,40.6,0,ExtremeDesert,0,0,Kiln,1,0,23.8762,57.3273,-16.7275,0,0,0,0,1,42
30,0.0000,20.9052,20.9,0.00,375,58.1,0,Scarlands,0,0,Scorch,2,0,55.1,61.0993,3,0.3,0,0,0,0,45
