tile,landmark,why
10,Oasis,"the Hutt wells - six named, not 227"
2476,AbandonedColonyOutlander,The Setdown - where the dead gravship was found
2920,sw_Sarlacc,the sarlacc the town is named for
4367,Oasis,"the Hutt wells - six named, not 227"
7780,Oasis,"the Hutt wells - six named, not 227"
8147,Valley,The Scald Gate - the one breach in the Spine
11100,Oasis,"the Hutt wells - six named, not 227"
11350,AncientLaunchSite,"The Rust Cathedral - mechanoid ground, permanently at war"
11965,LavaCrater,the Scald rim volcanics - the one volcanic province
12411,AncientQuarry,the mine the sandcrawlers were stolen from
14338,Oasis,"the Hutt wells - six named, not 227"
14481,AncientHeatVent,a heat plume on the hottest world
14486,AncientHeatVent,a heat plume on the hottest world
14490,AncientHeatVent,a heat plume on the hottest world
17225,Oasis,"the Hutt wells - six named, not 227"
19495,LavaLake,the Scald rim volcanics
