kind,a,b,def
river,14,7367,HugeRiver
river,26,7440,Creek
river,66,7678,Creek
river,85,7794,HugeRiver
river,256,8816,HugeRiver
river,326,9238,HugeRiver
river,348,9373,HugeRiver
river,354,9405,HugeRiver
river,377,9547,Creek
river,632,11073,River
river,635,11095,Creek
river,650,11185,HugeRiver
river,655,11213,HugeRiver
river,675,11334,HugeRiver
river,766,11878,Creek
river,772,11913,Creek
river,777,11947,LargeRiver
river,780,11964,River
river,847,12363,HugeRiver
river,851,12391,HugeRiver
river,863,12459,Creek
river,886,12601,HugeRiver
river,891,12626,HugeRiver
river,923,12822,HugeRiver
river,924,12825,HugeRiver
river,961,13051,Creek
river,1025,13435,Creek
river,1173,14318,Creek
river,1174,14325,Creek
river,1175,14335,River
river,1197,14467,Creek
river,1313,15163,HugeRiver
river,1315,15173,HugeRiver
river,1321,15206,HugeRiver
river,1429,15855,Creek
river,1534,16489,HugeRiver
river,1535,16494,HugeRiver
river,1549,16577,Creek
river,1557,16623,Creek
river,1558,16633,Creek
river,1677,17343,HugeRiver
river,1678,17350,HugeRiver
river,1784,17985,HugeRiver
river,1849,18377,Creek
river,1850,18383,HugeRiver
river,1854,18404,HugeRiver
river,1855,18411,River
river,1983,19183,Creek
river,2014,19366,Creek
river,2015,19372,River
river,2020,19400,HugeRiver
river,2150,20183,Creek
river,2155,20211,Creek
river,2158,20230,HugeRiver
river,2234,20689,Creek
river,2328,21248,HugeRiver
river,2339,21318,Creek
river,2341,21327,HugeRiver
river,2359,21434,River
river,2470,7331,HugeRiver
river,2510,12625,HugeRiver
river,2511,12627,River
river,2514,7371,LargeRiver
river,2565,12945,HugeRiver
river,2568,7428,HugeRiver
river,2578,7439,Creek
river,2625,13311,Creek
river,2641,13407,HugeRiver
river,2642,13419,Creek
river,2643,13431,Creek
river,2684,13669,Creek
river,2685,13665,Creek
river,2687,7546,Creek
river,2688,7548,Creek
river,2729,7591,HugeRiver
river,2730,13945,HugeRiver
river,2792,14312,River
river,2793,7652,Creek
river,2794,14331,Creek
river,2795,14337,HugeRiver
river,2796,14343,HugeRiver
river,2797,14344,River
river,2821,7681,Creek
river,2828,14540,Creek
river,2835,14570,HugeRiver
river,2932,15152,HugeRiver
river,2936,15206,HugeRiver
river,2937,15176,HugeRiver
river,2994,15525,HugeRiver
river,3001,15567,HugeRiver
river,3002,15579,Creek
river,3003,15584,Creek
river,3045,15825,Creek
river,3081,16051,HugeRiver
river,3084,16065,HugeRiver
river,3089,7951,HugeRiver
river,3090,16105,HugeRiver
river,3290,8150,HugeRiver
river,3294,17329,HugeRiver
river,3377,17823,Creek
river,3406,18001,HugeRiver
river,3409,8268,HugeRiver
river,3451,18267,HugeRiver
river,3468,18375,HugeRiver
river,3471,18388,River
river,3473,18392,LargeRiver
river,3597,19155,Creek
river,3599,19149,Creek
river,3624,19309,Creek
river,3632,19358,HugeRiver
river,3635,19372,River
river,3639,19389,HugeRiver
river,3653,19472,HugeRiver
river,3655,8515,HugeRiver
river,3770,20180,Creek
river,3771,20187,Creek
river,3772,20194,Creek
river,3774,20198,Creek
river,3776,8636,HugeRiver
river,3796,20331,HugeRiver
river,3799,8659,HugeRiver
river,3849,20659,HugeRiver
river,3852,8713,HugeRiver
river,3951,8811,Creek
river,3954,21279,Creek
river,3957,21307,HugeRiver
river,3958,8818,Creek
river,3960,8818,HugeRiver
river,3972,21386,Creek
river,4084,15573,Creek
river,4235,16507,Creek
river,4237,9096,Creek
river,4247,9107,Creek
river,4248,16624,Creek
river,4288,9149,HugeRiver
river,4291,16769,HugeRiver
river,4365,12464,Creek
river,4366,9224,Creek
river,4377,12480,River
river,4378,17304,HugeRiver
river,4380,9240,HugeRiver
river,4511,9371,HugeRiver
river,4526,18247,HugeRiver
river,4546,9404,HugeRiver
river,4549,12646,River
river,4550,12648,LargeRiver
river,4552,12654,Creek
river,4554,18391,LargeRiver
river,4555,9415,Creek
river,4685,19142,Creek
river,4708,9568,Creek
river,4709,19390,Creek
river,4720,19356,HugeRiver
river,4723,19404,HugeRiver
river,4730,12828,HugeRiver
river,4734,19471,HugeRiver
river,4845,9704,River
river,4849,20225,HugeRiver
river,4852,20146,Creek
river,4855,9715,River
river,4874,12972,HugeRiver
river,4917,13027,Creek
river,4923,13033,Creek
river,4927,9786,Creek
river,4928,13037,Creek
river,4936,9797,Creek
river,4939,20700,Creek
river,5211,10071,Creek
river,5212,15532,Creek
river,5235,13333,Creek
river,5237,10097,Creek
river,5243,10103,HugeRiver
river,5244,15556,HugeRiver
river,5256,15534,HugeRiver
river,5288,13396,HugeRiver
river,5291,10151,HugeRiver
river,5312,13413,Creek
river,5313,13445,Creek
river,5325,17831,Creek
river,5556,20197,Creek
river,5565,10425,Creek
river,5569,20213,Creek
river,5573,15816,Creek
river,5576,20215,Creek
river,5585,20357,HugeRiver
river,5594,13692,Creek
river,5662,21270,Creek
river,5782,16093,HugeRiver
river,5830,13932,HugeRiver
river,5846,20671,HugeRiver
river,6213,16486,HugeRiver
river,6225,14323,Creek
river,6229,14326,Creek
river,6231,14330,Creek
river,6234,21317,Creek
river,6235,14333,Creek
river,6237,14335,HugeRiver
river,6239,11096,HugeRiver
