tile,mutators
0,VEE_DeepOreDevoid;VEE_MineralDevoid
3,Mountain
6,Dunes
10,Oasis
18,Caves
20,Cliffs
24,VEE_DeepOreDevoid;VEE_MineralDevoid
25,Mountain;Oasis
29,Dunes
31,VEE_SaltPlains
35,VEE_DeepOreDevoid;VEE_MineralDevoid
36,Coast
37,VEE_FleshPits
41,Caves
44,VEE_DeepOreDevoid;VEE_MineralDevoid
51,VEE_DeepOreDevoid;VEE_MineralDevoid
52,Caves
53,Caves
54,Caves
55,Caves
64,Dunes
70,Dunes;VEE_DeepOreDevoid;VEE_MineralDevoid
71,Dunes
83,Oasis
84,Cavern
85,Mountain;River
88,Caves
92,VEE_DeepOreDevoid;VEE_MineralDevoid
96,VEE_DeepOreDevoid;VEE_MineralDevoid
104,Dunes
105,VEE_DeepOreDevoid;VEE_DustBowl;VEE_DustStorms;VEE_Fertility_Reduced;VEE_MineralDevoid;VEE_PlantLife_Decimated
107,Mountain
110,VEE_SaltPlains
112,Caves
116,VEE_MeteorCrater
117,AncientRuins;Caves
123,Dunes
124,Dunes;VEE_DeepOreDevoid;VEE_MineralDevoid
125,Dunes
126,Mountain
128,Mountain
130,Dunes
131,Dunes;VEE_DeepOreDevoid;VEE_MineralDevoid
132,Mountain
134,Mountain
136,Dunes
142,Mountain;Oasis
143,Mountain
144,Mountain;Oasis
147,Caves
151,Mountain
152,Caves
161,Caves
170,Dunes;VEE_DeepOreDevoid;VEE_MineralDevoid
171,Coast
175,AB_FeraliskNest;Marshy;VEE_IncreasedInfestations;VEE_RottenStench
177,VEE_SaltPlains
182,Caves;MineralRich;Mountain;VEE_DeepOreRich
190,Caves
199,Caves
201,MineralRich
208,Dunes
217,VEE_DeepOreDevoid;VEE_MineralDevoid
224,VEE_DeepOreDevoid;VEE_MineralDevoid
229,VEE_DeepOreDevoid;VEE_MineralDevoid
233,Dunes
236,DryGround
239,CoastalIsland
241,VEE_DeepOreDevoid;VEE_MineralDevoid
250,Caves
254,Dunes
255,Dunes
256,River
259,Mountain
260,VEE_DeepOreDevoid;VEE_MineralDevoid;VEE_PebbleDunes
263,VEE_RedDesert;VEE_RedDesertPlants;VEE_Sandstorms
265,MineralRich;Mountain
267,Caves
269,Coast
275,VEE_DeepOreDevoid;VEE_MineralDevoid
290,Cliffs
291,VEE_SaltPlains
293,Caves
296,Caves
299,Mountain
300,Caves
302,Dunes
303,Dunes
304,Dunes;VEE_DeepOreDevoid;VEE_MineralDevoid
306,Dunes
310,Dunes
311,Dunes;VEE_DeepOreDevoid;VEE_MineralDevoid
313,MineralRich;Mountain;VEE_DeepOreRich
315,MineralRich;Mountain
322,Mountain
323,Mountain
324,Mountain
338,Caves
339,Caves
345,VEE_DeepOreDevoid;VEE_MineralDevoid
351,Mountain
354,AB_FeraliskNest;Marshy;River;VEE_IncreasedInfestations;VEE_RottenStench
355,Dunes
359,CoastalIsland
360,CoastalIsland
361,CoastalIsland
363,Caves
370,Caves;Mountain
371,Caves
373,Caves
375,VEE_DeepOreDevoid;VEE_MineralDevoid
385,MineralRich;Mountain
386,Dunes;VEE_DeepOreDevoid;VEE_MineralDevoid
390,Dunes
404,VEE_DeepOreDevoid;VEE_MineralDevoid
411,VEE_DeepOreDevoid;VEE_MineralDevoid
415,VEE_SaltPlains
416,Mountain
417,DryGround
420,DryGround
423,Caves
434,Dunes
440,Mountain
445,Dunes
446,VEE_DeepOreDevoid;VEE_GravelBeach;VEE_MineralDevoid
450,VEE_SaltPlains
451,VEE_SaltPlains
454,Mountain
456,VEE_SaltPlains
457,AB_TarLakes
461,Caves
464,VEE_DeepOreDevoid;VEE_MineralDevoid
469,VEE_FleshPits
470,VEE_DeepOreDevoid;VEE_MineralDevoid
474,VEE_DeepOreDevoid;VEE_MineralDevoid
476,AB_TarLakes
478,Dunes
479,Dunes;VEE_DeepOreDevoid;VEE_MineralDevoid
492,Dunes;VEE_DeepOreDevoid;VEE_MineralDevoid
495,Mountain
499,Caves;MineralRich;VEE_DeepOreRich;VEE_SerpentineCanyons
508,Caves
511,Caves
519,VEE_DustBowl;VEE_DustStorms;VEE_Fertility_Reduced;VEE_PlantLife_Decimated
522,VEE_DeepOreDevoid;VEE_MineralDevoid
526,VEE_DeepOreDevoid;VEE_MineralDevoid
527,Dunes
528,Dunes
529,Dunes;VEE_DeepOreDevoid;VEE_MineralDevoid
530,Caves
542,VEE_DeepOreDevoid;VEE_MineralDevoid
546,Cliffs
547,Mountain
550,VEE_DeepOreDevoid;VEE_MineralDevoid
555,VEE_DeepOreDevoid;VEE_MineralDevoid
557,AncientChemfuelRefinery
562,VEE_DeepOreDevoid;VEE_MineralDevoid
566,VEE_SaltPlains
567,DryGround
570,VEE_DeepOreDevoid;VEE_MineralDevoid
572,Caves
575,Caves;Cliffs
576,Caves
577,Caves
578,Caves
579,Caves
581,Mountain
582,Caves
583,Mountain
591,Caves
594,Caves
599,Caves
601,Caves
603,Caves
609,AncientRuins
618,AncientRuins_Frozen
623,Caves
627,MineralRich
629,Caves
632,Oasis
633,Mountain
634,HotSprings;Mountain
635,Cliffs;River
639,VEE_QuicksandDunes
642,VEE_DeepOreDevoid;VEE_MineralDevoid
643,Dunes
644,Dunes
646,Dunes;VEE_DeepOreDevoid;VEE_MineralDevoid
648,Dunes
649,Dunes
650,MineralRich;VEE_SaltPlains
651,Dunes;VEE_DeepOreDevoid;VEE_MineralDevoid
657,MineralRich
658,MineralRich
661,MineralRich;VEE_DeepOreRich
662,Dunes;VEE_DeepOreDevoid;VEE_MineralDevoid
674,PlantLife_Increased;VEE_RottenStench;VEE_SulfuricLake
675,River
678,AncientGarrison
680,Dunes
681,Dunes;VEE_DeepOreDevoid;VEE_MineralDevoid
682,Dunes
683,Dunes
685,Dunes;VEE_DeepOreDevoid;VEE_MineralDevoid
687,Dunes
688,Dunes
689,Dunes;VEE_DeepOreDevoid;VEE_MineralDevoid
690,Dunes
691,Dunes
698,Mountain
700,VEE_DeepOreDevoid;VEE_MineralDevoid
706,VEE_SaltPlains
708,VEE_SaltPlains
709,VEE_GravelBeach
710,MineralRich
712,MineralRich;Mountain
717,Mountain
718,Mountain
722,Caves
724,Caves
725,Caves
727,Mountain
728,VEE_DeepOreDevoid;VEE_MineralDevoid
733,Caves
739,Mountain
741,Caves
743,Caves
747,Mountain
750,CoastalIsland
751,CoastalIsland
753,Mountain
755,Mountain
758,Coast
759,Mountain
760,VEE_SaltPlains
761,VEE_SaltPlains
763,Oasis
765,VEE_DryRiver
766,Dunes;VEE_DeepOreDevoid;VEE_MineralDevoid
768,MineralRich;Mountain
769,Mountain
770,Oasis
773,AB_LocustPlagues;Marshy;Oasis;VEE_IncreasedInfestations
776,Mountain;River
777,Cliffs;MineralRich;VEE_DeepOreRich
780,Cliffs;MineralRich
781,Mountain;River
784,Caves
786,Caves
788,Peninsula
790,Caves
791,Caves
796,Caves
798,Caves
799,Caves
801,Caves;Mountain
802,CoastalIsland
804,VEE_SaltPlains
808,Caves
809,Caves;Cliffs
814,VEE_DeepOreDevoid;VEE_MineralDevoid
827,VEE_SaltPlains
828,Mountain
830,Chasm
835,Caves
842,Dunes
843,Dunes
844,Dunes;VEE_DeepOreDevoid;VEE_MineralDevoid
845,Dunes
846,Dunes
850,Dunes;VEE_DeepOreDevoid;VEE_MineralDevoid
853,MineralRich;Mountain
855,MineralRich;Mountain
861,VEE_DeepOreDevoid;VEE_MineralDevoid
862,Mountain
863,Oasis
872,Caves
876,VEE_MeteorCrater
877,Caves
890,AB_LocustPlagues;InsectMegahive;Marshy;VEE_RottenStench
891,AB_LocustPlagues;Pond;River;ToxicLake;VEE_IncreasedInfestations;VEE_StagnantRivulet
895,Dunes;VEE_DeepOreDevoid;VEE_MineralDevoid
900,CoastalIsland
910,Caves
912,Caves
913,Caves
920,Mountain;VEE_RedDesert;VEE_RedDesertPlants;VEE_Sandstorms
923,Cliffs
924,Cliffs
925,Mountain
931,Oasis
946,VEE_DeepOreDevoid;VEE_MineralDevoid
949,VEE_DeepOreDevoid;VEE_MineralDevoid
956,DryGround
957,ToxicLake
972,Caves
974,Dunes;VEE_DeepOreDevoid;VEE_MineralDevoid
981,Mountain
986,CoastalIsland;VEE_SaltPlains
991,CoastalIsland
992,VEE_FleshPits
994,AB_TarLakes
996,VEE_SaltPlains
1001,Caves
1003,Caves
1006,VEE_DeepOreDevoid;VEE_MineralDevoid
1011,VEE_DeepOreDevoid;VEE_MineralDevoid
1014,VEE_DeepOreDevoid;VEE_MineralDevoid
1016,Coast
1017,Dunes
1018,Dunes
1019,Dunes;VEE_DeepOreDevoid;VEE_MineralDevoid
1020,CoastalIsland
1032,VEE_DeepOreDevoid;VEE_MineralDevoid
1035,Mountain
1037,VEE_RockRidge
1038,Mountain
1039,Mountain
1046,VEE_GravelBeach
1051,Caves
1062,VEE_FleshPits
1066,VEE_DeepOreDevoid;VEE_MineralDevoid
1067,Dunes
1068,Dunes
1069,VEE_DeepOreDevoid;VEE_MineralDevoid
1072,Caves
1073,Caves
1084,VEE_DeepOreDevoid;VEE_MineralDevoid
1087,VEE_DeepOreDevoid;VEE_MineralDevoid
1091,VEE_DeepOreDevoid;VEE_MineralDevoid
1095,VEE_DeepOreDevoid;VEE_MineralDevoid
1104,VEE_DeepOreDevoid;VEE_MineralDevoid
1107,DryGround
1108,VEE_DeepOreDevoid;VEE_MineralDevoid
1111,VEE_DeepOreDevoid;VEE_MineralDevoid
1118,Caves
1123,Caves
1127,Caves
1128,Caves
1129,Caves
1134,Caves
1140,Caves
1145,VEE_Cenotes
1151,Hollow
1152,Caves
1153,VEE_RockRidge
1155,Mountain
1156,Cavern
1161,Caves
1162,Caves
1163,Caves
1168,Caves
1169,Caves
1172,Oasis
1174,River;VEE_StagnantRivulet
1175,River;VEE_StagnantRivulet
1178,Dunes
1180,Mountain
1181,Dunes
1184,Dunes;VEE_DeepOreDevoid;VEE_MineralDevoid
1187,Dunes
1188,Dunes
1189,Dunes;VEE_DeepOreDevoid;VEE_MineralDevoid
1192,VEE_QuicksandDunes
1198,MineralRich
1210,VEE_DeepOreDevoid;VEE_MineralDevoid
1220,Dunes
1222,Dunes
1223,Dunes;VEE_DeepOreDevoid;VEE_MineralDevoid
1224,Dunes
1226,Dunes
1227,Dunes;VEE_DeepOreDevoid;VEE_MineralDevoid
1228,Dunes
1229,Dunes
1230,Dunes;VEE_DeepOreDevoid;VEE_MineralDevoid
1231,Dunes
1236,VEE_DeepOreDevoid;VEE_MineralDevoid
1238,AbandonedColonyTribal;Mountain
1246,CoastalIsland;VEE_SaltPlains
1247,CoastalIsland;VEE_SaltPlains
1251,Dunes;VEE_DeepOreDevoid;VEE_MineralDevoid
1252,Dunes
1254,Dunes
1255,Dunes;VEE_DeepOreDevoid;VEE_MineralDevoid
1257,Mountain
1259,Mountain
1263,Mountain
1266,Mountain
1275,Mountain
1276,VEE_DeepOreDevoid;VEE_MineralDevoid
1284,VEE_StoneForest
1286,CoastalIsland
1290,CoastalIsland
1291,CoastalIsland
1294,CoastalIsland
1295,Coast;Mountain
1296,CoastalIsland
1300,VEE_SaltPlains
1301,Oasis
1303,Oasis
1305,Mountain
1308,Mountain
1309,Mountain
1312,Mountain;River;VEE_StagnantRivulet
1313,River
1314,Oasis
1315,Mountain
1316,MineralRich;Mountain;VEE_DeepOreRich
1317,Cliffs
1321,MineralRich;Mountain;River
1324,Caves
1331,Caves;Mountain
1333,Mountain
1336,Caves
1338,Caves
1341,Caves;Mountain
1344,VEE_SaltPlains
1345,VEE_SaltPlains
1349,Caves
1352,VEE_DeepOreDevoid;VEE_MineralDevoid
1356,VEE_DeepOreDevoid;VEE_MineralDevoid
1360,VEE_DeepOreDevoid;VEE_MineralDevoid
1368,VEE_DeepOreDevoid;VEE_MineralDevoid
1372,VEE_DeepOreDevoid;VEE_MineralDevoid
1376,VEE_DeepOreDevoid;VEE_MineralDevoid
1379,VEE_DeepOreDevoid;VEE_MineralDevoid
1380,Dunes
1385,VEE_DeepOreDevoid;VEE_MineralDevoid
1389,Caves
1415,AB_QuicksandPits
1423,VEE_DeepOreDevoid;VEE_MineralDevoid
1426,Dunes
1427,Dunes;VEE_DeepOreDevoid;VEE_MineralDevoid
1428,Dunes
1437,VEE_DeepOreDevoid;VEE_MineralDevoid
1442,DryGround
1444,DryGround
1445,Mountain
1446,AB_TarLakes;VEE_SaltPlains
1447,AncientHeatVent;DryGround
1450,VEE_DeepOreDevoid;VEE_MineralDevoid
1453,VEE_DeepOreDevoid;VEE_MineralDevoid
1455,Chasm
1456,VEE_DeepOreDevoid;VEE_MineralDevoid
1460,VEE_SaltPlains
1462,VEE_SaltPlains
1464,VEE_DeepOreDevoid;VEE_MineralDevoid
1466,VEE_SaltPlains
1467,DryGround
1468,VEE_DeepOreDevoid;VEE_MineralDevoid
1472,Caves
1474,Caves
1475,Caves
1477,Caves
1486,Caves
1490,Caves
1494,Caves
1505,AncientRuins;Caves
1507,Caves
1514,Mountain
1515,Mountain
1516,AncientRuins_Frozen
1522,Caves
1524,Caves
1526,Caves;MineralRich;Mountain
1530,Caves;MineralRich
1531,Caves
1532,Dunes;VEE_DeepOreDevoid;VEE_MineralDevoid
1534,River;VEE_StagnantRivulet
1535,River;VEE_StagnantRivulet
1536,DryGround;Dunes
1537,Dunes
1538,Dunes;VEE_DeepOreDevoid;VEE_MineralDevoid
1541,Dunes
1542,Dunes
1543,Dunes;VEE_DeepOreDevoid;VEE_MineralDevoid
1546,Dunes
1549,Dunes
1550,Dunes;VEE_DeepOreDevoid;VEE_MineralDevoid
1551,Dunes
1555,Dunes
1556,Mountain
1557,Dunes;VEE_DeepOreDevoid;VEE_MineralDevoid
1558,Dunes
1560,MineralRich;VEE_DeepOreRich;Valley
1561,Mountain
1562,Dunes
1563,Dunes;VEE_DeepOreDevoid;VEE_MineralDevoid
1578,Dunes
1580,Dunes
1581,Dunes;VEE_DeepOreDevoid;VEE_MineralDevoid
1582,Dunes
1583,Dunes
1584,Dunes;VEE_DeepOreDevoid;VEE_MineralDevoid
1585,Dunes
1586,Dunes
1587,Dunes;VEE_DeepOreDevoid;VEE_MineralDevoid
1588,Dunes
1589,Dunes
1590,Dunes;VEE_DeepOreDevoid;VEE_MineralDevoid
1591,Dunes
1594,Mountain
1595,Cliffs;MineralRich
1596,Dunes
1598,MineralRich;Mountain;VEE_DeepOreRich
1599,Mountain
1603,Mountain
1604,Chasm
1605,Mountain
1607,VEE_DeepOreDevoid;VEE_MineralDevoid
1608,Mountain
1610,VEE_PebbleDunes
1612,Mountain
1615,MineralRich;Mountain;VEE_DeepOreRich
1616,Mountain
1619,Dunes
1620,Mountain
1622,VEE_DeepOreDevoid;VEE_MineralDevoid
1625,Mountain
1626,Mountain
1627,Mountain
1640,Caves
1641,TerraformingScar
1642,Caves
1643,Caves
1647,VEE_DeepOreDevoid;VEE_MineralDevoid
1650,Mountain
1651,Mountain
1652,Mountain;Oasis
1653,Oasis
1654,Mountain;Oasis
1656,Mountain
1659,MineralRich;Mountain;VEE_DeepOreRich
1660,Oasis
1661,Oasis
1662,Mountain
1664,Mountain
1665,Oasis
1666,Mountain
1667,Oasis
1668,HotSprings;Mountain
1669,Mountain;River
1672,VEE_NoTrees;VEE_PlantLife_Overgrown
1673,Mountain
1677,Mountain;Oasis
1678,Mountain;Oasis
1697,Caves
1707,Mountain
1709,Caves;Mountain
1711,Caves
1712,Caves
1714,Caves
1715,Mountain
1716,Caves
1728,Caves
1732,Caves
1736,Caves
1738,Caves
1755,Caves
1766,Caves
1767,Caves
1768,Mountain
1769,Caves
1782,VEE_Cenotes
1784,VEE_DeepOreDevoid;VEE_MineralDevoid
1792,VEE_DeepOreDevoid;VEE_MineralDevoid
1793,Dunes
1795,VEE_DeepOreDevoid;VEE_MineralDevoid
1810,VEE_DeepOreDevoid;VEE_MineralDevoid
1812,Dunes
1814,VEE_DeepOreDevoid;VEE_MineralDevoid
1817,PlantLife_Increased;VEE_RottenStench;VEE_SulfuricLake
1821,Dunes
1822,Dunes;VEE_DeepOreDevoid;VEE_MineralDevoid
1824,Dunes
1825,VEE_DeepOreDevoid;VEE_MineralDevoid
1828,Coast
1829,CoastalIsland
1834,VEE_DeepOreDevoid;VEE_MineralDevoid
1837,sw_DeadSarlaccCave
1840,DryLake
1842,VEE_SaltPlains
1843,Dunes
1844,Mountain
1847,Mountain
1848,AB_BumbledroneNests;AB_FeraliskNest;Marshy;VEE_RottenStench;VEE_StagnantRivulet
1849,AB_FeraliskNest;AB_LocustPlagues;Marshy;VEE_RottenStench
1850,AB_LocustPlagues;Marshy;River;VEE_IncreasedDiseases;VEE_IncreasedInfestations
1854,AB_BumbledroneNests;AB_LocustPlagues;Pond;River;VEE_RotstinkVents;VEE_StagnantRivulet
1855,River;VEE_StagnantRivulet
1856,VEE_SaltPlains
1857,VEE_SaltPlains
1859,AB_TarLakes
1860,Mountain
1863,VEE_SaltPlains
1864,VEE_SaltPlains
1865,VEE_SaltPlains
1866,AB_TarLakes
1867,VEE_SaltPlains
1889,VEE_SaltPlains
1891,VEE_SaltPlains
1892,Caves;MineralRich
1893,Caves;MineralRich
1895,Caves;Mountain
1896,Caves;MineralRich
1897,Caves;MineralRich;Mountain
1899,Caves
1900,Caves
1906,Caves;MineralRich
1907,Caves;Cliffs;MineralRich;VEE_DeepOreRich
1908,Caves;MineralRich
1911,Caves
1915,Mountain
1916,Caves
1917,Caves
1921,Caves
1923,Caves
1924,Caves
1926,Caves
1931,Caves
1932,Caves
1940,Caves
1942,Caves;Cliffs
1944,Caves
1945,Caves
1947,Caves
1948,Caves
1949,Caves
1951,Caves
1953,Caves
1955,Caves
1957,Caves
1960,Caves
1961,Caves
1971,VEE_DeepOreDevoid;VEE_MineralDevoid
1973,ToxicLake
1978,VEE_SaltPlains
1983,VEE_DeepOreDevoid;VEE_MineralDevoid
1986,Oasis
1990,Caves
1992,Caves;Mountain
1994,Caves
1997,Caves
1999,Caves;Mountain
2000,MineralRich
2001,Cliffs;MineralRich
2008,MineralRich
2009,MineralRich
2011,VEE_NoTrees;VEE_PlantLife_Overgrown
2014,Mountain;VEE_StagnantRivulet
2015,Mountain;River;VEE_StagnantRivulet
2019,Oasis
2020,Mountain;River;VEE_StagnantRivulet
2021,VEE_NoTrees;VEE_PlantLife_Overgrown
2032,Valley
2033,Mountain
2035,Cliffs;River
2039,Oasis;VEE_DeepOreDevoid;VEE_MineralDevoid
2041,Dunes
2048,Dunes;VEE_DeepOreDevoid;VEE_MineralDevoid
2049,Dunes
2050,Dunes
2051,Dunes;VEE_DeepOreDevoid;VEE_MineralDevoid
2052,Dunes
2053,Dunes
2057,Dunes;VEE_DeepOreDevoid;VEE_MineralDevoid
2064,Mountain
2066,VEE_PebbleDunes
2067,Dunes
2068,Dunes;VEE_DeepOreDevoid;VEE_MineralDevoid
2072,VEE_DeepOreDevoid;VEE_MineralDevoid
2075,VEE_DeepOreDevoid;VEE_MineralDevoid
2082,VEE_DeepOreDevoid;VEE_MineralDevoid
2084,Mountain
2087,Mountain
2088,Caves
2100,VEE_DeepOreDevoid;VEE_MineralDevoid
2105,VEE_DeepOreDevoid;VEE_MineralDevoid
2109,VEE_DeepOreDevoid;VEE_MineralDevoid
2112,Caves
2121,VEE_DeepOreDevoid;VEE_MineralDevoid
2128,VEE_DeepOreDevoid;VEE_MineralDevoid
2136,ToxicLake
2137,VEE_DeepOreDevoid;VEE_MineralDevoid
2140,Caves
2141,Caves
2149,VEE_DeepOreDevoid;VEE_MineralDevoid
2152,VEE_DeepOreDevoid;VEE_MineralDevoid
2157,VEE_DeepOreDevoid;VEE_MineralDevoid
2165,VEE_DeepOreDevoid;VEE_MineralDevoid
2173,VEE_DeepOreDevoid;VEE_MineralDevoid
2176,VEE_DeepOreDevoid;VEE_MineralDevoid
2177,Dunes
2179,Dunes;VEE_DeepOreDevoid;VEE_MineralDevoid
2181,VEE_SaltPlains
2185,VEE_DeepOreDevoid;VEE_MineralDevoid
2189,VEE_DeepOreDevoid;VEE_MineralDevoid
2199,Dunes;VEE_DeepOreDevoid;VEE_MineralDevoid
2200,Dunes
2201,Dunes
2202,Dunes;VEE_DeepOreDevoid;VEE_MineralDevoid
2203,Dunes
2206,MineralRich
2210,DryLake
2212,Dunes
2213,Dunes;VEE_DeepOreDevoid;VEE_MineralDevoid
2216,Cliffs
2217,Chasm
2218,VEE_DeepOreDevoid;VEE_MineralDevoid
2221,DryGround
2224,VEE_SaltPlains
2225,DryGround;VEE_SaltPlains
2226,DryGround
2228,VEE_DeepOreDevoid;VEE_MineralDevoid
2231,VEE_DeepOreDevoid;VEE_MineralDevoid
2234,Coast;VEE_DeepOreDevoid;VEE_MineralDevoid
2235,CoastalIsland;VEE_SaltPlains
2236,Coast
2241,Cliffs;SteamGeysers_Increased
2243,Mountain
2244,VEE_DeepOreDevoid;VEE_MineralDevoid
2247,VEE_DeepOreDevoid;VEE_GravelBeach;VEE_MineralDevoid
2248,VEE_SaltPlains
2249,Archipelago
2251,CoastalIsland
2253,Caves;Mountain
2255,Caves
2258,Caves
2264,Mountain
2268,Caves
2269,Mountain
2301,Caves
2302,Caves
2303,Caves
2305,Caves
2307,Caves
2308,Caves
2309,Caves
2310,Caves
2320,Caves
2322,Caves
2325,Dunes
2326,Dunes;VEE_DeepOreDevoid;VEE_MineralDevoid
2327,Dunes
2328,Dunes
2329,Dunes;VEE_DeepOreDevoid;VEE_MineralDevoid
2330,Dunes
2333,Dunes;VEE_DeepOreDevoid;VEE_MineralDevoid
2334,Dunes
2338,Mountain;River
2339,River
2340,Cliffs;River
2341,Mountain;River
2346,DryGround;VEE_DeepOreDevoid;VEE_MineralDevoid
2349,Mountain;Oasis
2350,Dunes
2352,VEE_DeepOreDevoid;VEE_MineralDevoid
2354,Mountain
2356,MineralRich
2357,MineralRich
2358,VEE_Cenotes
2359,Mountain;River
2360,Dunes
2368,Dunes
2369,Dunes;VEE_DeepOreDevoid;VEE_MineralDevoid
2371,Dunes
2378,Dunes
2387,Dunes;VEE_DeepOreDevoid;VEE_MineralDevoid
2388,Dunes
2392,Dunes
2394,MineralRich;Mountain;VEE_DeepOreRich
2396,VEE_DeepOreDevoid;VEE_MineralDevoid
2401,VEE_DeepOreDevoid;VEE_MineralDevoid
2402,CoastalIsland
2405,Caves
2407,Peninsula
2408,CoastalIsland
2409,CoastalIsland;VEE_SaltPlains
2410,CoastalIsland
2412,CoastalIsland
2413,CoastalIsland
2415,CoastalIsland;VEE_SaltPlains
2420,CoastalIsland
2424,Caves
2426,CoastalIsland
2427,CoastalIsland
2431,CoastalIsland
2433,VEE_DeepOreDevoid;VEE_MineralDevoid
2436,VEE_DeepOreDevoid;VEE_MineralDevoid
2448,Cliffs;HotSprings
2449,Mountain
2450,Mountain
2451,Chasm;VEE_RotstinkVents
2455,Caves
2459,VEE_RockRidge
2462,Dunes
2463,Dunes
2464,Dunes;VEE_DeepOreDevoid;VEE_MineralDevoid
2465,Dunes
2466,Dunes
2468,Dunes;VEE_DeepOreDevoid;VEE_MineralDevoid
2471,Dunes
2472,MineralRich
2473,Dunes
2474,Dunes;VEE_DeepOreDevoid;VEE_MineralDevoid
2475,MineralRich
2476,Dunes
2478,VEE_DeepOreDevoid;VEE_MineralDevoid
2481,VEE_DeepOreDevoid;VEE_MineralDevoid
2492,Caves
2493,Caves
2496,Caves
2510,Pond;VEE_IncreasedInfestations;VEE_RotstinkVents;VEE_StagnantRivulet
2511,AB_LocustPlagues;Marshy;VEE_RotstinkVents
2520,CoastalIsland
2529,Caves
2532,Caves
2533,Caves
2540,AB_GeothermalHotspots;AB_MagmaVents;AB_MagmaticQuagmire;LavaFlow
2541,Mountain
2544,Valley
2545,Mountain
2557,Mountain
2560,AncientGarrison
2562,VEE_DeepOreDevoid;VEE_MineralDevoid
2568,VEE_DeepOreDevoid;VEE_MineralDevoid
2576,DryGround
2577,VEE_SaltPlains
2578,VEE_SaltPlains
2584,Caves
2586,Caves
2594,VEE_DeepOreDevoid;VEE_MineralDevoid
2595,Dunes
2598,Dunes;VEE_DeepOreDevoid;VEE_MineralDevoid
2599,Dunes
2600,Dunes
2601,Dunes;VEE_DeepOreDevoid;VEE_MineralDevoid
2604,PlantLife_Increased;VEE_RottenStench;VEE_SulfuricLake
2607,VEE_SaltPlains
2616,VEE_GravelBeach
2623,Caves
2630,VEE_DeepOreDevoid;VEE_MineralDevoid
2633,VEE_DeepOreDevoid;VEE_MineralDevoid
2637,AB_TarLakes
2638,Dunes;VEE_DeepOreDevoid;VEE_MineralDevoid
2639,Dunes
2641,Coast
