tile,lat,lon,arc,bearing,elev_m,temp_c,rain_mm,biome,water,river_flow,region,hilliness,swampiness
0,58.2787,-90.0,90.0,121.72,12,13.9,20,Wasteland,0,0,,1,0.0
1,58.2787,90.0,90.0,58.28,303,12.3,20,AB_MycoticJungle,0,0,,1,0.4
2,-58.2787,-90.0,90.0,238.28,582,10.8,20,Desert,0,0,,2,0.0
3,-58.2787,90.0,90.0,301.72,12,13.9,20,PoisonForest,0,0,,1,0.35
4,-31.716,180.0,148.28,270.0,302,-57.6,18,AB_RockyCrags,0,0,,2,0.0
5,31.716,180.0,148.28,90.0,1407,-63.7,18,AB_PropaneLakes,0,0,The Ammonia Flats,2,0.3
6,-31.716,0.0,31.72,270.0,12,56.8,18,ExtremeDesert,0,0,The Dune Sea,1,0.0
7,31.716,0.0,31.72,90.0,53,56.6,18,ExtremeDesert,0,0,The Dune Sea,2,0.0
8,0.0,58.2825,58.28,0.0,355,37.2,18,ExtremeDesert,0,0,The Ashfall Range,2,0.0
9,0.0,121.7175,121.72,0.0,384,-26.2,18,Wasteland,0,0,The Sunreach,1,0.0
10,0.0,-58.2825,58.28,180.0,518,36.3,778,ZBiome_DesertOasis,0,0,The Dew Belt,2,0.2
11,0.0,-121.7175,121.72,180.0,263,-25.5,18,AB_MycoticJungle,0,0,The Nightspill,3,0.4
12,35.2596,-135.0,125.27,135.01,579,-31.5,18,AB_RockyCrags,0,0,,2,0.0
13,69.0771,-180.0,110.92,90.0,405,-13.3,18,AB_MycoticJungle,0,0,,1,0.4
14,69.0771,0.0,69.08,90.0,12,30.7,19,ZBiome_Badlands,0,0,,2,0.0
15,35.2596,-45.0,54.73,135.01,12,41.4,18,ZBiome_Grasslands,0,0,The Pyrelands,1,0.05
16,20.9026,-90.0,90.0,159.1,-30,14.0,90,Ocean,1,0,The Twilight Sea,1,0.0
17,35.2596,135.0,125.27,44.99,1268,-35.3,18,AB_MycoticJungle,0,0,,3,0.4
18,0.0,-159.0948,159.09,180.0,630,-68.1,18,AB_RockyCrags,0,0,The Umbra,3,0.0
19,-20.9026,-90.0,90.0,200.9,742,9.9,31,AB_MycoticJungle,0,0,The Dew Belt,1,0.4
20,0.0,-20.9052,20.91,180.0,1080,55.7,65,ZBiome_Badlands,0,0,The Dune Sea,4,0.0
21,35.2596,45.0,54.73,44.99,524,38.6,20,ExtremeDesert,0,0,,3,0.0
