tile,mutators
0,VEE_MineralDevoid;VEE_DeepOreDevoid
3,Mountain
6,Dunes
10,Oasis
18,Caves
20,Cliffs
24,VEE_MineralDevoid;VEE_DeepOreDevoid
25,Mountain;Oasis
29,Dunes
31,VEE_SaltPlains
35,VEE_MineralDevoid;VEE_DeepOreDevoid
36,Coast
37,VEE_FleshPits;VEE_FleshPits
41,Caves
44,VEE_MineralDevoid;VEE_DeepOreDevoid
51,VEE_MineralDevoid;VEE_DeepOreDevoid
52,Caves
53,Caves
54,Caves
55,Caves
64,Dunes
69,AB_AmbientRadiation;AB_DerelictClusters;AncientHeatVent;AncientRuins;AncientWarehouse;Junkyard;VEE_SulfuricLake;VEE_ToxicVents
70,VEE_MineralDevoid;VEE_DeepOreDevoid;Dunes
71,Dunes
83,Oasis
84,Cavern
85,Mountain;River
88,Caves
92,VEE_MineralDevoid;VEE_DeepOreDevoid
96,VEE_MineralDevoid;VEE_DeepOreDevoid
104,Dunes
105,VEE_MineralDevoid;VEE_DeepOreDevoid;VEE_DustBowl;VEE_PlantLife_Decimated;VEE_Fertility_Reduced;VEE_DustStorms
107,Mountain
110,VEE_SaltPlains
112,Caves
116,VEE_MeteorCrater
117,Caves;AncientRuins;AncientRuins
123,Dunes
124,VEE_MineralDevoid;VEE_DeepOreDevoid;Dunes
125,Dunes
126,Mountain
128,Mountain
130,Dunes
131,VEE_MineralDevoid;VEE_DeepOreDevoid;Dunes
132,Mountain
134,Mountain
136,Dunes
142,Mountain;Oasis
143,Mountain
144,Mountain;Oasis
147,Caves
151,Mountain
152,Caves
161,Caves
170,VEE_MineralDevoid;VEE_DeepOreDevoid;Dunes
171,Coast
175,Marshy;VEE_IncreasedInfestations;AB_FeraliskNest;VEE_RottenStench
177,VEE_SaltPlains
182,Mountain;Caves;MineralRich;VEE_DeepOreRich
190,Caves
199,Caves
201,MineralRich
208,Dunes
217,VEE_MineralDevoid;VEE_DeepOreDevoid
224,VEE_MineralDevoid;VEE_DeepOreDevoid
229,VEE_MineralDevoid;VEE_DeepOreDevoid
233,Dunes
236,DryGround
239,CoastalIsland
241,VEE_MineralDevoid;VEE_DeepOreDevoid
250,Caves
254,Dunes
255,Dunes
256,River
259,Mountain
