tile,lat,long,biome,elevation,temperature,rainfall,hilliness,swampiness
0,58.2787,-90,Wasteland,16,14.1,0,Flat,0
1,58.2787,90,AB_MycoticJungle,303,12.5,0,Flat,0.3608
2,-58.2787,-90,Desert,582,10.6,0,SmallHills,0
3,-58.2787,90,AB_RockyCrags,513,13.7,0,Mountainous,0
4,-31.716,180,AB_PropaneLakes,302,-56.7,0,SmallHills,0
5,31.716,180,AB_PropaneLakes,1407,-63.7,0,SmallHills,0.3686
6,-31.716,0,ExtremeDesert,13,56.8,0,Flat,0
7,31.716,0,Desert,53,55.7,0,SmallHills,0
8,0,58.2825,ExtremeDesert,355,36.7,0,SmallHills,0
9,0,121.7175,Wasteland,384,-26.1,0,Flat,0
10,0,-58.2825,ZBiome_DesertOasis,518,36.2,0,SmallHills,0.1804
11,0,-121.7175,AB_MycoticJungle,263,-16.8,0,LargeHills,0.5686
12,35.2596,-135,HorrorWastes,579,-32.2,0,SmallHills,0
13,69.0771,-180,AB_MycoticJungle,405,-13.9,0,Flat,0.4392
14,69.0771,0,ZBiome_Badlands,1,29.6,0,SmallHills,0
15,35.2596,-45,ZBiome_Grasslands,20,41.8,0,Flat,0.0588
16,20.9026,-90,Ocean,-350,14,0,Flat,0
17,35.2596,135,AB_MycoticJungle,1268,-36.8,0,LargeHills,0.3098
18,0,-159.0948,AB_RockyCrags,881,-66.6,0,SmallHills,0
19,-20.9026,-90,AB_MycoticJungle,742,10.4,0,Flat,0.4392
20,0,-20.9052,ZBiome_Badlands,1080,55.4,54,Mountainous,0
21,35.2596,45,ExtremeDesert,524,38.8,0,LargeHills,0
22,-35.2596,135,HorrorWastes,584,-31.9,0,SmallHills,0
23,-69.0771,180,Desert,863,-14.8,0,SmallHills,0
24,-69.0771,0,Desert,23,31.3,0,Flat,0
25,-35.2596,45,Desert,399,40,10,Mountainous,0
26,-20.9026,90,AridShrubland,1,12.9,0,Flat,0
27,0,159.0948,AB_PropaneLakes,340,-67.2,0,LargeHills,0.2706
28,-35.2596,-135,AB_MycoticJungle,1122,-34.7,0,LargeHills,0.3804
29,-35.2596,-45,ExtremeDesert,432,40.6,0,Flat,0
30,0,20.9052,Scarlands,375,58.1,0,SmallHills,0
31,20.9026,90,Desert,1,14,0,Flat,0
32,40.1893,-105.7836,AB_TarPits,1,-1.7,0,Flat,0
33,58.5465,-130.1254,AB_RockyCrags,28,-8.7,0,SmallHills,0
34,78.95,-90,PoisonForest,13,13.9,0,Flat,0.3882
35,58.5465,-49.8746,Desert,38,31.2,0,Flat,0
36,40.1893,-74.2164,Wasteland,1,22.5,0,Flat,0
37,78.95,90,AB_GelatinousSuperorganism,117,12.8,0,Flat,0
38,58.5465,49.8746,Desert,335,27.6,0,Flat,0
39,58.5465,130.1254,AB_MycoticJungle,536,-14.4,0,LargeHills,0.3608
40,40.1893,74.2164,Desert,702,20.3,0,SmallHills,0
41,40.1893,105.7836,AB_RockyCrags,305,-0.4,0,LargeHills,0
42,-40.1893,-105.7836,AB_MycoticJungle,1016,-6.6,0,Flat,0.4196
43,-78.95,-90,Desert,180,13.6,0,SmallHills,0
44,-58.5465,-49.8746,Desert,45,31.6,0,Flat,0
45,-58.5465,-130.1254,AB_RockyCrags,1431,-17.2,0,SmallHills,0
46,-40.1893,-74.2164,BMT_FungalForest,385,20.9,0,SmallHills,0.298
47,-40.1893,105.7836,Desert,31,0.6,0,Flat,0
