tile,lat,long,biome,elevation,temperature,rainfall,hilliness,swampiness,pollution,tempMin,tempMax,seasonalShift,riverDist,feature,featureId,waterCovered,roadCount,riverCount,mutatorCount
0,58.2787,-90,Wasteland,16,14.1,0,Flat,0,0,-9.9161,38.1112,24.0164,0,Pan,21,0,0,0,2
1,58.2787,90,AB_MycoticJungle,303,12.5,0,Flat,0.3608,0,-11.5161,36.5112,24.0164,0,Sporefields,22,0,0,0,0
2,-58.2787,-90,Desert,582,10.6,0,SmallHills,0,0,-13.4112,34.6161,-24.0164,0,Pale Flats,23,0,0,0,0
3,-58.2787,90,AB_RockyCrags,513,13.7,0,Mountainous,0,0,-10.3112,37.7161,-24.0164,0,Wither,24,0,0,0,1
4,-31.716,180,AB_PropaneLakes,302,-56.7,0,SmallHills,0,0,-72.0489,-41.348,-15.3523,0,Deadstone,25,0,0,0,0
5,31.716,180,AB_PropaneLakes,1407,-63.7,0,SmallHills,0.3686,0,-79.0521,-48.3511,15.3523,0,Ammonia Flats,26,0,0,0,0
6,-31.716,0,ExtremeDesert,13,56.8,0,Flat,0,0,41.4511,72.1521,-15.3523,0,Dune Sea,27,0,0,0,1
7,31.716,0,Desert,53,55.7,0,SmallHills,0,0,40.348,71.0489,15.3523,0,Dune Sea,27,0,0,0,0
8,0,58.2825,ExtremeDesert,355,36.7,0,SmallHills,0,0,33.7,39.6993,3,0,Ashfall Range,28,0,0,0,0
9,0,121.7175,Wasteland,384,-26.1,0,Flat,0,0,-29.1,-23.1007,3,0,Sunreach,29,0,0,0,0
10,0,-58.2825,ZBiome_DesertOasis,518,36.2,0,SmallHills,0.1804,0,33.2,39.1993,3,0,Dew Belt,30,0,0,0,1
11,0,-121.7175,AB_MycoticJungle,263,-16.8,0,LargeHills,0.5686,0,-19.8,-13.8007,3,0,Nightspill,31,0,0,0,0
12,35.2596,-135,HorrorWastes,579,-32.2,0,SmallHills,0,0,-48.9273,-15.4762,16.7275,0,Deadstone,25,0,0,0,0
13,69.0771,-180,AB_MycoticJungle,405,-13.9,0,Flat,0.4392,0,-40.1413,12.3359,26.2416,0,Frostcaps,32,0,2,0,0
14,69.0771,0,ZBiome_Badlands,1,29.6,0,SmallHills,0,0,3.3587,55.8359,26.2416,0,Cracklands,33,0,0,0,0
15,35.2596,-45,ZBiome_Grasslands,20,41.8,0,Flat,0.0588,0,25.0727,58.5239,16.7275,0,Pyrelands,34,0,3,0,0
16,20.9026,-90,Ocean,-350,14,0,Flat,0,0.8911,3.1527,24.8451,10.8475,0,Twilight Sea,35,1,0,0,0
17,35.2596,135,AB_MycoticJungle,1268,-36.8,0,LargeHills,0.3098,0,-53.5273,-20.0762,16.7275,0,Capwood,36,0,0,0,0
18,0,-159.0948,AB_RockyCrags,881,-66.6,0,SmallHills,0,0,-69.6,-63.6007,3,0,Umbra,37,0,0,0,1
19,-20.9026,-90,AB_MycoticJungle,742,10.4,0,Flat,0.4392,0,-0.4451,21.2473,-10.8475,0,Dew Belt,30,0,0,0,0
20,0,-20.9052,ZBiome_Badlands,1080,55.4,54,Mountainous,0,0,52.4007,58.4,-3,0,Dune Sea,27,0,0,0,1
21,35.2596,45,ExtremeDesert,524,38.8,0,LargeHills,0,0,22.0727,55.5239,16.7275,0,Glare,38,0,0,0,0
22,-35.2596,135,HorrorWastes,584,-31.9,0,SmallHills,0,0,-48.6239,-15.1727,-16.7275,0,South Crags,39,0,0,0,0
