kind,a,b,def
river,85,7791,River
river,85,7794,River
river,256,8816,LargeRiver
river,256,8818,LargeRiver
river,259,8834,Creek
river,354,9405,River
river,354,9407,River
river,635,11095,Creek
river,635,11092,Creek
river,675,11334,LargeRiver
river,675,11330,LargeRiver
river,698,11469,Creek
river,698,11470,Creek
river,776,11938,Creek
river,776,11936,Creek
river,777,11943,Creek
river,777,11945,Creek
river,781,11971,Creek
river,781,11968,Creek
river,891,12626,HugeRiver
river,891,12630,HugeRiver
river,1174,14325,Creek
river,1174,14327,Creek
river,1175,14335,LargeRiver
river,1175,14332,Creek
river,1175,14333,LargeRiver
river,1310,15141,River
river,1312,15156,Creek
river,1313,15161,River
river,1313,15158,River
river,1321,15206,River
river,1321,15209,Creek
river,1534,16489,River
river,1534,16486,River
river,1535,16494,River
river,1535,16490,River
river,1603,16898,Creek
river,1603,16901,Creek
river,1669,17296,Creek
river,1850,18383,River
river,1850,18385,River
river,1854,18404,River
river,1854,18408,River
river,1855,18411,Creek
river,1855,18413,River
river,2014,19369,River
river,2014,19366,River
river,2015,19371,Creek
river,2015,19372,Creek
river,2020,19404,HugeRiver
river,2020,19400,HugeRiver
river,2338,21309,Creek
river,2339,21318,Creek
river,2339,21316,Creek
river,2340,21325,Creek
river,2340,21323,Creek
river,2341,21327,LargeRiver
river,2341,21330,Creek
river,2341,21331,LargeRiver
river,2359,21434,Creek
river,2359,21436,Creek
river,2359,21438,Creek
river,2484,12469,Creek
river,2484,7344,Creek
river,2485,7346,Creek
river,2485,12453,Creek
river,2793,14319,Creek
river,2793,14324,Creek
river,2795,14337,LargeRiver
river,2795,14331,Creek
river,2795,14335,LargeRiver
river,2796,14343,LargeRiver
river,2796,14337,LargeRiver
river,2835,14570,LargeRiver
river,2835,14564,LargeRiver
river,2927,15124,Creek
river,2927,7787,Creek
river,2928,7786,Creek
river,2931,7791,River
river,2932,15141,River
river,2932,15152,River
river,2933,15160,Creek
river,3180,8040,Creek
river,3180,16645,Creek
river,3223,8082,Creek
river,3223,16869,Creek
river,3288,17295,Creek
river,3288,17293,Creek
river,3290,8150,LargeRiver
river,3290,17305,LargeRiver
river,3294,17329,LargeRiver
river,3294,8151,LargeRiver
river,3450,18267,Creek
river,3451,18267,LargeRiver
river,3451,18243,LargeRiver
river,3468,18375,HugeRiver
river,3468,18369,HugeRiver
river,3473,18398,Creek
river,3639,19389,HugeRiver
river,3639,8500,HugeRiver
river,3957,21307,LargeRiver
river,3957,8816,LargeRiver
river,3958,8818,Creek
river,3958,21313,Creek
river,3960,8818,LargeRiver
river,3960,21325,Creek
river,3960,21327,LargeRiver
river,4357,12454,Creek
river,4357,17237,Creek
river,4365,12464,Creek
river,4365,9225,Creek
river,4366,9224,Creek
river,4366,17296,Creek
river,4377,12480,Creek
river,4377,12469,Creek
river,4378,17304,Creek
river,4378,12480,Creek
river,4379,17305,LargeRiver
river,4379,9241,LargeRiver
river,4380,17343,LargeRiver
river,4380,9240,LargeRiver
river,4526,18247,HugeRiver
river,4526,12624,HugeRiver
river,4546,9404,HugeRiver
river,4546,18376,HugeRiver
river,6213,16486,River
river,6213,14345,River
river,6225,14323,Creek
river,6225,11089,Creek
river,6229,14326,Creek
river,6230,14328,Creek
river,6231,14330,Creek
river,6231,11091,Creek
river,6234,21317,Creek
river,6234,21311,Creek
river,6235,14333,Creek
river,6235,11094,Creek
river,6236,14333,LargeRiver
river,6236,11096,LargeRiver
river,6239,11096,LargeRiver
river,6239,21307,LargeRiver
river,6448,18399,River
river,6448,11308,River
river,6449,18413,River
river,6449,19366,River
river,6450,11309,River
river,6450,19372,River
river,6470,11330,LargeRiver
river,6470,14571,LargeRiver
river,6474,16726,LargeRiver
river,6474,11334,LargeRiver
river,6486,11347,HugeRiver
river,6486,19390,HugeRiver
river,6641,11503,Creek
river,6641,16884,Creek
river,7041,17326,Creek
river,7043,17324,Creek
river,7052,11912,River
river,7052,15153,River
river,7054,11915,Creek
river,7054,15157,Creek
river,7055,11916,LargeRiver
river,7055,17329,LargeRiver
river,7057,18368,LargeRiver
river,7057,11917,LargeRiver
river,7077,11937,Creek
river,7079,11939,Creek
river,7079,17291,Creek
river,7080,21436,Creek
river,7080,11938,Creek
river,7080,11940,Creek
river,7081,21438,Creek
river,7101,15209,Creek
river,7105,21320,Creek
river,7105,11965,Creek
river,7106,21439,Creek
river,7107,11967,LargeRiver
river,7107,15206,LargeRiver
river,7108,11969,Creek
river,7111,21408,LargeRiver
river,7111,11966,LargeRiver
river,7111,21434,Creek
river,7111,21439,Creek
river,7344,7346,Creek
river,7653,14325,Creek
river,7786,7787,Creek
river,7794,15158,River
river,8040,8041,Creek
river,8041,16634,Creek
river,8081,16893,Creek
river,8081,8082,Creek
river,8150,8151,LargeRiver
river,8330,8331,Creek
river,8330,8334,Creek
river,8334,18411,Creek
river,8493,19371,Creek
river,8500,8501,HugeRiver
river,8501,19400,HugeRiver
river,8818,21321,Creek
river,8834,21435,Creek
river,9128,9129,River
river,9128,9130,River
river,9129,12366,Creek
river,9130,9131,River
river,9131,16727,River
river,9160,16901,Creek
river,9224,9225,Creek
river,9240,9241,LargeRiver
river,9404,9405,HugeRiver
river,9405,12630,HugeRiver
river,9407,18383,River
river,11085,14322,Creek
river,11088,11089,Creek
river,11090,11091,Creek
river,11093,11094,Creek
river,11095,14332,Creek
river,11308,11309,River
river,11342,11343,HugeRiver
river,11342,11347,HugeRiver
