id,faction_def,faction,name,tile,why
135,Empire,Galactic Empire,Sunspire,12828,
136,Empire,Galactic Empire,Oxalate Watch,3289,
137,Empire,Galactic Empire,Ashgarrison,6617,
138,Jawa_GeonosianFoundryHive,Geonosian Foundry Hive,The Unfinished Work,14719,
139,Jawa_GeonosianFoundryHive,Geonosian Foundry Hive,Oxide Deep,20427,
140,Jawa_GeonosianFoundryHive,Geonosian Foundry Hive,The Godmouth,11335,
141,Jawa_GeonosianFoundryHive,Geonosian Foundry Hive,Founder's Kiln,14574,
142,Jawa_GeonosianFoundryHive,Geonosian Foundry Hive,Hollow Nave,19422,
145,Jawa_FreeDroidEnclaves,Free Droid Enclaves,No Master,19350,
146,Jawa_AscendantHelix,Ascendant Helix,Helix Landing,11944,
147,Jawa_AscendantHelix,Ascendant Helix,The Coil,15926,
148,Jawa_AscendantHelix,Ascendant Helix,Quiet Lab,5499,
149,Pirate,Blackstar Company,Blackstar Field,18266,
150,Pirate,Blackstar Company,Bloodmoney,2154,
151,Pirate,Blackstar Company,Toll Rock,2236,
152,Pirate,Blackstar Company,Hardpan Yard,7497,
153,Jawa_WildsteamClan,Wildsteam Clan,Steamreach,8311,
154,Jawa_WildsteamClan,Wildsteam Clan,Rego,4364,
155,Jawa_WildsteamClan,Wildsteam Clan,Marrowmarsh,11966,
156,Jawa_WildsteamClan,Wildsteam Clan,Sporefall,11919,
157,Jawa_DeepwaterCompact,Deepwater Compact,Butora,17343,
158,Jawa_DeepwaterCompact,Deepwater Compact,Anchor Deep,11960,
159,Jawa_DeepwaterCompact,Deepwater Compact,Deepwater Hold,2919,
160,Jawa_DeepwaterCompact,Deepwater Compact,Boilquay,17209,
161,Jawa_DeepwaterCompact,Deepwater Compact,Tidewatch,21767,
163,Jawa_HuttCartel,Hutt Cartel,Gorga the Immense's Palace,15088,
164,Jawa_HuttCartel,Hutt Cartel,Vexxa's Casino,3416,
166,Jawa_HuttCartel,Hutt Cartel,Hurgo the Vast's Palace,19200,
168,Jawa_HuttCartel,Hutt Cartel,Rulla the Deep's Palace,6979,
170,Jawa_Junkers,the Junkers,The Fuel Works,11779,
171,Jawa_Junkers,the Junkers,Cryohaul,5456,
172,Jawa_Junkers,the Junkers,Ammonia Landing,510,
176,Jawa_Junkers,the Junkers,The Slagfield,3226,
177,Jawa_Junkers,the Junkers,The Claim Jump,16905,
178,Jawa_IndigenousTribes,Jawa Trade Moot,The Ore Moot,12415,
180,Jawa_IndigenousTribes,Jawa Trade Moot,Ridge Cache,2641,
183,Jawa_IndigenousTribes,Jawa Trade Moot,The Bartering Rock,11502,
184,Jawa_IndigenousTribes,Jawa Trade Moot,Tin Camp,3221,
185,TribeCivil,Deep Desert Tribes,Duneward,16617,
186,TribeCivil,Deep Desert Tribes,Stone Moot,11165,
187,TribeCivil,Deep Desert Tribes,Redscarp,2849,
