id,faction_def,faction,name,tile,why
135,Empire,Galactic Empire,Sunspire,12828,
136,Empire,Galactic Empire,Oxalate Watch,4366,
137,Empire,Galactic Empire,Ashgarrison,135,
138,Jawa_GeonosianFoundryHive,Geonosian Foundry Hive,The Unfinished Work,7722,
139,Jawa_GeonosianFoundryHive,Geonosian Foundry Hive,Oxide Deep,20399,
140,Jawa_GeonosianFoundryHive,Geonosian Foundry Hive,The Godmouth,6474,
141,Jawa_GeonosianFoundryHive,Geonosian Foundry Hive,Founder's Kiln,675,
142,Jawa_GeonosianFoundryHive,Geonosian Foundry Hive,Hollow Nave,8501,
145,Jawa_FreeDroidEnclaves,Free Droid Enclaves,No Master,6486,
146,Jawa_AscendantHelix,Ascendant Helix,Helix Landing,11947,
147,Jawa_AscendantHelix,Ascendant Helix,The Coil,5500,
148,Jawa_AscendantHelix,Ascendant Helix,Quiet Lab,13596,
149,Pirate,Blackstar Company,Blackstar Field,18267,
150,Pirate,Blackstar Company,Bloodmoney,13662,
151,Pirate,Blackstar Company,Toll Rock,11494,
152,Pirate,Blackstar Company,Hardpan Yard,7497,
153,Jawa_WildsteamClan,Wildsteam Clan,Steamreach,4526,
154,Jawa_WildsteamClan,Wildsteam Clan,Rego,12469,
155,Jawa_WildsteamClan,Wildsteam Clan,Marrowmarsh,21434,
156,Jawa_WildsteamClan,Wildsteam Clan,Sporefall,11927,
157,Jawa_DeepwaterCompact,Deepwater Compact,Butora,17343,
158,Jawa_DeepwaterCompact,Deepwater Compact,Anchor Deep,780,
159,Jawa_DeepwaterCompact,Deepwater Compact,Deepwater Hold,2920,
160,Jawa_DeepwaterCompact,Deepwater Compact,Boilquay,17209,
161,Jawa_DeepwaterCompact,Deepwater Compact,Tidewatch,21765,
163,Jawa_HuttCartel,Hutt Cartel,Gorga the Immense's Palace,11851,
164,Jawa_HuttCartel,Hutt Cartel,Vexxa's Casino,18061,
166,Jawa_HuttCartel,Hutt Cartel,Hurgo the Vast's Palace,7003,
168,Jawa_HuttCartel,Hutt Cartel,Rulla the Deep's Palace,15076,
170,Jawa_Junkers,the Junkers,The Fuel Works,11779,
171,Jawa_Junkers,the Junkers,Cryohaul,1046,
172,Jawa_Junkers,the Junkers,Ammonia Landing,2407,
176,Jawa_Junkers,the Junkers,The Slagfield,3226,
177,Jawa_Junkers,the Junkers,The Claim Jump,16898,
178,Jawa_IndigenousTribes,Jawa Trade Moot,The Ore Moot,8082,
180,Jawa_IndigenousTribes,Jawa Trade Moot,Ridge Cache,13411,
183,Jawa_IndigenousTribes,Jawa Trade Moot,The Bartering Rock,11503,
184,Jawa_IndigenousTribes,Jawa Trade Moot,Tin Camp,16882,
185,TribeCivil,Deep Desert Tribes,Duneward,16634,
186,TribeCivil,Deep Desert Tribes,Stone Moot,6302,
187,TribeCivil,Deep Desert Tribes,Redscarp,2849,
188,TribeCivil,Deep Desert Tribes,The Dry Moot,16668,
189,TribeCivil,Deep Desert Tribes,Barno,21443,
190,TribeCivil,Deep Desert Tribes,The Long Camp,11153,
191,TribeCivil,Deep Desert Tribes,Ashfoot,4275,
192,TribeCivil,Deep Desert Tribes,Knife Canyon,16503,
193,TribeCivil,Deep Desert Tribes,The Blind Wells,8866,
195,OutlanderCivil,Homestead Defense League,Condenser Flats,13220,
197,OutlanderCivil,Homestead Defense League,Mistcatch,20776,
199,OutlanderCivil,Homestead Defense League,Rainshadow,2607,
200,OutlanderCivil,Homestead Defense League,Vaporfall,6658,
201,OutlanderCivil,Homestead Defense League,Longfurrow,19212,
203,OutlanderCivil,Homestead Defense League,Greenline,18359,
204,OutlanderCivil,Homestead Defense League,The Dripworks,6664,
206,OutlanderCivil,Homestead Defense League,Aquifer Station,15051,
207,OutlanderCivil,Homestead Defense League,Dryhold,6266,
208,OutlanderCivil,Homestead Defense League,Fogline,13779,
209,OutlanderCivil,Homestead Defense League,The Catchment,6412,
210,OutlanderCivil,Homestead Defense League,Saltfurrow,19642,
211,OutlanderCivil,Homestead Defense League,Dewfall,20046,
212,OutlanderCivil,Homestead Defense League,Stillwater Farm,655,
213,OutlanderCivil,Homestead Defense League,The Vaporworks,19525,
214,OutlanderCivil,Homestead Defense League,Nightdew,1417,
215,OutlanderCivil,Homestead Defense League,Cold Catch,12953,
216,OutlanderCivil,Homestead Defense League,The Sumps,13000,
217,OutlanderCivil,Homestead Defense League,Brinefield,815,
218,OutlanderCivil,Homestead Defense League,Farrow,1752,
219,OutlanderCivil,Homestead Defense League,The Standpipe,18274,
220,OutlanderCivil,Homestead Defense League,Mistfoot,5816,
221,OutlanderCivil,Homestead Defense League,Dripstone,10203,
222,OutlanderCivil,Homestead Defense League,The Long Furrow,1457,
223,OutlanderCivil,Homestead Defense League,Whistledew,13150,
224,OutlanderCivil,Homestead Defense League,Pumphouse,18166,
225,OutlanderCivil,Homestead Defense League,Greenpatch,195,
226,OutlanderCivil,Homestead Defense League,Cloudtrap,20332,
227,OutlanderCivil,Homestead Defense League,Sweetwell,19945,
228,OutlanderCivil,Homestead Defense League,Hollowdew,10658,
229,OutlanderCivil,Homestead Defense League,Thornfurrow,6690,
230,OutlanderCivil,Homestead Defense League,Chalkwell,19680,
231,Jawa_HuttCartel,Hutt Cartel,Norba's Toll,18026,
232,Jawa_HuttCartel,Hutt Cartel,Hurgo's Kennels,21281,
233,Jawa_HuttCartel,Hutt Cartel,Hurgo's Waystation,11880,
234,Jawa_HuttCartel,Hutt Cartel,Zeddo's Toll,17006,
235,Jawa_HuttCartel,Hutt Cartel,Bloatu's Market,12867,
236,Jawa_HuttCartel,Hutt Cartel,Norba's Vault,1821,
237,Jawa_HuttCartel,Hutt Cartel,Rulla's Market,5371,
238,Jawa_HuttCartel,Hutt Cartel,Zeddo's Station,9727,
240,Jawa_HuttCartel,Hutt Cartel,Vexxa's Spicehouse,1820,
241,Jawa_HuttCartel,Hutt Cartel,Mokka the Unpaid's Palace,19187,
244,Jawa_FreeDroidEnclaves,Free Droid Enclaves,No Owner,21548,
246,Jawa_FreeDroidEnclaves,Free Droid Enclaves,The Free Charge,1174,
247,Jawa_FreeDroidEnclaves,Free Droid Enclaves,Second Speaker,13175,
249,Jawa_AscendantHelix,Ascendant Helix,Cold Archive,17901,
250,Jawa_AscendantHelix,Ascendant Helix,The Revision,8200,
251,Jawa_AscendantHelix,Ascendant Helix,Specimen Hall,12082,
252,Jawa_AscendantHelix,Ascendant Helix,The Fair Copy,5912,
253,Jawa_FreeDroidEnclaves,Free Droid Enclaves,The Cracking Station,20807,
254,Jawa_FreeDroidEnclaves,Free Droid Enclaves,Coldfire,9077,
255,PlayerColony,New Arrivals,Colony,16869,
257,TradersGuild,Voidborn Bazaar,Corona Station,17537,
260,Jawa_DeepwaterCompact,Deepwater Compact,Kettle Deep,19371,
261,Jawa_FreeDroidEnclaves,Free Droid Enclaves,Vent Nine,733,
262,Jawa_FreeDroidEnclaves,Free Droid Enclaves,The Trade Socket,21037,
