id,name,faction,from_tile,to_tile
136,Oxalate Watch,Galactic Empire,3289,4366
137,Ashgarrison,Galactic Empire,6617,135
138,The Unfinished Work,Geonosian Foundry Hive,14719,7722
139,Oxide Deep,Geonosian Foundry Hive,20427,20399
140,The Godmouth,Geonosian Foundry Hive,11335,6474
141,Founder's Kiln,Geonosian Foundry Hive,14574,675
142,Hollow Nave,Geonosian Foundry Hive,19422,8501
145,No Master,Free Droid Enclaves,19350,6486
146,Helix Landing,Ascendant Helix,11944,11947
147,The Coil,Ascendant Helix,15926,5500
148,Quiet Lab,Ascendant Helix,5499,13596
149,Blackstar Field,Blackstar Company,18266,18267
150,Bloodmoney,Blackstar Company,2154,13662
151,Toll Rock,Blackstar Company,2236,11494
153,Steamreach,Wildsteam Clan,8311,4526
154,Rego,Wildsteam Clan,4364,12469
155,Marrowmarsh,Wildsteam Clan,11966,21434
156,Sporefall,Wildsteam Clan,11919,11927
158,Anchor Deep,Deepwater Compact,11960,780
159,Deepwater Hold,Deepwater Compact,2919,2920
161,Tidewatch,Deepwater Compact,21767,21765
163,Gorga the Immense's Palace,Hutt Cartel,15088,11851
164,Vexxa's Casino,Hutt Cartel,3416,18061
166,Hurgo the Vast's Palace,Hutt Cartel,19200,7003
168,Rulla the Deep's Palace,Hutt Cartel,6979,15076
171,Cryohaul,the Junkers,5456,1046
172,Ammonia Landing,the Junkers,510,2407
177,The Claim Jump,the Junkers,16905,16898
178,The Ore Moot,Jawa Trade Moot,12415,8082
180,Ridge Cache,Jawa Trade Moot,2641,13411
183,The Bartering Rock,Jawa Trade Moot,11502,11503
184,Tin Camp,Jawa Trade Moot,3221,16882
185,Duneward,Deep Desert Tribes,16617,16634
186,Stone Moot,Deep Desert Tribes,11165,6302
188,The Dry Moot,Deep Desert Tribes,6431,16668
189,Barno,Deep Desert Tribes,21629,21443
190,The Long Camp,Deep Desert Tribes,16536,11153
191,Ashfoot,Deep Desert Tribes,9146,4275
192,Knife Canyon,Deep Desert Tribes,1537,16503
193,The Blind Wells,Deep Desert Tribes,8869,8866
195,Condenser Flats,Homestead Defense League,9956,13220
197,Mistcatch,Homestead Defense League,421,20776
199,Rainshadow,Homestead Defense League,9962,2607
200,Vaporfall,Homestead Defense League,20770,6658
201,Longfurrow,Homestead Defense League,7253,19212
203,Greenline,Homestead Defense League,15051,15045
204,The Dripworks,Homestead Defense League,241,6664
206,Aquifer Station,Homestead Defense League,7777,15051
207,Dryhold,Homestead Defense League,14351,6266
209,The Catchment,Homestead Defense League,11263,6412
210,Saltfurrow,Homestead Defense League,695,19642
211,Dewfall,Homestead Defense League,2126,20046
213,The Vaporworks,Homestead Defense League,685,19525
215,Cold Catch,Homestead Defense League,4848,12953
216,The Sumps,Homestead Defense League,413,13000
219,The Standpipe,Homestead Defense League,3452,18274
221,Dripstone,Homestead Defense League,15585,10203
223,Whistledew,Homestead Defense League,979,13150
224,Pumphouse,Homestead Defense League,3436,18166
225,Greenpatch,Homestead Defense League,4669,195
226,Cloudtrap,Homestead Defense League,4872,20332
227,Sweetwell,Homestead Defense League,5538,19945
228,Hollowdew,Homestead Defense League,5813,10658
229,Thornfurrow,Homestead Defense League,8075,6690
231,Norba's Toll,Hutt Cartel,165,18026
232,Hurgo's Kennels,Hutt Cartel,528,21281
234,Zeddo's Toll,Hutt Cartel,3240,17006
235,Bloatu's Market,Hutt Cartel,12868,12867
236,Norba's Vault,Hutt Cartel,1011,1821
237,Rulla's Market,Hutt Cartel,19519,5371
238,Zeddo's Station,Hutt Cartel,4865,9727
241,Mokka the Unpaid's Palace,Hutt Cartel,4686,19187
244,No Owner,Free Droid Enclaves,21549,21548
246,The Free Charge,Free Droid Enclaves,3653,1174
247,Second Speaker,Free Droid Enclaves,9936,13175
249,Cold Archive,Ascendant Helix,10940,17901
250,The Revision,Ascendant Helix,17595,8200
251,Specimen Hall,Ascendant Helix,1707,12082
252,The Fair Copy,Ascendant Helix,2741,5912
253,The Cracking Station,Free Droid Enclaves,20808,20807
254,Coldfire,Free Droid Enclaves,4227,9077
255,Colony,New Arrivals,16877,16869
257,Corona Station,Voidborn Bazaar,151,17537
260,Kettle Deep,Deepwater Compact,6455,19371
261,Vent Nine,Free Droid Enclaves,2892,733
262,The Trade Socket,Free Droid Enclaves,248,21037
