kind,a,b,def
road,13,7359,DirtRoad
road,13,7363,DirtRoad
road,15,7372,DirtRoad
road,15,7371,DirtRoad
road,15,7374,DirtRoad
road,36,7500,StoneRoad
road,36,7497,StoneRoad
road,85,7792,DirtRoad
road,85,7795,DirtRoad
road,96,7859,DirtRoad
road,96,7856,DirtRoad
road,104,7904,StoneRoad
road,104,7907,StoneRoad
road,125,8035,DirtRoad
road,125,8031,DirtRoad
road,132,8075,DirtRoad
road,132,8072,DirtRoad
road,133,8080,StoneRoad
road,133,8083,StoneRoad
road,145,8155,DirtRoad
road,145,8150,DirtRoad
road,165,8274,DirtRoad
road,222,8613,DirtRoad
road,222,8615,DirtRoad
road,224,8627,DirtRoad
road,224,8629,DirtRoad
road,231,8666,DirtRoad
road,231,8670,DirtRoad
road,241,8728,StoneRoad
road,241,8729,StoneRoad
road,241,8726,StoneRoad
road,267,8884,StoneRoad
road,267,8883,StoneRoad
road,269,8895,StoneRoad
road,269,8898,StoneRoad
road,276,8938,DirtRoad
road,276,8940,DirtRoad
road,282,8974,DirtRoad
road,282,8977,DirtRoad
road,290,9023,DirtRoad
road,290,9021,DirtRoad
road,348,9373,DirtRoad
road,348,9371,DirtRoad
road,355,9411,DirtRoad
road,355,9414,DirtRoad
road,385,9595,DirtRoad
road,385,9591,DirtRoad
road,413,9760,DirtRoad
road,421,9806,StoneRoad
road,421,9809,StoneRoad
road,446,9956,StoneRoad
road,446,9959,StoneRoad
road,466,10077,DirtRoad
road,466,10079,DirtRoad
road,470,10105,DirtRoad
road,470,10103,DirtRoad
road,493,10242,DirtRoad
road,493,10239,DirtRoad
road,510,10341,StoneRoad
road,524,10424,StoneRoad
road,524,10426,StoneRoad
road,526,10436,DirtRoad
road,526,10440,DirtRoad
road,528,10449,DirtRoad
road,558,10631,DirtRoad
road,558,10629,DirtRoad
road,562,10653,DirtRoad
road,562,10654,DirtRoad
road,569,10698,DirtRoad
road,569,10694,DirtRoad
road,604,10905,DirtRoad
road,604,10908,DirtRoad
road,605,10913,DirtRoad
road,605,10910,DirtRoad
road,620,11000,DirtRoad
road,620,11003,DirtRoad
road,622,11017,DirtRoad
road,622,11014,DirtRoad
road,628,11052,DirtRoad
road,628,11048,DirtRoad
road,630,11062,DirtRoad
road,630,11065,DirtRoad
road,632,11075,DirtRoad
road,632,11077,DirtRoad
road,654,11208,DirtRoad
road,654,11204,DirtRoad
road,655,11211,DirtRoad
road,663,11263,DirtRoad
road,663,11260,DirtRoad
road,670,11302,DirtRoad
road,670,11301,DirtRoad
road,675,11332,StoneRoad
road,675,11335,StoneRoad
road,677,11343,DirtRoad
road,677,11346,DirtRoad
road,682,11376,DirtRoad
road,682,11372,DirtRoad
road,685,11390,DirtRoad
road,691,11430,DirtRoad
road,691,11428,DirtRoad
road,695,11452,DirtRoad
road,709,11537,StoneRoad
road,709,11538,StoneRoad
road,762,11854,DirtRoad
road,762,11857,DirtRoad
road,766,11877,DirtRoad
road,766,11880,DirtRoad
road,777,11947,DirtRoad
road,777,11944,DirtRoad
road,780,11960,StoneRoad
road,780,11964,StoneRoad
road,801,12086,DirtRoad
road,801,12090,DirtRoad
road,815,12171,DirtRoad
road,815,12174,DirtRoad
road,816,12178,DirtRoad
road,816,12180,DirtRoad
road,822,12214,DirtRoad
road,822,12216,DirtRoad
road,882,12572,DirtRoad
road,882,12577,DirtRoad
road,892,12637,DirtRoad
road,892,12632,DirtRoad
road,923,12822,DirtRoad
road,923,12819,DirtRoad
road,924,12825,DirtRoad
road,924,12828,DirtRoad
road,931,12868,DirtRoad
road,931,12866,DirtRoad
road,953,13002,DirtRoad
road,953,13001,DirtRoad
road,979,13159,DirtRoad
road,987,13203,StoneRoad
road,987,13205,StoneRoad
road,1010,13345,DirtRoad
road,1010,13342,DirtRoad
road,1011,13346,DirtRoad
road,1028,13453,DirtRoad
road,1044,13546,DirtRoad
road,1044,13549,DirtRoad
road,1046,13560,StoneRoad
road,1046,13557,StoneRoad
road,1109,13936,DirtRoad
road,1109,13935,DirtRoad
road,1169,14297,DirtRoad
road,1169,14295,DirtRoad
road,1170,14302,DirtRoad
road,1170,14304,DirtRoad
road,1172,14314,DirtRoad
road,1172,14317,DirtRoad
road,1190,14425,DirtRoad
road,1190,14422,DirtRoad
road,1195,14453,DirtRoad
road,1195,14450,DirtRoad
road,1208,14532,DirtRoad
road,1208,14530,DirtRoad
road,1220,14604,DirtRoad
road,1220,14601,DirtRoad
road,1235,14694,DirtRoad
road,1235,14691,DirtRoad
road,1239,14719,StoneRoad
road,1239,14716,StoneRoad
road,1292,15032,DirtRoad
road,1292,15035,DirtRoad
road,1295,15051,StoneRoad
road,1295,15054,StoneRoad
road,1301,15090,StoneRoad
road,1301,15088,StoneRoad
road,1317,15186,DirtRoad
road,1317,15184,DirtRoad
road,1365,15475,DirtRoad
road,1365,15470,DirtRoad
road,1368,15492,DirtRoad
road,1368,15488,DirtRoad
road,1374,15528,DirtRoad
road,1374,15524,DirtRoad
