kind,a,b,def
road,36,7497,DirtRoad
road,36,7500,DirtRoad
road,43,7538,DirtRoad
road,43,7542,DirtRoad
road,83,7779,StoneRoad
road,83,7780,StoneRoad
road,94,7846,DirtRoad
road,94,7849,DirtRoad
road,117,7984,StoneRoad
road,133,8080,DirtRoad
road,133,8082,DirtRoad
road,135,8093,DirtRoad
road,135,8094,DirtRoad
road,161,8247,StoneRoad
road,161,8250,StoneRoad
road,165,8272,DirtPath
road,165,8275,DirtRoad
road,171,8306,DirtRoad
road,171,8311,DirtRoad
road,195,8453,DirtRoad
road,203,8499,StoneRoad
road,203,8503,StoneRoad
road,218,8590,DirtRoad
road,218,8593,DirtRoad
road,227,8643,DirtPath
road,227,8644,DirtPath
road,242,8735,StoneRoad
road,242,8737,StoneRoad
road,263,8861,DirtPath
road,263,8863,DirtPath
road,275,8930,DirtRoad
road,275,8933,DirtRoad
road,282,8972,DirtRoad
road,282,8974,DirtRoad
road,285,8991,DirtRoad
road,285,8995,DirtRoad
road,315,9171,DirtRoad
road,315,9175,DirtRoad
road,324,9226,StoneRoad
road,324,9229,StoneRoad
road,325,9231,StoneRoad
road,325,9235,StoneRoad
road,350,9381,DirtRoad
road,350,9383,DirtRoad
road,377,9542,StoneRoad
road,377,9547,StoneRoad
road,399,9675,StoneRoad
road,399,9678,StoneRoad
road,410,9742,DirtPath
road,410,9744,DirtPath
road,491,10226,DirtPath
road,491,10230,DirtPath
road,497,10265,StoneRoad
road,497,10267,StoneRoad
road,517,10384,StoneRoad
road,517,10386,StoneRoad
road,523,10418,DirtPath
road,523,10420,DirtPath
road,565,10672,DirtPath
road,565,10674,DirtPath
road,565,10675,DirtPath
road,607,10924,StoneRoad
road,607,10927,StoneRoad
road,627,11042,StoneRoad
road,627,11047,StoneRoad
road,630,11060,StoneRoad
road,630,11064,StoneRoad
road,655,11214,DirtPath
road,656,11216,AncientAsphaltHighway
road,656,11218,AncientAsphaltHighway
road,675,11331,DirtRoad
road,675,11334,DirtRoad
road,675,11335,DirtRoad
road,755,11812,DirtRoad
road,755,11815,DirtRoad
road,759,11834,StoneRoad
road,759,11837,StoneRoad
road,761,11849,StoneRoad
road,761,11851,StoneRoad
road,766,11877,DirtRoad
road,766,11880,DirtRoad
road,780,11960,StoneRoad
road,780,11964,DirtRoad
road,808,12128,StoneRoad
road,808,12132,StoneRoad
road,815,12174,DirtRoad
road,826,12238,DirtRoad
road,826,12241,DirtRoad
road,852,12393,DirtRoad
road,852,12395,DirtRoad
road,866,12476,StoneRoad
road,866,12481,StoneRoad
road,884,12585,DirtPath
road,884,12587,DirtPath
road,888,12609,DirtPath
road,888,12612,DirtPath
road,929,12855,DirtPath
road,929,12857,DirtPath
road,938,12909,StoneRoad
road,938,12911,StoneRoad
road,941,12927,StoneRoad
road,941,12929,StoneRoad
road,945,12951,DirtPath
road,945,12953,DirtPath
road,949,12977,DirtPath
road,949,12978,DirtPath
road,978,13149,DirtRoad
road,978,13150,DirtPath
road,978,13151,DirtPath
road,978,13153,DirtRoad
road,984,13184,AncientAsphaltHighway
road,984,13189,AncientAsphaltHighway
road,987,13202,DirtRoad
road,987,13206,DirtRoad
road,1010,13343,DirtPath
road,1010,13345,DirtPath
road,1011,13348,DirtPath
road,1011,13350,DirtPath
road,1023,13421,StoneRoad
road,1023,13423,StoneRoad
road,1024,13425,StoneRoad
road,1024,13427,DirtPath
road,1024,13429,DirtRoad
road,1026,13437,DirtRoad
road,1026,13440,DirtRoad
road,1053,13600,DirtRoad
road,1053,13602,DirtRoad
road,1057,13622,StoneRoad
road,1057,13624,StoneRoad
road,1063,13658,DirtRoad
road,1063,13663,DirtRoad
road,1064,13667,DirtPath
road,1064,13669,DirtPath
road,1111,13947,DirtPath
road,1111,13949,DirtPath
road,1145,14151,StoneRoad
road,1145,14153,StoneRoad
road,1146,14158,StoneRoad
road,1146,14160,StoneRoad
road,1168,14288,StoneRoad
road,1168,14291,StoneRoad
road,1174,14327,StoneRoad
road,1197,14463,AncientAsphaltHighway
road,1197,14465,AncientAsphaltHighway
road,1238,14708,DirtRoad
road,1238,14713,DirtRoad
road,1292,15035,DirtRoad
road,1292,15037,DirtRoad
road,1293,15040,DirtRoad
road,1293,15043,DirtRoad
road,1301,15086,DirtRoad
road,1301,15090,DirtRoad
road,1306,15118,DirtRoad
road,1306,15120,DirtRoad
road,1307,15122,DirtRoad
road,1307,15125,DirtRoad
road,1321,15206,StoneRoad
road,1321,15209,StoneRoad
road,1341,15327,StoneRoad
road,1341,15330,StoneRoad
road,1345,15350,StoneRoad
road,1345,15353,StoneRoad
road,1349,15374,StoneRoad
road,1349,15377,StoneRoad
road,1351,15388,StoneRoad
road,1351,15391,StoneRoad
road,1369,15495,DirtRoad
road,1369,15498,DirtRoad
road,1370,15503,DirtPath
road,1370,15504,DirtPath
road,1378,15549,DirtPath
road,1378,15551,DirtPath
road,1417,15785,DirtRoad
road,1505,16310,StoneRoad
road,1505,16312,StoneRoad
road,1523,16418,StoneRoad
road,1523,16422,StoneRoad
road,1528,16448,StoneRoad
road,1528,16452,StoneRoad
road,1571,16707,DirtRoad
road,1571,16709,DirtRoad
road,1572,16712,DirtRoad
road,1572,16716,DirtRoad
road,1577,16742,DirtRoad
road,1577,16745,DirtRoad
road,1599,16876,DirtRoad
road,1599,16878,DirtRoad
road,1600,16880,DirtRoad
road,1600,16882,DirtRoad
road,1600,16885,DirtRoad
