kind,a,b,def
river,14,7367,River
river,26,7440,Creek
river,66,7678,Creek
river,70,7705,Creek
river,200,8482,Creek
river,256,8816,Creek
river,302,9094,Creek
river,348,9373,River
river,354,9405,Creek
river,377,9547,Creek
river,506,10320,Creek
river,632,11073,Creek
river,650,11185,LargeRiver
river,655,11213,LargeRiver
river,675,11334,Creek
river,766,11878,Creek
river,772,11913,Creek
river,819,12199,Creek
river,842,12334,Creek
river,847,12363,Creek
river,886,12601,River
river,891,12626,River
river,961,13051,Creek
river,978,13153,Creek
river,1025,13435,River
river,1029,13459,Creek
river,1094,13847,Creek
river,1173,14318,Creek
river,1175,14335,Creek
river,1197,14467,Creek
river,1199,14475,Creek
river,1224,14627,Creek
river,1382,15572,Creek
river,1428,15849,Creek
river,1429,15855,Creek
river,1463,16059,Creek
river,1534,16489,LargeRiver
river,1535,16494,LargeRiver
river,1536,16499,Creek
river,1537,16502,Creek
river,1549,16577,Creek
river,1557,16623,Creek
river,1558,16633,Creek
river,1784,17985,River
river,1814,18167,River
river,1849,18377,Creek
river,1850,18383,Creek
river,1854,18404,Creek
river,1855,18411,Creek
river,1982,19173,Creek
river,1983,19183,Creek
river,2018,19390,Creek
river,2034,19487,Creek
river,2150,20183,Creek
river,2155,20211,River
river,2158,20230,HugeRiver
river,2234,20684,Creek
river,2328,21248,LargeRiver
river,2330,21260,Creek
river,2342,21336,River
river,2350,21385,Creek
river,2359,21434,Creek
river,2399,21674,Creek
river,2404,21706,Creek
river,2441,12194,Creek
river,2482,7342,Creek
river,2483,7343,Creek
river,2484,12476,River
river,2510,12625,River
river,2511,12627,Creek
river,2514,7371,River
river,2565,12945,LargeRiver
river,2567,7427,Creek
river,2568,7428,LargeRiver
river,2578,7439,Creek
river,2625,13311,River
river,2641,13407,LargeRiver
river,2642,13419,River
river,2643,13431,River
river,2652,7512,Creek
river,2653,13454,Creek
river,2684,13669,Creek
river,2685,13665,River
river,2687,7546,Creek
river,2688,7548,River
river,2714,13849,Creek
river,2729,7591,HugeRiver
river,2730,13945,HugeRiver
river,2792,14312,River
river,2793,7652,Creek
river,2794,14331,Creek
river,2795,14337,River
river,2796,14343,River
river,2821,7681,Creek
river,2828,14540,Creek
river,2835,14570,Creek
river,2840,7702,Creek
river,2994,15525,LargeRiver
river,3001,15567,LargeRiver
river,3002,15579,Creek
river,3003,15584,Creek
river,3005,7865,Creek
river,3044,15829,Creek
river,3045,15825,Creek
river,3057,15897,Creek
river,3061,7921,Creek
river,3081,16051,HugeRiver
river,3084,16065,HugeRiver
river,3085,7944,Creek
river,3089,7951,HugeRiver
river,3090,16105,HugeRiver
river,3290,8150,River
river,3294,17329,River
river,3377,17823,River
river,3406,18001,River
river,3409,8268,River
river,3451,18267,LargeRiver
river,3468,18375,River
river,3471,18388,Creek
river,3473,18392,Creek
river,3597,19155,Creek
river,3599,19149,Creek
river,3624,19309,Creek
river,3651,19460,Creek
river,3652,8512,Creek
river,3654,19485,Creek
river,3770,20180,Creek
river,3771,20187,Creek
river,3772,20194,River
river,3774,20198,River
river,3777,8637,HugeRiver
river,3796,20331,LargeRiver
river,3799,8659,LargeRiver
river,3849,20659,HugeRiver
river,3852,8713,HugeRiver
river,3951,8811,River
river,3953,21280,Creek
river,3954,21279,River
river,3957,21307,Creek
river,3958,8818,Creek
river,3960,8818,Creek
river,3972,21386,Creek
