tile,lat,lon,arc,bearing,elev_m,temp_c,rain_mm,biome,water,river_flow,region
0,58.2787,-90.0,90.0,121.72,12,13.9,34,Wasteland,0,0,
1,58.2787,90.0,90.0,58.28,284,12.4,34,AB_RockyCrags,0,0,
2,-58.2787,-90.0,90.0,238.28,525,11.1,34,AridShrubland,0,0,
3,-58.2787,90.0,90.0,301.72,12,13.9,34,PoisonForest,0,0,
4,-31.716,180.0,148.28,270.0,300,-57.6,18,BMT_FungalForest,0,0,
5,31.716,180.0,148.28,90.0,1407,-63.7,18,AB_PropaneLakes,0,0,The Ammonia Flats
6,-31.716,0.0,31.72,270.0,12,56.8,18,ExtremeDesert,0,0,The Dune Sea
7,31.716,0.0,31.72,90.0,45,56.6,19,AB_FeraliskInfestedJungle,0,0,The Dune Sea
8,0.0,58.2825,58.28,0.0,349,37.2,21,Desert,0,0,The Ashfall Range
9,0.0,121.7175,121.72,0.0,173,-25.0,18,Wasteland,0,0,The Sunreach
10,0.0,-58.2825,58.28,180.0,429,36.8,468,AB_FeraliskInfestedJungle,0,0,The Dew Belt
11,0.0,-121.7175,121.72,180.0,263,-25.5,18,AB_MycoticJungle,0,0,The Nightspill
12,35.2596,-135.0,125.27,135.01,518,-31.2,18,AB_RockyCrags,0,0,
13,69.0771,-180.0,110.92,90.0,403,-13.3,18,AB_RockyCrags,0,0,
14,69.0771,0.0,69.08,90.0,12,30.7,25,ZBiome_DesertOasis,0,5611,
15,35.2596,-45.0,54.73,135.01,12,41.4,21,AB_FeraliskInfestedJungle,0,0,
16,20.9026,-90.0,90.0,159.1,-30,14.0,90,Ocean,1,0,The Twilight Sea
17,35.2596,135.0,125.27,44.99,1268,-35.3,18,AB_MycoticJungle,0,0,
18,0.0,-159.0948,159.09,180.0,619,-68.1,18,AB_RockyCrags,0,0,The Umbra
19,-20.9026,-90.0,90.0,200.9,703,10.1,107,AB_RockyCrags,0,0,The Dew Belt
20,0.0,-20.9052,20.91,180.0,1201,55.0,1668,AB_PyroclasticConflagration,0,0,The Dune Sea
21,35.2596,45.0,54.73,44.99,464,39.0,55,ExtremeDesert,0,0,
22,-35.2596,135.0,125.27,315.01,584,-31.5,18,AridShrubland,0,0,The South Crags
23,-69.0771,180.0,110.92,270.0,856,-15.8,19,AridShrubland,0,0,
24,-69.0771,0.0,69.08,270.0,12,30.7,25,AB_MycoticJungle,0,0,
25,-35.2596,45.0,54.73,315.01,334,39.7,360,ZBiome_Grasslands,0,0,The Pyrelands
26,-20.9026,90.0,90.0,339.1,12,13.9,34,AB_MycoticJungle,0,103,
27,0.0,159.0948,159.09,0.0,254,-66.1,18,AB_PropaneLakes,0,0,The Ammonia Flats
28,-35.2596,-135.0,125.27,224.99,1122,-34.5,18,AB_RockyCrags,0,0,
29,-35.2596,-45.0,54.73,224.99,245,40.2,61,Desert,0,0,
30,0.0,20.9052,20.91,0.0,374,59.6,18,Scarlands,0,0,The Scorch
31,20.9026,90.0,90.0,20.9,-30,14.0,90,Ocean,1,0,The Gray Sea
32,40.1893,-105.7836,101.99,138.72,12,-0.5,21,AB_TarPits,0,0,The Nightspill
33,58.5465,-130.1254,109.65,115.07,12,-9.6,18,AB_RockyCrags,0,0,
34,78.95,-90.0,90.0,101.05,12,13.9,34,PoisonForest,0,0,
35,58.5465,-49.8746,70.35,115.07,12,29.7,26,Desert,0,0,
36,40.1893,-74.2164,78.01,138.72,12,23.5,31,AB_MiasmicMangrove,0,0,The Salt Gate
37,78.95,90.0,90.0,78.95,107,13.4,379,AB_GelatinousSuperorganism,0,0,
38,58.5465,49.8746,70.35,64.93,314,28.0,120,ZBiome_DesertOasis,0,0,
39,58.5465,130.1254,109.65,64.93,508,-12.4,18,AB_RockyCrags,0,0,The Gray Crags
40,40.1893,74.2164,78.01,41.28,416,21.3,316,AridShrubland,0,0,
41,40.1893,105.7836,101.99,41.28,238,-1.7,62,AB_RockyCrags,0,0,The Sunreach
