tile,landmark,why
1238,AbandonedColonyTribal,Prime Dove Village
6738,Dunes,Orangeneedle Wastes
16945,Dunes,Bluepond Dunes
19542,Dunes,Whitepool Dunes
8096,Dunes,Enrada Dunes
5434,Dunes,Orangerock Wastes
6439,Dunes,Camba Dunes
390,Dunes,Thihatheroum Dunes
6702,Dunes,Coistia Dunes
3688,Dunes,Cóbust Dunes
8480,Dunes,Leera Dunes
15127,Dunes,Temininum Dunes
2473,Dunes,Beñabraa Dunes
19548,Dunes,Meeron Dunes
9619,Dunes,Mo's Retirement Wastes
19676,Dunes,Elephant Sealankle Dunes
1181,Dunes,Terera Wastes
492,Dunes,Noteron Wastes
6681,Dunes,Nelor Wastes
5036,Dunes,Wathkani Wastes
11236,Dunes,Gocha Wastes
5369,Dunes,Bad Mallard Dunes
21392,Dunes,Neoum Dunes
2870,Dunes,Gray Buffalo Wastes
5079,Dunes,Hismeera Dunes
18040,Dunes,Caro Dunes
7458,Dunes,Biatox Dunes
11463,Dunes,Rouay Dunes
11451,Dunes,Hisoulgaeria Dunes
21441,Dunes,Banboa Wastes
5091,Dunes,Susskind's Honor Dunes
4293,Dunes,Guavasña Dunes
11558,Dunes,Tasca Dunes
11109,Dunes,Banastra Dunes
11126,Dunes,Snailclaw Dunes
6358,Dunes,Dorio Dunes
21453,Dunes,Purple Dunes
10,Oasis,Dordo Haven
4367,Oasis,Hiunt Oasis
7780,Oasis,Otranrro Oasis
11100,Oasis,Tedhenni Refuge
14338,Oasis,Bluehuman Oasis
17225,Oasis,Toler Oasis
17198,Oasis,Bema Refuge
2349,Oasis,Youussia Haven
11834,Oasis,Andor Oasis
11471,Oasis,Big Wolverine Refuge
4321,Oasis,Black Megascarab Oasis
25,Oasis,Crima Oasis
15166,Oasis,Thealllium Oasis
16619,Oasis,Nebium Oasis
8272,Oasis,Oldshark Oasis
10451,Oasis,White Oasis
11877,Oasis,Orange Oasis
17001,Oasis,Straouuia Oasis
931,Oasis,Goodfox Oasis
13348,Oasis,Gomacolcam Refuge
2039,Oasis,Lándoa Haven
