kind,a,b,def
road,14,7367,DirtPath
road,14,7368,DirtPath
road,36,7497,DirtRoad
road,36,7500,DirtRoad
road,43,7538,DirtRoad
road,43,7542,DirtRoad
road,57,7623,StoneRoad
road,57,7624,StoneRoad
road,83,7779,StoneRoad
road,83,7780,StoneRoad
river,85,7791,River
river,85,7795,River
road,94,7846,DirtRoad
road,94,7849,DirtRoad
road,117,7984,StoneRoad
river,126,8041,Creek
river,126,8036,Creek
road,133,8082,DirtRoad
road,133,8081,DirtRoad
road,134,8086,StoneRoad
road,134,8085,StoneRoad
road,135,8093,DirtRoad
road,135,8094,DirtRoad
road,144,8149,StoneRoad
road,144,8144,StoneRoad
river,145,8151,LargeRiver
river,145,8152,LargeRiver
road,161,8247,StoneRoad
road,161,8250,StoneRoad
road,165,8272,DirtPath
road,165,8274,DirtRoad
road,171,8311,DirtRoad
road,171,8307,DirtRoad
road,195,8453,DirtRoad
road,203,8499,StoneRoad
road,203,8503,StoneRoad
road,210,8545,DirtRoad
road,210,8542,DirtRoad
road,218,8590,DirtRoad
road,218,8593,DirtRoad
road,227,8643,DirtPath
road,227,8644,DirtPath
road,241,8731,StoneRoad
road,241,8728,StoneRoad
river,256,8816,LargeRiver
river,256,8818,LargeRiver
river,259,8834,Creek
road,263,8861,DirtPath
road,263,8862,DirtPath
road,275,8930,DirtRoad
road,275,8933,DirtRoad
road,282,8972,DirtRoad
road,282,8975,DirtRoad
road,285,8991,DirtRoad
road,285,8994,DirtRoad
road,286,8999,DirtRoad
road,286,8997,DirtRoad
road,315,9171,DirtRoad
road,315,9175,DirtRoad
road,324,9226,StoneRoad
road,324,9229,StoneRoad
road,325,9231,StoneRoad
road,325,9235,StoneRoad
road,348,9373,DirtPath
road,348,9371,DirtPath
road,350,9381,DirtRoad
road,350,9383,DirtRoad
river,354,9405,River
river,354,9407,River
road,377,9547,StoneRoad
road,377,9543,StoneRoad
road,399,9675,StoneRoad
road,399,9678,StoneRoad
road,410,9742,DirtPath
road,410,9745,DirtPath
road,421,9806,DirtRoad
road,421,9811,DirtRoad
road,497,10265,StoneRoad
road,497,10267,StoneRoad
road,523,10418,DirtPath
road,523,10419,DirtPath
road,565,10674,DirtPath
road,565,10675,DirtPath
road,565,10671,DirtPath
road,582,10774,StoneRoad
road,582,10777,StoneRoad
road,607,10924,StoneRoad
road,607,10927,StoneRoad
road,627,11047,StoneRoad
road,627,11044,StoneRoad
river,635,11095,Creek
river,635,11092,Creek
road,655,11214,DirtPath
road,656,11216,AncientAsphaltHighway
road,656,11218,AncientAsphaltHighway
river,675,11334,HugeRiver
river,675,11330,HugeRiver
road,675,11331,DirtRoad
road,675,11334,DirtRoad
road,675,11335,DirtRoad
river,698,11469,Creek
river,698,11470,Creek
road,702,11495,DirtRoad
road,702,11496,DirtRoad
road,702,11494,DirtRoad
road,755,11815,DirtRoad
road,755,11811,DirtRoad
road,759,11834,StoneRoad
road,759,11837,StoneRoad
road,761,11849,StoneRoad
road,761,11847,StoneRoad
road,762,11854,DirtRoad
road,762,11852,DirtRoad
river,776,11938,Creek
river,776,11936,Creek
river,777,11943,Creek
river,777,11945,Creek
road,780,11960,StoneRoad
road,780,11965,DirtRoad
river,781,11971,Creek
river,781,11968,Creek
road,815,12174,DirtRoad
road,826,12238,DirtRoad
road,826,12241,DirtRoad
road,852,12393,DirtRoad
road,852,12395,DirtRoad
river,863,12463,Creek
river,863,12462,Creek
road,866,12481,StoneRoad
road,866,12480,StoneRoad
road,884,12585,DirtPath
road,884,12587,DirtPath
road,888,12612,DirtPath
road,888,12608,DirtPath
river,891,12626,HugeRiver
river,891,12630,HugeRiver
road,891,12631,DirtRoad
road,891,12629,DirtRoad
road,929,12855,DirtPath
road,929,12857,DirtPath
road,931,12869,DirtRoad
road,931,12867,DirtRoad
road,938,12909,StoneRoad
road,938,12911,StoneRoad
road,941,12927,StoneRoad
road,941,12929,StoneRoad
road,949,12977,DirtPath
road,949,12978,DirtPath
road,978,13150,DirtPath
road,978,13151,DirtPath
road,978,13153,DirtRoad
road,978,13148,DirtRoad
road,984,13184,AncientAsphaltHighway
road,984,13189,AncientAsphaltHighway
road,987,13202,DirtRoad
road,987,13206,DirtRoad
road,1010,13343,DirtPath
road,1010,13345,DirtPath
road,1011,13348,DirtPath
road,1011,13350,DirtPath
road,1023,13421,StoneRoad
road,1023,13423,StoneRoad
road,1024,13425,StoneRoad
road,1024,13429,DirtRoad
road,1024,13428,DirtPath
road,1026,13437,DirtRoad
road,1026,13439,DirtRoad
road,1053,13600,DirtRoad
road,1053,13602,DirtRoad
road,1057,13622,StoneRoad
road,1057,13624,StoneRoad
road,1063,13658,DirtRoad
road,1063,13663,DirtRoad
road,1064,13667,DirtPath
road,1064,13669,DirtPath
road,1073,13723,StoneRoad
road,1073,13720,StoneRoad
road,1111,13947,DirtPath
road,1111,13949,DirtPath
road,1142,14135,StoneRoad
road,1142,14137,StoneRoad
road,1145,14151,StoneRoad
road,1145,14153,StoneRoad
road,1146,14158,StoneRoad
road,1146,14160,StoneRoad
road,1168,14291,StoneRoad
road,1168,14289,StoneRoad
river,1174,14325,Creek
river,1174,14329,Creek
road,1174,14327,StoneRoad
river,1175,14335,LargeRiver
river,1175,14332,Creek
river,1175,14333,LargeRiver
road,1197,14463,AncientAsphaltHighway
