tile,mutators
0,VEE_MineralDevoid;VEE_DeepOreDevoid
1,VEE_Mycelium;AB_MoldyEnvironment
3,Mountain
4,VEE_LessSolarPower
5,VEE_LessSolarPower
6,Dunes;sw_SarlaccLair;VEE_MoreSolarPower;WildTattooinePlants
7,VEE_MoreSolarPower;WildTattooinePlants;sw_SarlaccLair;MixedBiome
10,Oasis;AnimalLife_Increased
12,VEE_LessSolarPower
15,VEE_MoreSolarPower
17,VEE_LessSolarPower
18,Caves
20,Cliffs;VEE_MoreSolarPower
21,VEE_MoreSolarPower
22,VEE_LessSolarPower
24,VEE_MeteorCrater;VEE_DeepOreDevoid;VEE_MineralDevoid;VEE_DustBowl
25,Mountain;Oasis;VEE_MoreSolarPower
27,VEE_LessSolarPower
28,VEE_LessSolarPower
29,VEE_MeteorCrater;VEE_MoreSolarPower;Dunes;VEE_DustBowl
30,VEE_MoreSolarPower
31,VEE_SaltPlains
32,Hollow;VEE_Cenotes;VEE_StagnantRivulet;VEE_PlantLife_Overgrown;MixedBiome;AnimalHabitat
35,VEE_MineralDevoid;VEE_DeepOreDevoid
36,Coast
37,VEE_FleshPits;VEE_FleshPits
38,DryLake;AnimalLife_Decreased
41,Caves
43,DryLake;VEE_Sinkholes;Pollution_Increased
44,VEE_MineralDevoid;VEE_DeepOreDevoid;sw_SarlaccLair
48,AncientRuins;AncientWarehouse;Stockpile
49,AncientRuins;AncientWarehouse;Stockpile
51,VEE_MineralDevoid;VEE_DeepOreDevoid
52,Caves;VEE_LessSolarPower
53,Caves;VEE_LessSolarPower
54,Caves;VEE_LessSolarPower;AncientRuins;AncientWarehouse;Stockpile
55,Caves;VEE_LessSolarPower
56,UndergroundCave;VEE_LessSolarPower
57,VEE_LessSolarPower
58,VEE_LessSolarPower
59,VEE_LessSolarPower
60,VEE_LessSolarPower
62,Marshy;VEE_MoreSolarPower
63,VEE_MoreSolarPower
64,Dunes;VEE_MoreSolarPower;WildTattooinePlants;sw_SarlaccLair
65,VEE_MoreSolarPower;sw_SarlaccLair
66,VEE_MoreSolarPower
67,VEE_MoreSolarPower
68,VEE_MoreSolarPower;WildTattooinePlants
69,AB_AmbientRadiation;AB_DerelictClusters;AncientHeatVent;AncientRuins;AncientWarehouse;Junkyard;VEE_SulfuricLake;VEE_ToxicVents;AnimalLife_Increased;VEE_MoreSolarPower
70,VEE_MeteorCrater;VEE_MineralDevoid;VEE_DeepOreDevoid;Dunes;VEE_MoreSolarPower;VEE_DustBowl;SteamGeysers_Increased
71,Dunes;VEE_MoreSolarPower;WildTattooinePlants
72,VEE_MoreSolarPower
73,MineralRich;VEE_DeepOreRich;AbandonedColonyOutlander
75,VEE_MoreSolarPower
78,VEE_LessSolarPower
80,VEE_LessSolarPower
81,AncientWarehouse;VEE_MineralDevoid;VEE_DeepOreDevoid;WindyMutator;VEE_RelictDelta;AnimalLife_Decreased;VEE_RisingWaters;Coast
83,Oasis
84,Cavern;Cliffs;AnimalLife_Increased
85,Mountain;Fish_Increased;VEE_MoreSolarPower;River
86,SteamGeysers_Increased;VEE_SulfuricLake;Fish_Increased
87,VEE_LessSolarPower
88,Caves
89,VEE_LessSolarPower
90,WindyMutator
92,VEE_MineralDevoid;VEE_DeepOreDevoid
96,VEE_MineralDevoid;VEE_DeepOreDevoid
99,VEE_Mycelium;VEE_Cenotes
100,Fertile;VEE_Mycelium;AB_MoldyEnvironment;VEE_Cenotes;AnimalHabitat
104,Dunes
105,VEE_MineralDevoid;VEE_DeepOreDevoid;VEE_DustBowl;VEE_PlantLife_Decimated;VEE_Fertility_Reduced;VEE_DustStorms;VEE_Sinkholes
106,VEE_Sinkholes;VEE_QuicksandPits;VEE_Sandstorms;Stockpile
107,Cavern;VEE_Cenotes;VEE_StagnantRivulet;Stockpile;MixedBiome;AnimalHabitat
110,VEE_SaltPlains
112,Caves
113,VEE_LessSolarPower
114,VEE_LessSolarPower
115,VEE_LessSolarPower
116,VEE_MeteorCrater;VEE_LessSolarPower
117,Caves;AncientRuins;AncientRuins;VEE_LessSolarPower
118,VEE_LessSolarPower
120,VEE_LessSolarPower
121,VEE_LessSolarPower
122,VEE_MoreSolarPower
123,Dunes;VEE_MoreSolarPower;WildTattooinePlants
124,VEE_MineralDevoid;VEE_DeepOreDevoid;Dunes;VEE_MoreSolarPower;WildTattooinePlants
125,Dunes;VEE_MoreSolarPower
126,VEE_SerpentineCanyons;Fish_Increased;VEE_MoreSolarPower;River
127,VEE_MoreSolarPower;WildTattooinePlants
128,Mountain;VEE_MoreSolarPower;WildTattooinePlants
129,VEE_MoreSolarPower
130,Dunes;VEE_MoreSolarPower
131,VEE_MineralDevoid;VEE_DeepOreDevoid;Dunes;VEE_MoreSolarPower;WildTattooinePlants
132,Mountain;VEE_MoreSolarPower
134,Mountain
136,Dunes;VEE_SaltPlains
138,VEE_LessSolarPower
142,Mountain;Oasis
143,Mountain
144,Mountain;Caves;Oasis
145,Fish_Increased;River
147,Caves;VEE_LessSolarPower
150,WindyMutator
151,VEE_SerpentineCanyons;Stockpile
152,Caves
154,VEE_LessSolarPower
155,VEE_LessSolarPower
156,VEE_LessSolarPower
161,Caves
170,VEE_MineralDevoid;VEE_DeepOreDevoid;Dunes
171,Marshy;SunnyMutator;AnimalHabitat;ArcheanTrees;VEE_RisingWaters
173,VEE_MoreSolarPower
174,AnimalLife_Increased;VEE_MoreSolarPower
175,Marshy;VEE_IncreasedInfestations;AB_FeraliskNest;VEE_RottenStench;VEE_MoreSolarPower
176,WindyMutator
177,VEE_SaltPlains
182,Mountain;Caves;MineralRich;VEE_DeepOreRich
185,VEE_LessSolarPower
186,VEE_LessSolarPower
187,VEE_LessSolarPower
188,VEE_LessSolarPower
190,Caves;VEE_LessSolarPower
192,VEE_LessSolarPower
193,VEE_LessSolarPower
199,Caves
200,VEE_MoreSolarPower;WildTattooinePlants
201,MineralRich;VEE_MoreSolarPower;WildTattooinePlants
202,Fish_Increased
203,Marshy;VEE_MoreSolarPower
204,Fish_Decreased
205,SteamGeysers_Increased;VEE_SulfuricLake;Fish_Increased
208,Dunes;VEE_MoreSolarPower
209,VEE_MoreSolarPower
210,VEE_MoreSolarPower
214,VEE_LessSolarPower
215,VEE_LessSolarPower
216,VEE_LessSolarPower
217,VEE_MineralDevoid;VEE_DeepOreDevoid
221,VEE_Sinkholes;VEE_QuicksandPits;VEE_Sandstorms;AnimalHabitat
224,VEE_MineralDevoid;VEE_DeepOreDevoid
229,VEE_MineralDevoid;VEE_DeepOreDevoid
233,Dunes;VEE_MoreSolarPower
234,VEE_MoreSolarPower
235,VEE_MoreSolarPower
236,DryGround
239,CoastalIsland
241,VEE_MineralDevoid;VEE_DeepOreDevoid
243,VEE_LessSolarPower
246,VEE_LessSolarPower
247,VEE_LessSolarPower
250,Caves
251,VEE_LessSolarPower
252,VEE_LessSolarPower
253,VEE_LessSolarPower
254,Dunes
255,Dunes
256,Fish_Increased;VEE_MoreSolarPower;River
257,VEE_MoreSolarPower
259,Mountain;CaveLakes;VEE_MoreSolarPower;Headwater
260,VEE_MineralDevoid;VEE_DeepOreDevoid;VEE_PebbleDunes;VEE_PebbleDunes;VEE_MoreSolarPower;WildTattooinePlants
261,VEE_MoreSolarPower;WildTattooinePlants
262,AB_AmbientRadiation;AncientHeatVent;AncientRuins;Junkyard;VEE_MoreSolarPower
263,VEE_RedDesert;VEE_RedDesertPlants;VEE_Sandstorms;VEE_MoreSolarPower;WildTattooinePlants
