id,faction_def,faction,name,tile,lat,lon,arc,biome,why
0,Empire,Empire,Sunspire,12828,-5.3026,-22.4631,23.0,ZBiome_Badlands,
1,Empire,Empire,Oxalate Watch,4366,-5.8858,-53.7732,54.0,BiomeCypreJungle,
2,Empire,Empire,Ashgarrison,135,-10.6897,54.7658,55.5,Desert,
3,Jawa_GeonosianFoundryHive,Jawa_GeonosianFoundryHive,The Unfinished Work,7722,-18.1680,65.2566,66.6,AridShrubland,
4,Jawa_GeonosianFoundryHive,Jawa_GeonosianFoundryHive,Oxide Deep,20366,-45.1008,51.0982,63.7,Wasteland,
5,Jawa_GeonosianFoundryHive,Jawa_GeonosianFoundryHive,The Godmouth,21576,16.5490,11.0257,19.8,Scarlands,
6,Jawa_GeonosianFoundryHive,Jawa_GeonosianFoundryHive,Founder's Kiln,675,18.6529,0.0000,18.7,Scarlands,
7,Jawa_GeonosianFoundryHive,Jawa_GeonosianFoundryHive,Hollow Hive,8497,10.6598,-27.1447,29.0,ZBiome_Badlands,
8,Jawa_FreeDroidEnclaves,Jawa_FreeDroidEnclaves,No Master,19350,5.0855,-8.5748,10.0,AB_MechanoidIntrusion,
9,Jawa_AscendantHelix,Jawa_AscendantHelix,Helix Landing,11947,-6.3228,-48.2175,48.5,AB_OcularForest,
10,Jawa_AscendantHelix,Jawa_AscendantHelix,The Coil,5500,-42.9087,-93.6039,92.6,AB_MycoticJungle,
11,Jawa_AscendantHelix,Jawa_AscendantHelix,Quiet Lab,21037,-28.4316,-119.0636,115.3,BMT_FungalForest,
12,Pirate,Pirate,Blackstar Field,18267,30.2624,-58.7613,63.4,AB_MiasmicMangrove,
13,Pirate,Pirate,Bloodmoney,13662,-74.5198,-75.6207,86.2,Desert,
14,Pirate,Pirate,Toll Rock,11494,-19.6931,74.6338,75.6,AridShrubland,
15,Pirate,Pirate,Hardpan Yard,7497,39.6007,-76.0663,79.3,Wasteland,
16,Jawa_WildsteamClan,Jawa_WildsteamClan,Steamreach,12624,33.0837,-51.1424,58.3,BiomeCypreJungle,
