== BIOME (used 30 of 80 defs) ==
    4205 19.23%  Desert
    3179 14.53%  ExtremeDesert
    2002  9.15%  AB_RockyCrags
    1939  8.87%  AB_MycoticJungle
    1713  7.83%  Wasteland
    1711  7.82%  HorrorWastes
    1120  5.12%  ZBiome_Badlands
     818  3.74%  AB_PropaneLakes
     817  3.74%  Ocean
     662  3.03%  AridShrubland
     578  2.64%  BMT_CrystalCaverns
     542  2.48%  PoisonForest
     425  1.94%  BMT_FungalForest
     322  1.47%  Lake
     262  1.20%  SeaIce
     236  1.08%  AB_MechanoidIntrusion
     227  1.04%  BiomeCypreJungle
     223  1.02%  ZBiome_DesertOasis
     223  1.02%  ZBiome_Grasslands
     169  0.77%  AB_FeraliskInfestedJungle
      96  0.44%  AB_GelatinousSuperorganism
      93  0.43%  AB_MiasmicMangrove
      90  0.41%  Scarlands
      49  0.22%  IceSheet
      43  0.20%  COMIGO_GreaterSwamp_Tropical
      40  0.18%  AB_TarPits
      31  0.14%  AB_PyroclasticConflagration
      23  0.11%  Volcano
      19  0.09%  AB_OcularForest
      15  0.07%  LavaField

== HILLINESS ==
    8394  Flat
    8097  SmallHills
    3815  LargeHills
    1510  Mountainous
      56  Impassable

== MUTATORS: used 128 distinct of 336 defs; 7874 tiles carry >=1 (36.0%) ==
  total mutator instances: 13819
    1611  Caves                                  caves
    1536  Dunes                                  dunes
    1534  VEE_DeepOreDevoid                      no deep ores
    1533  VEE_MineralDevoid                      mineral devoid
    1133  Mountain                               mountain
     605  Fish_Increased                         increased fish
     484  MineralRich                            mineral rich
     326  VEE_SaltPlains                         salt plains
     262  AnimalLife_Increased                   increased animal life
     246  Oasis                                  oasis
     233  WindyMutator                           windy
     229  Cliffs                                 cliffs
     210  AncientRuins                           ruins
     188  AnimalHabitat                          animal habitat
     178  AncientHeatVent                        ancient heat vent
     169  AB_DerelictClusters                    derelict clusters
     165  River                                  river
     163  VEE_DeepOreRich                        deep ore rich
     158  VEE_FloodPlains                        flood plains
     153  Marshy                                 marshy
     136  Junkyard                               junkyard
     136  DryGround                              dry ground
     129  CoastalIsland                          coastal island
     110  VEE_SulfuricLake                       sulfuric lake
     104  Coast                                  coast
     104  AB_AmbientRadiation                    ambient radiation
      92  Fish_Decreased                         decreased fish
      91  VEE_ToxicVents                         toxic geysers
      90  VEE_RisingWaters                       rising waters
      88  VEE_StagnantRivulet                    stagnant rivulet
      79  VEE_MechanoidShipChunks                mechanoid chunks
      59  Stockpile                              stockpile
      51  SunnyMutator                           sunny
      51  VEE_DryRiver                           dry river
      47  AncientWarehouse                       ancient warehouse
      44  VEE_RottenStench                       rotten stench
      41  CaveLakes                              cave pools
      39  VEE_SerpentineCanyons                  serpentine canyons
      39  ToxicLake                              toxic lake
      38  VEE_PebbleDunes                        pebble dunes
      37  Headwater                              headwater
      37  Archipelago                            archipelago
      36  VEE_Cenotes                            cenotes
      33  SteamGeysers_Increased                 high geothermal activity
      33  RiverIsland                            river island
      31  VEE_IncreasedInfestations              increased infestations
      31  VEE_GravelBeach                        gravel beach
      31  AB_LocustPlagues                       locust plagues
      31  Chasm                                  chasm
      30  AncientQuarry                          ancient quarry
      29  AB_FeraliskNest                        feralisk nest
      28  VEE_QuicksandDunes                     quicksand dunes
      28  InsectMegahive                         insect megahive
      26  Cavern                                 cavern
      26  AB_BumbledroneNests                    bumbledrone nests
      24  DryLake                                dry lake
      23  AncientGarrison                        ancient garrison
      21  Pond                                   pond
      20  Iceberg                                iceberg
      19  VEE_RotstinkVents                      rotstink geysers
      18  AncientChemfuelRefinery                ancient chemfuel refinery
      18  AncientRuins_Frozen                    frozen ruins
      18  AbandonedColonyTribal                  abandoned colony
      18  Valley                                 valley
      17  Bay                                    bay
      16  VEE_DustBowl                           dust bowl
      16  VEE_PlantLife_Decimated                decimated
      16  VEE_DustStorms                         dust storms
      16  VEE_MeteorCrater                       meteor crater
      16  IceDunes                               ice dunes
      16  RiverDelta                             delta
      16  TerraformingScar                       terraforming scar
      16  VEE_IncreasedDiseases                  increased diseases
      15  VEE_Fertility_Reduced                  decreased soil fertility
      15  VEE_MarineSanctuary                    marine sanctuary
      14  VEE_FleshPits                          flesh pits
      13  AB_MagmaVents                          magma vents
      12  HotSprings                             hot springs
      12  VEE_RockRidge                          rock ridge
      12  VEE_DeepSnow                           solid snow
      12  AB_AncientGreyPallVent                 gray pall vent
      11  PlantLife_Increased                    increased plant life
      11  Hollow                                 hollow
      10  VEE_RedDesert                          red desert
      10  VEE_RedDesertPlants                    red desert cacti
      10  AB_TarLakes                            tar lakes
      10  WildPlants                             wild plants
      10  Muddy                                  muddy
       9  AncientUplink                          ancient uplink
       9  VEE_JaggedRocks                        jagged rocks
       8  VEE_Sandstorms                         sandstorms
       8  Peninsula                              peninsula
       8  VEE_PlantLife_Overgrown                overgrown
       8  VEE_NoTrees                            lack of trees
       8  sw_DeadSarlaccCave                     a dead sarlacc
       8  AB_GeothermalHotspots                  geothermal hotspots
       7  VEE_ContaminatedRiver                  contaminated river
       6  AnimalLife_Decreased                   decreased animal life
       6  AB_MagmaticQuagmire                    magmatic quagmire
       6  AB_AncientDeathPallVent                death pall vent
       6  Plateau                                plateau
       5  VEE_SmokeVents                         smoke geysers
       5  CoastalAtoll                           coastal atoll
       4  AbandonedColonyOutlander               abandoned colony
       4  VEE_StoneForest                        stone forest
       4  AB_AncientFreezingVent                 ancient freezing vent
       4  WildDantooinePlants                    wild plants
       4  AB_AncientBloodRainVent                blood rain vent
       4  VEE_Cactus_Barrel                      barrel cacti
       4  VEE_Cactus_Hedgehog                    hedgehog cacti
       3  VEE_LoneIsland                         detached coastal island
       3  LavaFlow                               lava flow
       3  WildTattooinePlants                    wild plants
       3  AncientInfestedSettlement              infested settlement
       2  AB_AgariluxPrime_Mutator               agarilux prime sprout
       2  sw_SarlaccLair                         sarlacc pit
       2  WildGalacticPlants                     wild plants
       2  AncientLaunchSite                      ancient launch site
       2  VEE_AlluvialFan                        aluvial fan
       2  VEE_SulfuricRiver                      sulfuric river
       1  VEE_Volcano                            volcano
       1  AB_QuicksandPits                       quicksand pits
       1  Pollution_Increased                    increased pollution
       1  AB_DerelictArchonexus                  derelict archonexus
       1  Basin                                  basin
       1  VEE_ToxicCrater                        toxic crater
       1  LavaLake                               lava lake
       1  LavaCrater                             lava lake

== MUTATOR DEFS NEVER USED (208) ==
   AB_BlizzariskNest                        blizzarisk nest              Alpha Biomes
   AB_ButterflySwarms                       butterfly swarms             Alpha Biomes
   AB_DerelictBioLab                        derelict biolab              Alpha Biomes
   AB_DerelictKemeticTemple                 derelict kemetic temple      Alpha Biomes
   AB_DerelictResort                        derelict resort              Alpha Biomes
   AB_DessertTrees                          dessert trees                Alpha Biomes
   AB_DigestiveSurface                      digestive surface            Alpha Biomes
   AB_DiminutiveRegion                      diminutive region            Alpha Biomes
   AB_DunealiskNest                         dunealisk nest               Alpha Biomes
   AB_EdibleAirborneMicrofungi              edible airborne micro-fungi  Alpha Biomes
   AB_ExplodingAnimals                      exploding animals            Alpha Biomes
   AB_ExtremeTemperatureFluctuations        extreme temperature fluctuations Alpha Biomes
   AB_FleshTrees                            flesh trees                  Alpha Biomes
   AB_GelatinousMemoryEcho                  gelatinous memory echo       Alpha Biomes
   AB_GiantFossils                          giant fossils                Alpha Biomes
   AB_GoldenTrees                           golden cube trees            Alpha Biomes
   AB_HealingSprings                        healing springs              Alpha Biomes
   AB_LuminescentTrees                      luminescent trees            Alpha Biomes
   AB_MoldyEnvironment                      moldy environment            Alpha Biomes
   AB_MutagenicSprings                      mutagenic ocular springs     Alpha Biomes
   AB_NarrowRegion                          narrow region                Alpha Biomes
   AB_OcularTransformation                  ocular transformation        Alpha Biomes
   AB_OversaturatedSoil                     oversaturated soil           Alpha Biomes
   AB_PetalStorms                           petal storms                 Alpha Biomes
   AB_PollinationFrenzy                     pollination frenzy           Alpha Biomes
   AB_PropaneLakes                          propane lakes                Alpha Biomes
   AB_QuiveringSurface                      quivering surface            Alpha Biomes
   AB_ResidualOverclocking                  residual overclocking        Alpha Biomes
   AB_SterileGround                         sterile ground               Alpha Biomes
   AB_SymbioticNutrients                    symbiotic nutrients          Alpha Biomes
   AB_TechnoTrees                           technological trees          Alpha Biomes
   AB_WideRegion                            wide region                  Alpha Biomes
   AncientSmokeVent                         ancient smoke vent           Odyssey
   AncientToxVent                           ancient toxic vent           Odyssey
   ArcheanTrees                             archean trees                Odyssey
   Cove                                     bay                          Odyssey
   Crevasse                                 crevasse                     Odyssey
   DA_LeviathanNest                         leviathan nestbed            Dark Ages : Beasts and Monsters
   DA_SnaptoadBreedingGrounds               snaptoad breeding grounds    Dark Ages : Beasts and Monsters
   Fertile                                  fertile                      Odyssey
   Fjord                                    fjord                        Odyssey
   FoggyMutator                             foggy                        Odyssey
   GL_Archipelago                           None                         Geological Landforms
   GL_Atoll                                 None                         Geological Landforms
   GL_Badlands                              None                         Geological Landforms
   GL_BiomeTransitions                      None                         Biome Transitions
   GL_Caldera                               None                         Geological Landforms
   GL_Canyon                                None                         Geological Landforms
   GL_CaveEntrance                          None                         Geological Landforms
   GL_Cirque                                None                         Geological Landforms
   GL_Cliff                                 None                         Geological Landforms
   GL_CliffAndCoast                         None                         Geological Landforms
   GL_CliffCorner                           None                         Geological Landforms
   GL_Coast                                 None                         Geological Landforms
   GL_CoastCorner                           None                         Geological Landforms
   GL_CoastalIsland                         None                         Geological Landforms
   GL_Cove                                  None                         Geological Landforms
   GL_CoveWithIsland                        None                         Geological Landforms
   GL_Crater                                None                         Geological Landforms
   GL_DesertPlateau                         None                         Geological Landforms
   GL_DryLake                               None                         Geological Landforms
   GL_Fjord                                 None                         Geological Landforms
   GL_Glacier                               None                         Geological Landforms
   GL_Gorge                                 None                         Geological Landforms
   GL_IceOasis                              None                         Geological Landforms
   GL_Island                                None                         Geological Landforms
   GL_Lake                                  None                         Geological Landforms
   GL_LakeWithIsland                        None                         Geological Landforms
   GL_Landbridge                            None                         Geological Landforms
   GL_LoneMountain                          None                         Geological Landforms
   GL_Oasis                                 None                         Geological Landforms
   GL_Peninsula                             None                         Geological Landforms
   GL_Rift                                  None                         Geological Landforms
   GL_River                                 None                         Geological Landforms
   GL_RiverConfluence                       None                         Geological Landforms
   GL_RiverDelta                            None                         Geological Landforms
   GL_RiverIsland                           None                         Geological Landforms
   GL_RiverSource                           None                         Geological Landforms
   GL_RiverTerrain                          None                         Geological Landforms
   GL_SecludedCove                          None                         Geological Landforms
   GL_SecludedValley                        None                         Geological Landforms
   GL_Sinkhole                              None                         Geological Landforms
   GL_Skerry                                None                         Geological Landforms
   GL_SurfaceCave                           None                         Geological Landforms
   GL_SwampHill                             None                         Geological Landforms
   GL_Tombolo                               None                         Geological Landforms
   GL_Valley                                None                         Geological Landforms
   Harbor                                   harbor                       Odyssey
   IceCaves                                 ice caves                    Odyssey
   Lake                                     lake                         Odyssey
   LakeWithIsland                           lake with island             Odyssey
   LakeWithIslands                          lake with island             Odyssey
   Lakeshore                                lakeshore                    Odyssey
   LavaCaves                                lava caves                   Odyssey
   MixedBiome                               mixed biome                  Odyssey
   ObsidianDeposits                         obsidian deposits            Odyssey
   PlantGrove                               plant grove                  Odyssey
   PlantLife_Decreased                      decreased plant life         Odyssey
   RiverConfluence                          river confluence             Odyssey
   Sandy                                    sandy                        Odyssey
   UndergroundCave                          underground cave             Core
   VEE_AbandonedFarmland                    abandoned farmland           Vanilla Landmarks Expanded
   VEE_AbundantPredators                    abundant predators           Vanilla Landmarks Expanded
   VEE_AbundantPrey                         abundant prey                Vanilla Landmarks Expanded
   VEE_AggressiveHerds                      aggressive herds             Vanilla Landmarks Expanded
   VEE_Alphabeavers                         alphabeavers                 Vanilla Landmarks Expanded
   VEE_AnimaFauna                           anima fauna                  Vanilla Landmarks Expanded
   VEE_AnimaFlora                           anima flora                  Vanilla Landmarks Expanded
   VEE_AnimaSoils                           anima soils                  Vanilla Landmarks Expanded
   VEE_AnimaSoils_Coast                     anima soils                  Vanilla Landmarks Expanded
   VEE_AuburnTree_Birches                   auburn birches               Vanilla Landmarks Expanded
   VEE_AuburnTree_Maples                    auburn maples                Vanilla Landmarks Expanded
   VEE_AuburnTree_Oaks                      auburn oaks                  Vanilla Landmarks Expanded
   VEE_AuburnTree_Poplars                   auburn poplars               Vanilla Landmarks Expanded
   VEE_BasaltCape                           basalt cape                  Vanilla Landmarks Expanded
   VEE_Blooming_Buttercup                   blooming buttercups          Vanilla Landmarks Expanded
   VEE_Blooming_ForgetMeNot                 blooming forget-me-nots      Vanilla Landmarks Expanded
   VEE_Blooming_Knapweed                    blooming knapweed            Vanilla Landmarks Expanded
   VEE_Blooming_Loosestrife                 blooming loosestrife         Vanilla Landmarks Expanded
   VEE_BombardedSurface                     bombarded surface            Vanilla Landmarks Expanded
   VEE_BurnedForest                         burned forest                Vanilla Landmarks Expanded
   VEE_Cactus_Beavertail                    beavertail cacti             Vanilla Landmarks Expanded
   VEE_Cactus_OrganPipe                     organ pipe cacti             Vanilla Landmarks Expanded
   VEE_CalmBasin                            calm basin                   Vanilla Landmarks Expanded
   VEE_ColossalFauna                        colossal fauna               Vanilla Landmarks Expanded
   VEE_ContaminatedCoast                    contaminated coast           Vanilla Landmarks Expanded
   VEE_ContaminatedReservoir                contaminated reservoir       Vanilla Landmarks Expanded
   VEE_CoralReef                            coral reef                   Vanilla Landmarks Expanded
   VEE_CraterLake                           crater lake                  Vanilla Landmarks Expanded
   VEE_DeadlifeVents                        deadlife geysers             Vanilla Landmarks Expanded
   VEE_DeepOrePoor                          deep ore poor                Vanilla Landmarks Expanded
   VEE_DetachedIceberg                      detached iceberg             Vanilla Landmarks Expanded
   VEE_DistressedWildlife                   distressed wildlife          Vanilla Landmarks Expanded
   VEE_DomesticatedEscapees                 domesticated escapees        Vanilla Landmarks Expanded
   VEE_DriftwoodShore                       driftwood                    Vanilla Landmarks Expanded
   VEE_EasyToTraverse                       easy to traverse             Vanilla Landmarks Expanded
   VEE_FeralKinship                         feral kinship                Vanilla Landmarks Expanded
   VEE_FertileRains                         fertile rains                Vanilla Landmarks Expanded
   VEE_FirewoodTrees                        firewood trees               Vanilla Landmarks Expanded
   VEE_FrequentAuroras                      frequent auroras             Vanilla Landmarks Expanded
   VEE_GeomagneticStorm                     geomagnetic storm            Vanilla Landmarks Expanded
   VEE_GlacialMoraine                       glacial moraine              Vanilla Landmarks Expanded
   VEE_HardToTraverse                       hard to traverse             Vanilla Landmarks Expanded
   VEE_IceAndFire                           ice and fire                 Vanilla Landmarks Expanded
   VEE_IceSpires                            ice spires                   Vanilla Landmarks Expanded
   VEE_JadeChunks                           jadeite chunks               Vanilla Landmarks Expanded
   VEE_JadeiteMountains                     jadeite mountains            Vanilla Landmarks Expanded
   VEE_LargeRiverBanks                      large river banks            Vanilla Landmarks Expanded
   VEE_LargerRegion                         larger region                Vanilla Landmarks Expanded
   VEE_LaurelForest                         laurel forest                Vanilla Landmarks Expanded
   VEE_LessSolarPower                       reduced solar exposure       Vanilla Landmarks Expanded
   VEE_LittoralDunes                        littoral dunes               Vanilla Landmarks Expanded
   VEE_LoneIslandWithLake                   central lake island          Vanilla Landmarks Expanded
   VEE_LoneIslandWithMountain               resurgent island             Vanilla Landmarks Expanded
   VEE_LushLavaFields                       lush lava fields             Vanilla Landmarks Expanded
   VEE_MangroveTerrain                      coastal wetland              Vanilla Landmarks Expanded
   VEE_MangroveTrees                        mangrove trees               Vanilla Landmarks Expanded
   VEE_Megafauna                            abundant megafauna           Vanilla Landmarks Expanded
   VEE_Microfauna                           microfauna                   Vanilla Landmarks Expanded
   VEE_MigratoryHerds                       migratory herds              Vanilla Landmarks Expanded
   VEE_MineableComponentSpacer              advanced component deposits  Vanilla Landmarks Expanded
   VEE_Moor                                 moor                         Vanilla Landmarks Expanded
   VEE_MoorFlora                            moor plants                  Vanilla Landmarks Expanded
   VEE_MoreSolarPower                       increased solar exposure     Vanilla Landmarks Expanded
   VEE_Mossy                                mossy                        Vanilla Landmarks Expanded
   VEE_Mycelium                             mycelium                     Vanilla Landmarks Expanded
   VEE_NaturalAerie                         natural aerie                Vanilla Landmarks Expanded
   VEE_NoDiseases                           no diseases                  Vanilla Landmarks Expanded
   VEE_NoWind                               no wind                      Vanilla Landmarks Expanded
   VEE_NobleSteeds                          noble steeds                 Vanilla Landmarks Expanded
   VEE_ObsidianChunks                       obsidian chunks              Vanilla Landmarks Expanded
   VEE_PermafrostBasin                      permafrost basin             Vanilla Landmarks Expanded
   VEE_PlentifulGrass                       plentiful grass              Vanilla Landmarks Expanded
   VEE_PoisonousFlora                       poisonous flora              Vanilla Landmarks Expanded
   VEE_QuicksandPits                        quicksand pits               Vanilla Landmarks Expanded
   VEE_RagingWind                           raging winds                 Vanilla Landmarks Expanded
   VEE_ReducedDiseases                      reduced diseases             Vanilla Landmarks Expanded
   VEE_ReducedPredators                     reduced predators            Vanilla Landmarks Expanded
   VEE_ReducedPrey                          reduced prey                 Vanilla Landmarks Expanded
   VEE_RelictDelta                          relict delta                 Vanilla Landmarks Expanded
