TerraformingScar workerClass: RimWorld.TileMutatorWorker_TerraformingScar

distinct worker classes among placeable mutators: 144

(none)                                      65 defs   11758 placed   39 never placed
TileMutatorWorker_WildPlants                18 defs    1419 placed   14 never placed
TileMutatorWorker_PlantsWithCommonality     15 defs      88 placed   11 never placed
TileMutatorWorker_ExtraAnimal               11 defs      62 placed    9 never placed
TileMutatorWorker_IncreaseWeatherFrequency   9 defs     321 placed    4 never placed
TileMutatorWorker_Patches                    8 defs     175 placed    5 never placed
TileMutatorWorker_GenericPrefabSpawner       7 defs     129 placed    2 never placed
TileMutatorWorker_RemoveSpecificFlora        6 defs       0 placed    6 never placed
TileMutatorWorker_Coast                      5 defs     225 placed    2 never placed
TileMutatorWorker_AncientStructure           5 defs     105 placed    0 never placed
TileMutatorWorker_GenericKCSGSpawner         5 defs     169 placed    4 never placed
TileMutatorWorker_Wetland                    2 defs       0 placed    2 never placed
TileMutatorWorker_Peninsula                  2 defs       8 placed    1 never placed
TileMutatorWorker_AnimaSoils                 2 defs       0 placed    2 never placed
TileMutatorWorker_Mountain                   1 defs    1127 placed    0 never placed
TileMutatorWorker_Caves                      1 defs    1611 placed    0 never placed
TileMutatorWorker_River                      1 defs     165 placed    0 never placed
TileMutatorWorker_UndergroundCave            1 defs      23 placed    0 never placed
TileMutatorWorker_AncientRuins               1 defs     226 placed    0 never placed
TileMutatorWorker_AncientRuins_Frozen        1 defs      18 placed    0 never placed
TileMutatorWorker_AncientQuarry              1 defs      30 placed    0 never placed
TileMutatorWorker_AncientSmokeVent           1 defs       0 placed    1 never placed
TileMutatorWorker_AncientToxVent             1 defs       0 placed    1 never placed
TileMutatorWorker_AncientHeatVent            1 defs     178 placed    0 never placed
TileMutatorWorker_AbandonedColonyTribal      1 defs      18 placed    0 never placed
TileMutatorWorker_AbandonedColonyOutlander   1 defs       4 placed    0 never placed
TileMutatorWorker_Harbor                     1 defs       0 placed    1 never placed
TileMutatorWorker_Stockpile                  1 defs      78 placed    0 never placed
TileMutatorWorker_AncientUplink              1 defs      10 placed    0 never placed
TileMutatorWorker_AnimalHabitat              1 defs     195 placed    0 never placed
TileMutatorWorker_PlantGrove                 1 defs       0 placed    1 never placed
TileMutatorWorker_MineralRich                1 defs     494 placed    0 never placed
TileMutatorWorker_ArcheanTrees               1 defs       1 placed    0 never placed
TileMutatorWorker_IncreasedPollution         1 defs       4 placed    0 never placed
TileMutatorWorker_ObsidianDeposits           1 defs       0 placed    1 never placed
TileMutatorWorker_Headwater                  1 defs      37 placed    0 never placed
TileMutatorWorker_RiverConfluence            1 defs       0 placed    1 never placed
TileMutatorWorker_RiverIsland                1 defs      33 placed    0 never placed
TileMutatorWorker_RiverDelta                 1 defs      22 placed    0 never placed
TileMutatorWorker_Lake                       1 defs       0 placed    1 never placed
TileMutatorWorker_LakeWithIsland             1 defs       0 placed    1 never placed
TileMutatorWorker_LakeWithIslands            1 defs       0 placed    1 never placed
TileMutatorWorker_Pond                       1 defs      21 placed    0 never placed
TileMutatorWorker_Oasis                      1 defs     246 placed    0 never placed
