Oasis	Odyssey	oasis	lake	comm=0.25	namer=NamerLandmark_Oasis	req:Oasis	opt:Stockpile,AnimalLife_Increased,AnimalHabitat,SunnyMutator,AncientUplink	
Lake	Odyssey	lake	lake	comm=0.5	namer=NamerLandmark_Lake	req:Lake	opt:Stockpile,FoggyMutator,SunnyMutator,WetClimate,WindyMutator,AnimalLife_Increased,AnimalHabitat,PlantGrove,Marshy,Sandy,Fertile,Muddy,MixedBiome,WildPlants,WildTropicalPlants,ArcheanTrees,Pollution_Increased,AncientUplink,PlantLife_Increased,Fish_Increased,Fish_Decreased,AB_AgariluxPrime_Mutator,AB_FeraliskNest	
LakeWithIsland	Odyssey	lake	lake	comm=0.5	namer=NamerLandmark_Lake	req:LakeWithIsland	opt:Stockpile,FoggyMutator,SunnyMutator,WetClimate,WindyMutator,AnimalLife_Increased,AnimalHabitat,PlantGrove,Marshy,Sandy,Fertile,Muddy,MixedBiome,WildPlants,WildTropicalPlants,ArcheanTrees,Pollution_Increased,AncientUplink,PlantLife_Increased,Fish_Increased,Fish_Decreased,AB_AgariluxPrime_Mutator,AB_FeraliskNest	
LakeWithIslands	Odyssey	lake	lake	comm=0.5	namer=NamerLandmark_Lake	req:LakeWithIslands	opt:	
Pond	Odyssey	lake	lake	comm=0.5	namer=NamerLandmark_Pond	req:Pond	opt:Stockpile,FoggyMutator,SunnyMutator,WetClimate,WindyMutator,AnimalLife_Increased,AnimalHabitat,PlantGrove,Marshy,Sandy,Fertile,Muddy,MixedBiome,WildPlants,WildTropicalPlants,ArcheanTrees,Pollution_Increased,AncientUplink,PlantLife_Increased,Fish_Increased,Fish_Decreased,AB_AgariluxPrime_Mutator,AB_FeraliskNest	
DryLake	Odyssey	dry lake		comm=0.2	namer=NamerLandmark_DryLake	req:DryLake	opt:Stockpile,AnimalLife_Decreased,SunnyMutator,WetClimate,Pollution_Increased,AncientUplink,Junkyard,AB_AgariluxPrime_Mutator,AB_FeraliskNest	
ToxicLake	Odyssey	toxic lake		comm=0.15	namer=NamerLandmark_ToxicLake	req:ToxicLake	opt:Pollution_Increased,Junkyard,Stockpile,AnimalLife_Decreased,Marshy,Sandy,Muddy,FoggyMutator,SunnyMutator,WetClimate,WindyMutator,InsectMegahive,AncientUplink,AB_AgariluxPrime_Mutator,AB_FeraliskNest	
Wetland	Odyssey	wetland		comm=0.5	namer=NamerLandmark_Wetland	req:Wetland	opt:Stockpile,FoggyMutator,WetClimate,AnimalLife_Increased,AnimalHabitat,Sandy,Fertile,Muddy,WildPlants,WildTropicalPlants,ArcheanTrees,AncientUplink,PlantLife_Increased,PlantGrove,Fish_Increased,Fish_Decreased,AB_AgariluxPrime_Mutator,AB_FeraliskNest,WildGalacticPlants,WildRylothPlants,WildTattooinePlants,WildNabooPlants,WildDantooinePlants,WildAlderaanPlants,WildFelucianPlants	
HotSprings	Odyssey	hot springs		comm=0.25	namer=NamerLandmark_HotSprings	req:HotSprings	opt:SteamGeysers_Increased,Stockpile,MineralRich,Sandy,Muddy,FoggyMutator,SunnyMutator,WetClimate,WindyMutator,InsectMegahive,MixedBiome,AncientUplink,AnimalLife_Increased,AnimalHabitat,PlantGrove,ArcheanTrees,PlantLife_Increased,Fertile,WildPlants,WildTropicalPlants,PlantGrove,AB_AgariluxPrime_Mutator,AB_FeraliskNest,WildGalacticPlants,WildRylothPlants,WildTattooinePlants,WildNabooPlants,WildDantooinePlants,WildAlderaanPlants,WildFelucianPlants	
Archipelago	Odyssey	archipelago	coastal	comm=0.75	namer=NamerLandmark_Archipelago	req:Archipelago	opt:Stockpile,SunnyMutator,WetClimate,WindyMutator,AnimalHabitat,AnimalLife_Increased,PlantGrove,PlantLife_Increased,Sandy,Fertile,Muddy,WildPlants,WildTropicalPlants,ArcheanTrees,AncientUplink,Fish_Increased,Fish_Decreased,AB_AgariluxPrime_Mutator,AB_FeraliskNest,WildGalacticPlants,WildRylothPlants,WildTattooinePlants,WildNabooPlants,WildDantooinePlants,WildAlderaanPlants,WildFelucianPlants	
CoastalIsland	Odyssey	coastal island	coastal	comm=0.75	namer=NamerLandmark_CoastalIsland	req:CoastalIsland	opt:Stockpile,SunnyMutator,WetClimate,WindyMutator,AnimalHabitat,AnimalLife_Increased,PlantGrove,PlantLife_Increased,Sandy,Fertile,Muddy,WildPlants,WildTropicalPlants,ArcheanTrees,AncientUplink,Fish_Increased,Fish_Decreased,AB_AgariluxPrime_Mutator,AB_FeraliskNest,WildGalacticPlants,WildRylothPlants,WildTattooinePlants,WildNabooPlants,WildDantooinePlants,WildAlderaanPlants,WildFelucianPlants	
Peninsula	Odyssey	peninsula	coastal	comm=0.75	namer=NamerLandmark_Peninsula	req:Peninsula	opt:Stockpile,SunnyMutator,WetClimate,WindyMutator,AnimalHabitat,AnimalLife_Increased,PlantGrove,PlantLife_Increased,Sandy,Fertile,Muddy,WildPlants,WildTropicalPlants,ArcheanTrees,AncientUplink,Fish_Increased,Fish_Decreased,AB_AgariluxPrime_Mutator,AB_FeraliskNest,WildGalacticPlants,WildRylothPlants,WildTattooinePlants,WildNabooPlants,WildDantooinePlants,WildAlderaanPlants,WildFelucianPlants	
Bay	Odyssey	bay	coastal	comm=0.75	namer=NamerLandmark_Bay	req:Bay	opt:Stockpile,SunnyMutator,WetClimate,AnimalHabitat,AnimalLife_Increased,PlantGrove,PlantLife_Increased,Sandy,Fertile,Muddy,MixedBiome,WildPlants,WildTropicalPlants,ArcheanTrees,AncientUplink,Fish_Increased,Fish_Decreased,AB_AgariluxPrime_Mutator,AB_FeraliskNest	
Cove	Odyssey	bay	coastal	comm=0.75	namer=NamerLandmark_Bay	req:Cove	opt:Stockpile,SunnyMutator,WetClimate,AnimalHabitat,AnimalLife_Increased,PlantGrove,PlantLife_Increased,Sandy,Fertile,Muddy,MixedBiome,WildPlants,WildTropicalPlants,ArcheanTrees,AncientUplink,Fish_Increased,Fish_Decreased	
