Mountain	Core	mountain	A mountain fills one side of this tile.	
Caves	Core	caves	Small cave networks can be found within the rocks.	
Coast	Core	coast	This tile borders the coast.	
River	Core	river	A stream of fresh water flows through here.	
UndergroundCave	Core	underground cave		
AncientGarrison	Odyssey	ancient garrison	A long-abandoned military structure. It may still contain valuable items, as well as active security systems. Use caution while exploring these ruins.	whit:AridShrubland,BorealForest,ColdBog,Desert,ExtremeDesert,Glowforest,Grasslands,GlacialPlain,LavaField,Scarlands,TemperateForest,TemperateSwamp,TropicalRainforest,TropicalSwamp,Tundra,PoisonForest,Savanna,Volcano,Wasteland,Wetland,AB_FeraliskInfestedJungle,AB_RockyCrags,AB_GallatrossGraveyard,AB_GelatinousSuperorganism,AB_IdyllicMeadows,AB_MechanoidIntrusion,AB_MiasmicMangrove,AB_MycoticJungle,AB_OcularForest,AB_PropaneLakes,AB_PyroclasticConflagration,AB_TarPits,BiomeArcticOasis,BiomeAreeb,BiomeCypreJungle,BiomeGRimberlands,BiomeGRimerald,BiomeGRimethyst,BiomeGRimonade,BiomeGRimond,BiomeGRimphire,BiomeGRimworld,BiomeGRuby,BiomeGRuquoise,BiomeMist,BiomeToxlands,BiomeGrindland,ZBiome_AlpineMeadow,ZBiome_Badlands,ZBiome_CloudForest,ZBiome_CoastalDunes,ZBiome_DesertOasis,ZBiome_GlacialShield,ZBiome_Grasslands,ZBiome_Marsh
AncientWarehouse	Odyssey	ancient warehouse	An abandoned warehouse. It still contains valuables. It may also contain dangerous security systems.	whit:AridShrubland,BorealForest,ColdBog,Desert,ExtremeDesert,Glowforest,Grasslands,GlacialPlain,LavaField,Scarlands,TemperateForest,TemperateSwamp,TropicalRainforest,TropicalSwamp,Tundra,PoisonForest,Savanna,Volcano,Wasteland,Wetland,AB_FeraliskInfestedJungle,AB_RockyCrags,AB_GallatrossGraveyard,AB_GelatinousSuperorganism,AB_IdyllicMeadows,AB_MechanoidIntrusion,AB_MiasmicMangrove,AB_MycoticJungle,AB_OcularForest,AB_PropaneLakes,AB_PyroclasticConflagration,AB_TarPits,BiomeArcticOasis,BiomeAreeb,BiomeCypreJungle,BiomeGRimberlands,BiomeGRimerald,BiomeGRimethyst,BiomeGRimonade,BiomeGRimond,BiomeGRimphire,BiomeGRimworld,BiomeGRuby,BiomeGRuquoise,BiomeMist,BiomeToxlands,BiomeGrindland,ZBiome_AlpineMeadow,ZBiome_Badlands,ZBiome_CloudForest,ZBiome_CoastalDunes,ZBiome_DesertOasis,ZBiome_GlacialShield,ZBiome_Grasslands,ZBiome_Marsh
AncientChemfuelRefinery	Odyssey	ancient chemfuel refinery	An abandoned industrial installation containing large quantities of chemfuel. It may also contain dangerous security systems.	whit:AridShrubland,BorealForest,ColdBog,Desert,ExtremeDesert,Glowforest,Grasslands,GlacialPlain,LavaField,Scarlands,TemperateForest,TemperateSwamp,TropicalRainforest,TropicalSwamp,Tundra,PoisonForest,Savanna,Volcano,Wasteland,Wetland,AB_FeraliskInfestedJungle,AB_RockyCrags,AB_GallatrossGraveyard,AB_GelatinousSuperorganism,AB_IdyllicMeadows,AB_MechanoidIntrusion,AB_MiasmicMangrove,AB_MycoticJungle,AB_OcularForest,AB_PropaneLakes,AB_PyroclasticConflagration,AB_TarPits,BiomeArcticOasis,BiomeAreeb,BiomeCypreJungle,BiomeGRimberlands,BiomeGRimerald,BiomeGRimethyst,BiomeGRimonade,BiomeGRimond,BiomeGRimphire,BiomeGRimworld,BiomeGRuby,BiomeGRuquoise,BiomeMist,BiomeToxlands,BiomeGrindland,ZBiome_AlpineMeadow,ZBiome_Badlands,ZBiome_CloudForest,ZBiome_CoastalDunes,ZBiome_DesertOasis,ZBiome_GlacialShield,ZBiome_Grasslands,ZBiome_Marsh
AncientInfestedSettlement	Odyssey	infested settlement	A once-prosperous settlement that was destroyed by an insect infestation. It may still contain valuable resources.	whit:AridShrubland,BorealForest,ColdBog,Desert,ExtremeDesert,Glowforest,Grasslands,GlacialPlain,LavaField,Scarlands,TemperateForest,TemperateSwamp,TropicalRainforest,TropicalSwamp,Tundra,PoisonForest,Savanna,Volcano,Wasteland,Wetland,AB_FeraliskInfestedJungle,AB_RockyCrags,AB_GallatrossGraveyard,AB_GelatinousSuperorganism,AB_IdyllicMeadows,AB_MechanoidIntrusion,AB_MiasmicMangrove,AB_MycoticJungle,AB_OcularForest,AB_PropaneLakes,AB_PyroclasticConflagration,AB_TarPits,BiomeArcticOasis,BiomeAreeb,BiomeCypreJungle,BiomeGRimberlands,BiomeGRimerald,BiomeGRimethyst,BiomeGRimonade,BiomeGRimond,BiomeGRimphire,BiomeGRimworld,BiomeGRuby,BiomeGRuquoise,BiomeMist,BiomeToxlands,BiomeGrindland,ZBiome_AlpineMeadow,ZBiome_Badlands,ZBiome_CloudForest,ZBiome_CoastalDunes,ZBiome_DesertOasis,ZBiome_GlacialShield,ZBiome_Grasslands,ZBiome_Marsh
AncientLaunchSite	Odyssey	ancient launch site	An abandoned collection of launch pads used to deliver supplies to orbital platforms. It contains working transport pods.	whit:AridShrubland,BorealForest,ColdBog,Desert,ExtremeDesert,Glowforest,Grasslands,GlacialPlain,LavaField,Scarlands,TemperateForest,TemperateSwamp,TropicalRainforest,TropicalSwamp,Tundra,PoisonForest,Savanna,Volcano,Wasteland,Wetland,AB_FeraliskInfestedJungle,AB_RockyCrags,AB_GallatrossGraveyard,AB_GelatinousSuperorganism,AB_IdyllicMeadows,AB_MechanoidIntrusion,AB_MiasmicMangrove,AB_MycoticJungle,AB_OcularForest,AB_PropaneLakes,AB_PyroclasticConflagration,AB_TarPits,BiomeArcticOasis,BiomeAreeb,BiomeCypreJungle,BiomeGRimberlands,BiomeGRimerald,BiomeGRimethyst,BiomeGRimonade,BiomeGRimond,BiomeGRimphire,BiomeGRimworld,BiomeGRuby,BiomeGRuquoise,BiomeMist,BiomeToxlands,BiomeGrindland,ZBiome_AlpineMeadow,ZBiome_Badlands,ZBiome_CloudForest,ZBiome_CoastalDunes,ZBiome_DesertOasis,ZBiome_GlacialShield,ZBiome_Grasslands,ZBiome_Marsh; blac:IceSheet,SeaIce,AB_MechanoidIntrusion,AB_PropaneLakes,ZBiome_Sandbar_NoBeach,ZBiome_Iceberg_NoBeach; noRiver
