tile,lat,long,biome,elevation,temperature,rainfall,hilliness,swampiness
0,58.2787,-90,Desert,358,27,304,Flat,0
1,58.2787,90,Desert,708,24.7,413,Flat,0
2,-58.2787,-90,Desert,755,24.4,358,Flat,0
3,-58.2787,90,Desert,470,26.2,299,SmallHills,0
4,-31.716,180,AB_RockyCrags,541,-45.1,125,SmallHills,0
5,31.716,180,AB_RockyCrags,130,-42.4,87,SmallHills,0.5333
6,-31.716,0,ExtremeDesert,288,71.4,19,Flat,0
7,31.716,0,ExtremeDesert,699,68.8,28,SmallHills,0.5647
8,0,58.2825,ExtremeDesert,703,53.3,82,LargeHills,0.1216
9,0,121.7175,BMT_FungalForest,779,-12.6,1683,SmallHills,0
10,0,-58.2825,ExtremeDesert,253,56.2,64,Flat,0
11,0,-121.7175,HorrorWastes,910,-13.4,1588,SmallHills,0
12,35.2596,-135,AB_MycoticJungle,578,-15.7,821,SmallHills,0
13,69.0771,-180,PoisonForest,348,3.4,1152,SmallHills,0
14,69.0771,0,ExtremeDesert,245,47.7,28,SmallHills,0
15,35.2596,-45,ZBiome_DesertOasis,453,57.5,692,Flat,0.3373
16,20.9026,-90,Ocean,-350,29.3,90,Flat,0.3961
17,35.2596,135,AB_MycoticJungle,361,-14.3,1106,SmallHills,0.6627
18,0,-159.0948,AB_PropaneLakes,125,-56.3,32,Mountainous,0
19,-20.9026,-90,Desert,470,26.2,209,SmallHills,0
20,0,-20.9052,Volcano,3008,57.5,604,Impassable,0
21,35.2596,45,ExtremeDesert,318,58.3,20,LargeHills,0.502
22,-35.2596,135,AB_MycoticJungle,1049,-18.8,1070,LargeHills,0.3765
23,-69.0771,180,Glowforest,941,-0.4,1499,LargeHills,0
24,-69.0771,0,ExtremeDesert,462,46.3,41,SmallHills,0
25,-35.2596,45,ExtremeDesert,518,57,34,Flat,0.1686
26,-20.9026,90,Desert,715,24.6,289,SmallHills,0.5176
27,0,159.0948,SeaIce,-350,-55.5,90,Flat,0
28,-35.2596,-135,AB_MycoticJungle,827,-17.3,995,SmallHills,0
29,-35.2596,-45,ExtremeDesert,217,59,19,Flat,0
30,0,20.9052,ExtremeDesert,840,71.6,18,LargeHills,0
31,20.9026,90,ZBiome_Badlands,329,27.1,46,Mountainous,0
32,40.1893,-105.7836,AridShrubland,770,11.1,827,SmallHills,0
33,58.5465,-130.1254,PoisonForest,304,5.3,1028,SmallHills,0
34,78.95,-90,Desert,278,27.5,213,SmallHills,0
35,58.5465,-49.8746,ExtremeDesert,241,46.6,31,Flat,0
36,40.1893,-74.2164,Desert,437,38.4,105,SmallHills,0.0078
37,78.95,90,Desert,421,26.5,308,SmallHills,0
38,58.5465,49.8746,ExtremeDesert,120,47.4,37,SmallHills,0
39,58.5465,130.1254,PoisonForest,733,2.5,1062,LargeHills,0
40,40.1893,74.2164,Desert,351,39,89,Flat,0
41,40.1893,105.7836,HorrorWastes,942,10,1009,LargeHills,0
42,-40.1893,-105.7836,HorrorWastes,712,11.5,956,Flat,0
43,-78.95,-90,Desert,645,25.1,351,SmallHills,0
44,-58.5465,-49.8746,Desert,365,45.8,38,SmallHills,0
45,-58.5465,-130.1254,PoisonForest,758,2.3,1010,SmallHills,0
46,-40.1893,-74.2164,Desert,684,36.8,72,SmallHills,0
47,-40.1893,105.7836,PoisonForest,596,12.3,1080,SmallHills,0.2118
48,-58.5465,130.1254,Glowforest,461,4.2,1549,SmallHills,0
49,-78.95,90,Desert,367,26.9,352,SmallHills,0
50,-58.5465,49.8746,Desert,532,44.7,45,SmallHills,0
51,-40.1893,74.2164,Desert,342,39,55,SmallHills,0.3961
52,-11.0156,180,SeaIce,-350,-67.9,90,Flat,0.2784
53,-47.3048,162.1548,AB_RockyCrags,1840,-30.2,338,Mountainous,0.1686
54,-47.3048,-162.1548,AB_MycoticJungle,1235,-26.2,632,LargeHills,0
55,-23.5048,158.4933,AB_RockyCrags,741,-46.8,117,SmallHills,0
56,-23.5048,-158.4933,AB_RockyCrags,810,-47.2,75,LargeHills,0.1412
57,47.3048,-162.1548,AB_RockyCrags,630,-22.3,320,SmallHills,0.0078
58,47.3048,162.1548,AB_MycoticJungle,530,-21.7,519,SmallHills,0
59,23.5048,158.4933,SeaIce,-256,-42,90,Flat,0
60,23.5048,-158.4933,AB_RockyCrags,411,-44.6,101,SmallHills,0.3686
61,11.0156,180,SeaIce,-350,-67.9,90,Flat,0.0078
62,-23.5048,-21.5067,ExtremeDesert,763,68.5,18,Mountainous,0.5059
63,-47.3048,17.8452,ExtremeDesert,368,61.3,19,SmallHills,0
64,-23.5048,21.5067,ExtremeDesert,402,70.8,86,SmallHills,0
65,-47.3048,-17.8452,ExtremeDesert,435,60.9,19,SmallHills,0.2314
66,-11.0156,0,ExtremeDesert,1788,67.6,49,SmallHills,0
67,47.3048,-17.8452,ExtremeDesert,616,59.7,27,SmallHills,0
68,23.5048,-21.5067,ZBiome_DesertOasis,873,67.8,1166,Flat,0.1412
69,11.0156,0,AB_MechanoidIntrusion,1556,69.1,169,SmallHills,0
70,47.3048,17.8452,ExtremeDesert,494,60.5,19,SmallHills,0
71,23.5048,21.5067,ExtremeDesert,578,69.7,18,Flat,0
72,11.9905,41.2835,ExtremeDesert,274,66.2,18,SmallHills,0
73,-19.6422,64.9429,ExtremeDesert,617,47.4,146,Flat,0.4863
74,0,78.9831,AridShrubland,570,36.6,370,SmallHills,0.2353
75,-11.9905,41.2835,Desert,345,65.7,470,SmallHills,0
76,19.6422,64.9429,ExtremeDesert,617,47.4,37,SmallHills,0.1529
77,19.6422,115.0571,Glowforest,1449,-6.8,1346,LargeHills,0
78,-11.9905,138.7165,AB_MycoticJungle,745,-32.2,555,SmallHills,0
79,-19.6422,115.0571,Glowforest,1358,-6.2,1511,LargeHills,0
80,11.9905,138.7165,AB_MycoticJungle,707,-32,655,Flat,0.3137
81,0,101.0169,Desert,385,14.7,344,Impassable,0.498
82,19.6422,-64.9429,Desert,433,48.6,458,SmallHills,0.3686
83,0,-78.9831,Ocean,-350,40.3,90,Flat,0.0353
84,-19.6422,-64.9429,ExtremeDesert,286,49.6,21,SmallHills,0
85,11.9905,-41.2835,ExtremeDesert,976,61.6,105,LargeHills,0
86,-11.9905,-41.2835,Ocean,-350,68,90,Flat,0
87,11.9905,-138.7165,AB_MycoticJungle,420,-30.1,537,SmallHills,0
88,19.6422,-115.0571,AridShrubland,1001,-3.9,799,LargeHills,0
89,-11.9905,-138.7165,AB_MycoticJungle,709,-32,576,SmallHills,0
90,0,-101.0169,Ocean,-122,17.3,90,Flat,0
91,-19.6422,-115.0571,HorrorWastes,1099,-4.5,1424,SmallHills,0
92,47.0282,-90,Desert,517,25.9,276,SmallHills,0
93,53.3733,-108.1197,AridShrubland,579,13.9,779,SmallHills,0
94,66.5171,-106.7312,AridShrubland,390,19.7,622,Flat,0
95,66.5171,-73.2688,Desert,436,33.2,112,SmallHills,0
96,53.3733,-71.8803,Desert,456,37,73,SmallHills,0.2784
97,66.5171,73.2688,Desert,503,32.7,159,SmallHills,0
98,53.3733,71.8803,Desert,276,38.2,87,SmallHills,0
99,66.5171,106.7312,AridShrubland,543,18.7,664,Flat,0
100,47.0282,90,Desert,506,26,355,SmallHills,0
101,53.3733,108.1197,PoisonForest,741,12.8,988,SmallHills,0
102,-53.3733,-108.1197,AridShrubland,694,13.1,900,SmallHills,0
103,-66.5171,-73.2688,Desert,713,31.4,167,SmallHills,0
104,-53.3733,-71.8803,Desert,567,36.3,89,Flat,0
105,-66.5171,-106.7312,AridShrubland,499,19,523,SmallHills,0
106,-47.0282,-90,Desert,767,24.3,256,SmallHills,0
107,-47.0282,90,Desert,510,26,271,SmallHills,0
108,-53.3733,108.1197,AridShrubland,514,14.3,821,SmallHills,0
109,-66.5171,106.7312,AridShrubland,464,19.2,672,SmallHills,0
110,-66.5171,73.2688,Desert,438,33.2,158,SmallHills,0
111,-53.3733,71.8803,Desert,417,37.3,86,SmallHills,0
112,-22.4178,172.8755,AB_RockyCrags,377,-54.7,42,LargeHills,0
113,-42.9599,-180,AB_RockyCrags,1053,-33.9,325,LargeHills,0.3804
114,-34.5307,-166.9858,AB_RockyCrags,531,-38.7,251,LargeHills,0
115,-34.5307,166.9858,AB_RockyCrags,681,-39.7,221,LargeHills,0
116,-22.4178,-172.8755,AB_RockyCrags,762,-57.2,39,SmallHills,0
117,42.9599,180,AB_RockyCrags,574,-30.7,339,LargeHills,0.2863
118,34.5307,166.9858,AB_RockyCrags,400,-37.8,158,LargeHills,0
119,22.4178,172.8755,SeaIce,-350,-52.3,90,Flat,0
120,34.5307,-166.9858,AB_RockyCrags,625,-39.3,166,SmallHills,0.5176
121,22.4178,-172.8755,SeaIce,-350,-52.3,90,Flat,0
122,-34.5307,-13.0142,ExtremeDesert,310,69.1,18,SmallHills,0.298
123,-34.5307,13.0142,ExtremeDesert,334,68.9,22,SmallHills,0
124,-22.4178,7.1245,Desert,272,74.6,243,LargeHills,0
125,-42.9599,0,ExtremeDesert,425,65.1,18,SmallHills,0
126,-22.4178,-7.1245,ExtremeDesert,1224,68.4,21,Impassable,0.2588
127,34.5307,-13.0142,Desert,690,66.6,253,SmallHills,0.302
128,22.4178,-7.1245,Desert,1887,64.1,590,Impassable,0.251
129,22.4178,7.1245,Desert,508,73,135,Mountainous,0.3412
130,42.9599,0,ExtremeDesert,694,63.3,19,SmallHills,0.0118
131,34.5307,13.0142,ExtremeDesert,458,68.1,19,SmallHills,0
132,0,47.0345,ExtremeDesert,708,60.8,43,Mountainous,0.3137
133,-6.5828,67.4227,ZBiome_DesertOasis,488,47.4,303,Flat,0.1176
134,6.5828,67.4227,AridShrubland,800,45.3,390,LargeHills,0
135,-10.6897,54.7658,Desert,520,56.5,200,SmallHills,0.2392
136,10.6897,54.7658,ExtremeDesert,1046,53.1,36,LargeHills,0
137,6.5828,112.5773,AB_GelatinousSuperorganism,1375,-5,1725,SmallHills,0
138,0,132.9655,AB_MycoticJungle,565,-25.4,970,SmallHills,0
