tile,lat,long,biome,elevation,temperature,rainfall,hilliness,swampiness
0,58.2787,-90,AB_PropaneLakes,14.4052,-37.4257,970.6561,Flat,0.1472
1,58.2787,90,AB_PropaneLakes,14.0542,-39.9938,649.2056,Flat,0
2,-58.2787,-90,AB_PropaneLakes,12.3359,-33.767,170.9029,Flat,0
3,-58.2787,90,AB_PropaneLakes,187.3358,-36.7387,251.8437,Flat,0
4,-31.716,180,AB_PropaneLakes,161.7496,-74.4523,1720.88,Flat,0.0902
5,31.716,180,AB_PropaneLakes,1633.142,-86.3841,1022.217,Flat,0
6,-31.716,0,AridShrubland,160.0211,33.531,1461.739,Flat,0.4682
7,31.716,0,AB_OcularForest,19.4456,32.263,2005.463,Flat,0.3272
8,0,58.2825,Wasteland,16.8121,-1.1845,2685.502,Flat,0.2966
9,0,121.7175,AB_PropaneLakes,766.8641,-72.3849,1078.275,Flat,0
10,0,-58.2825,Wasteland,41.0678,1.0433,2639.783,Flat,0.2615
11,0,-121.7175,AB_PropaneLakes,1715.638,-82.6616,2206.303,Flat,0
12,35.2596,-135,AB_PropaneLakes,420.4406,-72.921,401.7588,Flat,0
13,69.0771,-180,Ocean,-350,-60.9115,74.4298,Flat,0
14,69.0771,0,Ocean,-350,-15.0695,135.9259,Flat,0
15,35.2596,-45,AridShrubland,12,2.9829,893.1241,Flat,0.0189
16,20.9026,-90,AB_PropaneLakes,12,-39.1063,2861.332,Flat,0.1502
17,35.2596,135,AB_PropaneLakes,715.313,-75.3626,935.1214,Flat,0.1469
18,0,-159.0948,AB_PropaneLakes,918.5989,-84.2637,143.0002,Mountainous,0
19,-20.9026,-90,AB_PropaneLakes,2560.306,-56.0104,517.9454,Flat,0
20,0,-20.9052,AridShrubland,13.676,46.1664,1262.141,SmallHills,0.0256
21,35.2596,45,Wasteland,64.5873,2.9058,793.0648,Flat,0.0853
22,-35.2596,135,AB_PropaneLakes,111.177,-72.1439,876.3638,Flat,0.23
23,-69.0771,180,AB_PropaneLakes,87.3887,-60.753,232.5751,Flat,0
24,-69.0771,0,AridShrubland,640.1953,-19.4838,118.9602,SmallHills,0
25,-35.2596,45,Ocean,-350,2.1288,1670.595,Mountainous,0
26,-20.9026,90,AridShrubland,115.0751,-32.5158,2550.812,Impassable,0
27,0,159.0948,AB_PropaneLakes,51.0889,-74.6973,4294.897,Mountainous,0
28,-35.2596,-135,AB_PropaneLakes,1317.954,-80.1481,1198.747,Flat,0
29,-35.2596,-45,Ocean,-350,2.9939,1196.338,Flat,0.0882
30,0,20.9052,AB_RockyCrags,43.1108,50.5411,861.2389,Flat,0.0115
31,20.9026,90,AB_PropaneLakes,111.8991,-41.6001,1795.688,Flat,0.2424
32,40.1893,-105.7836,AB_PropaneLakes,106.1029,-55.0592,89.0409,Flat,0
33,58.5465,-130.1254,AB_PropaneLakes,34.1887,-63.3978,171.0667,Flat,0
34,78.95,-90,AridShrubland,12,-36.0654,93.1597,Flat,0
35,58.5465,-49.8746,Ocean,-350,-13.8167,543.5774,Flat,0
36,40.1893,-74.2164,AridShrubland,93.65,-22.0343,566.8637,Flat,0
37,78.95,90,AB_PropaneLakes,644.9664,-41.8655,83.1677,Flat,0
38,58.5465,49.8746,AridShrubland,88.0116,-12.2918,378.3233,Flat,0
39,58.5465,130.1254,AB_PropaneLakes,1386.207,-72.9915,121.2101,Flat,0
40,40.1893,74.2164,AridShrubland,17.3495,-24.5707,808.4905,Flat,0.1623
41,40.1893,105.7836,AB_PropaneLakes,12.0643,-55.7582,448.1578,Flat,0
42,-40.1893,-105.7836,Ocean,-350,-55.1702,448.825,Flat,0
43,-78.95,-90,AB_PropaneLakes,122.5496,-35.2865,105.0633,Flat,0
44,-58.5465,-49.8746,AridShrubland,11.9889,-15.5671,118.9038,Flat,0
45,-58.5465,-130.1254,AB_PropaneLakes,53.8398,-59.8643,550.738,Flat,0
46,-40.1893,-74.2164,AridShrubland,316.3924,-26.4671,259.0694,Flat,0
47,-40.1893,105.7836,AB_PropaneLakes,58.1447,-47.8925,1766.806,Flat,0.4301
48,-58.5465,130.1254,AB_PropaneLakes,12,-60.3846,286.7121,Flat,0
49,-78.95,90,AB_PropaneLakes,151.805,-38.304,94.7846,Flat,0
50,-58.5465,49.8746,Ocean,-350,-16.8233,115.4334,Flat,0
51,-40.1893,74.2164,AridShrubland,21.4088,-22.0006,1178.6,Flat,0.0076
52,-11.0156,180,AB_PropaneLakes,287.5306,-77.6038,1433.505,Flat,0.4585
53,-47.3048,162.1548,Ocean,-350,-71.6213,623.261,Flat,0
54,-47.3048,-162.1548,AB_PropaneLakes,242.0075,-73.3735,1611.089,Flat,0.0133
55,-23.5048,158.4933,Ocean,-350,-76.5376,2890.948,SmallHills,0.344
56,-23.5048,-158.4933,Ocean,-350,-76.1304,1873.636,Flat,0.1888
57,47.3048,-162.1548,AB_PropaneLakes,556.7601,-71.0198,892.8496,Flat,0.2671
58,47.3048,162.1548,AB_PropaneLakes,1103.619,-80.528,164.2391,Flat,0
59,23.5048,158.4933,AB_PropaneLakes,423.8901,-76.6266,1785.711,Flat,0.0743
60,23.5048,-158.4933,AB_PropaneLakes,1661.661,-84.7868,134.285,Impassable,0
61,11.0156,180,Ocean,-350,-83.052,813.2566,Flat,0.0369
62,-23.5048,-21.5067,AB_GallatrossGraveyard,12,34.3239,1933.107,Flat,0.1488
63,-47.3048,17.8452,Ocean,-350,5.2655,281.2738,Flat,0
64,-23.5048,21.5067,Ocean,-350,31.4118,614.2791,SmallHills,0
65,-47.3048,-17.8452,Desert,32.1164,6.1248,1753.556,Flat,0.1454
66,-11.0156,0,AridShrubland,1050.117,55.8225,1110.239,LargeHills,0
67,47.3048,-17.8452,Wasteland,67.7243,6.3239,784.709,Mountainous,0
68,23.5048,-21.5067,Ocean,-350,32.1127,1776.646,Flat,0.2519
69,11.0156,0,PoisonForest,37.9662,62.7258,2523.853,Flat,0.3895
70,47.3048,17.8452,Desert,48.7666,8.8249,155.0952,Flat,0
71,23.5048,21.5067,Desert,25.3742,35.0879,1311.277,Flat,0.5527
72,11.9905,41.2835,ExtremeDesert,21.415,16.2059,235.877,Flat,0
73,-19.6422,64.9429,Ocean,-350,-7.7774,2721.713,Flat,0.1776
74,0,78.9831,AridShrubland,36.7848,-24.1192,3713.028,Flat,0.3202
75,-11.9905,41.2835,Ocean,-350,16.6893,1554.227,Flat,0.0632
76,19.6422,64.9429,AridShrubland,298.3312,-11.4836,2363.867,Flat,0.5267
77,19.6422,115.0571,Ocean,-350,-64.1884,882.1375,Flat,0.1461
78,-11.9905,138.7165,AB_PropaneLakes,460.181,-74.8714,2737.163,Flat,0.1206
79,-19.6422,115.0571,Ocean,-350,-73.401,889.678,LargeHills,0
80,11.9905,138.7165,AB_PropaneLakes,1231.916,-84.1266,685.1422,Flat,0
81,0,101.0169,Ocean,-350,-50.1592,3921.302,SmallHills,0.2332
82,19.6422,-64.9429,Ocean,-350,-8.6499,2051.069,Flat,0.0406
83,0,-78.9831,Ocean,-350,-25.9821,2257.662,Flat,0.4632
84,-19.6422,-64.9429,Ocean,-350,-15.3783,2411.813,Flat,0.2889
85,11.9905,-41.2835,Desert,171.7459,18.523,211.6809,Flat,0
86,-11.9905,-41.2835,AridShrubland,12,16.0555,1955.777,Flat,0.1236
87,11.9905,-138.7165,AB_PropaneLakes,2083.173,-89.6261,474.6501,Flat,0
88,19.6422,-115.0571,AB_PropaneLakes,12,-63.1253,1011.388,Flat,0.4163
89,-11.9905,-138.7165,Ocean,-350,-84.3239,1148.387,SmallHills,0
90,0,-101.0169,AB_PropaneLakes,247.51,-50.1545,2172.237,Mountainous,0
91,-19.6422,-115.0571,AB_PropaneLakes,2009.28,-78.9173,1039.876,Flat,0
92,47.0282,-90,AB_PropaneLakes,14.4052,-36.6724,567.2527,Flat,0
93,53.3733,-108.1197,AB_PropaneLakes,12,-52.8163,394.1148,Flat,0
94,66.5171,-106.7312,AB_PropaneLakes,14.4052,-46.1103,265.9106,Flat,0
95,66.5171,-73.2688,AridShrubland,52.9263,-28.0338,680.5028,Flat,0
96,53.3733,-71.8803,AridShrubland,93.65,-22.5915,965.5428,Flat,0.3363
